期間,總出境人數(人次)_原始值,總出境人數(人次)_年增率(%),男_原始值,男_年增率(%),女_原始值,女_年增率(%),0 - 14 歲_原始值,0 - 14 歲_年增率(%),15 - 64歲_原始值,15 - 64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),本國人民 (含金馬地區)_原始值,本國人民 (含金馬地區)_年增率(%),大陸地區人民_原始值,大陸地區人民_年增率(%),香港澳門居民_原始值,香港澳門居民_年增率(%),本國無戶籍國民_原始值,本國無戶籍國民_年增率(%),外國人_原始值,外國人_年增率(%)
1992,"6,121,444",...,"3,679,918",...,"2,441,526",...,"326,271",...,"5,357,501",...,"437,672",...,"4,236,431",...,"11,365",...,...,...,"227,640",...,"1,646,008",...
1993,"6,441,127",5.22,"3,893,671",5.81,"2,547,456",4.34,"352,645",8.08,"5,643,857",5.34,"444,625",1.59,"4,660,456",10.01,"16,365",43.99,...,...,"250,475",10.03,"1,513,831",-8.03
1994,"6,823,245",5.93,"4,172,051",7.15,"2,651,194",4.07,"368,282",4.43,"5,994,099",6.21,"460,864",3.65,"4,749,780",1.92,"19,015",16.19,...,...,"274,051",9.41,"1,780,399",17.61
1995,"7,507,910",10.03,"4,606,948",10.42,"2,900,962",9.42,"414,998",12.68,"6,591,069",9.96,"501,843",8.89,"5,190,049",9.27,"27,798",46.19,...,...,"268,705",-1.95,"2,021,358",13.53
1996,"8,093,130",7.79,"4,929,485",7.00,"3,163,645",9.06,"449,777",8.38,"7,092,154",7.60,"551,199",9.83,"5,721,073",10.23,"51,351",84.73,...,...,"259,074",-3.58,"2,061,632",1.99
1997,"8,571,348",5.91,"5,216,604",5.82,"3,354,744",6.04,"488,148",8.53,"7,494,943",5.68,"588,257",6.72,"6,179,296",8.01,"66,366",29.24,...,...,"239,255",-7.65,"2,086,431",1.20
1998,"8,256,953",-3.67,"5,091,959",-2.39,"3,164,994",-5.66,"450,690",-7.67,"7,285,050",-2.80,"521,213",-11.40,"5,931,230",-4.01,"79,331",19.54,...,...,"249,722",4.37,"1,996,670",-4.30
1999,"9,041,720",9.50,"5,492,236",7.86,"3,549,484",12.15,"502,784",11.56,"7,947,071",9.09,"591,865",13.56,"6,581,620",10.97,"96,448",21.58,...,...,"283,298",13.45,"2,080,354",4.19
2000,"9,990,395",10.49,"6,052,334",10.20,"3,938,061",10.95,"528,073",5.03,"8,819,104",10.97,"643,218",8.68,"7,342,036",11.55,"94,616",-1.90,...,...,"307,346",8.49,"2,246,397",7.98
2001,"9,927,844",-0.63,"5,994,599",-0.95,"3,933,245",-0.12,"516,526",-2.19,"8,790,210",-0.33,"621,108",-3.44,"7,174,628",-2.28,"120,660",27.53,...,...,"341,068",10.97,"2,291,488",2.01
2002,"10,178,476",2.52,"6,053,548",0.98,"4,124,928",4.87,"526,161",1.87,"8,999,800",2.38,"652,515",5.06,"7,319,466",2.02,"139,947",15.98,"368,020",...,"27,411",-91.96,"2,323,632",1.40
2003,"8,133,856",-20.09,"4,883,315",-19.33,"3,250,541",-21.20,"439,734",-16.43,"7,231,114",-19.65,"463,008",-29.04,"5,923,072",-19.08,"128,874",-7.91,"268,293",-27.10,"15,979",-41.71,"1,797,638",-22.64
2004,"10,679,246",31.29,"6,310,284",29.22,"4,368,962",34.41,"592,994",34.85,"9,438,747",30.53,"647,505",39.85,"7,780,652",31.36,"145,120",12.61,"346,200",29.04,"18,914",18.37,"2,388,360",32.86
2005,"11,548,332",8.14,"6,771,484",7.31,"4,776,848",9.34,"633,019",6.75,"10,194,353",8.01,"720,960",11.34,"8,208,125",5.49,"193,065",33.04,"354,830",2.49,"21,375",13.01,"2,770,937",16.02
2006,"12,160,919",5.30,"7,026,641",3.77,"5,134,278",7.48,"673,325",6.37,"10,681,952",4.78,"805,642",11.75,"8,671,375",5.64,"279,908",44.98,"354,258",-0.16,"20,232",-5.35,"2,835,146",2.32
2007,"12,641,682",3.95,"7,214,441",2.67,"5,427,241",5.71,"705,751",4.82,"11,097,316",3.89,"838,615",4.09,"8,963,711",3.37,"285,382",1.96,"410,762",15.95,"20,055",-0.87,"2,961,772",4.47
2008,"12,293,887",-2.75,"7,003,554",-2.92,"5,290,333",-2.52,"667,581",-5.41,"10,810,896",-2.58,"815,410",-2.77,"8,465,172",-5.56,"306,426",7.37,"537,032",30.74,"24,847",23.89,"2,960,410",-0.05
2009,"12,500,538",1.68,"6,974,680",-0.41,"5,525,858",4.45,"651,718",-2.38,"10,936,897",1.17,"911,923",11.84,"8,142,946",-3.81,"929,725",203.41,"627,441",16.83,"33,914",36.49,"2,766,512",-6.55
2010,"14,909,299",19.27,"8,148,983",16.84,"6,760,316",22.34,"809,060",24.14,"12,962,510",18.52,"1,137,729",24.76,"9,415,074",15.62,"1,592,036",71.24,"699,496",11.48,"18,732",-44.77,"3,183,961",15.09
2011,"15,567,386",4.41,"8,476,094",4.01,"7,091,292",4.90,"816,181",0.88,"13,617,029",5.05,"1,134,176",-0.31,"9,583,873",1.79,"1,730,898",8.72,"716,158",2.38,"18,975",1.30,"3,517,482",10.48
2012,"17,463,534",12.18,"9,246,338",9.09,"8,217,196",15.88,"923,436",13.14,"15,188,223",11.54,"1,351,875",19.19,"10,239,760",6.84,"2,538,096",46.63,"904,779",26.34,"17,435",-8.12,"3,763,464",6.99
2013,"18,960,224",8.57,"9,792,897",5.91,"9,167,327",11.56,"1,080,170",16.97,"16,438,374",8.23,"1,441,680",6.64,"11,052,908",7.94,"2,829,363",11.48,"1,050,747",16.13,"17,099",-1.93,"4,010,107",6.55
