期間,總指數_原始值,總指數_年增率(%),第 1 類動物產品_原始值,第 1 類動物產品_年增率(%),03魚、甲殼及軟體類動物_原始值,03魚、甲殼及軟體類動物_年增率(%),第 4 類調製食品、飲料、酒及菸類_原始值,第 4 類調製食品、飲料、酒及菸類_年增率(%),第 5 類礦產品_原始值,第 5 類礦產品_年增率(%),27能源礦產品_原始值,27能源礦產品_年增率(%),第 6 類化學或有關工業產品_原始值,第 6 類化學或有關工業產品_年增率(%),28無機化學產品及貴金屬化合物_原始值,28無機化學產品及貴金屬化合物_年增率(%),29有機化學產品_原始值,29有機化學產品_年增率(%),32著色料、漆類及油墨_原始值,32著色料、漆類及油墨_年增率(%),38雜項化學產品_原始值,38雜項化學產品_年增率(%),第 7 類塑、橡膠及其製品_原始值,第 7 類塑、橡膠及其製品_年增率(%),39塑膠及其製品_原始值,39塑膠及其製品_年增率(%),40橡膠及其製品_原始值,40橡膠及其製品_年增率(%),第10類木漿、紙及其製品_原始值,第10類木漿、紙及其製品_年增率(%),48紙、紙板及其製品_原始值,48紙、紙板及其製品_年增率(%),第11類紡織及其製品_原始值,第11類紡織及其製品_年增率(%),54人造纖維絲、絲紗及其梭織物_原始值,54人造纖維絲、絲紗及其梭織物_年增率(%),55人造纖維棉_原始值,55人造纖維棉_年增率(%),58花邊及窄幅梭織物_原始值,58花邊及窄幅梭織物_年增率(%),59浸漬、塗佈或黏合織物及工業用織物_原始值,59浸漬、塗佈或黏合織物及工業用織物_年增率(%),60針織品或鉤針織品_原始值,60針織品或鉤針織品_年增率(%),第13類石料製品、玻璃及玻璃器_原始值,第13類石料製品、玻璃及玻璃器_年增率(%),70玻璃及玻璃器_原始值,70玻璃及玻璃器_年增率(%),第15類基本金屬及其製品_原始值,第15類基本金屬及其製品_年增率(%),72鋼鐵_原始值,72鋼鐵_年增率(%),73鋼鐵製品_原始值,73鋼鐵製品_年增率(%),74銅及其製品_原始值,74銅及其製品_年增率(%),76鋁及其製品_原始值,76鋁及其製品_年增率(%),82基本金屬製工具及其零件_原始值,82基本金屬製工具及其零件_年增率(%),83基本金屬雜項製品_原始值,83基本金屬雜項製品_年增率(%),第16類機器、電機、電視影像及聲音記錄機等設備_原始值,第16類機器、電機、電視影像及聲音記錄機等設備_年增率(%),84鍋爐、機器、機械用具及其零件_原始值,84鍋爐、機器、機械用具及其零件_年增率(%),85電機、電視影像、聲音記錄等設備及其零件_原始值,85電機、電視影像、聲音記錄等設備及其零件_年增率(%),第17類運輸工具_原始值,第17類運輸工具_年增率(%),87運輸工具_原始值,87運輸工具_年增率(%),第18類光學、計量、醫療儀器、樂器及其零件_原始值,第18類光學、計量、醫療儀器、樂器及其零件_年增率(%),90光學、計量、檢查、醫療儀器及其零件_原始值,90光學、計量、檢查、醫療儀器及其零件_年增率(%),第20類雜項製品_原始值,第20類雜項製品_年增率(%),94座物、家具、燈具及其零件_原始值,94座物、家具、燈具及其零件_年增率(%)
1981,91.45,-,-,-,-,-,-,-,-,-,-,-,59.00,-,-,-,-,-,-,-,-,-,50.75,-,53.89,-,32.83,-,-,-,-,-,51.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.62,-,-,-,-,-,-,-,-,-,-,-
1982,87.03,-4.83,-,-,-,-,-,-,-,-,-,-,53.33,-9.61,-,-,-,-,-,-,-,-,48.49,-4.45,51.41,-4.60,31.75,-3.29,-,-,-,-,48.36,-6.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.73,-5.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.50,-0.21,-,-,-,-,-,-,-,-,-,-
1983,84.18,-3.27,-,-,-,-,-,-,-,-,-,-,49.87,-6.49,-,-,-,-,-,-,-,-,45.93,-5.28,48.96,-4.77,28.65,-9.76,-,-,-,-,47.43,-1.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.55,-4.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.90,-1.04,-,-,-,-,-,-,-,-,-,-
1984,85.36,1.40,-,-,-,-,-,-,-,-,-,-,49.73,-0.28,-,-,-,-,-,-,-,-,46.60,1.46,49.69,1.49,29.00,1.22,-,-,-,-,50.28,6.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.85,0.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.10,3.87,-,-,-,-,-,-,-,-,-,-
1985,84.70,-0.77,-,-,-,-,-,-,-,-,-,-,49.51,-0.44,-,-,-,-,-,-,-,-,47.11,1.09,50.10,0.83,30.00,3.45,-,-,-,-,49.74,-1.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45.19,0.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.76,1.12,-,-,-,-,-,-,-,-,-,-
1986,85.39,0.81,-,-,-,-,-,-,-,-,-,-,48.37,-2.30,-,-,-,-,-,-,-,-,47.70,1.25,50.84,1.48,29.74,-0.87,-,-,-,-,50.45,1.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.66,-1.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61.00,2.08,-,-,-,-,-,-,-,-,-,-
1987,94.17,10.28,-,-,-,-,-,-,-,-,-,-,50.11,3.60,-,-,-,-,-,-,-,-,52.73,10.55,56.49,11.11,31.24,5.04,-,-,-,-,59.30,17.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.76,11.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73.41,20.34,-,-,-,-,-,-,-,-,-,-
1988,102.01,8.33,-,-,-,-,-,-,-,-,-,-,55.13,10.02,-,-,-,-,-,-,-,-,59.41,12.67,63.86,13.05,34.02,8.90,-,-,-,-,62.72,5.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55.09,10.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90.49,23.27,-,-,-,-,-,-,-,-,-,-
1989,106.37,4.27,-,-,-,-,-,-,-,-,-,-,56.11,1.78,-,-,-,-,-,-,-,-,60.63,2.05,64.93,1.68,36.00,5.82,-,-,-,-,65.69,4.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.76,8.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95.24,5.25,-,-,-,-,-,-,-,-,-,-
1990,107.04,0.63,-,-,-,-,-,-,-,-,-,-,55.62,-0.87,-,-,-,-,-,-,-,-,59.98,-1.07,63.98,-1.46,37.09,3.03,-,-,-,-,65.66,-0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.06,-1.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98.76,3.70,-,-,-,-,-,-,-,-,-,-
