期間,函件_原始值,函件_年增率(%),函件_原始值,函件_年增率(%),函件_原始值,函件_年增率(%),包裹_原始值,包裹_年增率(%),包裹_原始值,包裹_年增率(%),包裹_原始值,包裹_年增率(%),快捷郵件_原始值,快捷郵件_年增率(%),快捷郵件_原始值,快捷郵件_年增率(%),快捷郵件_原始值,快捷郵件_年增率(%)
2000,"13,987,115",...,"5,409,559",...,"8,577,556",...,...,--,...,--,...,--,...,--,...,--,...,--
2001,"12,630,660",-9.70,"5,004,283",-7.49,"7,626,377",-11.09,...,--,...,--,...,--,...,--,...,--,...,--
2002,"16,270,458",28.82,"9,224,488",84.33,"7,045,970",-7.61,...,--,...,--,...,--,...,--,...,--,...,--
2003,"16,836,146",3.48,"10,268,325",11.32,"6,567,821",-6.79,...,--,...,--,...,--,...,--,...,--,...,--
2004,"16,187,030",-3.86,"9,280,017",-9.62,"6,907,013",5.16,...,--,...,--,...,--,...,--,...,--,...,--
2005,"16,168,114",-0.12,"9,398,239",1.27,"6,769,875",-1.99,...,--,...,--,...,--,...,--,...,--,...,--
2006,"12,486,723",-22.77,"5,985,106",-36.32,"6,501,617",-3.96,...,--,...,--,...,--,...,--,...,--,...,--
2007,"11,595,145",-7.14,"5,263,948",-12.05,"6,331,197",-2.62,...,--,...,--,...,--,...,--,...,--,...,--
2008,"10,201,026",-12.02,"4,638,916",-11.87,"5,562,110",-12.15,"4,202",--,"2,856",--,"1,346",--,"15,001",--,"9,139",--,"5,862",--
2009,"8,764,597",-14.08,"3,814,799",-17.77,"4,949,798",-11.01,"88,982",--,"62,568",--,"26,414",--,"347,352",--,"180,145",--,"167,207",--
2010,"8,331,250",-4.94,"3,518,056",-7.78,"4,813,194",-2.76,"95,884",7.76,"70,403",12.52,"25,481",-3.53,"395,494",13.86,"221,784",23.11,"173,710",3.89
2011,"8,575,531",2.93,"3,597,429",2.26,"4,978,102",3.43,"104,539",9.03,"76,790",9.07,"27,749",8.90,"439,940",11.24,"258,518",16.56,"181,422",4.44
2012,"8,479,704",-1.12,"4,030,086",12.03,"4,449,618",-10.62,"110,221",5.44,"82,884",7.94,"27,337",-1.48,...,--,...,--,...,--
2013,"8,582,875",1.22,"4,181,431",3.76,"4,401,444",-1.08,"102,010",-7.45,"74,961",-9.56,"27,049",-1.05,...,--,...,--,...,--
