期間,一般地區環境_監測站數,一般地區環境_不合格時段數,一般地區環境_不合格率(%),一般地區環境_監測站數,一般地區環境_不合格時段數,一般地區環境_不合格率(%),一般地區環境_監測站數,一般地區環境_不合格時段數,一般地區環境_不合格率(%),一般地區環境_監測站數,一般地區環境_不合格時段數,一般地區環境_不合格率(%),一般地區環境_監測站數,一般地區環境_不合格時段數,一般地區環境_不合格率(%),道路交通_監測站數,道路交通_不合格時段數,道路交通_不合格率(%),道路交通_監測站數,道路交通_不合格時段數,道路交通_不合格率(%),道路交通_監測站數,道路交通_不合格時段數,道路交通_不合格率(%),道路交通_監測站數,道路交通_不合格時段數,道路交通_不合格率(%),道路交通_監測站數,道路交通_不合格時段數,道路交通_不合格率(%)
2001,416,136,32.69,36,28,77.78,132,71,53.79,128,33,25.78,120,4,3.33,452,37,8.19,32,0,0.00,136,21,15.44,172,6,3.49,112,10,8.93
2002,440,108,24.55,44,31,70.45,120,46,38.33,148,31,20.95,128,0,0.00,516,19,3.68,52,0,0.00,128,16,12.50,212,3,1.42,124,0,0.00
2003,416,73,17.55,48,31,64.58,116,27,23.28,132,15,11.36,120,0,0.00,488,12,2.46,52,0,0.00,116,10,8.62,204,2,0.98,116,0,0.00
2004,588,89,15.14,56,30,53.57,208,42,20.19,204,17,8.33,120,0,0.00,672,20,2.98,56,0,0.00,228,18,7.89,272,2,0.74,116,0,0.00
2005,580,79,13.62,60,37,61.67,204,31,15.20,200,11,5.50,116,0,0.00,656,10,1.52,60,0,0.00,212,10,4.72,264,0,0.00,120,0,0.00
2006,600,78,13.00,64,35,54.69,212,31,14.62,204,10,4.90,120,2,1.67,656,6,0.91,60,0,0.00,216,6,2.78,264,0,0.00,116,0,0.00
2007,580,68,11.72,60,29,48.33,204,31,15.20,200,7,3.50,116,1,0.86,648,10,1.54,60,0,0.00,208,8,3.85,264,2,0.76,116,0,0.00
2008,612,62,10.13,60,28,46.67,224,25,11.16,204,8,3.92,124,1,0.81,644,9,1.40,60,0,0.00,208,7,3.37,260,2,0.77,116,0,0.00
2009,600,40,6.67,68,25,36.76,212,11,5.19,204,4,1.96,116,0,0.00,664,14,2.11,68,0,0.00,224,10,4.46,256,4,1.56,116,0,0.00
2010,435,17,3.91,42,5,11.90,153,6,3.92,153,6,3.92,87,0,0.00,480,3,0.63,42,0,0.00,162,0,0.00,189,3,1.59,87,0,0.00
2011,459,15,3.27,48,4,8.33,165,6,3.64,165,5,3.03,81,0,0.00,486,1,0.21,48,0,0.00,168,1,0.60,183,0,0.00,87,0,0.00
2012,447,11,2.46,48,3,6.25,159,4,2.52,159,4,2.52,81,0,0.00,474,2,0.42,48,0,0.00,165,1,0.61,174,0,0.00,87,1,1.15
2013,453,8,1.77,54,3,5.56,159,3,1.89,159,2,1.26,81,0,0.00,477,1,0.21,54,0,0.00,165,1,0.61,171,0,0.00,87,0,0.00
