期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),鋼骨鋼筋混凝土構造_原始值,鋼骨鋼筋混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),混凝土構造_原始值,混凝土構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),鋼構造_原始值,鋼構造_年增率(%),磚構造_原始值,磚構造_年增率(%),磚構造_原始值,磚構造_年增率(%),木構造_原始值,木構造_年增率(%),木構造_原始值,木構造_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%)
2002M01,"2,157,832",...,"12,615,917",...,"776,446",...,"5,648,608",...,"1,261,357",...,"6,536,040",...,"49,067",...,"184,622",...,"26,315",...,"79,069",...,"3,091",...,"10,273",...,"41,556",...,"157,305",...
2002M02,"1,129,542",...,"6,204,358",...,"220,332",...,"1,201,039",...,"699,305",...,"4,286,142",...,"49,447",...,"81,362",...,"53,114",...,"171,597",...,"10,132",...,"29,809",...,"97,212",...,"434,409",...
2002M03,"1,459,553",...,"9,317,789",...,"287,785",...,"2,044,490",...,"1,087,295",...,"6,947,587",...,"18,595",...,"72,777",...,"43,230",...,"125,627",...,"1,180",...,"2,826",...,"21,468",...,"124,482",...
2002M04,"1,803,689",...,"9,989,038",...,"645,153",...,"3,755,061",...,"1,004,232",...,"5,745,053",...,"32,366",...,"108,284",...,"58,168",...,"170,265",...,"4,053",...,"11,578",...,"59,717",...,"198,797",...
2002M05,"1,992,660",...,"12,197,542",...,"432,180",...,"2,607,315",...,"1,420,693",...,"9,149,767",...,"26,911",...,"102,094",...,"27,813",...,"111,720",...,"30,829",...,"43,074",...,"54,234",...,"183,572",...
2002M06,"2,322,855",...,"15,616,397",...,"997,916",...,"7,781,026",...,"1,240,284",...,"7,535,270",...,"33,613",...,"118,125",...,"11,546",...,"44,284",...,"16,620",...,"49,082",...,"22,876",...,"88,610",...
2002M07,"2,183,381",...,"11,964,979",...,"566,323",...,"3,702,226",...,"1,416,597",...,"7,779,461",...,"39,545",...,"149,820",...,"49,387",...,"211,468",...,"90,301",...,"33,443",...,"21,228",...,"88,561",...
2002M08,"1,649,698",...,"9,237,640",...,"222,831",...,"1,548,642",...,"1,243,117",...,"7,018,515",...,"48,260",...,"171,800",...,"95,302",...,"327,313",...,"3,131",...,"8,789",...,"37,057",...,"162,581",...
2002M09,"1,687,870",...,"9,832,221",...,"238,992",...,"1,532,786",...,"1,374,707",...,"7,979,361",...,"43,379",...,"200,146",...,"14,006",...,"47,498",...,375,...,"1,423",...,"16,411",...,"71,007",...
2002M10,"2,402,141",...,"18,622,283",...,"755,627",...,"8,600,311",...,"1,465,522",...,"9,306,896",...,"87,067",...,"316,785",...,"25,448",...,"80,815",...,"6,776",...,"72,896",...,"61,701",...,"244,580",...
