期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
2002M12,378,...,27,...,-,...,8,...,11,...,-,...,3,...,9,...,9,...,19,...,6,...,10,...,-,...,5,...,27,...,9,...,4,...,56,...,76,...,35,...,25,...,9,...,10,...,14,...,6,...,313,...,8,...,-,...,15,...,9,...,1,...,7,...,2,...,6,...,5,...,6,...,6,...,-,...,3,...,18,...,8,...,8,...,47,...,51,...,12,...,12,...,55,...,15,...,8,...,11,...
2003M01,398,11.48,30,50.00,-,--,13,44.44,5,0.00,3,50.00,3,0.00,4,-33.33,9,125.00,12,20.00,3,-57.14,11,120.00,1,0.00,8,166.67,32,23.08,6,0.00,7,16.67,53,10.42,80,1.27,34,17.24,31,-31.11,9,-40.00,19,58.33,11,22.22,14,100.00,374,3.60,15,25.00,1,--,24,20.00,8,-46.67,3,--,8,166.67,12,-14.29,4,-20.00,15,-21.05,7,--,2,-71.43,-,--,5,66.67,36,16.13,10,400.00,6,-14.29,52,0.00,46,-24.59,11,-35.29,8,100.00,55,3.77,12,-20.00,13,44.44,21,75.00
2003M02,205,30.57,17,6.25,-,--,5,150.00,2,-33.33,2,100.00,-,--,2,0.00,3,50.00,6,-14.29,2,0.00,7,40.00,1,-66.67,-,--,24,60.00,4,33.33,6,50.00,30,50.00,43,86.96,12,-25.00,17,0.00,9,200.00,5,66.67,3,200.00,5,-28.57,212,47.22,5,0.00,-,--,9,50.00,7,133.33,3,50.00,2,0.00,7,75.00,2,0.00,10,233.33,1,--,4,33.33,-,--,2,-50.00,15,25.00,6,200.00,6,100.00,37,32.14,32,88.24,14,--,5,400.00,27,-15.62,6,20.00,4,300.00,8,0.00
2003M03,342,3.95,16,33.33,-,--,6,-53.85,14,40.00,-,--,2,0.00,5,-37.50,8,33.33,16,23.08,6,0.00,7,-36.36,-,--,6,0.00,35,20.69,6,-40.00,10,-16.67,51,21.43,79,16.18,25,-7.41,27,8.00,7,40.00,5,-16.67,5,-50.00,6,20.00,415,96.68,19,280.00,-,--,22,450.00,19,72.73,1,-50.00,5,0.00,6,50.00,6,0.00,13,160.00,4,--,11,266.67,-,--,10,900.00,31,63.16,11,"1,000.00",13,44.44,65,96.97,54,116.00,12,"1,100.00",7,133.33,69,53.33,11,57.14,6,-14.29,20,33.33
2003M04,463,21.52,23,53.33,-,--,11,22.22,15,66.67,4,33.33,1,-66.67,9,80.00,12,50.00,21,31.25,3,-25.00,13,-13.33,-,--,5,-44.44,33,37.50,9,-25.00,13,30.00,64,8.47,109,65.15,37,-5.13,28,-9.68,15,-6.25,9,-18.18,14,75.00,15,114.29,468,78.63,15,25.00,-,--,20,66.67,13,160.00,2,--,12,71.43,9,28.57,9,50.00,7,-22.22,1,0.00,11,266.67,1,--,4,33.33,37,48.00,29,314.29,12,140.00,73,55.32,84,110.00,7,133.33,14,--,59,22.92,24,380.00,6,-14.29,19,90.00
2003M05,415,11.26,33,65.00,-,--,13,8.33,12,20.00,3,-25.00,2,100.00,4,100.00,7,75.00,17,41.67,5,0.00,15,-6.25,-,--,5,-28.57,32,6.67,10,66.67,13,225.00,62,6.90,105,40.00,22,-26.67,18,-57.14,7,-46.15,11,37.50,11,22.22,8,100.00,322,-10.06,14,-33.33,-,--,15,50.00,11,175.00,4,-33.33,5,-37.50,5,-66.67,11,57.14,10,-9.09,1,-66.67,5,-28.57,-,--,3,-62.50,30,-18.92,7,75.00,12,33.33,47,-17.54,49,13.95,16,128.57,9,50.00,33,-41.07,13,-7.14,6,0.00,16,-15.79
2003M06,422,23.03,34,30.77,-,--,7,-22.22,22,100.00,3,200.00,3,0.00,6,100.00,14,180.00,13,0.00,2,-60.00,15,36.36,1,-50.00,4,0.00,34,47.83,12,50.00,2,-66.67,68,19.30,89,21.92,29,0.00,26,52.94,9,-35.71,8,-11.11,11,175.00,10,0.00,342,46.78,8,33.33,-,--,11,-8.33,16,166.67,4,33.33,5,0.00,12,33.33,-,--,11,0.00,4,300.00,7,-36.36,2,--,3,50.00,35,84.21,6,50.00,2,-66.67,53,6.00,71,208.70,11,175.00,11,266.67,40,8.11,9,-10.00,7,75.00,14,180.00
2003M07,478,7.66,35,20.69,-,--,8,-20.00,15,25.00,3,-25.00,4,33.33,6,100.00,5,0.00,20,5.26,7,-12.50,10,66.67,-,--,4,-63.64,48,60.00,16,60.00,10,11.11,62,-4.62,109,36.25,36,5.88,28,-31.71,17,-39.29,14,-6.67,9,12.50,12,-14.29,"1,228",314.86,170,"2,025.00",-,--,50,284.62,83,937.50,10,400.00,50,900.00,24,242.86,26,420.00,58,480.00,14,600.00,17,240.00,2,--,6,200.00,69,165.38,35,337.50,27,200.00,97,53.97,134,306.06,59,"1,080.00",30,500.00,78,56.00,49,390.00,32,540.00,108,620.00
2003M08,537,23.73,42,44.83,-,--,14,55.56,10,-16.67,8,166.67,8,700.00,3,-25.00,4,300.00,23,27.78,2,-75.00,11,-26.67,1,-50.00,8,33.33,35,-18.60,13,62.50,12,33.33,93,43.08,117,15.84,39,116.67,38,0.00,28,33.33,10,66.67,6,-14.29,12,20.00,415,22.06,13,116.67,-,--,18,-5.26,13,85.71,6,20.00,10,42.86,7,133.33,14,75.00,24,242.86,4,--,7,-22.22,1,--,6,200.00,30,0.00,13,85.71,7,-22.22,50,-26.47,75,141.94,30,150.00,22,"1,000.00",28,-60.00,17,13.33,4,33.33,16,-20.00
2003M09,469,43.87,32,-5.88,-,--,14,16.67,10,25.00,6,200.00,8,300.00,6,500.00,8,60.00,19,111.11,7,16.67,20,185.71,-,--,2,-66.67,32,68.42,11,22.22,9,0.00,78,56.00,104,89.09,28,-9.68,24,-11.11,13,30.00,10,-23.08,12,140.00,16,166.67,389,52.55,17,325.00,-,--,20,66.67,7,0.00,9,800.00,17,466.67,12,71.43,7,250.00,19,280.00,5,66.67,11,"1,000.00",2,--,5,400.00,30,87.50,7,40.00,11,83.33,60,39.53,66,65.00,17,70.00,18,50.00,20,-57.45,17,41.67,6,50.00,6,-57.14
