期間,證券投資--小計_原始值,證券投資--小計_年增率(%),證券投資--政府債券_原始值,證券投資--政府債券_年增率(%),證券投資--金融機構債券_原始值,證券投資--金融機構債券_年增率(%),證券投資--公司債_原始值,證券投資--公司債_年增率(%),證券投資--可轉讓定期存單_原始值,證券投資--可轉讓定期存單_年增率(%),證券投資--商業本票_原始值,證券投資--商業本票_年增率(%),證券投資--承兌匯票_原始值,證券投資--承兌匯票_年增率(%),存放銀行_原始值,存放銀行_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),借入款_原始值,借入款_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%),保證_原始值,保證_年增率(%),附買回交易_原始值,附買回交易_年增率(%)
1997,"625,999",907.55,"237,684","2,397.47","1,708",-3.28,"14,590",43.26,"59,251",846.96,"297,510",852.43,"15,256",381.26,"48,842",-5.44,2,0.00,"674,843",493.08,"41,247",-20.76,"96,243",35.48,"537,353",--,"612,384",5.48,"578,051",15.16
1998,"766,085",22.38,"249,579",5.00,"1,993",16.69,"18,049",23.71,"41,356",-30.20,"451,308",51.70,"3,800",-75.09,"61,242",25.39,3,50.00,"827,330",22.60,"68,850",66.92,"106,279",10.43,"652,201",21.37,"681,019",11.21,"680,373",17.70
1999,"913,443",19.24,"325,188",30.29,"1,641",-17.66,"15,162",-16.00,"87,484",111.54,"481,498",6.69,"2,470",-35.00,"44,687",-27.03,3,0.00,"958,133",15.81,"62,227",-9.62,"126,720",19.23,"769,186",17.94,"647,514",-4.92,"794,255",16.74
2000,"965,048",5.65,"366,955",12.84,170,-89.64,"10,110",-33.32,"93,680",7.08,"492,011",2.18,"2,122",-14.09,"47,779",6.92,3,0.00,"1,012,830",5.71,"47,157",-24.22,"133,255",5.16,"832,418",8.22,"603,202",-6.84,"867,576",9.23
2001,"940,094",-2.59,"391,269",6.63,430,152.94,"4,363",-56.84,"84,995",-9.27,"457,083",-7.10,"1,954",-7.92,"67,320",40.90,3,0.00,"1,007,417",-0.53,"71,076",50.72,"127,211",-4.54,"809,130",-2.80,"564,175",-6.47,"845,834",-2.51
2002,"951,388",1.20,"449,807",14.96,"18,777","4,266.74","5,677",30.12,"90,950",7.01,"384,480",-15.88,"1,697",-13.15,"47,328",-29.70,3,0.00,"998,719",-0.86,"61,315",-13.73,"124,228",-2.34,"813,176",0.50,"517,921",-8.20,"842,021",-0.45
2003,"1,008,211",5.97,"507,876",12.91,"30,321",61.48,"8,800",55.01,"128,808",41.63,"330,758",-13.97,"1,648",-2.89,"65,966",39.38,"64,263","2,142,001.17","1,138,440",13.99,"73,814",20.38,"135,656",9.20,"55,840",-93.13,"490,416",-5.31,"873,130",3.69
2004,"1,005,513",-0.27,"460,535",-9.32,"51,525",69.93,"38,872",341.73,"120,042",-6.81,"334,087",1.01,452,-72.57,"75,385",14.28,"62,436",-2.84,"1,143,333",0.43,"58,909",-20.19,"139,195",2.61,"-2,944",--,"498,002",1.55,"948,173",8.59
2005,"1,144,945",13.87,"473,983",2.92,"84,778",64.54,"82,679",112.70,"109,139",-9.08,"393,946",17.92,420,-7.08,"96,917",28.56,"70,243",12.50,"1,312,104",14.76,"101,498",72.30,"137,738",-1.05,-231,--,"478,461",-3.92,"1,073,099",13.18
2006,"1,080,849",-5.60,"438,008",-7.59,"80,513",-5.03,"110,952",34.20,"115,291",5.64,"335,272",-14.89,813,93.57,"62,393",-35.62,"26,596",-62.14,"1,169,837",-10.84,"86,116",-15.15,"128,556",-6.67,"-9,835",--,"442,968",-7.42,"965,000",-10.07
