期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),金屬、機械加工類_原始值,金屬、機械加工類_年增率(%),金屬、機械加工類_原始值,金屬、機械加工類_年增率(%),焊接、配管類_原始值,焊接、配管類_年增率(%),焊接、配管類_原始值,焊接、配管類_年增率(%),電機、電匠類_原始值,電機、電匠類_年增率(%),電機、電匠類_原始值,電機、電匠類_年增率(%),電子、儀表類_原始值,電子、儀表類_年增率(%),電子、儀表類_原始值,電子、儀表類_年增率(%),營建、土木類_原始值,營建、土木類_年增率(%),營建、土木類_原始值,營建、土木類_年增率(%),紡織、服飾類_原始值,紡織、服飾類_年增率(%),紡織、服飾類_原始值,紡織、服飾類_年增率(%),印刷、製版類_原始值,印刷、製版類_年增率(%),印刷、製版類_原始值,印刷、製版類_年增率(%),電腦設計類_原始值,電腦設計類_年增率(%),電腦設計類_原始值,電腦設計類_年增率(%),美容、美髮及其他服務類_原始值,美容、美髮及其他服務類_年增率(%),美容、美髮及其他服務類_原始值,美容、美髮及其他服務類_年增率(%),其他技工類_原始值,其他技工類_年增率(%),其他技工類_原始值,其他技工類_年增率(%),漁業人員_原始值,漁業人員_年增率(%),漁業人員_原始值,漁業人員_年增率(%)
1989,"20,664",...,"20,133",...,...,...,"6,431",...,...,...,"1,006",...,...,...,"2,704",...,...,...,"1,891",...,...,...,"1,152",...,...,...,457,...,...,...,"2,288",...,...,...,"1,900",...,...,...,"1,079",...,...,...,353,...,...,...,872,...
1990,"23,023",11.42,"22,221",10.37,"7,123",...,"6,929",7.74,745,...,711,-29.32,"2,953",...,"3,050",12.80,"2,171",...,"2,117",11.95,"1,167",...,"1,039",-9.81,513,...,487,6.56,286,...,270,-88.20,"3,897",...,"3,781",99.00,"2,153",...,"1,951",80.82,276,...,302,-14.45,"1,739",...,"1,584",81.65
1991,"22,773",-1.09,"21,521",-3.15,"6,365",-10.64,"6,107",-11.86,888,19.19,893,25.60,"3,253",10.16,"2,801",-8.16,"2,648",21.97,"2,480",17.15,"1,585",35.82,"1,432",37.82,569,10.92,503,3.29,239,-16.43,236,-12.59,"3,898",0.03,"3,778",-0.08,"1,837",-14.68,"1,872",-4.05,516,86.96,518,71.52,975,-43.93,901,-43.12
1992,"23,809",4.55,"23,793",10.56,"6,904",8.47,"6,795",11.27,949,6.87,926,3.70,"3,918",20.44,"3,902",39.31,"2,044",-22.81,"2,082",-16.05,"1,669",5.30,"1,675",16.97,638,12.13,711,41.35,188,-21.34,238,0.85,"4,034",3.49,"3,947",4.47,"2,162",17.69,"2,275",21.53,279,-45.93,279,-46.14,"1,024",5.03,963,6.88
1993,"24,068",1.09,"22,783",-4.24,"7,728",11.94,"7,165",5.45,745,-21.50,645,-30.35,"4,101",4.67,"3,789",-2.90,"2,024",-0.98,"2,008",-3.55,"1,837",10.07,"1,746",4.24,612,-4.08,658,-7.45,348,85.11,373,56.72,"3,108",-22.95,"2,984",-24.40,"2,423",12.07,"2,371",4.22,365,30.82,346,24.01,777,-24.12,698,-27.52
1994,"23,488",-2.41,"21,471",-5.76,"7,092",-8.23,"7,165",0.00,572,-23.22,580,-10.08,"3,876",-5.49,"3,379",-10.82,"2,066",2.08,"1,687",-15.99,"1,863",1.42,"1,652",-5.38,647,5.72,454,-31.00,397,14.08,283,-24.13,"2,942",-5.34,"2,554",-14.41,"2,540",4.83,"2,300",-2.99,769,110.68,736,112.72,724,-6.82,681,-2.44
1995,"22,792",-2.96,"21,038",-2.02,"6,430",-9.33,"5,945",-17.03,702,22.73,615,6.03,"3,868",-0.21,"3,674",8.73,"2,153",4.21,"2,096",24.24,"1,796",-3.60,"1,539",-6.84,631,-2.47,575,26.65,358,-9.82,341,20.49,"3,005",2.14,"2,677",4.82,"2,470",-2.76,"2,213",-3.78,630,-18.08,658,-10.60,749,3.45,705,3.52
1996,"26,978",18.37,"24,657",17.20,"7,221",12.30,"6,460",8.66,887,26.35,702,14.15,"4,070",5.22,"3,741",1.82,"2,589",20.25,"2,471",17.89,"1,819",1.28,"1,696",10.20,654,3.65,617,7.30,313,-12.57,325,-4.69,"4,158",38.37,"3,637",35.86,"2,733",10.65,"2,594",17.22,"1,885",199.21,"1,820",176.60,649,-13.35,594,-15.74
1997,"29,775",10.37,"28,253",14.58,"7,717",6.87,"7,342",13.65,966,8.91,917,30.63,"4,309",5.87,"4,184",11.84,"2,026",-21.75,"1,922",-22.22,"1,653",-9.13,"1,674",-1.30,645,-1.38,569,-7.78,337,7.67,278,-14.46,"4,794",15.30,"4,407",21.17,"3,419",25.10,"3,151",21.47,"3,143",66.74,"3,071",68.74,766,18.03,738,24.24
1998,"31,381",5.39,"29,823",5.56,"7,930",2.76,"7,423",1.10,"1,016",5.18,966,5.34,"4,098",-4.90,"3,782",-9.61,"2,356",16.29,"2,135",11.08,"1,542",-6.72,"1,460",-12.78,668,3.57,646,13.53,362,7.42,378,35.97,"5,962",24.36,"5,565",26.28,"3,329",-2.63,"3,333",5.78,"3,143",0.00,"3,139",2.21,975,27.28,996,34.96
