期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2000,"481,573",...,"295,530",...,"185,270",...,-,...,773,...,"234,429",...,"144,371",...,"89,748",...,-,...,310,...,"247,144",...,"151,159",...,"95,522",...,-,...,463,...
2001,"550,578",14.33,"339,426",14.85,"190,538",2.84,"2,138",--,"18,476","2,290.17","264,606",12.87,"164,249",13.77,"89,891",0.16,"1,228",--,"9,238","2,880.00","285,972",15.71,"175,177",15.89,"100,647",5.37,910,--,"9,238","1,895.25"
2002,"464,829",-15.57,"286,081",-15.72,"162,332",-14.80,404,-81.10,"16,012",-13.34,"222,260",-16.00,"134,403",-18.17,"79,660",-11.38,191,-84.45,"8,006",-13.34,"242,569",-15.18,"151,678",-13.41,"82,672",-17.86,213,-76.59,"8,006",-13.34
2003,"362,521",-22.01,"183,593",-35.82,"150,073",-7.55,"1,683",316.58,"27,172",69.70,"174,184",-21.63,"84,170",-37.37,"74,840",-6.05,822,330.37,"14,352",79.27,"188,337",-22.36,"99,423",-34.45,"75,233",-9.00,861,304.23,"12,820",60.13
2004,"394,000",8.68,"182,188",-0.77,"187,039",24.63,"1,326",-21.21,"23,447",-13.71,"180,644",3.71,"84,810",0.76,"82,818",10.66,663,-19.34,"12,353",-13.93,"213,356",13.28,"97,378",-2.06,"104,221",38.53,663,-23.00,"11,094",-13.46
2005,"405,395",2.89,"184,734",1.40,"166,561",-10.95,"5,193",291.63,"48,907",108.59,"193,545",7.14,"85,095",0.34,"80,364",-2.96,"2,898",337.10,"25,188",103.90,"211,850",-0.71,"99,639",2.32,"86,197",-17.29,"2,295",246.15,"23,719",113.80
2006,"314,699",-22.37,"116,334",-37.03,"131,345",-21.14,"13,394",157.92,"53,626",9.65,"148,548",-23.25,"51,498",-39.48,"62,563",-22.15,"6,653",129.57,"27,834",10.51,"166,151",-21.57,"64,836",-34.93,"68,782",-20.20,"6,741",193.73,"25,792",8.74
2007,"425,839",35.32,"272,492",134.23,"122,189",-6.97,"10,739",-19.82,"20,419",-61.92,"206,069",38.72,"130,075",152.58,"59,744",-4.51,"5,654",-15.02,"10,596",-61.93,"219,770",32.27,"142,417",119.66,"62,445",-9.21,"5,085",-24.57,"9,823",-61.91
2008,"506,629",18.97,"356,405",30.79,"120,976",-0.99,"10,310",-3.99,"18,938",-7.25,"242,119",17.49,"171,489",31.84,"56,027",-6.22,"5,028",-11.07,"9,575",-9.64,"264,510",20.36,"184,916",29.84,"64,949",4.01,"5,282",3.87,"9,363",-4.68
2009,"575,754",13.64,"384,149",7.78,"118,312",-2.20,"41,108",298.72,"32,185",69.95,"277,726",14.71,"185,913",8.41,"54,652",-2.45,"20,941",316.49,"16,220",69.40,"298,028",12.67,"198,236",7.20,"63,660",-1.98,"20,167",281.81,"15,965",70.51
2010,"669,637",16.31,"449,033",16.89,"144,233",21.91,"60,700",47.66,"15,671",-51.31,"325,265",17.12,"219,508",18.07,"67,490",23.49,"30,423",45.28,"7,844",-51.64,"344,372",15.55,"229,525",15.78,"76,743",20.55,"30,277",50.13,"7,827",-50.97
2011,"664,789",-0.72,"461,112",2.69,"125,815",-12.77,"63,740",5.01,"14,122",-9.88,"324,342",-0.28,"223,623",1.87,"60,746",-9.99,"32,891",8.11,"7,082",-9.71,"340,447",-1.14,"237,489",3.47,"65,069",-15.21,"30,849",1.89,"7,040",-10.05
2012,"699,133",5.17,"427,845",-7.21,"119,374",-5.12,"138,284",116.95,"13,630",-3.48,"345,899",6.65,"207,349",-7.28,"58,360",-3.93,"73,296",122.85,"6,894",-2.65,"353,234",3.76,"220,496",-7.16,"61,014",-6.23,"64,988",110.66,"6,736",-4.32
2013,"991,172",41.77,"524,608",22.62,...,--,...,--,...,--,"491,745",42.16,"257,342",24.11,"67,865",16.29,...,--,...,--,"499,427",41.39,"267,266",21.21,"73,254",20.06,"82,841",27.47,"76,066","1,029.25"
