期間,合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),合計_死亡人數(人),合計_順位,合計_死亡率(每十萬人口),合計_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),男_死亡人數(人),男_順位,男_死亡率(每十萬人口),男_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口),女_死亡人數(人),女_順位,女_死亡率(每十萬人口),女_標準化死亡率(每十萬人口)
2012,"153,823",-,661.0,450.6,"43,665",1,187.6,131.3,"17,121",2,73.6,47.9,"11,061",3,47.5,30.8,"9,281",5,39.9,26.5,"9,314",4,40.0,24.4,"6,873",6,29.5,23.8,"6,326",7,27.2,16.4,"4,986",8,21.4,13.3,"4,975",9,21.4,15.6,"4,327",10,18.6,12.1,"3,766",11,16.2,13.1,"3,671",12,15.8,10.0,"93,197",-,799.3,573.1,"27,270",1,233.9,170.4,"10,252",2,87.9,61.1,"6,426",3,55.1,38.3,"4,599",7,39.4,28.0,"5,764",4,49.4,31.8,"4,950",5,42.4,34.9,"4,685",6,40.2,25.5,"2,515",9,21.6,14.3,"3,572",8,30.6,23.3,"2,240",11,19.2,13.2,"2,430",10,20.8,17.0,"2,132",12,18.3,12.2,"60,626",-,522.2,335.4,"16,395",1,141.2,95.1,"6,869",2,59.2,35.5,"4,635",4,39.9,23.9,"4,682",3,40.3,24.9,"3,550",5,30.6,17.5,"1,923",8,16.6,12.8,"1,641",9,14.1,8.1,"2,471",6,21.3,12.3,"1,403",11,12.1,8.1,"2,087",7,18.0,11.1,"1,336",12,11.5,9.3,"1,539",10,13.2,7.9
2013,"154,374",-,661.3,435.3,"44,791",1,191.9,130.4,"17,694",2,75.8,47.7,"11,313",3,48.5,30.3,"9,438",4,40.4,25.8,"9,042",5,38.7,22.5,"6,619",6,28.4,22.4,"5,959",7,25.5,14.9,"5,033",8,21.6,12.9,"4,843",9,20.8,14.8,"4,489",10,19.2,11.9,"3,565",11,15.3,12.0,"3,446",12,14.8,9.0,"93,340",-,799.2,556.6,"27,883",1,238.7,169.4,"10,559",2,90.4,61.2,"6,599",3,56.5,38.0,"4,653",6,39.8,27.5,"5,680",4,48.6,30.1,"4,733",5,40.5,32.8,"4,408",7,37.7,23.2,"2,535",9,21.7,14.1,"3,513",8,30.1,22.4,"2,257",11,19.3,12.8,"2,388",10,20.4,16.3,"2,081",12,17.8,11.6,"61,034",-,523.2,322.0,"16,908",1,144.9,94.7,"7,135",2,61.2,35.1,"4,714",4,40.4,23.2,"4,785",3,41.0,24.2,"3,362",5,28.8,15.5,"1,886",8,16.2,12.2,"1,551",9,13.3,7.3,"2,498",6,21.4,11.7,"1,330",11,11.4,7.4,"2,232",7,19.1,11.2,"1,177",12,10.1,7.8,"1,365",10,11.7,6.7
