期間,中東_原始值,中東_年增率(%),中東_原始值,中東_年增率(%),中東_原始值,中東_年增率(%),中東_原始值,中東_年增率(%),阿富汗_原始值,阿富汗_年增率(%),阿富汗_原始值,阿富汗_年增率(%),阿富汗_原始值,阿富汗_年增率(%),阿富汗_原始值,阿富汗_年增率(%),巴林_原始值,巴林_年增率(%),巴林_原始值,巴林_年增率(%),巴林_原始值,巴林_年增率(%),巴林_原始值,巴林_年增率(%),塞普勒斯_原始值,塞普勒斯_年增率(%),塞普勒斯_原始值,塞普勒斯_年增率(%),塞普勒斯_原始值,塞普勒斯_年增率(%),塞普勒斯_原始值,塞普勒斯_年增率(%),伊朗_原始值,伊朗_年增率(%),伊朗_原始值,伊朗_年增率(%),伊朗_原始值,伊朗_年增率(%),伊朗_原始值,伊朗_年增率(%),伊拉克_原始值,伊拉克_年增率(%),伊拉克_原始值,伊拉克_年增率(%),伊拉克_原始值,伊拉克_年增率(%),伊拉克_原始值,伊拉克_年增率(%),以色列_原始值,以色列_年增率(%),以色列_原始值,以色列_年增率(%),以色列_原始值,以色列_年增率(%),以色列_原始值,以色列_年增率(%),約旦_原始值,約旦_年增率(%),約旦_原始值,約旦_年增率(%),約旦_原始值,約旦_年增率(%),約旦_原始值,約旦_年增率(%),科威特_原始值,科威特_年增率(%),科威特_原始值,科威特_年增率(%),科威特_原始值,科威特_年增率(%),科威特_原始值,科威特_年增率(%),黎巴嫩_原始值,黎巴嫩_年增率(%),黎巴嫩_原始值,黎巴嫩_年增率(%),黎巴嫩_原始值,黎巴嫩_年增率(%),黎巴嫩_原始值,黎巴嫩_年增率(%),阿曼_原始值,阿曼_年增率(%),阿曼_原始值,阿曼_年增率(%),阿曼_原始值,阿曼_年增率(%),阿曼_原始值,阿曼_年增率(%),卡達_原始值,卡達_年增率(%),卡達_原始值,卡達_年增率(%),卡達_原始值,卡達_年增率(%),卡達_原始值,卡達_年增率(%),沙烏地阿拉伯_原始值,沙烏地阿拉伯_年增率(%),沙烏地阿拉伯_原始值,沙烏地阿拉伯_年增率(%),沙烏地阿拉伯_原始值,沙烏地阿拉伯_年增率(%),沙烏地阿拉伯_原始值,沙烏地阿拉伯_年增率(%),敘利亞_原始值,敘利亞_年增率(%),敘利亞_原始值,敘利亞_年增率(%),敘利亞_原始值,敘利亞_年增率(%),敘利亞_原始值,敘利亞_年增率(%),土耳其_原始值,土耳其_年增率(%),土耳其_原始值,土耳其_年增率(%),土耳其_原始值,土耳其_年增率(%),土耳其_原始值,土耳其_年增率(%),阿拉伯聯合大公國_原始值,阿拉伯聯合大公國_年增率(%),阿拉伯聯合大公國_原始值,阿拉伯聯合大公國_年增率(%),阿拉伯聯合大公國_原始值,阿拉伯聯合大公國_年增率(%),阿拉伯聯合大公國_原始值,阿拉伯聯合大公國_年增率(%),葉門_原始值,葉門_年增率(%),葉門_原始值,葉門_年增率(%),葉門_原始值,葉門_年增率(%),葉門_原始值,葉門_年增率(%)
2000,"79,294",10.46,"2,548,746",14.38,"210,742",59.04,"6,743,442",64.02,0,-100.00,34,-81.32,0,--,17,466.67,484,-5.84,"15,547",-2.81,"3,518",0.06,"112,631",3.36,"1,038",-9.19,"33,438",-5.58,60,114.29,"1,934",117.55,"3,594",15.45,"115,371",19.19,"31,145",66.93,"997,102",72.39,91,--,"2,785","278,400.00","7,723",-31.52,"250,484",-28.40,"13,672",28.84,"438,893",33.36,"13,581",43.90,"434,481",48.72,"1,670",7.26,"53,776",11.37,580,65.24,"18,524",70.95,"2,087",-6.12,"67,043",-2.84,"30,855",135.14,"982,191",141.43,"1,855",-14.28,"59,681",-11.05,25,78.57,811,74.41,624,21.88,"20,025",26.28,"12,330",17.14,"399,028",21.77,530,-4.33,"17,033",-0.72,"1,425",34.05,"45,584",38.42,"10,947",-11.35,"351,664",-8.23,"85,140",90.73,"2,721,008",96.52,"3,241",8.14,"103,745",11.36,3,--,136,216.28,"14,076",38.37,"453,061",43.43,"2,508",72.02,"79,975",77.70,"24,911",6.82,"801,393",10.68,"19,611",19.06,"627,311",22.59,474,-13.50,"15,257",-10.43,"2,238",14.77,"72,225",18.37
2001,"75,481",-4.81,"2,239,550",-12.13,"223,478",6.04,"6,608,650",-2.00,0,--,26,-23.53,0,--,2,-88.24,558,15.29,"16,588",6.70,"4,655",32.32,"138,140",22.65,"2,124",104.62,"62,282",86.26,31,-48.33,917,-52.59,"5,530",53.87,"163,695",41.89,"29,987",-3.72,"889,265",-10.82,10,-89.01,277,-90.05,"7,572",-1.96,"221,012",-11.77,"10,330",-24.44,"307,689",-29.89,"10,990",-19.08,"326,338",-24.89,"2,436",45.87,"72,303",34.45,381,-34.31,"11,213",-39.47,"2,126",1.87,"62,956",-6.10,"38,346",24.28,"1,130,414",15.09,"1,893",2.05,"56,302",-5.66,20,-20.00,568,-29.96,622,-0.32,"18,530",-7.47,"4,434",-64.04,"132,474",-66.80,671,26.60,"20,022",17.55,"2,272",59.44,"67,736",48.60,"11,653",6.45,"345,393",-1.78,"92,923",9.14,"2,746,035",0.92,"3,527",8.82,"104,348",0.58,230,"7,566.67","6,978","5,030.88","7,563",-46.27,"224,385",-50.47,"2,993",19.34,"88,798",11.03,"25,818",3.64,"766,357",-4.37,"26,229",33.75,"775,445",23.61,620,30.80,"18,397",20.58,"2,415",7.91,"73,315",1.51
2002,"83,139",10.15,"2,409,650",7.60,"250,932",12.28,"7,254,743",9.78,1,--,59,126.92,0,--,0,-100.00,545,-2.33,"15,828",-4.58,"4,222",-9.30,"122,206",-11.53,"2,065",-2.78,"60,651",-2.62,37,19.35,"1,080",17.78,"6,795",22.88,"197,147",20.44,"26,407",-11.94,"763,229",-14.17,15,50.00,458,65.34,"27,063",257.41,"780,874",253.32,"9,242",-10.53,"267,636",-13.02,"11,962",8.84,"346,065",6.04,"3,914",60.67,"113,409",56.85,308,-19.16,"8,873",-20.87,"2,587",21.68,"74,941",19.04,"44,637",16.41,"1,288,812",14.01,"1,548",-18.23,"44,849",-20.34,15,-25.00,477,-16.02,385,-38.10,"11,162",-39.76,"17,811",301.69,"518,950",291.74,566,-15.65,"16,454",-17.82,"2,926",28.79,"84,624",24.93,"11,599",-0.46,"336,255",-2.65,"83,308",-10.35,"2,407,270",-12.34,"3,668",4.00,"106,034",1.62,52,-77.39,"1,511",-78.35,"14,172",87.39,"410,676",83.02,"8,767",192.92,"254,392",186.48,"25,584",-0.91,"740,946",-3.32,"20,827",-20.60,"600,767",-22.53,453,-26.94,"13,145",-28.55,"2,590",7.25,"75,613",3.13
2003,"94,539",13.71,"2,752,700",14.24,"359,196",43.14,"10,423,754",43.68,2,100.00,62,5.08,0,--,32,--,647,18.72,"18,766",18.56,"5,611",32.90,"162,713",33.15,"1,039",-49.69,"30,306",-50.03,26,-29.73,714,-33.89,"8,722",28.36,"253,848",28.76,"64,809",145.42,"1,879,941",146.31,18,20.00,525,14.63,"12,996",-51.98,"378,639",-51.51,"10,398",12.51,"302,766",13.13,"11,522",-3.68,"334,787",-3.26,"4,328",10.58,"125,830",10.95,488,58.44,"14,187",59.89,"2,818",8.93,"82,005",9.43,"68,997",54.57,"2,002,271",55.36,"1,515",-2.13,"44,183",-1.48,22,46.67,649,36.06,478,24.16,"13,868",24.24,"3,747",-78.96,"108,706",-79.05,461,-18.55,"13,379",-18.69,"5,982",104.44,"174,195",105.85,"12,433",7.19,"361,874",7.62,"147,413",76.95,"4,276,038",77.63,"3,354",-8.56,"97,733",-7.83,424,715.38,"12,415",721.64,"20,754",46.44,"604,753",47.26,"5,260",-40.00,"152,500",-40.05,"26,985",5.48,"785,704",6.04,"31,870",53.02,"925,145",53.99,587,29.58,"17,098",30.07,29,-98.88,822,-98.91
2004,"122,655",29.74,"3,669,683",33.31,"469,734",30.77,"14,028,569",34.58,11,450.00,342,451.61,1,--,27,-15.63,574,-11.28,"17,176",-8.47,"4,981",-11.23,"149,301",-8.24,"1,062",2.21,"31,753",4.77,87,234.62,"2,573",260.36,"11,250",28.98,"336,863",32.70,"68,809",6.17,"2,054,091",9.26,20,11.11,605,15.24,"18,131",39.51,"543,341",43.50,"12,743",22.55,"381,378",25.96,"20,666",79.36,"616,145",84.04,"4,358",0.69,"130,439",3.66,663,35.86,"19,796",39.54,"3,336",18.38,"99,779",21.67,"92,765",34.45,"2,770,157",38.35,"1,861",22.84,"55,675",26.01,108,390.91,"3,228",397.38,418,-12.55,"12,473",-10.06,"16,044",328.18,"475,837",337.73,551,19.52,"16,472",23.12,"7,768",29.86,"231,419",32.85,"14,397",15.80,"430,397",18.94,"186,014",26.19,"5,558,950",30.00,"3,468",3.40,"103,743",6.15,382,-9.91,"11,430",-7.93,"31,022",49.47,"928,533",53.54,"8,843",68.12,"264,329",73.33,"36,864",36.61,"1,102,576",40.33,"44,415",39.36,"1,326,238",43.35,720,22.66,"21,479",25.62,57,96.55,"1,707",107.66
2005,"133,575",8.90,"4,156,825",13.27,"617,125",31.38,"19,152,512",36.53,12,9.09,454,32.75,0,-100.00,2,-92.59,606,5.57,"18,906",10.07,"6,468",29.85,"199,727",33.77,"1,065",0.28,"33,230",4.65,55,-36.78,"1,753",-31.87,"11,274",0.21,"350,494",4.05,"79,429",15.43,"2,468,002",20.15,80,300.00,"2,478",309.59,"23,618",30.26,"732,207",34.76,"13,196",3.55,"411,182",7.81,"21,041",1.81,"654,734",6.26,"5,390",23.68,"168,225",28.97,"1,009",52.19,"31,195",57.58,"3,698",10.85,"115,221",15.48,"138,373",49.17,"4,295,825",55.08,"1,503",-19.24,"46,738",-16.05,109,0.93,"3,416",5.82,513,22.73,"16,048",28.66,"25,122",56.58,"783,002",64.55,"1,033",87.48,"31,972",94.10,"24,176",211.23,"745,020",221.94,"15,891",10.38,"495,947",15.23,"239,846",28.94,"7,437,249",33.79,"3,730",7.55,"116,141",11.95,19,-95.03,643,-94.37,"40,941",31.97,"1,269,143",36.68,"3,245",-63.30,"100,915",-61.82,"34,052",-7.63,"1,062,260",-3.66,"54,532",22.78,"1,696,242",27.90,591,-17.92,"18,386",-14.40,83,45.61,"2,580",51.14
2006,"145,016",8.57,"4,461,902",7.34,"811,192",31.45,"24,916,352",30.09,11,-8.33,318,-29.96,0,--,1,-50.00,724,19.47,"22,308",17.99,"8,400",29.87,"257,248",28.80,"1,136",6.67,"35,025",5.40,47,-14.55,"1,465",-16.43,"16,650",47.68,"511,593",45.96,"94,702",19.23,"2,906,937",17.79,189,136.25,"5,840",135.67,"28,522",20.76,"876,165",19.66,"15,200",15.19,"467,785",13.77,"20,622",-1.99,"633,819",-3.19,"5,528",2.56,"170,222",1.19,894,-11.40,"27,333",-12.38,"3,530",-4.54,"108,671",-5.68,"162,843",17.68,"5,007,826",16.57,"1,713",13.97,"52,727",12.81,242,122.02,"7,432",117.56,771,50.29,"23,774",48.14,"33,453",33.16,"1,024,518",30.84,"1,142",10.55,"35,093",9.76,"37,660",55.77,"1,157,397",55.35,"17,226",8.40,"529,766",6.82,"317,712",32.46,"9,760,161",31.23,"4,258",14.16,"131,389",13.13,845,"4,347.37","26,100","3,959.10","39,783",-2.83,"1,223,725",-3.58,"3,444",6.13,"105,937",4.98,"36,510",7.22,"1,123,814",5.79,"101,417",85.98,"3,112,161",83.47,645,9.14,"19,852",7.97,389,368.67,"11,852",359.38
2007,"182,443",25.81,"5,563,232",24.68,"914,817",12.77,"27,825,870",11.68,13,18.18,437,37.42,1,--,24,"2,300.00",860,18.78,"26,199",17.44,"12,666",50.79,"385,249",49.76,"1,458",28.35,"44,426",26.84,"6,305","13,314.89","190,161","12,880.27","19,320",16.04,"589,775",15.28,"107,244",13.24,"3,260,331",12.16,173,-8.47,"5,281",-9.57,"67,129",135.36,"2,046,770",133.61,"17,665",16.22,"538,528",15.12,"19,546",-5.22,"593,879",-6.30,"6,074",9.88,"185,140",8.76,743,-16.89,"22,613",-17.27,"4,216",19.43,"128,584",18.32,"188,614",15.83,"5,742,741",14.68,"2,157",25.92,"65,758",24.71,79,-67.36,"2,384",-67.92,"1,082",40.34,"33,016",38.87,"27,240",-18.57,"827,427",-19.24,"1,565",37.04,"47,723",35.99,"22,661",-39.83,"688,706",-40.50,"24,059",39.67,"733,156",38.39,"342,319",7.75,"10,409,566",6.65,"5,309",24.68,"161,846",23.18,51,-93.96,"1,530",-94.14,"49,037",23.26,"1,495,661",22.22,"5,691",65.24,"173,185",63.48,"48,612",33.15,"1,482,017",31.87,"114,353",12.76,"3,476,023",11.69,843,30.70,"25,685",29.38,175,-55.01,"5,281",-55.44
2008,"179,322",-1.71,"5,714,500",2.72,"1,219,712",33.33,"38,932,912",39.92,13,0.00,402,-8.01,0,-100.00,11,-54.17,"1,324",53.95,"42,297",61.45,"12,624",-0.33,"401,739",4.28,"1,549",6.24,"49,401",11.20,166,-97.37,"5,294",-97.22,"17,687",-8.45,"563,247",-4.50,"158,633",47.92,"5,039,131",54.56,269,55.49,"8,555",62.00,"68,096",1.44,"2,192,023",7.10,"16,070",-9.03,"511,807",-4.96,"16,633",-14.90,"528,082",-11.08,"5,912",-2.67,"188,502",1.82,"1,998",168.91,"61,752",173.08,"4,452",5.60,"141,663",10.17,"253,208",34.25,"8,074,201",40.60,"2,639",22.35,"84,045",27.81,219,177.22,"6,987",193.08,"1,662",53.60,"52,876",60.15,"37,336",37.06,"1,180,635",42.69,"2,503",59.94,"79,532",66.65,"40,747",79.81,"1,304,756",89.45,"31,118",29.34,"991,989",35.30,"474,579",38.64,"15,172,687",45.76,"5,248",-1.15,"167,685",3.61,917,"1,698.04","28,636","1,771.63","39,248",-19.96,"1,252,668",-16.25,"9,582",68.37,"306,709",77.10,"48,625",0.03,"1,547,908",4.45,"144,358",26.24,"4,610,994",32.65,"1,001",18.74,"31,868",24.07,616,252.00,"19,259",264.68
2009,"150,941",-15.83,"4,582,766",-19.80,"742,783",-39.10,"22,513,091",-42.17,17,30.77,497,23.63,0,--,7,-36.36,863,-34.82,"26,096",-38.30,"8,983",-28.84,"271,118",-32.51,"1,168",-24.60,"35,473",-28.19,115,-30.72,"3,454",-34.76,"18,771",6.13,"571,382",1.44,"65,213",-58.89,"1,974,532",-60.82,316,17.47,"9,571",11.88,"64,852",-4.76,"1,973,751",-9.96,"12,920",-19.60,"391,852",-23.44,"16,836",1.22,"510,815",-3.27,"6,019",1.81,"182,579",-3.14,"1,268",-36.54,"38,402",-37.81,"4,861",9.19,"146,891",3.69,"150,517",-40.56,"4,555,730",-43.58,"2,477",-6.14,"75,083",-10.66,47,-78.54,"1,447",-79.29,"2,540",52.83,"76,549",44.77,"35,257",-5.57,"1,067,168",-9.61,"2,286",-8.67,"68,887",-13.38,"25,646",-37.06,"778,725",-40.32,"22,226",-28.58,"674,172",-32.04,"285,718",-39.80,"8,657,904",-42.94,"5,850",11.47,"177,150",5.64,"1,271",38.60,"38,745",35.30,"35,908",-8.51,"1,092,635",-12.78,"5,252",-45.19,"159,298",-48.06,"33,528",-31.05,"1,018,027",-34.23,"81,745",-43.37,"2,480,046",-46.21,"1,191",18.98,"35,914",12.70,63,-89.77,"1,949",-89.88
2010,"196,255",30.02,"6,225,625",35.85,"994,047",33.83,"31,389,369",39.43,26,52.94,844,69.82,2,--,87,"1,142.86","1,082",25.38,"34,331",31.56,"14,379",60.07,"450,114",66.02,"1,450",24.14,"45,943",29.52,68,-40.87,"2,119",-38.65,"25,550",36.11,"809,770",41.72,"85,935",31.78,"2,714,354",37.47,446,41.14,"14,134",47.68,"61,659",-4.92,"1,928,859",-2.27,"16,750",29.64,"530,866",35.48,"22,046",30.95,"696,409",36.33,"6,111",1.53,"193,842",6.17,"2,008",58.36,"63,739",65.98,"4,483",-7.78,"142,078",-3.28,"193,609",28.63,"6,124,839",34.44,"2,699",8.96,"85,607",14.02,77,63.83,"2,418",67.10,"3,023",19.02,"95,642",24.94,"54,792",55.41,"1,718,757",61.06,"1,838",-19.60,"58,272",-15.41,"64,839",152.82,"2,056,989",164.15,"31,608",42.21,"1,001,972",48.62,"374,976",31.24,"11,859,219",36.98,"5,886",0.62,"186,679",5.38,"2,278",79.23,"72,305",86.62,"45,447",26.57,"1,441,039",31.89,"5,804",10.51,"182,776",14.74,"46,855",39.75,"1,489,384",46.30,"111,422",36.30,"3,511,559",41.59,"3,000",151.89,"95,178",165.02,153,142.86,"4,826",147.61
