期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),職業疾病生活津貼_原始值,職業疾病生活津貼_年增率(%),職業疾病生活津貼_原始值,職業疾病生活津貼_年增率(%),身體障害生活津貼_原始值,身體障害生活津貼_年增率(%),身體障害生活津貼_原始值,身體障害生活津貼_年增率(%),職業訓練生活津貼_原始值,職業訓練生活津貼_年增率(%),職業訓練生活津貼_原始值,職業訓練生活津貼_年增率(%),看護補助_原始值,看護補助_年增率(%),看護補助_原始值,看護補助_年增率(%),退保後職業疾病生活津貼_原始值,退保後職業疾病生活津貼_年增率(%),退保後職業疾病生活津貼_原始值,退保後職業疾病生活津貼_年增率(%),續保保費補助_原始值,續保保費補助_年增率(%),續保保費補助_原始值,續保保費補助_年增率(%),器具補助_原始值,器具補助_年增率(%),器具補助_原始值,器具補助_年增率(%),勞工死亡家屬補助_原始值,勞工死亡家屬補助_年增率(%),勞工死亡家屬補助_原始值,勞工死亡家屬補助_年增率(%),殘廢補助_原始值,殘廢補助_年增率(%),殘廢補助_原始值,殘廢補助_年增率(%),死亡補助_原始值,死亡補助_年增率(%),死亡補助_原始值,死亡補助_年增率(%),職災預防及勞工重建補助(~2004年)_原始值,職災預防及勞工重建補助(~2004年)_年增率(%),職災預防及勞工重建補助(~2004年)_原始值,職災預防及勞工重建補助(~2004年)_年增率(%),職災預防補助(2005年~)_原始值,職災預防補助(2005年~)_年增率(%),職災預防補助(2005年~)_原始值,職災預防補助(2005年~)_年增率(%),職災勞工職業重建補助(2005年~)_原始值,職災勞工職業重建補助(2005年~)_年增率(%),職災勞工職業重建補助(2005年~)_原始值,職災勞工職業重建補助(2005年~)_年增率(%),事業單位僱用職災勞工提供設施補助_原始值,事業單位僱用職災勞工提供設施補助_年增率(%),事業單位僱用職災勞工提供設施補助_原始值,事業單位僱用職災勞工提供設施補助_年增率(%)
2002,182,...,"18,602",...,0,...,0,...,6,...,80,...,0,...,0,...,0,...,0,...,-,--,-,--,-,--,18,...,9,...,75,...,162,...,"16,200",...,1,...,428,...,4,...,"1,801",...,0,...,0,...,-,--,-,--,-,--,-,--,-,--,-,--
2003,715,292.86,"90,359",385.75,24,--,117,--,78,"1,200.00","2,078","2,497.50",1,--,8,--,8,--,368,--,-,--,-,--,-,--,280,"1,455.56",51,466.67,339,352.00,482,197.53,"48,200",197.53,26,"2,500.00","8,522","1,891.12",28,600.00,"17,292",860.13,17,--,"13,155",--,-,--,-,--,-,--,-,--,-,--,-,--
2004,"1,384",93.57,"156,168",72.83,99,312.50,"1,149",882.05,389,398.72,"12,616",507.12,1,0.00,36,350.00,63,687.50,"3,072",734.78,-,--,-,--,-,--,769,174.64,79,54.90,614,81.12,646,34.02,"64,600",34.02,46,76.92,"18,632",118.63,39,39.29,"24,297",40.51,22,29.41,"30,383",130.96,-,--,-,--,-,--,-,--,-,--,-,--
2005,"1,806",30.49,"188,652",20.80,96,-3.03,"2,141",86.34,775,99.23,"30,881",144.78,1,0.00,36,0.00,132,109.52,"9,392",205.73,-,--,-,--,-,--,"1,444",87.78,171,116.46,"1,606",161.56,528,-18.27,"52,800",-18.27,43,-6.52,"18,878",1.32,39,0.00,"23,647",-2.68,9,-59.09,"35,347",16.34,10,--,"12,000",--,2,--,480,--,-,--,-,--
2006,"2,595",43.69,"249,786",32.41,92,-4.17,"2,279",6.45,"1,152",48.65,"51,164",65.68,2,100.00,32,-11.11,234,77.27,"17,368",84.92,-,--,-,--,-,--,"2,244",55.40,227,32.75,"2,097",30.57,757,43.37,"75,700",43.37,47,9.30,"18,233",-3.42,41,5.13,"25,520",7.92,1,-88.89,"1,798",-94.91,33,230.00,"48,928",307.73,9,350.00,"4,422",821.25,-,--,-,--
2007,"3,036",16.99,"270,829",8.42,103,11.96,"2,880",26.37,"1,452",26.04,"71,330",39.41,2,0.00,72,125.00,299,27.78,"25,640",47.63,-,--,-,--,-,--,"5,463",143.45,380,67.40,"3,373",60.85,686,-9.38,"68,600",-9.38,46,-2.13,"18,497",1.45,24,-41.46,"13,861",-45.69,0,-100.00,0,-100.00,35,6.06,"54,447",11.28,9,0.00,"6,667",50.77,-,--,-,--
2008,"3,417",12.55,"322,778",19.18,94,-8.74,"3,773",31.01,"1,681",15.77,"96,656",35.51,2,0.00,94,30.56,369,23.41,"36,984",44.24,-,--,-,--,-,--,"9,243",69.19,537,41.32,"4,161",23.36,633,-7.73,"63,300",-7.73,30,-34.78,"14,688",-20.59,33,37.50,"21,733",56.79,0,--,0,--,29,-17.14,"64,202",17.92,9,0.00,"7,945",19.17,-,--,-,--
2009,"3,916",14.60,"369,061",14.34,89,-5.32,"4,118",9.14,"1,742",3.63,"116,226",20.25,3,50.00,66,-29.79,397,7.59,"46,430",25.54,-,--,-,--,-,--,"11,668",26.24,681,26.82,"5,988",43.91,894,41.23,"89,400",41.23,48,60.00,"21,987",49.69,31,-6.06,"19,916",-8.36,0,--,0,--,20,-31.03,"44,019",-31.44,11,22.22,"9,242",16.32,-,--,-,--
2010,"3,679",-6.05,"296,671",-19.61,70,-21.35,"3,526",-14.38,"1,597",-8.32,"110,971",-4.52,4,33.33,126,90.91,388,-2.27,"46,430",0.00,-,--,-,--,-,--,"14,663",25.67,971,42.58,"8,048",34.40,542,-39.37,"54,150",-39.43,31,-35.42,"12,208",-44.48,24,-22.58,"14,135",-29.03,0,--,0,--,39,95.00,"20,137",-54.25,13,18.18,"12,278",32.85,-,--,-,--
2011,"3,355",-8.81,"271,457",-8.50,73,4.29,"3,460",-1.87,"1,446",-9.46,"101,686",-8.37,2,-50.00,60,-52.38,381,-1.80,"45,440",-2.13,-,--,-,--,-,--,"15,161",3.40,868,-10.61,"7,161",-11.02,499,-7.93,"49,750",-8.13,25,-19.35,"9,783",-19.86,20,-16.67,"13,094",-7.36,0,--,0,--,28,-28.21,"14,716",-26.92,13,0.00,"11,148",-9.20,-,--,-,--
