期間,來話次數(次)_原始值,來話次數(次)_年增率(%),來話分鐘數(分鐘)_原始值,來話分鐘數(分鐘)_年增率(%),去話次數(次)_原始值,去話次數(次)_年增率(%),去話分鐘數(分鐘)_原始值,去話分鐘數(分鐘)_年增率(%)
1996,"42,956,178",...,"115,162,620",...,"53,541,006",...,"168,739,603",...
1997,"56,652,934",31.89,"151,719,608",31.74,"69,077,688",29.02,"198,068,887",17.38
1998,"69,203,243",22.15,"180,643,371",19.06,"79,951,814",15.74,"236,140,690",19.22
1999,"82,295,197",18.92,"214,145,259",18.55,"96,033,222",20.11,"286,033,653",21.13
2000,"95,048,691",15.50,"241,113,377",12.59,"111,604,019",16.21,"342,987,929",19.91
2001,"114,970,716",20.96,"321,953,043",33.53,"154,668,202",38.59,"509,835,107",48.65
2002,"169,332,270",47.28,"473,223,614",46.99,"213,866,226",38.27,"758,784,078",48.83
2003,"185,782,187",9.71,"523,941,755",10.72,"250,073,756",16.93,"987,261,966",30.11
2004,"228,595,500",23.04,"645,109,422",23.13,"289,035,219",15.58,"1,286,702,911",30.33
2005,"298,044,463",30.38,"790,814,715",22.59,"318,610,184",10.23,"1,369,443,937",6.43
2006,"358,902,498",20.42,"875,980,140",10.77,"350,297,538",9.95,"1,505,975,668",9.97
2007,"282,248,004",-21.36,"784,836,551",-10.40,"352,274,657",0.56,"1,566,245,351",4.00
2008,"234,701,523",-16.85,"714,055,458",-9.02,"371,859,974",5.56,"1,538,542,237",-1.77
2009,"221,953,162",-5.43,"576,594,289",-19.25,"369,005,987",-0.77,"1,423,249,660",-7.49
2010,"204,625,818",-7.81,"552,919,921",-4.11,"403,616,104",9.38,"1,496,326,500",5.13
2011,"171,584,037",-16.15,"470,973,044",-14.82,"393,344,578",-2.54,"1,364,127,550",-8.83
2012,"167,278,555",-2.51,"321,077,486",-31.83,"366,139,852",-6.92,"1,186,399,744",-13.03
2013,"134,983,387",-19.31,"327,061,489",1.86,"248,090,893",-32.24,"803,274,772",-32.29
