期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--郵政儲金-劃撥_原始值,負債與淨值--郵政儲金-劃撥_年增率(%),負債與淨值--郵政儲金-存簿_原始值,負債與淨值--郵政儲金-存簿_年增率(%),負債與淨值--郵政儲金-定期_原始值,負債與淨值--郵政儲金-定期_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1997,"2,558,903",3.90,556,-,"4,909",41.31,"155,866",21.00,-,-,"75,976",-47.70,"51,058",-28.43,"1,028,934",-2.48,"1,049,893",18.65,"4,164",-,"12,617",23.33,"174,930",6.84,556,-,"27,401",6.44,"752,848",-0.44,"1,455,528",0.66,"15,500",-,-,-,-,-,"271,082",35.73,"35,988",2.24
1998,"2,582,025",0.90,"1,869",236.15,"6,400",30.37,"138,482",-11.15,"2,823",-,"36,815",-51.54,"28,885",-43.43,"997,285",-3.08,"1,148,579",9.40,"10,034",140.97,"14,350",13.74,"196,503",12.33,348,-37.41,"28,836",5.24,"742,011",-1.44,"1,497,148",2.86,-,-,-,-,-,-,"278,954",2.90,"34,728",-3.50
1999,"2,911,880",12.78,33,-98.23,"3,862",-39.66,"104,285",-24.69,248,-91.22,"23,305",-36.70,"31,039",7.46,"1,084,738",8.77,"1,428,485",24.37,"4,160",-58.54,"12,181",-15.11,"219,544",11.73,416,19.54,"32,382",12.30,"806,431",8.68,"1,714,587",14.52,-,-,"24,830",-,-,-,"299,230",7.27,"34,004",-2.08
2000,"3,103,497",6.58,1,-96.97,"4,602",19.16,"108,665",4.20,729,193.95,"155,535",567.39,"31,156",0.38,"1,122,712",3.50,"1,534,945",7.45,"5,101",22.62,"17,278",41.84,"122,773",-44.08,741,78.13,"29,131",-10.04,"842,188",4.43,"1,958,377",14.22,-,-,"32,200",29.68,-,-,"233,922",-21.83,"6,938",-79.60
2001,"3,237,025",4.30,261,"26,000.00","4,909",6.67,"150,660",38.65,"5,870",705.21,"166,250",6.89,"22,684",-27.19,"1,234,969",10.00,"1,548,044",0.85,"11,355",122.60,"15,379",-10.99,"76,644",-37.57,309,-58.30,"28,312",-2.81,"968,923",15.05,"2,043,991",4.37,-,-,"5,400",-83.23,-,-,"170,522",-27.10,"19,568",182.04
2002,"3,253,641",0.51,1,-99.62,"4,316",-12.08,"193,910",28.71,"23,450",299.49,"170,151",2.35,"8,024",-64.63,"1,355,416",9.75,"1,450,682",-6.29,"7,773",-31.55,"15,418",0.25,"24,500",-68.03,216,-30.10,"28,478",0.59,"1,082,739",11.75,"1,950,295",-4.58,-,-,"2,500",-53.70,-,-,"173,387",1.68,"16,026",-18.10
2003,"3,380,896",3.91,"3,169","316,800.00","9,040",109.45,"230,310",18.77,"20,485",-12.64,"126,494",-25.66,"7,387",-7.94,"1,482,802",9.40,"1,396,888",-3.71,"6,510",-16.25,"15,030",-2.52,"82,781",237.88,"5,807","2,588.43","19,724",-30.74,"1,155,302",6.70,"1,938,485",-0.61,-,-,"9,079",263.16,"1,151",-,"204,197",17.77,"47,151",194.22
2004,"3,554,506",5.14,"64,015","1,920.04","9,497",5.06,"241,934",5.05,"12,249",-40.21,"157,408",24.44,"1,204",-83.70,"1,651,715",11.39,"1,323,844",-5.23,"5,046",-22.49,"16,375",8.95,"71,219",-13.97,"2,727",-53.04,"19,563",-0.82,"1,234,798",6.88,"2,071,622",6.87,-,-,"2,644",-70.88,"2,027",76.11,"170,231",-16.63,"50,894",7.94
2005,"3,839,176",8.01,"179,427",180.29,"20,612",117.04,"372,272",53.87,"10,372",-15.32,"113,008",-28.21,"5,158",328.41,"1,833,444",11.00,"1,208,561",-8.71,"2,249",-55.43,"16,654",1.70,"77,419",8.71,298,-89.07,"19,890",1.67,"1,294,188",4.81,"2,346,317",13.26,-,-,"12,522",373.60,"1,590",-21.56,"111,049",-34.77,"53,322",4.77
2006,"4,208,129",9.61,"243,554",35.74,"34,367",66.73,"545,430",46.51,"14,408",38.91,"167,264",48.01,"11,276",118.61,"2,046,616",11.63,"1,031,109",-14.68,"1,669",-25.79,"19,298",15.88,"93,138",20.30,307,3.02,"19,380",-2.56,"1,298,369",0.32,"2,684,501",14.41,-,-,"3,270",-73.89,"5,615",253.14,"118,357",6.58,"78,330",46.90
2007,"4,309,984",2.42,"300,097",23.22,"18,237",-46.93,"634,421",16.32,"28,259",96.13,"153,887",-8.00,"8,937",-20.74,"2,030,504",-0.79,"1,008,811",-2.16,740,-55.66,"16,726",-13.33,"109,365",17.42,277,-9.77,"21,439",10.62,"1,268,686",-2.29,"2,749,531",2.42,-,-,"10,652",225.75,"6,636",18.18,"180,768",52.73,"71,995",-8.09
2008,"4,594,058",6.59,"316,692",5.53,"7,069",-61.24,"770,201",21.40,"70,989",151.21,"91,364",-40.63,"9,361",4.74,"2,325,582",14.53,"866,213",-14.14,-,-,"24,180",44.57,"112,407",2.78,276,-0.36,"19,128",-10.78,"1,279,902",0.88,"2,933,096",6.68,-,-,"8,340",-21.70,"140,553","2,018.04","196,486",8.70,"16,277",-77.39
2009,"4,761,470",3.64,"262,890",-16.99,"3,056",-56.77,"1,032,566",34.06,"44,652",-37.10,"116,227",27.21,"7,912",-15.48,"2,399,945",3.20,"734,523",-15.20,-,-,"21,864",-9.58,"137,835",22.62,270,-2.17,"21,282",11.26,"1,422,512",11.14,"2,977,737",1.52,-,-,"14,679",76.01,"19,911",-85.83,"230,990",17.56,"74,089",355.18
2010,"4,842,131",1.69,"256,041",-2.61,"7,046",130.56,"1,197,634",15.99,"47,433",6.23,"123,284",6.07,"6,623",-16.29,"2,596,556",8.19,"459,178",-37.49,-,-,"18,472",-15.51,"129,864",-5.78,237,-12.22,"21,326",0.21,"1,526,284",7.29,"2,950,904",-0.90,-,-,"41,216",180.78,"9,748",-51.04,"213,195",-7.70,"79,221",6.93
2011,"4,888,769",0.96,"276,818",8.11,"6,580",-6.61,"1,273,240",6.31,"44,386",-6.42,"120,757",-2.05,"5,263",-20.53,"2,619,959",0.90,"419,596",-8.62,-,-,"20,049",8.54,"102,121",-21.36,204,-13.92,"22,826",7.03,"1,617,937",6.00,"3,016,036",2.21,-,-,"12,432",-69.84,"8,073",-17.18,"138,273",-35.14,"72,988",-7.87
2012,"5,174,518",5.85,"346,675",25.24,"3,154",-52.07,"1,391,157",9.26,"69,823",57.31,"159,904",32.42,"5,932",12.71,"2,682,826",2.40,"380,412",-9.34,-,-,"25,515",27.26,"109,120",6.85,191,-6.37,"23,048",0.97,"1,747,113",7.98,"3,153,963",4.57,-,-,"14,341",15.36,"12,606",56.15,"143,567",3.83,"79,689",9.18
2013,"5,405,776",4.47,"380,566",9.78,"16,035",408.40,"1,446,285",3.96,"83,233",19.21,"189,031",18.22,"6,128",3.30,"2,795,110",4.19,"365,188",-4.00,-,-,"18,503",-27.48,"105,697",-3.14,190,-0.52,"23,693",2.80,"1,823,209",4.36,"3,292,376",4.39,-,-,"16,472",14.86,"8,871",-29.63,"142,108",-1.02,"98,857",24.05
