期間,通報來源(件)-合計_原始值,通報來源(件)-合計_年增率(%),責任通報(件)-小計_原始值,責任通報(件)-小計_年增率(%),責任通報(件)-醫事人員_原始值,責任通報(件)-醫事人員_年增率(%),責任通報(件)-社會工作人員_原始值,責任通報(件)-社會工作人員_年增率(%),責任通報(件)-教育人員_原始值,責任通報(件)-教育人員_年增率(%),責任通報(件)-保育人員_原始值,責任通報(件)-保育人員_年增率(%),責任通報(件)-警察_原始值,責任通報(件)-警察_年增率(%),責任通報(件)-司法人員_原始值,責任通報(件)-司法人員_年增率(%),責任通報(件)-村(里)幹事_原始值,責任通報(件)-村(里)幹事_年增率(%),責任通報(件)-其他執行兒童少年福利業務人員_原始值,責任通報(件)-其他執行兒童少年福利業務人員_年增率(%),一般通報(件)-小計_原始值,一般通報(件)-小計_年增率(%),一般通報(件)-父或母_原始值,一般通報(件)-父或母_年增率(%),一般通報(件)-親友_原始值,一般通報(件)-親友_年增率(%),一般通報(件)-案主主動求助_原始值,一般通報(件)-案主主動求助_年增率(%),一般通報(件)-鄰居及社會人士_原始值,一般通報(件)-鄰居及社會人士_年增率(%),一般通報(件)-其他_原始值,一般通報(件)-其他_年增率(%),通報人數(人)_原始值,通報人數(人)_年增率(%),受虐類型(人次)-遺棄-男_原始值,受虐類型(人次)-遺棄-男_年增率(%),受虐類型(人次)-遺棄-女_原始值,受虐類型(人次)-遺棄-女_年增率(%),受虐類型(人次)-身體虐待-男_原始值,受虐類型(人次)-身體虐待-男_年增率(%),受虐類型(人次)-身體虐待-女_原始值,受虐類型(人次)-身體虐待-女_年增率(%),受虐類型(人次)-精神虐待-男_原始值,受虐類型(人次)-精神虐待-男_年增率(%),受虐類型(人次)-精神虐待-女_原始值,受虐類型(人次)-精神虐待-女_年增率(%),受虐類型(人次)-性虐待-男_原始值,受虐類型(人次)-性虐待-男_年增率(%),受虐類型(人次)-性虐待-女_原始值,受虐類型(人次)-性虐待-女_年增率(%),受虐類型(人次)-疏忽-男_原始值,受虐類型(人次)-疏忽-男_年增率(%),受虐類型(人次)-疏忽-女_原始值,受虐類型(人次)-疏忽-女_年增率(%),受虐類型(人次)-其他-男_原始值,受虐類型(人次)-其他-男_年增率(%),受虐類型(人次)-其他-女_原始值,受虐類型(人次)-其他-女_年增率(%),保護處理安置情形(人次)-合計_原始值,保護處理安置情形(人次)-合計_年增率(%),保護處理安置情形(人次)-合計-男_原始值,保護處理安置情形(人次)-合計-男_年增率(%),保護處理安置情形(人次)-合計-女_原始值,保護處理安置情形(人次)-合計-女_年增率(%),保護處理安置情形(人次)-個案仍住家中-男_原始值,保護處理安置情形(人次)-個案仍住家中-男_年增率(%),保護處理安置情形(人次)-個案仍住家中-女_原始值,保護處理安置情形(人次)-個案仍住家中-女_年增率(%),保護處理安置情形(人次)-緊急安置-男_原始值,保護處理安置情形(人次)-緊急安置-男_年增率(%),保護處理安置情形(人次)-緊急安置-女_原始值,保護處理安置情形(人次)-緊急安置-女_年增率(%),保護處理安置情形(人次)-繼續安置-男_原始值,保護處理安置情形(人次)-繼續安置-男_年增率(%),保護處理安置情形(人次)-繼續安置-女_原始值,保護處理安置情形(人次)-繼續安置-女_年增率(%),保護處理安置情形(人次)-死亡-男_原始值,保護處理安置情形(人次)-死亡-男_年增率(%),保護處理安置情形(人次)-死亡-女_原始值,保護處理安置情形(人次)-死亡-女_年增率(%),保護處理安置情形(人次)-其他-男_原始值,保護處理安置情形(人次)-其他-男_年增率(%),保護處理安置情形(人次)-其他-女_原始值,保護處理安置情形(人次)-其他-女_年增率(%),受虐人數(人)-合計_原始值,受虐人數(人)-合計_年增率(%),受虐人數(人)-合計-男_原始值,受虐人數(人)-合計-男_年增率(%),受虐人數(人)-合計-女_原始值,受虐人數(人)-合計-女_年增率(%),受虐人數(人)- 0-未滿3歲-男_原始值,受虐人數(人)- 0-未滿3歲-男_年增率(%),受虐人數(人)- 0-未滿3歲-女_原始值,受虐人數(人)- 0-未滿3歲-女_年增率(%),受虐人數(人)- 3-未滿6歲-男(人)_原始值,受虐人數(人)- 3-未滿6歲-男(人)_年增率(%),受虐人數(人)- 3-未滿6歲-女_原始值,受虐人數(人)- 3-未滿6歲-女_年增率(%),受虐人數(人)- 6-未滿9歲-男_原始值,受虐人數(人)- 6-未滿9歲-男_年增率(%),受虐人數(人)- 6-未滿9歲-女_原始值,受虐人數(人)- 6-未滿9歲-女_年增率(%),受虐人數(人)- 9-未滿12歲-男_原始值,受虐人數(人)- 9-未滿12歲-男_年增率(%),受虐人數(人)- 9-未滿12歲-女_原始值,受虐人數(人)- 9-未滿12歲-女_年增率(%),受虐人數(人)- 12-未滿15歲-男_原始值,受虐人數(人)- 12-未滿15歲-男_年增率(%),受虐人數(人)- 12-未滿15歲-女_原始值,受虐人數(人)- 12-未滿15歲-女_年增率(%),受虐人數(人)- 15-未滿18歲-男_原始值,受虐人數(人)- 15-未滿18歲-男_年增率(%),受虐人數(人)- 15-未滿18歲-女_原始值,受虐人數(人)- 15-未滿18歲-女_年增率(%),受虐人數(人)-一般_原始值,受虐人數(人)-一般_年增率(%),受虐人數(人)-原住民_原始值,受虐人數(人)-原住民_年增率(%)
2004,"8,494",...,...,...,"1,198",...,862,...,"1,173",...,...,...,...,...,...,...,...,...,...,...,...,...,894,...,"1,033",...,220,...,761,...,"1,165",...,"9,321",...,280,...,220,...,"1,375",...,"1,209",...,329,...,400,...,25,...,447,...,"1,089",...,988,...,816,...,797,...,"8,139",...,"4,124",...,"4,015",...,"3,111",...,"2,874",...,461,...,521,...,442,...,474,...,12,...,11,...,98,...,135,...,"7,837",...,"3,828",...,"4,009",...,600,...,551,...,686,...,619,...,822,...,702,...,924,...,892,...,531,...,749,...,265,...,496,...,"7,307",...,530,...
2005,"10,722",26.23,...,...,"1,515",26.46,"1,086",25.99,"1,443",23.02,...,...,...,...,...,...,...,...,...,...,...,...,"1,355",51.57,"1,162",12.49,420,90.91,"1,332",75.03,966,-17.08,"13,186",41.47,267,-4.64,193,-12.27,"1,917",39.42,"1,736",43.59,372,13.07,452,13.00,34,36.00,355,-20.58,"1,228",12.76,"1,067",8.00,"1,253",53.55,"1,116",40.03,"9,806",20.48,"4,957",20.20,"4,849",20.77,"3,860",24.08,"3,652",27.07,427,-7.38,482,-7.49,543,22.85,577,21.73,15,25.00,19,72.73,112,14.29,119,-11.85,"9,897",26.29,"5,005",30.75,"4,892",22.03,777,29.50,668,21.23,928,35.28,793,28.11,"1,013",23.24,866,23.36,"1,087",17.64,963,7.96,791,48.96,942,25.77,409,54.34,660,33.06,"9,409",28.77,488,-7.92
2006,"13,986",30.44,"8,623",...,"2,012",32.81,"1,958",80.29,"1,875",29.94,63,...,"1,787",...,162,...,...,...,766,...,"5,363",...,"1,500",10.70,"1,044",-10.15,600,42.86,"1,607",20.65,612,-36.65,"17,051",29.31,266,-0.37,208,7.77,"2,053",7.09,"1,689",-2.71,363,-2.42,399,-11.73,48,41.18,500,40.85,"1,414",15.15,"1,205",12.93,"1,169",-6.70,"1,092",-2.15,"10,106",3.06,"5,155",3.99,"4,951",2.10,"4,214",9.17,"3,899",6.76,374,-12.41,427,-11.41,353,-34.99,396,-31.37,17,13.33,14,-26.32,197,75.89,215,80.67,"10,093",1.98,"5,145",2.80,"4,948",1.14,717,-7.72,624,-6.59,899,-3.12,727,-8.32,"1,117",10.27,851,-1.73,"1,109",2.02,945,-1.87,865,9.36,"1,025",8.81,438,7.09,776,17.58,"9,412",0.03,681,39.55
2007,"19,247",37.62,"12,453",44.42,"3,008",49.50,"3,221",64.50,"2,578",37.49,59,-6.35,"2,462",37.77,188,16.05,...,...,937,22.32,"6,794",26.68,"2,017",34.47,"1,336",27.97,746,24.33,"2,094",30.30,601,-1.80,"20,369",19.46,236,-11.28,227,9.13,"2,548",24.11,"2,491",47.48,607,67.22,707,77.19,182,279.17,"1,154",130.80,"1,372",-2.97,"1,197",-0.66,"1,759",50.47,"1,653",51.37,"13,574",34.32,"6,443",24.99,"7,131",44.03,"5,406",28.29,"5,908",51.53,410,9.63,481,12.65,408,15.58,489,23.48,31,82.35,23,64.29,188,-4.57,230,6.98,"13,556",34.31,"6,436",25.09,"7,130",44.10,898,25.24,825,32.21,"1,004",11.68,948,30.40,"1,348",20.68,"1,164",36.78,"1,460",31.65,"1,315",39.15,"1,084",25.32,"1,578",53.95,642,46.58,"1,300",67.53,"12,752",35.49,814,19.53
2008,"21,443",11.41,"12,866",3.32,"2,813",-6.48,"3,684",14.37,"3,093",19.98,40,-32.20,"2,352",-4.47,254,35.11,...,...,630,-32.76,"8,577",26.24,"2,548",26.33,"1,540",15.27,"1,201",60.99,"2,607",24.50,681,13.31,"19,679",-3.39,229,-2.97,191,-15.86,"2,865",12.44,"2,355",-5.46,656,8.07,726,2.69,110,-39.56,"1,145",-0.78,"1,372",0.00,"1,221",2.01,"1,722",-2.10,"1,544",-6.59,"14,000",3.14,"6,994",8.55,"7,006",-1.75,"6,028",11.51,"5,865",-0.73,437,6.59,481,0.00,304,-25.49,377,-22.90,25,-19.35,22,-4.35,200,6.38,261,13.48,"13,703",1.08,"6,760",5.03,"6,943",-2.62,841,-6.35,720,-12.73,"1,114",10.96,903,-4.75,"1,367",1.41,"1,053",-9.54,"1,526",4.52,"1,234",-6.16,"1,205",11.16,"1,742",10.39,707,10.12,"1,291",-0.69,"12,920",1.32,783,-3.81
2009,"21,449",0.03,"13,994",8.77,"2,863",1.78,"4,600",24.86,"3,295",6.53,42,5.00,"2,463",4.72,269,5.91,...,...,462,-26.67,"7,455",-13.08,"2,197",-13.78,"1,198",-22.21,"1,030",-14.24,"2,170",-16.76,860,26.28,"19,928",1.27,217,-5.24,162,-15.18,"2,713",-5.31,"2,223",-5.61,655,-0.15,718,-1.10,134,21.82,"1,082",-5.50,"1,339",-2.41,"1,164",-4.67,"1,937",12.49,"1,731",12.11,"13,888",-0.80,"6,899",-1.36,"6,989",-0.24,"5,918",-1.82,"5,880",0.26,279,-36.16,346,-28.07,268,-11.84,341,-9.55,28,12.00,14,-36.36,406,103.00,408,56.32,"13,400",-2.21,"6,646",-1.69,"6,754",-2.72,813,-3.33,644,-10.56,"1,104",-0.90,959,6.20,"1,311",-4.10,"1,011",-3.99,"1,421",-6.88,"1,173",-4.94,"1,297",7.63,"1,696",-2.64,700,-0.99,"1,271",-1.55,"12,451",-3.63,949,21.20
2010,"30,791",43.55,"22,213",58.73,"4,530",58.23,"6,378",38.65,"5,985",81.64,348,728.57,"3,874",57.29,371,37.92,...,...,727,57.36,"8,578",15.06,"2,761",25.67,"1,482",23.71,"1,331",29.22,"2,561",18.02,443,-48.49,"27,459",37.79,133,-38.71,197,21.60,"3,750",38.22,"3,118",40.26,"1,174",79.24,"1,118",55.71,263,96.27,"1,907",76.25,"1,631",21.81,"1,370",17.70,"2,245",15.90,"2,273",31.31,"18,331",31.99,"8,839",28.12,"9,492",35.81,"7,665",29.52,"8,183",39.17,327,17.20,421,21.68,435,62.31,494,44.87,38,35.71,22,57.14,374,-7.88,372,-8.82,"18,331",36.80,"8,839",33.00,"9,492",40.54,"1,035",27.31,957,48.60,"1,406",27.36,"1,132",18.04,"1,612",22.96,"1,443",42.73,"1,998",40.61,"1,639",39.73,"1,704",31.38,"2,600",53.30,"1,084",54.86,"1,721",35.41,"16,609",33.39,"1,722",81.45
2011,"28,955",-5.96,"21,115",-4.94,"3,918",-13.51,"5,408",-15.21,"6,971",16.47,134,-61.49,"3,898",0.62,211,-43.13,...,...,575,-20.91,"7,840",-8.60,"3,004",8.80,"1,316",-11.20,"1,087",-18.33,"2,008",-21.59,425,-4.06,"30,197",9.97,126,-5.26,143,-27.41,"4,329",15.44,"3,853",23.57,"1,058",-9.88,"1,179",5.46,346,31.56,"2,002",4.98,"1,437",-11.89,"1,291",-5.77,"2,289",1.96,"2,200",-3.21,"17,667",-3.62,"8,277",-6.36,"9,390",-1.07,"6,412",-16.35,"7,191",-12.12,418,27.83,535,27.08,"1,048",140.92,"1,220",146.96,31,-18.42,23,4.55,368,-1.60,421,13.17,"17,667",-3.62,"8,277",-6.36,"9,390",-1.07,878,-15.17,791,-17.35,"1,162",-17.35,990,-12.54,"1,592",-1.24,"1,339",-7.21,"1,861",-6.86,"1,610",-1.77,"1,698",-0.35,"2,560",-1.54,"1,086",0.18,"2,100",22.02,"15,882",-4.38,"1,785",3.66
2012,"35,823",23.72,"29,996",42.06,"4,967",26.77,"7,487",38.44,"8,954",28.45,155,15.67,"5,978",53.36,263,24.64,61,...,"2,131",270.61,"5,827",-25.68,"2,302",-23.37,"1,118",-15.05,860,-20.88,"1,293",-35.61,254,-40.24,"31,917",5.70,112,-11.11,87,-39.16,"4,342",0.30,"3,723",-3.37,"1,156",9.26,"1,254",6.36,367,6.07,"2,348",17.28,"1,401",-2.51,"1,200",-7.05,"2,790",21.89,"2,708",23.09,"19,174",8.53,"9,102",9.97,"10,072",7.26,"7,446",16.13,"8,307",15.52,426,1.91,563,5.23,664,-36.64,751,-38.44,...,...,...,...,566,53.80,451,7.13,"19,174",8.53,"9,102",9.97,"10,072",7.26,924,5.24,796,0.63,"1,272",9.47,"1,011",2.12,"1,693",6.34,"1,403",4.78,"2,038",9.51,"1,639",1.80,"1,894",11.54,"2,921",14.10,"1,281",17.96,"2,302",9.62,"17,514",10.28,"1,660",-7.00
2013,"33,880",-5.42,"30,143",0.49,"4,428",-10.85,"7,219",-3.58,"7,700",-14.00,87,-43.87,"6,777",13.37,247,-6.08,42,-31.15,"3,643",70.95,"3,737",-35.87,"1,658",-27.98,593,-46.96,501,-41.74,859,-33.57,126,-50.39,"30,647",-3.98,90,-19.64,91,4.60,"3,251",-25.13,"2,877",-22.72,842,-27.16,962,-23.29,399,8.72,"2,074",-11.67,962,-31.33,816,-32.00,"2,589",-7.20,"2,490",-8.05,"16,119",-15.93,"7,520",-17.38,"8,599",-14.62,"5,989",-19.57,"6,651",-19.93,221,-48.12,341,-39.43,511,-23.04,625,-16.78,...,...,...,...,799,41.17,982,117.74,"16,119",-15.93,"7,520",-17.38,"8,599",-14.62,855,-7.47,725,-8.92,"1,010",-20.60,869,-14.05,"1,397",-17.48,"1,157",-17.53,"1,652",-18.94,"1,438",-12.26,"1,563",-17.48,"2,420",-17.15,"1,043",-18.58,"1,990",-13.55,...,...,...,...
