期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2000,"217,384,356",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"166,247,965",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"51,136,391",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
2001,"234,068,883",7.68,"30,286,962",--,"127,919,231",--,"15,927,332",--,"41,399,746",--,"4,734,548",--,"1,016,575",--,-,--,"172,860,892",3.98,"23,659,326",--,"92,842,548",--,"3,370,063",--,"36,482,239",--,"2,792,763",--,"929,464",--,-,--,"61,207,991",19.70,"6,627,636",--,"35,076,683",--,"12,557,269",--,"4,917,507",--,"1,941,785",--,"87,111",--,-,--
2002,"247,017,932",5.53,"34,542,191",14.05,"129,413,525",1.17,"20,334,222",27.67,"43,610,470",5.34,"5,308,831",12.13,"3,136,974",208.58,-,--,"182,752,757",5.72,"27,102,571",14.55,"95,422,786",2.78,"4,813,004",42.82,"38,356,240",5.14,"3,329,181",19.21,"3,057,256",228.93,-,--,"64,265,175",4.99,"7,439,620",12.25,"33,990,739",-3.10,"15,521,218",23.60,"5,254,230",6.85,"1,979,650",1.95,"79,718",-8.49,-,--
2003,"261,435,070",5.84,"34,480,584",-0.18,"138,832,208",7.28,"18,538,802",-8.83,"45,642,946",4.66,"5,380,218",1.34,"4,500,889",43.48,-,--,"192,930,876",5.57,"26,753,539",-1.29,"100,916,018",5.76,"3,314,206",-31.14,"39,966,448",4.20,"3,503,570",5.24,"4,417,672",44.50,-,--,"68,504,194",6.60,"7,727,045",3.86,"37,916,190",11.55,"15,224,596",-1.91,"5,676,498",8.04,"1,876,648",-5.20,"83,217",4.39,-,--
2004,"291,677,339",11.57,"37,218,937",7.94,"152,467,944",9.82,"21,262,102",14.69,"50,792,911",11.28,"5,468,451",1.64,"4,183,857",-7.04,"7,243,234",--,"213,463,314",10.64,"29,458,271",10.11,"108,454,669",7.47,"2,975,491",-10.22,"44,723,113",11.90,"3,469,038",-0.99,"4,108,365",-7.00,"7,234,464",--,"78,214,025",14.17,"7,760,666",0.44,"44,013,275",16.08,"18,286,611",20.11,"6,069,798",6.93,"1,999,413",6.54,"75,492",-9.28,"8,770",--
2005,"280,620,068",-3.79,"37,388,392",0.46,"137,920,331",-9.54,"21,222,113",-0.19,"50,256,797",-1.06,"6,371,613",16.52,"3,555,956",-15.01,"9,135,295",26.12,"202,431,451",-5.17,"29,641,324",0.62,"94,375,576",-12.98,"2,532,479",-14.89,"44,807,725",0.19,"3,710,311",6.96,"3,479,220",-15.31,"9,115,245",26.00,"78,188,617",-0.03,"7,747,068",-0.18,"43,544,755",-1.06,"18,689,634",2.20,"5,449,072",-10.23,"2,661,302",33.10,"76,736",1.65,"20,050",128.62
2006,"274,226,677",-2.28,"34,907,307",-6.64,"135,082,013",-2.06,"18,360,640",-13.48,"53,401,514",6.26,"6,183,497",-2.95,"3,292,357",-7.41,"12,976,625",42.05,"197,202,136",-2.58,"27,211,147",-8.20,"90,764,693",-3.83,"1,670,058",-34.05,"47,870,178",6.83,"3,701,364",-0.24,"3,225,271",-7.30,"12,736,701",39.73,"77,024,541",-1.49,"7,696,160",-0.66,"44,317,320",1.77,"16,690,582",-10.70,"5,531,336",1.51,"2,482,133",-6.73,"67,086",-12.58,"239,924","1,096.63"
2007,"292,344,103",6.61,"30,940,221",-11.36,"149,225,026",10.47,"18,741,613",2.07,"52,438,020",-1.80,"5,900,632",-4.57,"6,270,834",90.47,"10,634,847",-18.05,"214,040,751",8.54,"22,937,629",-15.71,"103,756,571",14.31,"2,914,642",74.52,"46,339,542",-3.20,"3,345,788",-9.61,"6,125,034",89.91,"10,428,635",-18.12,"78,303,352",1.66,"8,002,592",3.98,"45,468,455",2.60,"15,826,971",-5.17,"6,098,478",10.25,"2,554,844",2.93,"145,800",117.33,"206,212",-14.05
2008,"281,257,785",-3.79,"29,894,888",-3.38,"146,728,880",-1.67,"16,798,345",-10.37,"52,203,095",-0.45,"4,890,721",-17.12,"6,610,827",5.42,"9,052,827",-14.88,"208,381,516",-2.64,"22,884,409",-0.23,"102,325,923",-1.38,"2,876,793",-1.30,"46,650,544",0.67,"3,231,312",-3.42,"6,469,826",5.63,"8,864,507",-15.00,"72,876,269",-6.93,"7,010,479",-12.40,"44,402,957",-2.34,"13,921,552",-12.04,"5,552,551",-8.95,"1,659,409",-35.05,"141,001",-3.29,"188,320",-8.68
2009,"235,737,674",-16.18,"23,039,098",-22.93,"123,570,262",-15.78,"13,401,035",-20.22,"52,746,527",1.04,"4,974,101",1.70,"6,755,995",2.20,"11,250,656",24.28,"170,569,569",-18.15,"17,239,846",-24.67,"84,593,315",-17.33,"2,047,355",-28.83,"46,757,688",0.23,"3,185,237",-1.43,"6,698,066",3.53,"10,048,062",13.35,"65,168,105",-10.58,"5,799,252",-17.28,"38,976,947",-12.22,"11,353,680",-18.45,"5,988,839",7.86,"1,788,864",7.80,"57,929",-58.92,"1,202,594",538.59
