期間,日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),日平均數_原始值,日平均數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%),月底數_原始值,月底數_年增率(%)
1998M07,"1,138,189",-5.70,"170,189",3.93,"968,000",-7.21,"522,149",0.50,"692,854",1.31,"170,705",3.87,"1,660,338",-3.83,"1,141,924",-3.53,"175,729",-0.39,"966,195",607.41,"497,401",1.22,"673,478",0.76,"176,077",-0.51,"1,639,325",-2.14
1998M08,"1,107,869",-7.58,"166,971",2.44,"940,898",-9.16,"517,066",0.63,"684,530",1.06,"167,464",2.39,"1,624,935",-5.11,"1,139,038",-10.49,"174,467",5.27,"964,571",599.68,"490,164",-0.59,"665,265",0.90,"175,101",5.29,"1,629,202",-7.73
1998M09,"1,088,843",-9.98,"166,060",0.94,"922,783",-11.70,"506,824",-1.42,"673,372",-0.85,"166,548",0.93,"1,595,667",-7.43,"1,118,271",-4.34,"174,880",-2.79,"943,391",590.70,"487,558",-0.39,"663,001",-1.00,"175,443",-2.66,"1,605,829",-3.17
1998M10,"1,070,049",-5.43,"166,502",1.54,"903,547",-6.62,"511,746",0.13,"678,761",0.47,"167,015",1.53,"1,581,795",-3.70,"1,044,138",-3.28,"171,168",4.26,"872,970",555.71,"491,258",-1.56,"662,771",-0.14,"171,513",4.18,"1,535,396",-2.74
1998M11,"1,075,280",-1.01,"167,216",4.25,"908,064",-1.92,"514,427",0.46,"681,935",1.33,"167,508",4.10,"1,589,707",-0.54,"1,113,203",-1.55,"180,745",13.27,"932,458",661.82,"501,408",-0.13,"682,464",3.08,"181,056",13.16,"1,614,611",-1.11
1998M12,"1,091,771",0.61,"170,044",4.58,"921,727",-0.09,"517,517",0.92,"687,837",1.76,"170,320",4.40,"1,609,288",0.71,"1,151,393",1.80,"180,507",4.02,"970,886",1.40,"513,745",0.66,"694,452",1.48,"180,707",3.89,"1,665,138",1.45
1999M01,"1,109,602",-1.02,"177,054",-17.20,"932,548",2.80,"521,981",-15.90,"699,424",-16.24,"177,443",-17.24,"1,631,583",-6.32,"1,122,721",1.88,"206,566",-1.75,"916,155",2.73,"514,215",-36.90,"721,604",-29.65,"207,389",-1.59,"1,636,936",-14.61
1999M02,"1,091,371",-1.43,"234,258",21.82,"857,113",-6.32,"664,848",5.73,"899,642",9.50,"234,794",21.80,"1,756,219",1.16,"974,322",-11.08,"198,238",12.41,"776,084",-15.59,"613,127",8.47,"811,702",9.37,"198,575",12.22,"1,587,449",-4.43
1999M03,"940,515",-15.77,"181,120",4.40,"759,395",-19.48,"567,273",2.61,"748,676",3.00,"181,403",4.25,"1,507,788",-9.69,"961,618",-14.92,"178,759",-0.76,"782,859",-17.61,"529,065",1.61,"708,049",0.94,"178,984",-1.00,"1,490,683",-9.71
1999M04,"936,075",-15.77,"168,112",-0.37,"767,963",-18.53,"545,770",1.44,"714,158",0.97,"168,388",-0.51,"1,481,845",-10.16,"954,663",-14.83,"172,083",-2.86,"782,580",-17.08,"522,402",1.92,"694,769",0.68,"172,367",-2.92,"1,477,065",-9.57
1999M05,"938,733",-15.88,"165,199",-1.36,"773,534",-18.45,"536,148",1.07,"701,619",0.46,"165,471",-1.46,"1,474,881",-10.42,"948,687",-16.05,"171,982",2.03,"776,705",-19.22,"512,146",-1.15,"684,410",-0.38,"172,264",1.95,"1,460,833",-11.36
1999M06,"939,635",-15.94,"165,419",-0.82,"774,216",-18.60,"531,677",0.51,"697,365",0.16,"165,688",-0.94,"1,471,312",-10.66,"995,740",-13.72,"176,347",-1.07,"819,393",-16.03,"512,153",0.51,"688,702",0.08,"176,549",-1.12,"1,507,893",-9.36
1999M07,"953,270",-16.25,"166,314",-2.28,"786,956",-18.70,"530,031",1.51,"696,615",0.54,"166,584",-2.41,"1,483,301",-10.66,"969,906",-15.06,"167,757",-4.54,"802,149",-16.98,"512,809",3.10,"680,740",1.08,"167,931",-4.63,"1,482,715",-9.55
1999M08,"943,841",-14.81,"160,917",-3.63,"782,924",-16.79,"526,929",1.91,"688,091",0.52,"161,162",-3.76,"1,470,770",-9.49,"983,993",-13.61,"168,718",-3.30,"815,275",-15.48,"500,839",2.18,"669,739",0.67,"168,900",-3.54,"1,484,832",-8.86
1999M09,"958,296",-11.99,"160,705",-3.22,"797,591",-13.57,"526,674",3.92,"687,694",2.13,"161,020",-3.32,"1,484,970",-6.94,"971,685",-13.11,"175,401",0.30,"796,284",-15.59,"504,956",3.57,"680,715",2.67,"175,759",0.18,"1,476,641",-8.04
1999M10,"943,316",-11.84,"160,532",-3.59,"782,784",-13.37,"521,128",1.83,"681,979",0.47,"160,851",-3.69,"1,464,444",-7.42,"966,533",-7.43,"161,184",-5.83,"805,349",-7.75,"502,466",2.28,"663,941",0.18,"161,475",-5.85,"1,468,999",-4.32
1999M11,"953,775",-11.30,"160,412",-4.07,"793,363",-12.63,"522,247",1.52,"682,977",0.15,"160,730",-4.05,"1,476,022",-7.15,"998,296",-10.32,"173,669",-3.91,"824,627",-11.56,"500,252",-0.23,"674,198",-1.21,"173,946",-3.93,"1,498,548",-7.19
1999M12,"982,078",-10.05,"167,492",-1.50,"814,586",-11.62,"539,385",4.23,"707,182",2.81,"167,797",-1.48,"1,521,463",-5.46,"1,032,149",-10.36,"195,441",8.27,"836,708",-13.82,"611,167",18.96,"806,939",16.20,"195,772",8.34,"1,643,316",-1.31
2000M01,"1,011,034",-8.88,"222,427",25.63,"788,607",-15.44,"577,175",10.57,"799,975",14.38,"222,800",25.56,"1,588,209",-2.66,"1,152,251",2.63,"298,337",44.43,"853,914",-6.79,"635,356",23.56,"934,030",29.44,"298,674",44.02,"1,787,607",9.20
2000M02,"1,005,658",-7.85,"198,449",-15.29,"807,209",-5.82,"695,251",4.57,"893,989",-0.63,"198,738",-15.36,"1,700,909",-3.15,"1,033,103",6.03,"193,290",-2.50,"839,813",8.21,"592,167",-3.42,"785,667",-3.21,"193,500",-2.56,"1,625,270",2.38
2000M03,"1,008,681",7.25,"173,381",-4.27,"835,300",10.00,"585,710",3.25,"759,396",1.43,"173,686",-4.25,"1,594,391",5.74,"1,087,576",13.10,"179,258",0.28,"908,318",16.03,"557,841",5.44,"737,428",4.15,"179,587",0.34,"1,645,417",10.38
2000M04,"1,003,609",7.21,"170,520",1.43,"833,089",8.48,"564,411",3.42,"735,215",2.95,"170,804",1.43,"1,568,020",5.82,"1,079,993",13.13,"176,287",2.44,"903,706",15.48,"542,086",3.77,"718,595",3.43,"176,509",2.40,"1,622,079",9.82
2000M05,"1,011,763",7.78,"167,745",1.54,"844,018",9.11,"549,837",2.55,"717,866",2.32,"168,029",1.55,"1,561,600",5.88,"1,055,371",11.25,"171,967",-0.01,"883,404",13.74,"524,730",2.46,"696,927",1.83,"172,197",-0.04,"1,580,101",8.16
