期間,流通卡數(千張)_原始值,流通卡數(千張)_年增率(%),簽帳金額-合計(新臺幣百萬元)_原始值,簽帳金額-合計(新臺幣百萬元)_年增率(%),簽帳金額-國內(新臺幣百萬元)_原始值,簽帳金額-國內(新臺幣百萬元)_年增率(%),簽帳金額-國外(新臺幣百萬元)_原始值,簽帳金額-國外(新臺幣百萬元)_年增率(%),預借現金-合計(新臺幣百萬元)_原始值,預借現金-合計(新臺幣百萬元)_年增率(%),預借現金-國內(新臺幣百萬元)_原始值,預借現金-國內(新臺幣百萬元)_年增率(%),預借現金-國外(新臺幣百萬元)_原始值,預借現金-國外(新臺幣百萬元)_年增率(%),循環信用餘額(新臺幣百萬元)_原始值,循環信用餘額(新臺幣百萬元)_年增率(%)
1991,927,47.38,"37,355",53.74,-,-,-,-,-,-,-,-,-,-,-,-
1992,"1,503",62.14,"64,841",73.58,-,-,-,-,-,-,-,-,-,-,-,-
1993,"2,051",36.46,"94,991",46.50,-,-,-,-,-,-,-,-,-,-,-,-
1994,"2,709",32.08,"131,553",38.49,-,-,-,-,-,-,-,-,-,-,-,-
1995,"3,676",35.70,"190,653",44.92,-,-,-,-,-,-,-,-,-,-,-,-
1996,"5,467",48.72,"272,387",42.87,"227,386",-,"45,001",-,"14,702",-,"13,453",-,"1,249",-,-,-
1997,"7,665",40.20,"374,425",37.46,"322,480",41.82,"51,945",15.43,"25,742",75.09,"24,456",81.79,"1,286",2.96,-,-
1998,"10,640",38.81,"491,097",31.16,"441,505",36.91,"49,592",-4.53,"39,642",54.00,"38,173",56.09,"1,469",14.23,"124,908",-
1999,"13,575",27.58,"597,786",21.72,"545,830",23.63,"51,956",4.77,"51,386",29.63,"49,681",30.15,"1,705",16.07,"152,768",22.30
2000,"18,276",34.63,"719,770",20.41,"660,934",21.09,"58,836",13.24,"79,768",55.23,"77,820",56.64,"1,948",14.25,"205,656",34.62
2001,"24,135",32.06,"771,861",7.24,"716,162",8.36,"55,699",-5.33,"103,780",30.10,"101,602",30.56,"2,178",11.81,"259,875",26.36
2002,"31,591",30.89,"873,599",13.18,"813,492",13.59,"60,107",7.91,"132,488",27.66,"130,377",28.32,"2,111",-3.08,"316,328",21.72
2003,"37,850",19.81,"998,885",14.34,"941,637",15.75,"57,248",-4.76,"178,398",34.65,"176,229",35.17,"2,169",2.75,"399,847",26.40
2004,"44,182",16.73,"1,254,482",25.59,"1,177,015",25.00,"77,467",35.32,"205,843",15.38,"203,000",15.19,"2,843",31.07,"457,932",14.53
2005,"45,494",2.97,"1,420,984",13.27,"1,341,336",13.96,"79,648",2.82,"215,569",4.72,"213,471",5.16,"2,098",-26.20,"494,711",8.03
2006,"38,324",-15.76,"1,380,462",-2.85,"1,299,164",-3.14,"81,298",2.07,"88,001",-59.18,"86,857",-59.31,"1,143",-45.52,"350,430",-29.16
2007,"36,437",-4.92,"1,413,455",2.39,"1,329,901",2.37,"83,554",2.77,"77,905",-11.47,"77,135",-11.19,770,-32.63,"284,700",-18.76
2008,"33,950",-6.82,"1,394,056",-1.37,"1,313,580",-1.23,"80,476",-3.68,"86,855",11.49,"86,318",11.90,537,-30.23,"253,662",-10.90
2009,"30,567",-9.97,"1,365,434",-2.05,"1,292,017",-1.64,"73,417",-8.77,"35,637",-58.97,"35,188",-59.23,448,-16.56,"208,107",-17.96
2010,"30,706",0.45,"1,538,923",12.71,"1,455,101",12.62,"83,822",14.17,"32,650",-8.38,"32,217",-8.44,433,-3.46,"180,980",-13.04
2011,"32,855",7.00,"1,669,139",8.46,"1,576,849",8.37,"92,291",10.10,"30,124",-7.74,"29,684",-7.86,440,1.62,"141,561",-21.78
2012,"34,076",3.72,"1,762,752",5.61,"1,664,302",5.55,"98,450",6.67,"27,752",-7.87,"27,305",-8.02,447,1.68,"131,874",-6.84
2013,"35,946",5.49,"1,913,616",8.56,"1,797,462",8.00,"116,154",17.98,"26,657",-3.95,"26,185",-4.10,471,5.44,"118,471",-10.16
