期間,出口-合計_原始值,出口-合計_年增率(%),出口-合計_原始值,出口-合計_年增率(%),出口-動物及動物產品_原始值,出口-動物及動物產品_年增率(%),出口-動物及動物產品_原始值,出口-動物及動物產品_年增率(%),出口-動物及動物產品-(1)水產品_原始值,出口-動物及動物產品-(1)水產品_年增率(%),出口-動物及動物產品-(1)水產品_原始值,出口-動物及動物產品-(1)水產品_年增率(%),出口-植物產品_原始值,出口-植物產品_年增率(%),出口-植物產品_原始值,出口-植物產品_年增率(%),出口-調製食品、飲料及菸業_原始值,出口-調製食品、飲料及菸業_年增率(%),出口-調製食品、飲料及菸業_原始值,出口-調製食品、飲料及菸業_年增率(%),出口-礦產品_原始值,出口-礦產品_年增率(%),出口-礦產品_原始值,出口-礦產品_年增率(%),出口-化學品_原始值,出口-化學品_年增率(%),出口-化學品_原始值,出口-化學品_年增率(%),出口-塑膠、橡膠及其製品_原始值,出口-塑膠、橡膠及其製品_年增率(%),出口-塑膠、橡膠及其製品_原始值,出口-塑膠、橡膠及其製品_年增率(%),出口-塑膠、橡膠及其製品-(1)塑膠及其製品_原始值,出口-塑膠、橡膠及其製品-(1)塑膠及其製品_年增率(%),出口-塑膠、橡膠及其製品-(1)塑膠及其製品_原始值,出口-塑膠、橡膠及其製品-(1)塑膠及其製品_年增率(%),出口-塑膠、橡膠及其製品-(2)橡膠及其製品_原始值,出口-塑膠、橡膠及其製品-(2)橡膠及其製品_年增率(%),出口-塑膠、橡膠及其製品-(2)橡膠及其製品_原始值,出口-塑膠、橡膠及其製品-(2)橡膠及其製品_年增率(%),出口-皮革、毛皮製品_原始值,出口-皮革、毛皮製品_年增率(%),出口-皮革、毛皮製品_原始值,出口-皮革、毛皮製品_年增率(%),出口-木材、木製品及編結品、合板_原始值,出口-木材、木製品及編結品、合板_年增率(%),出口-木材、木製品及編結品、合板_原始值,出口-木材、木製品及編結品、合板_年增率(%),出口-紡織品_原始值,出口-紡織品_年增率(%),出口-紡織品_原始值,出口-紡織品_年增率(%),出口-紡織品-(1)紗布_原始值,出口-紡織品-(1)紗布_年增率(%),出口-紡織品-(1)紗布_原始值,出口-紡織品-(1)紗布_年增率(%),出口-紡織品-(2)成衣_原始值,出口-紡織品-(2)成衣_年增率(%),出口-紡織品-(2)成衣_原始值,出口-紡織品-(2)成衣_年增率(%),出口-鞋、帽、雨傘、羽毛製品、人造花、人髮製品_原始值,出口-鞋、帽、雨傘、羽毛製品、人造花、人髮製品_年增率(%),出口-鞋、帽、雨傘、羽毛製品、人造花、人髮製品_原始值,出口-鞋、帽、雨傘、羽毛製品、人造花、人髮製品_年增率(%),出口-石料、水泥、陶瓷、玻璃及其製品_原始值,出口-石料、水泥、陶瓷、玻璃及其製品_年增率(%),出口-石料、水泥、陶瓷、玻璃及其製品_原始值,出口-石料、水泥、陶瓷、玻璃及其製品_年增率(%),出口-基本金屬及其製品_原始值,出口-基本金屬及其製品_年增率(%),出口-基本金屬及其製品_原始值,出口-基本金屬及其製品_年增率(%),出口-基本金屬及其製品-(1)鋼鐵及其製品_原始值,出口-基本金屬及其製品-(1)鋼鐵及其製品_年增率(%),出口-基本金屬及其製品-(1)鋼鐵及其製品_原始值,出口-基本金屬及其製品-(1)鋼鐵及其製品_年增率(%),出口-基本金屬及其製品-(2)其他金屬製品_原始值,出口-基本金屬及其製品-(2)其他金屬製品_年增率(%),出口-基本金屬及其製品-(2)其他金屬製品_原始值,出口-基本金屬及其製品-(2)其他金屬製品_年增率(%),出口-機械及電機設備_原始值,出口-機械及電機設備_年增率(%),出口-機械及電機設備_原始值,出口-機械及電機設備_年增率(%),出口-機械及電機設備-(1)電子產品_原始值,出口-機械及電機設備-(1)電子產品_年增率(%),出口-機械及電機設備-(1)電子產品_原始值,出口-機械及電機設備-(1)電子產品_年增率(%),出口-機械及電機設備-(2)機械_原始值,出口-機械及電機設備-(2)機械_年增率(%),出口-機械及電機設備-(2)機械_原始值,出口-機械及電機設備-(2)機械_年增率(%),出口-機械及電機設備-(3)電機產品_原始值,出口-機械及電機設備-(3)電機產品_年增率(%),出口-機械及電機設備-(3)電機產品_原始值,出口-機械及電機設備-(3)電機產品_年增率(%),出口-機械及電機設備-(4)資訊與通信產品_原始值,出口-機械及電機設備-(4)資訊與通信產品_年增率(%),出口-機械及電機設備-(4)資訊與通信產品_原始值,出口-機械及電機設備-(4)資訊與通信產品_年增率(%),出口-機械及電機設備-(5)家用電器_原始值,出口-機械及電機設備-(5)家用電器_年增率(%),出口-機械及電機設備-(5)家用電器_原始值,出口-機械及電機設備-(5)家用電器_年增率(%),出口-車輛、航空器、船舶及有關運輸設備_原始值,出口-車輛、航空器、船舶及有關運輸設備_年增率(%),出口-車輛、航空器、船舶及有關運輸設備_原始值,出口-車輛、航空器、船舶及有關運輸設備_年增率(%),出口-精密儀器、鐘錶、樂器_原始值,出口-精密儀器、鐘錶、樂器_年增率(%),出口-精密儀器、鐘錶、樂器_原始值,出口-精密儀器、鐘錶、樂器_年增率(%),出口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫療等器材_原始值,出口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫療等器材_年增率(%),出口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫療等器材_原始值,出口-精密儀器、鐘錶、樂器-(1)光學照相、計量、醫療等器材_年增率(%),出口-精密儀器、鐘錶、樂器-(2)鐘錶_原始值,出口-精密儀器、鐘錶、樂器-(2)鐘錶_年增率(%),出口-精密儀器、鐘錶、樂器-(2)鐘錶_原始值,出口-精密儀器、鐘錶、樂器-(2)鐘錶_年增率(%),出口-玩具遊戲品與運動用品及其零、附件_原始值,出口-玩具遊戲品與運動用品及其零、附件_年增率(%),出口-玩具遊戲品與運動用品及其零、附件_原始值,出口-玩具遊戲品與運動用品及其零、附件_年增率(%),出口-其他_原始值,出口-其他_年增率(%),出口-其他_原始值,出口-其他_年增率(%),出口-其他-家具_原始值,出口-其他-家具_年增率(%),出口-其他-家具_原始值,出口-其他-家具_年增率(%)
2000M01,"377,753",19.88,"12,197.4",24.49,"3,308",13.25,106.8,17.62,"2,757",12.58,89.0,16.95,997,4.73,32.2,8.78,"1,232",13.24,39.8,17.75,"4,838",92.60,156.2,100.00,"10,115",21.60,326.6,26.25,"22,814",16.22,736.7,20.69,"19,966",18.55,644.8,23.12,"2,848",2.15,91.9,6.00,"2,889",-0.48,93.3,3.32,"1,086",-4.32,35.1,-0.57,"37,976",7.26,"1,226.2",11.38,"26,705",8.84,862.3,13.03,"5,967",0.45,192.7,4.33,"2,841",-9.84,91.8,-6.33,"2,695",-2.81,87.0,0.93,"37,663",21.54,"1,216.1",26.22,"23,465",32.84,757.7,37.96,"14,198",6.55,458.5,10.67,"202,450",22.78,"6,537.0",27.50,"77,263",45.94,"2,494.8",51.55,"25,492",17.09,823.1,21.58,"14,242",19.84,459.9,24.47,"42,785",11.87,"1,381.5",16.17,"1,691",-12.56,54.6,-9.15,"18,482",24.79,596.8,29.60,"10,397",60.03,335.7,66.19,"7,933",92.36,256.1,99.77,544,0.00,17.6,4.14,"5,023",2.97,162.2,6.92,"12,946",5.60,418.0,9.65,"5,274",1.42,170.3,5.32
2000M02,"282,410",15.69,"9,199.0",21.50,"2,494",3.10,81.2,8.27,"2,115",1.83,68.9,6.99,577,-2.20,18.8,2.73,900,8.04,29.3,13.57,"3,024",32.46,98.5,39.12,"8,292",46.74,270.1,54.08,"18,991",40.65,618.6,47.71,"16,809",43.61,547.5,50.78,"2,182",21.42,71.1,27.65,"1,913",-10.31,62.3,-5.89,787,-10.36,25.6,-5.88,"28,744",19.89,936.3,25.90,"20,272",22.31,660.3,28.44,"4,188",2.10,136.4,7.23,"2,068",-4.83,67.4,0.00,"1,908",-0.52,62.1,4.37,"26,967",10.23,878.4,15.76,"16,921",14.55,551.2,20.30,"10,046",3.65,327.2,8.85,"155,596",17.08,"5,068.3",22.95,"56,023",32.95,"1,824.9",39.63,"17,569",13.94,572.3,19.65,"10,110",12.31,329.3,17.94,"40,283",21.37,"1,312.2",27.46,"1,398",-5.16,45.5,-0.44,"10,407",-14.04,339.0,-9.72,"7,055",40.17,229.8,47.21,"5,511",67.51,179.5,75.98,361,-6.48,11.8,-1.67,"3,331",-12.04,108.5,-7.66,"9,357",-1.07,304.8,3.89,"3,785",-7.43,123.3,-2.76
2000M03,"375,185",9.19,"12,225.0",17.62,"2,466",21.42,80.4,30.94,"1,991",24.75,64.9,34.37,863,-33.46,28.1,-28.32,"1,396",-1.06,45.5,6.56,"5,338",124.47,173.9,141.86,"10,425",13.28,339.7,22.02,"22,567",7.24,735.3,15.52,"19,646",8.52,640.1,16.91,"2,921",-0.68,95.2,6.97,"3,111",-16.30,101.4,-9.79,970,-18.21,31.6,-11.98,"37,869",0.43,"1,233.9",8.19,"28,047",-1.43,913.9,6.18,"4,359",3.39,142.0,11.37,"2,536",-16.30,82.6,-9.92,"2,397",-7.56,78.1,-0.38,"35,361",5.20,"1,152.2",13.32,"22,613",11.22,736.8,19.80,"12,748",-4.03,415.4,3.38,"207,773",13.31,"6,770.1",22.06,"76,142",33.01,"2,481.0",43.29,"24,324",11.13,792.6,19.73,"13,878",3.82,452.2,11.85,"52,417",13.05,"1,707.9",21.78,"1,967",-15.18,64.1,-8.69,"15,816",4.42,515.3,12.49,"9,513",26.10,310.0,35.85,"7,342",35.44,239.2,45.85,492,-1.40,16.0,5.96,"4,563",-12.32,148.7,-5.53,"12,221",-7.06,398.2,0.10,"5,000",-2.27,162.9,5.23
2000M04,"382,810",26.96,"12,559.4",37.33,"2,679",-12.93,87.9,-5.79,"2,180",-18.32,71.5,-11.73,"1,066",-12.98,35.0,-5.91,"1,499",26.82,49.2,37.05,"4,227",77.68,138.7,92.11,"10,424",35.04,342.0,46.09,"21,615",12.86,709.2,22.09,"18,819",14.28,617.5,23.62,"2,796",4.17,91.7,12.65,"3,571",-4.75,117.2,3.08,970,-7.27,31.8,0.32,"41,391",13.61,"1,358.0",22.90,"31,979",15.61,"1,049.2",25.05,"4,064",1.52,133.3,9.80,"2,408",-13.47,79.0,-6.40,"2,531",6.03,83.0,14.64,"35,662",18.85,"1,170.0",28.57,"22,314",28.27,732.1,38.76,"13,347",5.85,437.9,14.51,"209,981",39.18,"6,889.1",50.55,"78,601",57.68,"2,578.8",70.56,"25,172",23.17,825.8,33.22,"13,954",26.73,457.8,37.07,"50,855",45.26,"1,668.5",57.12,"2,133",-10.19,70.0,-2.78,"17,362",14.07,569.6,23.40,"9,980",34.65,327.4,45.64,"7,706",46.31,252.8,58.20,517,8.61,17.0,18.06,"4,870",3.53,159.8,11.98,"12,574",3.26,412.5,11.70,"4,794",3.41,157.3,11.88
2000M05,"411,610",18.49,"13,442.5",26.50,"3,872",45.95,126.4,55.67,"3,296",45.45,107.6,55.27,"1,115",-17.04,36.4,-11.44,"1,685",46.65,55.0,56.70,"4,650",61.68,151.9,72.61,"11,972",26.58,391.0,35.15,"24,994",11.88,816.3,19.45,"21,941",14.06,716.6,21.77,"3,053",-1.61,99.7,5.06,"3,922",-5.95,128.1,0.39,"1,192",-0.58,38.9,5.99,"47,885",4.76,"1,563.8",11.84,"35,906",5.13,"1,172.6",12.23,"5,844",3.12,190.8,10.10,"2,603",-12.09,85.0,-6.18,"2,850",3.19,93.1,10.18,"37,978",13.95,"1,240.3",21.66,"23,341",19.02,762.3,27.07,"14,638",6.71,478.0,13.92,"219,195",25.42,"7,158.6",33.90,"83,891",44.70,"2,739.7",54.48,"28,993",23.52,946.9,31.88,"15,028",19.77,490.8,27.88,"49,409",22.31,"1,613.6",30.58,"2,230",-22.38,72.8,-17.18,"18,057",14.97,589.7,22.73,"10,652",27.04,347.9,35.63,"8,267",37.28,270.0,46.58,487,-7.41,15.9,-1.24,"5,371",3.83,175.4,10.80,"13,616",1.54,444.7,8.41,"5,172",8.22,168.9,15.53
2000M06,"391,043",21.99,"12,708.6",29.08,"3,551",4.93,115.4,11.07,"3,059",1.22,99.4,7.11,"1,090",-4.64,35.4,0.85,"1,618",66.46,52.6,76.51,"4,448",118.47,144.5,131.20,"10,980",31.77,356.8,39.43,"24,115",21.36,783.7,28.41,"21,271",24.49,691.3,31.73,"2,844",2.19,92.4,8.07,"3,455",-1.71,112.3,3.98,"1,037",-8.88,33.7,-3.44,"43,230",1.93,"1,404.9",7.86,"31,199",2.45,"1,013.9",8.40,"6,163",-6.15,200.3,-0.69,"2,304",-11.08,74.9,-5.90,"2,636",8.57,85.7,14.88,"34,571",17.26,"1,123.5",24.08,"21,245",22.37,690.4,29.48,"13,326",9.93,433.1,16.33,"215,411",30.12,"7,000.7",37.69,"85,883",62.81,"2,791.1",72.28,"25,402",19.92,825.5,26.88,"13,410",11.91,435.8,18.42,"52,452",21.35,"1,704.7",28.41,"1,810",-23.24,58.8,-18.78,"14,328",9.52,465.7,15.90,"11,200",42.19,364.0,50.48,"8,795",53.95,285.8,62.85,427,-5.74,13.9,0.00,"5,017",7.89,163.1,14.22,"12,053",-0.40,391.8,5.41,"4,372",2.53,142.1,8.47
2000M07,"428,407",33.34,"13,922.9",39.75,"3,403",0.24,110.6,5.03,"2,944",-0.91,95.7,3.91,"1,026",-15.21,33.3,-11.20,"1,682",77.99,54.7,86.69,"4,464",52.41,145.1,59.80,"11,567",37.93,375.9,44.58,"25,722",33.71,835.9,40.13,"22,585",35.96,733.9,42.48,"3,137",19.50,102.0,25.31,"3,441",13.00,111.8,18.43,"1,184",7.34,38.5,12.57,"44,882",3.31,"1,458.6",8.28,"30,568",1.28,993.5,6.15,"8,001",4.49,260.0,9.52,"2,386",-4.41,77.6,0.26,"2,911",19.01,94.6,24.80,"36,662",21.47,"1,191.5",27.32,"22,644",27.51,735.9,33.65,"14,018",12.83,455.6,18.28,"242,417",46.65,"7,878.4",53.70,"98,966",70.75,"3,216.3",78.96,"28,476",34.37,925.4,40.83,"15,070",24.93,489.8,30.96,"55,625",44.44,"1,807.8",51.39,"1,787",9.16,58.1,14.37,"15,816",27.86,514.0,33.99,"12,291",55.05,399.4,62.49,"9,787",69.44,318.1,77.61,488,-7.05,15.9,-2.45,"5,929",25.06,192.7,31.09,"12,624",4.03,410.2,9.01,"4,616",9.18,150.0,14.42
2000M08,"405,171",17.92,"13,057.4",21.98,"3,041",-21.93,98.0,-19.21,"2,671",-20.62,86.1,-17.84,622,-17.94,20.0,-15.25,"1,145",15.77,36.9,19.81,"4,903",28.76,158.0,33.22,"10,717",15.45,345.4,19.43,"24,780",13.98,798.6,17.91,"21,883",15.19,705.2,19.16,"2,897",5.61,93.4,9.24,"2,800",-8.53,90.2,-5.45,"1,107",-15.50,35.7,-12.50,"40,368",-5.59,"1,301.0",-2.33,"26,209",-10.27,844.6,-7.18,"8,078",6.99,260.3,10.67,"2,222",-12.73,71.6,-9.71,"2,920",10.94,94.1,14.76,"35,960",8.91,"1,158.9",12.67,"21,613",10.36,696.5,14.16,"14,347",6.79,462.4,10.49,"230,619",29.24,"7,432.1",33.70,"95,988",49.62,"3,093.4",54.78,"27,277",19.59,879.1,23.73,"14,452",11.03,465.7,14.85,"51,181",30.22,"1,649.4",34.71,"1,427",-17.18,46.0,-14.34,"14,190",9.51,457.3,13.28,"11,769",32.53,379.3,37.13,"9,412",40.00,303.3,44.84,451,-14.58,14.5,-11.59,"6,485",23.34,209.0,27.59,"11,523",-6.12,371.4,-2.88,"4,320",0.96,139.2,4.43
2000M09,"412,654",36.10,"13,290.0",39.21,"3,507",16.01,112.9,18.59,"3,112",22.23,100.2,24.94,616,4.58,19.8,7.03,"1,113",30.02,35.8,32.59,"4,492",26.82,144.7,29.78,"10,763",30.10,346.6,33.05,"24,956",27.65,803.7,30.58,"22,162",29.48,713.7,32.44,"2,794",14.79,90.0,17.49,"2,644",4.14,85.2,6.63,"1,200",12.68,38.6,15.22,"38,905",9.70,"1,253.0",12.21,"26,383",11.41,849.7,13.96,"6,758",-0.30,217.6,1.97,"2,100",-1.04,67.6,1.20,"2,755",16.10,88.7,18.74,"35,662",17.41,"1,148.5",20.09,"21,699",19.84,698.9,22.59,"13,963",13.81,449.7,16.41,"239,307",51.10,"7,707.2",54.56,"98,195",70.15,"3,162.5",74.04,"25,929",35.19,835.1,38.28,"13,953",18.95,449.4,21.69,"56,259",67.32,"1,811.9",71.16,"1,416",10.28,45.6,12.87,"15,156",21.87,488.1,24.64,"11,189",49.01,360.4,52.45,"8,753",57.46,281.9,61.09,408,-17.74,13.1,-16.03,"7,044",49.74,226.9,53.21,"11,243",8.16,362.1,10.63,"4,218",7.22,135.9,9.69
2000M10,"436,313",20.21,"13,957.6",22.02,"3,070",-6.49,98.2,-5.12,"2,655",-1.63,84.9,-0.24,655,2.83,21.0,4.48,"1,339",19.55,42.8,21.25,"6,102",66.09,195.2,68.57,"11,887",12.60,380.3,14.31,"25,564",6.29,817.8,7.89,"22,503",6.56,719.9,8.16,"3,061",4.36,97.9,5.95,"3,000",-10.58,96.0,-9.18,"1,177",-6.07,37.6,-4.81,"38,084",-1.43,"1,218.3",0.05,"26,814",-1.37,857.8,0.12,"5,375",-7.57,171.9,-6.22,"2,224",-9.04,71.2,-7.65,"2,913",12.47,93.2,14.22,"36,870",9.70,"1,179.5",11.36,"22,571",10.88,722.0,12.55,"14,299",7.89,457.4,9.50,"254,692",28.82,"8,147.6",30.75,"103,126",47.47,"3,299.0",49.69,"27,183",24.24,869.6,26.10,"15,135",13.40,484.2,15.12,"60,032",31.01,"1,920.4",32.98,"1,510",-3.27,48.3,-1.83,"15,767",23.23,504.4,25.07,"12,458",30.74,398.5,32.70,"10,038",37.02,321.1,39.06,450,-18.33,14.4,-17.24,"8,635",62.80,276.2,65.19,"11,876",-4.19,379.9,-2.76,"4,686",-4.19,149.9,-2.73
