期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),妨害安寧秩序_原始值,妨害安寧秩序_年增率(%),妨害安寧秩序_原始值,妨害安寧秩序_年增率(%),妨害善良風俗_原始值,妨害善良風俗_年增率(%),妨害善良風俗_原始值,妨害善良風俗_年增率(%),妨害公務_原始值,妨害公務_年增率(%),妨害公務_原始值,妨害公務_年增率(%),妨害他人身體及財產_原始值,妨害他人身體及財產_年增率(%),妨害他人身體及財產_原始值,妨害他人身體及財產_年增率(%)
2007M05,677,-15.48,"1,160",3.29,143,-48.00,173,-38.87,520,-0.38,951,14.30,4,--,8,--,10,150.00,28,250.00
2007M06,571,-23.66,897,-6.66,146,-35.96,156,-33.62,424,-17.83,740,2.49,0,-100.00,0,-100.00,1,-66.67,1,-66.67
2007M07,"1,151",-2.95,"1,453",-9.53,681,5.58,694,5.95,467,-12.38,756,-19.49,1,-66.67,1,-83.33,2,-60.00,2,-66.67
2007M08,"1,331",-1.11,"1,627",-0.97,885,10.21,888,6.86,436,-17.42,727,-7.97,0,-100.00,0,-100.00,10,-16.67,12,-29.41
2007M09,920,-3.36,"1,314",18.81,524,12.69,526,9.36,392,-15.70,784,31.54,1,-50.00,1,-50.00,3,-85.00,3,-88.89
2007M10,741,1.93,"1,007",10.66,305,-8.96,295,-12.98,433,13.95,709,27.75,0,-100.00,0,-100.00,3,-66.67,3,-75.00
2007M11,633,5.68,827,6.03,146,-17.98,157,-16.04,485,17.15,668,14.38,0,-100.00,0,-100.00,2,-33.33,2,-60.00
2007M12,645,1.74,895,-9.23,166,-2.35,168,-9.68,475,3.94,723,-8.60,0,-100.00,0,-100.00,4,-33.33,4,-50.00
2008M01,716,34.33,"1,175",16.80,126,31.25,146,5.80,587,37.47,"1,025",20.31,2,--,2,--,1,-90.00,2,-87.50
2008M02,892,12.63,"1,546",0.85,370,-2.63,394,-8.58,517,27.03,"1,147",4.94,2,100.00,2,100.00,3,-25.00,3,-62.50
2008M03,882,-30.88,"1,339",-26.35,243,-63.40,245,-63.54,632,4.64,"1,087",-3.89,2,--,2,--,5,-37.50,5,-66.67
2008M04,707,-4.97,"1,081",1.22,192,-31.43,195,-30.60,508,11.16,880,13.40,1,-50.00,1,-50.00,6,20.00,5,-44.44
2008M05,887,31.02,"1,190",2.59,215,50.35,217,25.43,668,28.46,960,0.95,0,-100.00,0,-100.00,4,-60.00,13,-53.57
2008M06,670,17.34,912,1.67,115,-21.23,147,-5.77,554,30.66,764,3.24,0,--,0,--,1,0.00,1,0.00
2008M07,"1,395",21.20,"1,652",13.70,868,27.46,903,30.12,526,12.63,748,-1.06,0,-100.00,0,-100.00,1,-50.00,1,-50.00
2008M08,"1,572",18.11,"1,845",13.40,"1,059",19.66,"1,100",23.87,506,16.06,731,0.55,3,--,3,--,4,-60.00,11,-8.33
2008M09,"1,321",43.59,"1,620",23.29,846,61.45,856,62.74,466,18.88,748,-4.59,2,100.00,2,100.00,7,133.33,14,366.67
2008M10,819,10.53,"1,061",5.36,309,1.31,308,4.41,500,15.47,741,4.51,5,--,6,--,5,66.67,6,100.00
2008M11,525,-17.06,715,-13.54,110,-24.66,126,-19.75,405,-16.49,570,-14.67,3,--,3,--,7,250.00,16,700.00
2008M12,580,-10.08,766,-14.41,92,-44.58,99,-41.07,485,2.11,664,-8.16,1,--,1,--,2,-50.00,2,-50.00
2009M01,613,-14.39,"1,173",-0.17,141,11.90,155,6.16,471,-19.76,"1,017",-0.78,0,-100.00,0,-100.00,1,0.00,1,-50.00
2009M02,909,1.91,"1,598",3.36,347,-6.22,371,-5.84,557,7.74,"1,222",6.54,2,0.00,2,0.00,3,0.00,3,0.00
2009M03,682,-22.68,"1,034",-22.78,199,-18.11,208,-15.10,480,-24.05,823,-24.29,0,-100.00,0,-100.00,3,-40.00,3,-40.00
2009M04,728,2.97,"1,052",-2.68,243,26.56,276,41.54,483,-4.92,773,-12.16,0,-100.00,0,-100.00,2,-66.67,3,-40.00
2009M05,564,-36.41,764,-35.80,215,0.00,230,5.99,346,-48.20,531,-44.69,2,--,2,--,1,-75.00,1,-92.31
2009M06,555,-17.16,730,-19.96,119,3.48,138,-6.12,424,-23.47,579,-24.21,10,--,10,--,2,100.00,3,200.00
2009M07,980,-29.75,"1,172",-29.06,655,-24.54,720,-20.27,323,-38.59,450,-39.84,0,--,0,--,2,100.00,2,100.00
2009M08,992,-36.90,"1,242",-32.68,598,-43.53,604,-45.09,386,-23.72,629,-13.95,4,33.33,4,33.33,4,0.00,5,-54.55
2009M09,683,-48.30,944,-41.73,378,-55.32,383,-55.26,303,-34.98,553,-26.07,1,-50.00,1,-50.00,1,-85.71,7,-50.00
2009M10,641,-21.73,834,-21.39,277,-10.36,289,-6.17,355,-29.00,527,-28.88,2,-60.00,2,-66.67,7,40.00,16,166.67
2009M11,436,-16.95,683,-4.48,145,31.82,152,20.63,287,-29.14,527,-7.54,1,-66.67,1,-66.67,3,-57.14,3,-81.25
2009M12,474,-18.28,654,-14.62,150,63.04,158,59.60,305,-37.11,474,-28.61,1,0.00,1,0.00,18,800.00,21,950.00
2010M01,414,-32.46,750,-36.06,144,2.13,169,9.03,250,-46.92,561,-44.84,15,--,15,--,5,400.00,5,400.00
2010M02,632,-30.47,"1,499",-6.20,240,-30.84,329,-11.32,381,-31.60,"1,154",-5.56,2,0.00,2,0.00,9,200.00,14,366.67
