期間,總計,公共集會類(A類),商業類(B類),工業、倉儲類(C類),休閒、文教類(D類),宗教、殯葬類(E類),衛生、福利、更生類(F類),辦公、服務類(G類),住宿類(H類)-宿舍安養(H1),住宿類(H類)-住宅(H2),危險物品類(I類),其他
1991,"31,995,034",...,"8,162,033","4,684,532","1,806,634",...,"304,085","2,500,075",...,"13,112,880",...,"1,424,795"
1992,"36,922,351",...,"9,062,145","4,954,814","1,917,002",...,"229,207","2,508,465",...,"16,721,810",...,"1,528,908"
1993,"47,542,986",...,"12,901,110","5,005,068","2,060,648",...,"120,559","2,370,967",...,"23,054,122",...,"2,030,512"
1994,"58,159,322",...,"15,525,697","5,717,716","2,199,250",...,"202,477","2,163,748",...,"29,990,737",...,"2,359,697"
1995,"55,266,827",...,"15,516,284","4,570,057","1,952,829",...,"459,075","2,290,260",...,"27,791,923",...,"2,682,375"
1996,"45,709,423",...,"10,991,941","4,061,748","2,533,977",...,"402,454","2,486,399",...,"21,779,131",...,"3,453,773"
1997,"38,462,486",...,"9,906,545","3,970,942","2,125,968",...,"503,404","2,902,472",...,"15,634,945",...,"3,418,210"
1998,"38,683,334",...,"9,612,974","4,936,053","2,406,021",...,"383,408","2,467,355",...,"14,821,070",...,"4,056,453"
1999,"41,239,986",...,"9,149,078","6,955,527","2,406,628",...,"473,682","4,088,783",...,"14,564,635",...,"3,601,653"
2000,"35,023,733",...,"6,405,585","7,095,450","2,632,803",...,"381,055","3,042,080",...,"11,292,174",...,"4,174,586"
2001,"31,167,915",...,"4,631,146","6,392,700","2,357,533",...,"380,291","2,425,365",...,"9,127,718",...,"5,853,162"
2002,"24,386,270",...,"3,498,392","3,475,023","2,633,438",...,"403,541","1,769,308",...,"8,532,831",...,"4,073,737"
2003,"26,497,263",...,"4,534,513","3,034,788","2,057,008",...,"251,370","2,656,023",...,"10,659,082",...,"3,304,479"
2004,"27,872,724",...,"4,798,195","2,779,699","2,046,863",...,"442,695","1,437,657",...,"12,330,189",...,"4,037,426"
2005,"31,027,550",...,"5,984,967","3,601,738","1,705,410",...,"443,348","1,324,176",...,"13,972,174",...,"3,995,737"
2006,"36,202,229","84,564","2,969,856","5,658,325","1,963,544","173,524","494,289","2,310,545","351,842","20,802,938","17,426","1,375,376"
2007,"36,024,385","60,293","918,106","6,163,143","1,998,771","170,402","425,343","2,772,328","603,820","21,578,032","30,148","1,303,999"
2008,"32,717,134","109,933","1,002,028","5,355,333","2,058,782","215,577","583,728","3,549,581","233,455","18,414,605","32,678","1,161,434"
2009,"26,534,930","198,626","1,191,590","4,821,728","2,227,010","234,140","353,167","2,582,687","441,861","13,517,972","16,285","949,864"
2010,"24,013,834","61,873","563,213","4,424,911","1,284,411","215,777","266,410","2,076,337","194,565","13,315,090","10,723","1,600,524"
2011,"25,885,034","59,356","859,465","6,013,972","1,497,456","182,354","399,191","1,329,646","236,246","13,253,304","16,430","2,037,614"
2012,"27,761,024","41,973","613,795","5,054,628","1,517,068","279,567","298,172","1,932,119","170,315","15,743,721","18,909","2,090,757"
2013,"28,771,809","164,866","627,985","5,086,044","1,364,936","189,318","258,107","1,946,248","188,158","16,887,729","51,270","2,007,148"
