期間,當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%)
1961Q1,"17,598",...,-21,--,"17,577",...,963,...,-,--,"16,614",...,-,-,"2,222",--,"14,392",...,"16,614",...,"1,097",--,"17,711",...,"15,927",...,"1,784",...,"2,747",...,15.63,--,"107,947",...,-135,--,"107,812",...,"2,508",...,-,--,"105,304",...,"1,606",--,"11,537",--,"95,373",...,"106,910",...,"7,037",--,"113,947",...,"104,217",...,"9,730",...,"12,238",...,11.35,--,16.30,...,--,--,16.30,...,38.40,...,--,--,15.78,...,-,-,19.26,--,15.09,...,15.54,...,--,--,15.54,...,15.28,...,18.34,...,22.45,...,--,--
1961Q2,"17,335",...,-21,--,"17,314",...,961,...,-,--,"16,353",...,-,-,"2,318",--,"14,035",...,"16,353",...,"1,024",--,"17,377",...,"15,237",...,"2,140",...,"3,101",...,17.91,--,"106,520",...,-133,--,"106,387",...,"2,761",...,-,--,"103,626",...,"3,565",--,"11,407",--,"95,784",...,"107,191",...,"6,485",--,"113,676",...,"101,340",...,"12,336",...,"15,097",...,14.19,--,16.27,...,--,--,16.27,...,34.81,...,--,--,15.78,...,-,-,20.32,--,14.65,...,15.26,...,--,--,15.29,...,15.04,...,17.35,...,20.54,...,--,--
1961Q3,"16,288",...,-20,--,"16,268",...,968,...,-,--,"15,300",...,-,-,"2,086",--,"13,214",...,"15,300",...,468,--,"15,768",...,"15,013",...,755,...,"1,723",...,10.59,--,"99,925",...,-125,--,"99,800",...,"2,870",...,-,--,"96,930",...,"4,657",--,"10,814",--,"90,773",...,"101,587",...,"2,934",--,"104,521",...,"99,435",...,"5,086",...,"7,956",...,7.97,--,16.30,...,--,--,16.30,...,33.73,...,--,--,15.78,...,-,-,19.29,--,14.56,...,15.06,...,--,--,15.09,...,15.10,...,14.84,...,21.66,...,--,--
1961Q4,"20,168",...,-21,--,"20,147",...,"1,095",...,-,--,"19,052",...,-,-,"2,148",--,"16,904",...,"19,052",...,"1,348",--,"20,400",...,"16,124",...,"4,276",...,"5,371",...,26.66,--,"122,593",...,-130,--,"122,463",...,"3,227",...,-,--,"119,236",...,"1,409",--,"10,586",--,"110,059",...,"120,645",...,"8,357",--,"129,002",...,"107,864",...,"21,138",...,"24,365",...,19.90,--,16.45,...,--,--,16.45,...,33.93,...,--,--,15.98,...,-,-,20.29,--,15.36,...,15.79,...,--,--,15.81,...,14.95,...,20.23,...,22.04,...,--,--
1962Q1,"18,755",6.57,-28,--,"18,727",6.54,"1,057",9.76,-,--,"17,670",6.36,-,-,"2,563",--,"15,107",4.97,"17,670",6.36,603,--,"18,273",3.17,"17,389",9.18,884,-50.45,"1,941",-29.34,10.36,--,"116,707",8.12,-175,--,"116,532",8.09,"2,987",19.10,-,--,"113,545",7.83,"2,920",--,"13,525",--,"102,940",7.93,"116,465",8.94,"3,771",--,"120,236",5.52,"113,100",8.52,"7,136",-26.66,"10,123",-17.28,8.69,--,16.07,-1.41,--,--,16.07,-1.41,35.39,-7.84,--,--,15.56,-1.39,-,-,18.95,--,14.68,-2.72,15.17,-2.38,--,--,15.20,-2.19,15.37,0.59,12.39,-32.44,19.17,-14.61,--,--
1962Q2,"19,167",10.57,-27,--,"19,140",10.55,"1,092",13.63,-,--,"18,048",10.37,-,-,"2,882",--,"15,166",8.06,"18,048",10.37,568,--,"18,616",7.13,"16,913",11.00,"1,703",-20.42,"2,795",-9.87,14.60,--,"115,128",8.08,-167,--,"114,961",8.06,"3,111",12.68,-,--,"111,850",7.94,"4,777",--,"14,894",--,"101,733",6.21,"116,627",8.80,"3,513",--,"120,140",5.69,"110,106",8.65,"10,034",-18.66,"13,145",-12.93,11.43,--,16.65,2.34,--,--,16.65,2.34,35.10,0.83,--,--,16.14,2.28,-,-,19.35,--,14.91,1.77,15.47,1.38,--,--,15.50,1.37,15.36,2.13,16.97,-2.19,21.26,3.51,--,--
1962Q3,"18,564",13.97,-27,--,"18,537",13.95,"1,127",16.43,-,--,"17,410",13.79,-,-,"2,666",--,"14,744",11.58,"17,410",13.79,303,--,"17,713",12.34,"16,690",11.17,"1,023",35.50,"2,150",24.78,11.60,--,"111,332",11.42,-167,--,"111,165",11.39,"3,282",14.36,-,--,"107,883",11.30,"5,062",--,"13,567",--,"99,378",9.48,"112,945",11.18,"1,872",--,"114,817",9.85,"107,223",7.83,"7,594",49.31,"10,876",36.70,9.78,--,16.67,2.27,--,--,16.68,2.33,34.34,1.81,--,--,16.14,2.28,-,-,19.65,--,14.84,1.92,15.41,2.32,--,--,15.43,2.25,15.57,3.11,13.47,-9.23,19.77,-8.73,--,--
1962Q4,"22,053",9.35,-28,--,"22,025",9.32,"1,226",11.96,-,--,"20,799",9.17,-,-,"2,807",--,"17,992",6.44,"20,799",9.17,720,--,"21,519",5.49,"17,865",10.80,"3,654",-14.55,"4,880",-9.14,22.16,--,"128,962",5.20,-168,--,"128,794",5.17,"3,492",8.21,-,--,"125,302",5.09,"2,804",--,"13,944",--,"114,162",3.73,"128,106",6.18,"4,335",--,"132,441",2.67,"116,420",7.93,"16,021",-24.21,"19,513",-19.91,15.15,--,17.10,3.95,--,--,17.10,3.95,35.11,3.48,--,--,16.60,3.88,-,-,20.13,--,15.76,2.60,16.24,2.85,--,--,16.25,2.78,15.35,2.68,22.81,12.75,25.01,13.48,--,--
1963Q1,"21,902",16.78,-29,--,"21,873",16.80,"1,163",10.03,-,--,"20,710",17.20,-,-,"2,761",--,"17,949",18.81,"20,710",17.20,495,--,"21,205",16.05,"18,744",7.79,"2,461",178.39,"3,624",86.71,16.57,--,"132,382",13.43,-174,--,"132,208",13.45,"3,431",14.86,-,--,"128,777",13.41,"3,408",--,"14,065",--,"118,120",14.75,"132,185",13.50,"2,975",--,"135,160",12.41,"121,439",7.37,"13,721",92.28,"17,152",69.44,12.97,--,16.54,2.92,--,--,16.54,2.92,33.90,-4.21,--,--,16.08,3.34,-,-,19.63,--,15.20,3.54,15.67,3.30,--,--,15.69,3.22,15.43,0.39,17.94,44.79,21.13,10.22,--,--
1963Q2,"21,561",12.49,-29,--,"21,532",12.50,"1,158",6.04,-,--,"20,374",12.89,-,-,"2,956",--,"17,418",14.85,"20,374",12.89,463,--,"20,837",11.93,"18,093",6.98,"2,744",61.13,"3,902",39.61,18.12,--,"126,461",9.84,-174,--,"126,287",9.85,"3,457",11.12,-,--,"122,830",9.82,"6,313",--,"14,144",--,"114,999",13.04,"129,143",10.73,"2,789",--,"131,932",9.82,"117,552",6.76,"14,380",43.31,"17,837",35.69,14.12,--,17.05,2.40,--,--,17.05,2.40,33.50,-4.56,--,--,16.59,2.79,-,-,20.90,--,15.15,1.61,15.78,2.00,--,--,15.79,1.87,15.39,0.20,19.08,12.43,21.88,2.92,--,--
