期間,勞動力參與率_合計,勞動力參與率_國小以下,勞動力參與率_國中,勞動力參與率_高中,勞動力參與率_高職,勞動力參與率_專科,勞動力參與率_大學以上,勞動力參與率_合計,勞動力參與率_國小以下,勞動力參與率_國中,勞動力參與率_高中,勞動力參與率_高職,勞動力參與率_專科,勞動力參與率_大學以上,勞動力參與率_合計,勞動力參與率_國小以下,勞動力參與率_國中,勞動力參與率_高中,勞動力參與率_高職,勞動力參與率_專科,勞動力參與率_大學以上,失業率_合計,失業率_國小以下,失業率_國中,失業率_高中,失業率_高職,失業率_專科,失業率_大學以上,失業率_合計,失業率_國小以下,失業率_國中,失業率_高中,失業率_高職,失業率_專科,失業率_大學以上,失業率_合計,失業率_國小以下,失業率_國中,失業率_高中,失業率_高職,失業率_專科,失業率_大學以上
1978,58.76,57.25,67.45,47.39,59.39,67.46,59.65,77.96,85.06,80.31,57.33,67.29,72.78,64.83,39.13,34.73,49.38,32.51,50.48,58.91,48.14,1.67,0.64,2.28,3.72,3.67,3.75,2.54,1.57,0.70,2.22,3.11,2.97,3.90,2.19,1.86,0.53,2.42,5.34,4.71,3.45,3.56
1979,58.73,56.57,68.43,47.79,60.42,67.81,58.63,77.95,84.40,81.91,58.32,68.93,73.86,64.30,39.23,34.19,50.26,32.32,51.15,57.97,46.80,1.27,0.48,1.62,2.52,2.94,2.66,1.86,1.15,0.52,1.53,2.09,2.26,2.46,1.55,1.53,0.39,1.83,3.67,3.94,3.08,2.76
1980,58.26,55.47,68.29,47.51,60.24,68.50,59.96,77.11,82.98,82.40,58.06,69.26,74.90,66.20,39.25,33.61,49.77,32.61,50.94,58.44,47.00,1.23,0.40,1.45,2.31,2.79,2.51,1.93,1.11,0.46,1.47,1.82,2.19,2.21,1.51,1.47,0.29,1.39,3.52,3.63,3.14,3.17
1981,57.82,54.54,67.23,48.73,59.65,68.47,61.31,76.78,82.23,81.41,60.00,69.16,75.23,67.61,38.76,32.64,48.81,32.95,49.93,58.38,48.68,1.36,0.46,1.69,2.25,2.97,2.57,1.86,1.21,0.52,1.63,1.85,2.33,2.21,1.58,1.65,0.35,1.82,3.28,3.87,3.26,2.62
1982,57.93,54.24,67.84,49.09,59.85,68.77,61.42,76.47,81.19,82.84,60.56,69.14,75.26,67.23,39.30,32.90,48.53,33.83,50.36,59.10,49.72,2.14,0.91,2.66,3.63,3.89,3.46,2.78,2.08,1.09,2.79,3.14,3.41,3.29,2.12,2.25,0.56,2.39,4.81,4.57,3.80,4.56
1983,59.26,55.58,68.74,49.94,61.15,69.23,62.91,76.36,80.38,83.60,61.31,69.97,74.86,68.01,42.12,36.03,49.74,34.73,52.33,61.10,52.95,2.71,1.23,3.07,4.43,4.81,4.60,3.42,2.68,1.60,3.19,3.80,4.12,4.25,2.74,2.76,0.59,2.81,5.93,5.73,5.22,5.13
1984,59.72,55.87,68.38,50.73,62.10,70.08,62.86,76.11,79.47,83.10,61.63,71.51,75.85,68.12,43.30,37.42,49.50,36.15,52.88,61.64,52.88,2.45,1.02,2.59,4.01,4.38,4.20,3.46,2.44,1.30,2.73,3.55,3.93,3.93,2.82,2.46,0.55,2.28,5.06,4.97,4.67,5.02
1985,59.49,55.22,68.33,50.66,61.69,70.89,62.31,75.47,78.19,83.12,60.98,71.43,76.82,67.04,43.46,37.24,49.52,37.01,52.20,62.35,53.40,2.91,1.33,3.13,4.48,4.90,4.68,3.65,2.90,1.77,3.26,3.90,4.19,4.49,3.01,2.92,0.62,2.87,5.74,5.85,5.02,5.17
1986,60.37,55.63,69.13,51.17,63.54,71.40,62.99,75.15,76.81,83.40,60.70,72.74,77.27,67.20,45.51,39.00,50.96,38.93,54.72,62.85,55.28,2.66,1.12,2.85,4.22,4.49,3.99,3.49,2.75,1.52,3.21,3.81,4.02,3.93,2.82,2.53,0.49,2.10,5.02,5.08,4.10,4.97
1987,60.93,55.69,69.71,51.72,64.63,72.10,63.01,75.24,76.40,84.11,61.58,73.37,77.20,66.87,46.54,39.53,51.10,39.08,56.27,65.06,56.29,1.97,0.74,2.08,3.01,3.38,2.96,2.44,1.96,0.97,2.28,2.91,3.08,2.58,1.85,1.97,0.39,1.65,3.22,3.76,3.58,3.67
