期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%)
1999,"309,815",...,"11,020,369",...,35.6,...,...,--,"182,181",...,"9,977,769",...,54.8,...,"16,201,428",...,...,--,...,--,...,--,-,--,...,...,...,...,...,...,...,...,"126,952",...,"1,031,342",...,8.1,...,"3,050,223",...,...,--,...,--,...,--,...,--
2000,"460,311",48.58,"12,623,816",14.55,27.4,-22.90,...,--,"191,478",5.10,"10,577,134",6.01,55.2,0.86,"17,267,040",6.58,...,--,...,--,...,--,-,--,...,...,...,...,...,...,...,...,"268,588",111.57,"2,042,303",98.02,7.6,-6.40,"6,163,592",102.07,...,--,...,--,...,--,...,--
2001,"476,214",3.45,"12,268,691",-2.81,25.8,-6.06,...,--,"186,079",-2.82,"10,036,882",-5.11,53.9,-2.35,"16,334,257",-5.40,...,--,...,--,...,--,-,--,...,...,...,...,...,...,...,...,"289,643",7.84,"2,223,487",8.87,7.7,0.96,"6,521,102",5.80,...,--,...,--,...,--,...,--
2002,"500,464",5.09,"12,147,500",-0.99,24.3,-5.79,...,--,"175,341",-5.77,"9,665,658",-3.70,55.1,2.20,"15,708,939",-3.83,...,--,...,--,...,--,-,--,...,...,...,...,...,...,...,...,"324,434",12.01,"2,469,133",11.05,7.6,-0.86,"7,206,152",10.51,...,--,...,--,...,--,...,--
2003,"478,338",-4.42,"11,177,674",-7.98,23.4,-3.73,...,--,"161,426",-7.94,"8,726,391",-9.72,54.1,-1.94,"14,232,535",-9.40,...,--,...,--,...,--,-,--,...,...,...,...,...,...,...,...,"316,189",-2.54,"2,440,757",-1.15,7.7,1.43,"6,978,189",-3.16,...,--,...,--,...,--,...,--
2004,"519,678",8.64,"12,050,667",7.81,23.2,-0.77,...,--,"168,473",4.37,"9,358,916",7.25,55.6,2.76,"15,363,882",7.95,...,--,...,--,...,--,-,--,...,...,...,...,...,...,...,...,"350,142",10.74,"2,680,356",9.82,7.7,-0.83,"7,615,737",9.14,...,--,...,--,...,--,...,--
2005,"531,446",2.26,"12,255,347",1.70,23.1,-0.55,...,--,"169,561",0.65,"9,499,671",1.50,56.0,0.85,"15,630,753",1.74,...,--,...,--,...,--,-,--,...,...,...,...,...,...,...,...,"360,730",3.02,"2,742,373",2.31,7.6,-0.69,"7,789,059",2.28,...,--,...,--,...,--,...,--
2006,"554,194",4.28,"12,352,488",0.79,22.3,-3.34,...,--,"168,989",-0.34,"9,339,169",-1.69,55.3,-1.36,"15,271,350",-2.30,...,--,...,--,...,--,-,--,...,...,...,...,...,...,...,...,"383,948",6.44,"2,999,376",9.37,7.8,2.76,"8,368,732",7.44,...,--,...,--,...,--,...,--
2007,"602,610",8.74,"15,769,121",27.66,26.2,17.40,...,--,"169,692",0.42,"8,937,387",-4.30,52.7,-4.70,"14,561,180",-4.65,"15,556",--,"3,520,173",--,226.3,--,...,--,...,...,...,...,...,...,...,...,"416,230",8.41,"3,298,870",9.99,7.9,1.45,"9,124,631",9.03,...,--,...,--,...,--,...,--
2008,"689,880",14.48,"19,065,567",20.90,27.6,5.61,...,--,"178,661",5.29,"8,717,782",-2.46,48.8,-7.35,"14,120,763",-3.02,"30,581",96.59,"6,566,120",86.53,214.7,-5.12,...,--,...,...,...,...,...,...,...,...,"450,024",8.12,"3,548,827",7.58,7.9,-0.50,"9,713,637",6.46,...,--,...,--,...,--,...,--
2009,"718,515",4.15,"19,277,397",1.11,26.8,-2.92,...,--,"179,369",0.40,"8,386,856",-3.80,46.8,-4.18,"13,458,678",-4.69,"32,349",5.78,"6,863,960",4.54,212.2,-1.18,...,--,"505,811",...,"4,018,222",...,7.9,...,"10,972,147",...,"462,472",2.77,"3,720,991",4.85,8.0,2.03,"9,886,726",1.78,"43,339",--,"297,230",--,6.9,--,"1,085,421",--
2010,"778,779",8.39,"20,930,786",8.58,26.9,0.17,...,--,"189,762",5.79,"8,998,411",7.29,47.4,1.42,"14,626,184",8.67,"36,940",14.19,"7,491,020",9.14,202.8,-4.43,...,--,"551,477",9.03,"4,437,891",10.44,8.0,1.30,"11,828,730",7.81,"505,466",9.30,"4,123,190",10.81,8.2,1.38,"10,711,142",8.34,"46,010",6.16,"314,701",5.88,6.8,-0.27,"1,117,588",2.96
2011,"864,491",11.01,"22,825,848",9.05,26.4,-1.76,...,--,"205,829",8.47,"9,719,605",8.01,47.2,-0.42,"15,576,842",6.50,"41,629",12.70,"8,147,869",8.77,195.7,-3.48,...,--,"616,041",11.71,"4,953,992",11.63,8.0,-0.07,"13,396,545",13.25,"566,404",12.06,"4,607,794",11.75,8.1,-0.27,"12,148,766",13.42,"49,637",7.88,"346,198",10.01,7.0,1.97,"1,247,779",11.65
2012,"925,243",7.03,"24,207,701",6.05,26.2,-0.91,...,--,"220,297",7.03,"10,185,549",4.79,46.2,-2.09,"16,118,743",3.48,"44,526",6.96,"8,641,573",6.06,194.1,-0.84,...,--,"658,680",6.92,"5,374,397",8.49,8.2,1.46,"14,515,212",8.35,"602,199",6.32,"4,973,667",7.94,8.3,1.52,"13,168,409",8.39,"56,480",13.79,"400,730",15.75,7.1,1.73,"1,346,803",7.94
2013,"972,332",5.09,"25,322,755",4.61,26.0,-0.46,...,...,"227,287",3.17,"10,513,137",3.22,46.3,0.04,"16,875,785",4.70,"47,487",6.65,"9,118,060",5.51,192.0,-1.07,...,...,"695,667",5.62,"5,684,434",5.77,8.2,0.15,"15,314,662",5.51,"634,961",5.44,"5,232,349",5.20,8.2,-0.23,"13,851,374",5.19,"60,706",7.48,"452,085",12.82,7.4,4.96,"1,463,288",8.65
