期間,生活補助-合計-人次_原始值,生活補助-合計-人次_年增率(%),生活補助-合計-金額(千元)_原始值,生活補助-合計-金額(千元)_年增率(%),生活補助-低收入戶-中度障礙以上-人次_原始值,生活補助-低收入戶-中度障礙以上-人次_年增率(%),生活補助-低收入戶-中度障礙以上-金額(千元)_原始值,生活補助-低收入戶-中度障礙以上-金額(千元)_年增率(%),生活補助-低收入戶-輕度障礙-人次_原始值,生活補助-低收入戶-輕度障礙-人次_年增率(%),生活補助-低收入戶-輕度障礙-金額(千元)_原始值,生活補助-低收入戶-輕度障礙-金額(千元)_年增率(%),生活補助-中低收入-中度障礙以上-人次_原始值,生活補助-中低收入-中度障礙以上-人次_年增率(%),生活補助-中低收入-中度障礙以上-金額(千元)_原始值,生活補助-中低收入-中度障礙以上-金額(千元)_年增率(%),生活補助-中低收入-輕度障礙-人次_原始值,生活補助-中低收入-輕度障礙-人次_年增率(%),生活補助-中低收入-輕度障礙-金額(千元)_原始值,生活補助-中低收入-輕度障礙-金額(千元)_年增率(%),生活補助-榮民(補差額)-人次_原始值,生活補助-榮民(補差額)-人次_年增率(%),生活補助-榮民(補差額)-金額(千元)_原始值,生活補助-榮民(補差額)-金額(千元)_年增率(%),輔助器具補助-合計-人次_原始值,輔助器具補助-合計-人次_年增率(%),輔助器具補助-合計-金額(千元)_原始值,輔助器具補助-合計-金額(千元)_年增率(%),輔助器具補助-低收入戶-人次_原始值,輔助器具補助-低收入戶-人次_年增率(%),輔助器具補助-低收入戶-金額(千元)_原始值,輔助器具補助-低收入戶-金額(千元)_年增率(%),輔助器具補助-非低收入戶-人次_原始值,輔助器具補助-非低收入戶-人次_年增率(%),輔助器具補助-非低收入戶-金額(千元)_原始值,輔助器具補助-非低收入戶-金額(千元)_年增率(%),托育養護補助-合計-年底人數(人)_原始值,托育養護補助-合計-年底人數(人)_年增率(%),托育養護補助-合計-金額(千元)_原始值,托育養護補助-合計-金額(千元)_年增率(%),托育養護補助-住宿教養--年底人數(人)_原始值,托育養護補助-住宿教養--年底人數(人)_年增率(%),托育養護補助-住宿教養-金額(千元)_原始值,托育養護補助-住宿教養-金額(千元)_年增率(%),托育養護補助-日間托育-年底人數(人)_原始值,托育養護補助-日間托育-年底人數(人)_年增率(%),托育養護補助-日間托育-金額(千元)_原始值,托育養護補助-日間托育-金額(千元)_年增率(%)
1998,"1,147,772",...,"4,629,548",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"48,776",...,"497,058",...,...,...,...,...,...,...,...,...,...,...,"947,875",...,...,...,"947,875",...,...,...,...,...
1999,"1,855,124",61.63,"6,021,929",30.08,"221,436",...,"1,334,459",...,"56,148",...,"170,758",...,"1,203,300",...,"3,753,974",...,"361,966",...,"724,755",...,"12,274",...,"37,983",...,"45,309",-7.11,"572,235",15.12,"2,837",...,"55,058",...,"42,472",...,"517,177",...,"9,098",...,"1,135,500",19.79,"6,623",...,"969,744",2.31,"2,475",...,"165,756",...
2000,"2,296,774",23.81,"7,408,667",23.03,"261,163",17.94,"1,570,477",17.69,"64,182",14.31,"194,227",13.74,"1,505,782",25.14,"4,710,508",25.48,"454,340",25.52,"893,513",23.28,"11,307",-7.88,"39,942",5.16,"46,744",3.17,"629,894",10.08,"2,763",-2.61,"50,190",-8.84,"43,981",3.55,"579,705",12.09,"10,898",19.78,"1,697,008",49.45,"8,157",23.16,"1,492,224",53.88,"2,741",10.75,"204,783",23.54
2001,"2,090,576",-8.98,"6,686,950",-9.74,"283,366",8.50,"1,702,342",8.40,"70,416",9.71,"213,456",9.90,"1,283,935",-14.73,"3,853,426",-18.20,"436,932",-3.83,"874,548",-2.12,"15,927",40.86,"43,179",8.10,"51,873",10.97,"569,282",-9.62,"1,254",-54.61,"31,961",-36.32,"50,619",15.09,"537,321",-7.31,"12,891",18.29,"1,960,423",15.52,"10,303",26.31,"1,752,146",17.42,"2,588",-5.58,"208,278",1.71
2002,"2,370,720",13.40,"7,535,564",12.69,"319,730",12.83,"1,927,130",13.20,"90,060",27.90,"272,599",27.71,"1,416,814",10.35,"4,241,963",10.08,"532,880",21.96,"1,064,076",21.67,"11,236",-29.45,"29,797",-30.99,"58,169",12.14,"640,609",12.53,"1,912",52.47,"37,853",18.43,"56,257",11.14,"602,757",12.18,"13,709",6.35,"2,267,511",15.66,"11,071",7.45,"2,000,464",14.17,"2,638",1.93,"267,047",28.22
2003,"2,654,420",11.97,"8,249,603",9.48,"322,518",0.87,"1,937,618",0.54,"104,751",16.31,"314,730",15.46,"1,536,697",8.46,"4,610,388",8.69,"677,953",27.22,"1,355,954",27.43,"12,501",11.26,"30,913",3.75,"61,223",5.25,"708,460",10.59,"2,569",34.36,"59,766",57.89,"58,654",4.26,"648,694",7.62,"16,429",19.84,"2,659,400",17.28,"13,748",24.18,"2,355,144",17.73,"2,681",1.63,"304,256",13.93
2004,"2,975,141",12.08,"12,174,519",47.58,"367,112",13.83,"2,569,937",32.63,"125,973",20.26,"503,871",60.10,"1,667,891",8.54,"6,672,007",44.72,"793,128",16.99,"2,379,487",75.48,"21,037",68.28,"49,217",59.21,"54,843",-10.42,"588,316",-16.96,"2,088",-18.72,"49,780",-16.71,"52,755",-10.06,"538,536",-16.98,"20,162",22.72,"2,921,952",9.87,"16,904",22.96,"2,629,681",11.66,"3,258",21.52,"292,271",-3.94
2005,"3,273,538",10.03,"13,337,626",9.55,"396,202",7.92,"2,773,333",7.91,"135,044",7.20,"540,116",7.19,"1,814,723",8.80,"7,259,009",8.80,"903,813",13.96,"2,711,460",13.95,"23,756",12.92,"53,708",9.12,"45,162",-17.65,"477,533",-18.83,"1,858",-11.02,"38,494",-22.67,"43,304",-17.91,"439,039",-18.48,"21,658",7.42,"3,232,898",10.64,"18,350",8.55,"2,943,500",11.93,"3,308",1.53,"289,398",-0.98
2006,"3,474,205",6.13,"14,120,154",5.87,"404,782",2.17,"2,852,447",2.85,"96,253",-28.72,"388,628",-28.05,"1,957,317",7.86,"7,842,862",8.04,"989,351",9.46,"2,975,387",9.73,"26,502",11.56,"60,829",13.26,"50,817",12.52,"524,700",9.88,"2,058",10.76,"38,218",-0.72,"48,759",12.60,"486,481",10.81,"23,771",9.76,"3,535,757",9.37,"20,265",10.44,"3,227,129",9.64,"3,506",5.99,"308,628",6.64
2007,"3,635,680",4.65,"14,724,156",4.28,"414,550",2.41,"2,919,259",2.34,"93,668",-2.69,"378,754",-2.54,"2,035,761",4.01,"8,153,798",3.96,"1,063,324",7.48,"3,195,787",7.41,"28,377",7.07,"76,558",25.86,"53,243",4.77,"539,312",2.78,"2,121",3.06,"36,742",-3.86,"51,122",4.85,"502,570",3.31,"25,529",7.40,"3,962,765",12.08,"22,324",10.16,"3,642,627",12.88,"3,205",-8.59,"320,139",3.73
