期間,結婚-對數(對)_原始值,結婚-對數(對)_年增率(%),結婚-粗結婚率(0/00)_原始值,結婚-粗結婚率(0/00)_年增率(%),離婚-對數(對)_原始值,離婚-對數(對)_年增率(%),離婚-粗離婚率(0/00)_原始值,離婚-粗離婚率(0/00)_年增率(%),本國人與外國人結婚登記人數-計(人)_原始值,本國人與外國人結婚登記人數-計(人)_年增率(%),本國人與外國人結婚登記人數-男(人)_原始值,本國人與外國人結婚登記人數-男(人)_年增率(%),本國人與外國人結婚登記人數-女(人)_原始值,本國人與外國人結婚登記人數-女(人)_年增率(%),本國人與外國人離婚登記人數-計(人)_原始值,本國人與外國人離婚登記人數-計(人)_年增率(%),本國人與外國人離婚登記人數-男(人)_原始值,本國人與外國人離婚登記人數-男(人)_年增率(%),本國人與外國人離婚登記人數-女(人)_原始值,本國人與外國人離婚登記人數-女(人)_年增率(%)
1980,"175,090",...,9.89,-,"13,478",...,0.76,-,...,...,...,...,...,...,...,...,...,...,...,...
1981,"167,496",-4.34,9.29,-,"14,884",10.43,0.83,-,...,...,...,...,...,...,...,...,...,...,...,...
1982,"162,103",-3.22,8.83,-,"16,954",13.91,0.92,-,...,...,...,...,...,...,...,...,...,...,...,...
1983,"158,634",-2.14,8.50,-,"17,528",3.39,0.94,-,...,...,...,...,...,...,...,...,...,...,...,...
1984,"155,364",-2.06,8.21,-,"19,023",8.53,1.00,-,...,...,...,...,...,...,...,...,...,...,...,...
1985,"153,832",-0.99,8.02,-,"21,165",11.26,1.10,-,...,...,...,...,...,...,...,...,...,...,...,...
1986,"145,854",-5.19,7.51,-,"22,385",5.76,1.15,-,...,...,...,...,...,...,...,...,...,...,...,...
1987,"146,312",0.31,7.46,-,"23,061",3.02,1.18,-,...,...,...,...,...,...,...,...,...,...,...,...
1988,"155,548",6.31,7.84,-,"25,012",8.46,1.26,-,...,...,...,...,...,...,...,...,...,...,...,...
1989,"158,203",1.71,7.89,-,"25,102",0.36,1.25,-,...,...,...,...,...,...,...,...,...,...,...,...
1990,"142,943",-9.65,7.05,-,"27,451",9.36,1.35,-,...,...,...,...,...,...,...,...,...,...,...,...
1991,"162,972",14.01,7.95,-,"28,298",3.09,1.38,-,...,...,...,...,...,...,...,...,...,...,...,...
1992,"169,461",3.98,8.18,-,"29,205",3.21,1.41,-,...,...,...,...,...,...,...,...,...,...,...,...
1993,"157,780",-6.89,7.55,-,"30,200",3.41,1.45,-,...,...,...,...,...,...,...,...,...,...,...,...
1994,"170,864",8.29,8.10,-,"31,899",5.63,1.51,-,...,...,...,...,...,...,...,...,...,...,...,...
1995,"160,249",-6.21,7.53,-,"33,358",4.57,1.57,-,...,...,...,...,...,...,...,...,...,...,...,...
1996,"169,424",5.73,7.90,-,"35,875",7.55,1.67,-,...,...,...,...,...,...,...,...,...,...,...,...
1997,"166,216",-1.89,7.68,-,"38,986",8.67,1.80,-,...,...,...,...,...,...,...,...,...,...,...,...
1998,"145,976",-12.18,6.69,-,"43,603",11.84,2.00,-,"10,454",...,"8,656",...,"1,798",...,613,...,381,...,232,...
1999,"173,209",18.66,7.87,-,"49,003",12.38,2.23,-,"14,674",40.37,"12,721",46.96,"1,953",8.62,849,38.50,604,58.53,245,5.60
2000,"181,642",4.87,8.19,-,"52,670",7.48,2.37,-,"21,338",45.41,"19,062",49.85,"2,276",16.54,"1,600",88.46,"1,156",91.39,444,81.22
2001,"170,515",-6.13,7.63,-,"56,538",7.34,2.53,-,"19,405",-9.06,"16,988",-10.88,"2,417",6.20,"2,506",56.62,"1,920",66.09,586,31.98
2002,"172,655",1.26,7.69,-,"61,213",8.27,2.73,-,"20,107",3.62,"17,339",2.07,"2,768",14.52,"2,643",5.47,"2,091",8.91,552,-5.80
2003,"171,483",-0.68,7.60,-,"64,866",5.97,2.87,-,"19,643",-2.31,"16,849",-2.83,"2,794",0.94,"3,025",14.45,"2,364",13.06,661,19.75
2004,"131,453",-23.34,5.80,-,"62,796",-3.19,2.77,-,"20,338",3.54,"17,567",4.26,"2,771",-0.82,"3,541",17.06,"2,832",19.80,709,7.26
2005,"141,140",7.37,6.21,-,"62,571",-0.36,2.75,-,"13,808",-32.11,"11,121",-36.69,"2,687",-3.03,"3,910",10.42,"3,195",12.82,715,0.85
2006,"142,669",1.08,6.25,-,"64,540",3.15,2.83,-,"9,524",-31.03,"6,816",-38.71,"2,708",0.78,"4,425",13.17,"3,576",11.92,849,18.74
2007,"135,041",-5.35,5.89,-,"58,518",-9.33,2.55,-,"9,554",0.31,"6,964",2.17,"2,590",-4.36,"4,487",1.40,"3,688",3.13,799,-5.89
2008,"154,866",14.68,6.73,-,"55,995",-4.31,2.43,-,"8,957",-6.25,"6,062",-12.95,"2,895",11.78,"4,843",7.93,"4,062",10.14,781,-2.25
2009,"117,099",-24.39,5.07,-,"57,223",2.19,2.48,-,"8,620",-3.76,"5,638",-6.99,"2,982",3.01,"5,363",10.74,"4,539",11.74,824,5.51
2010,"138,819",18.55,6.00,-,"58,115",1.56,2.51,-,"8,169",-5.23,"5,184",-8.05,"2,985",0.10,"5,539",3.28,"4,693",3.39,846,2.67
2011,"165,327",19.10,7.13,-,"57,008",-1.90,2.46,-,"8,053",-1.42,"4,958",-4.36,"3,095",3.69,"5,414",-2.26,"4,640",-1.13,774,-8.51
2012,"143,384",-13.27,6.16,-,"55,980",-1.80,2.41,-,"7,887",-2.06,"4,666",-5.89,"3,221",4.07,"5,200",-3.95,"4,342",-6.42,858,10.85
2013,"147,636",2.97,6.32,-,"53,604",-4.24,2.30,-,"7,950",0.80,"4,834",3.60,"3,116",-3.26,"4,814",-7.42,"4,046",-6.82,768,-10.49
