期間,雇主_原始值,雇主_年增率(%),雇主_原始值,雇主_年增率(%),雇主_原始值,雇主_年增率(%),自營作業者_原始值,自營作業者_年增率(%),自營作業者_原始值,自營作業者_年增率(%),自營作業者_原始值,自營作業者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%)
1978M01,140,-,125,-,15,-,"1,393",-,"1,149",-,243,-,756,-,290,-,466,-,"3,054",-,"1,986",-,"1,067",-,774,-,575,-,198,-
1978M02,133,-,122,-,11,-,"1,387",-,"1,156",-,231,-,747,-,299,-,449,-,"3,008",-,"1,959",-,"1,049",-,806,-,585,-,221,-
1978M03,146,-,131,-,15,-,"1,344",-,"1,132",-,212,-,734,-,286,-,447,-,"3,078",-,"1,968",-,"1,110",-,765,-,558,-,206,-
1978M04,170,-,154,-,16,-,"1,350",-,"1,132",-,218,-,742,-,292,-,450,-,"3,095",-,"1,997",-,"1,098",-,773,-,566,-,208,-
1978M05,186,-,168,-,19,-,"1,379",-,"1,153",-,226,-,713,-,272,-,441,-,"3,103",-,"1,993",-,"1,110",-,774,-,560,-,214,-
1978M06,193,-,172,-,22,-,"1,374",-,"1,169",-,205,-,774,-,265,-,509,-,"3,138",-,"2,002",-,"1,136",-,743,-,545,-,198,-
1978M07,207,-,184,-,23,-,"1,451",-,"1,216",-,235,-,932,-,319,-,613,-,"3,138",-,"1,993",-,"1,145",-,724,-,530,-,193,-
1978M08,219,-,197,-,21,-,"1,428",-,"1,200",-,228,-,833,-,309,-,524,-,"3,242",-,"2,039",-,"1,203",-,721,-,517,-,205,-
1978M09,231,-,209,-,22,-,"1,387",-,"1,183",-,204,-,769,-,282,-,487,-,"3,203",-,"2,035",-,"1,168",-,699,-,502,-,197,-
1978M10,251,-,228,-,23,-,"1,362",-,"1,161",-,201,-,772,-,285,-,487,-,"3,200",-,"2,062",-,"1,138",-,696,-,501,-,196,-
1978M11,250,-,223,-,28,-,"1,314",-,"1,119",-,195,-,803,-,298,-,505,-,"3,202",-,"2,089",-,"1,113",-,714,-,517,-,197,-
1978M12,235,-,209,-,26,-,"1,321",-,"1,117",-,204,-,726,-,281,-,445,-,"3,233",-,"2,097",-,"1,136",-,741,-,535,-,206,-
1979M01,253,80.00,225,80.41,27,76.65,"1,332",-4.35,"1,099",-4.41,233,-4.05,727,-3.91,260,-10.42,467,0.14,"3,343",9.48,"2,143",7.91,"1,200",12.41,750,-3.02,550,-4.41,200,0.99
1979M02,236,77.49,212,73.92,24,117.15,"1,361",-1.85,"1,109",-4.10,252,9.43,741,-0.87,269,-9.97,472,5.18,"3,296",9.60,"2,103",7.36,"1,194",13.78,786,-2.56,570,-2.59,216,-2.48
1979M03,237,63.08,216,64.55,22,49.91,"1,338",-0.46,"1,087",-4.03,251,18.60,684,-6.80,249,-13.04,435,-2.81,"3,258",5.84,"2,110",7.22,"1,148",3.40,798,4.35,579,3.72,219,6.07
1979M04,250,46.86,226,46.75,24,47.89,"1,315",-2.62,"1,084",-4.27,231,5.95,666,-10.16,242,-17.20,424,-5.58,"3,335",7.77,"2,148",7.58,"1,187",8.11,768,-0.77,559,-1.24,209,0.50
1979M05,268,43.77,243,45.34,24,29.62,"1,329",-3.67,"1,115",-3.36,214,-5.25,669,-6.14,239,-12.03,430,-2.51,"3,235",4.26,"2,050",2.87,"1,185",6.75,810,4.72,595,6.26,215,0.68
1979M06,289,49.22,260,51.05,29,34.53,"1,356",-1.30,"1,128",-3.53,228,11.40,702,-9.30,237,-10.64,466,-8.60,"3,257",3.79,"2,030",1.39,"1,227",8.03,779,4.87,572,4.94,207,4.67
1979M07,275,32.85,248,34.64,27,18.49,"1,401",-3.46,"1,159",-4.75,242,3.19,848,-8.94,287,-9.90,561,-8.45,"3,332",6.16,"2,100",5.34,"1,232",7.61,758,4.69,555,4.64,203,4.82
