期間,準備貨幣增( + )  減( - ),國外資產,對政府放款及墊款,公開市場操作買入有價證券,對金融機構債權,政府存款,國庫存款轉存款,金融機構定期存款轉存款,央行發行之國庫券、定期存單及儲蓄券,其他項目
1997,"-11,157","-38,267",-,"24,048","-56,652","-1,294","1,078","-21,751","120,000","-38,319"
1998,"23,795","153,714",-,"5,544","59,706","11,227",681,"-4,975","-185,700","-16,402"
1999,"-21,822","607,167",-,"-29,592","65,194","-53,272","-35,366","-159,043","-426,535","9,625"
2000,"-59,918","69,077",-,"37,860","-212,937","39,812","12,163",364,"55,450","-61,707"
2001,"-127,348","581,852",-,"-37,860","160,397","27,548","6,109","-457,792","-391,335","-16,267"
2002,"112,746","1,144,507",-,-,"217,102","-26,455","4,019","-234,984","-994,865","3,422"
2003,"50,628","1,275,921","-2,040",-,"135,872","-16,381","1,083","-215,440","-1,044,380","-84,007"
2004,"98,232","1,054,375",-,-,"-317,634","-21,185","3,340","177,488","-570,520","-227,632"
2005,"40,833","593,071",-,-,"-64,647","-25,165","1,394","-125,637","42,065","-380,248"
2006,"124,726","179,310",-,-,"14,063","17,327","1,430","53,698","-235,110","94,008"
2007,"64,303","-146,771",-,-,"-108,139",-648,"1,690","-105,982","295,630","128,523"
2008,"177,903","814,132",-,-,"73,738","32,692",-692,"-20,296","-874,645","152,974"
2009,"178,533","1,827,488",-,-,"214,167","-80,271","7,086","-78,247","-1,593,540","-118,150"
2010,"197,829","1,322,549",-,-,"-236,266","20,413","1,019","-14,981","-784,135","-110,770"
2011,"219,141","129,801",-,-,"183,101","31,627",-449,895,"30,465","-156,299"
2012,"181,201","453,829",-,-,"-221,380","14,339",283,"-17,016","39,595","-88,449"
2013,"218,668","323,939",-,-,"213,042","19,492","-1,990","2,159","-200,660","-137,314"
