期間,景氣領先指標綜合指數(點)_原始值,景氣領先指標綜合指數(點)_年增率(%),外銷訂單指數(Index 2011=100)_原始值,外銷訂單指數(Index 2011=100)_年增率(%),貨幣總計數 M1B(十億元)_原始值,貨幣總計數 M1B(十億元)_年增率(%),股價指數(Index 1966=100)_原始值,股價指數(Index 1966=100)_年增率(%),工業及服務業受僱員工淨進入率(%)_原始值,工業及服務業受僱員工淨進入率(%)_年增率(%),核發建照面積(住宅類住宅、商業辦公、工業倉儲)(千平方公尺)_原始值,核發建照面積(住宅類住宅、商業辦公、工業倉儲)(千平方公尺)_年增率(%),SEMI半導體接單出貨比(比率)_原始值,SEMI半導體接單出貨比(比率)_年增率(%)
1967M01,...,...,...,...,...,...,94,...,...,-,...,...,...,-
1967M02,...,...,...,...,...,...,95,...,...,-,...,...,...,-
1967M03,...,...,...,...,...,...,95,...,...,-,...,...,...,-
1967M04,...,...,...,...,...,...,101,...,...,-,...,...,...,-
1967M05,...,...,...,...,...,...,101,...,...,-,...,...,...,-
1967M06,...,...,...,...,...,...,99,...,...,-,...,...,...,-
1967M07,...,...,...,...,...,...,101,...,...,-,...,...,...,-
1967M08,...,...,...,...,...,...,101,...,...,-,...,...,...,-
1967M09,...,...,...,...,...,...,100,...,...,-,...,...,...,-
1967M10,...,...,...,...,...,...,98,...,...,-,...,...,...,-
1967M11,...,...,...,...,...,...,100,...,...,-,...,...,...,-
1967M12,...,...,...,...,...,...,103,...,...,-,...,...,...,-
1968M01,...,...,...,...,...,...,108,14.89,...,-,...,...,...,-
1968M02,...,...,...,...,...,...,107,12.63,...,-,...,...,...,-
1968M03,...,...,...,...,...,...,106,11.58,...,-,...,...,...,-
1968M04,...,...,...,...,...,...,105,3.96,...,-,...,...,...,-
1968M05,...,...,...,...,...,...,104,2.97,...,-,...,...,...,-
1968M06,...,...,...,...,...,...,105,6.06,...,-,...,...,...,-
1968M07,...,...,...,...,...,...,104,2.97,...,-,...,...,...,-
1968M08,...,...,...,...,...,...,102,0.99,...,-,...,...,...,-
1968M09,...,...,...,...,...,...,102,2.00,...,-,...,...,...,-
1968M10,...,...,...,...,...,...,101,3.06,...,-,...,...,...,-
1968M11,...,...,...,...,...,...,105,5.00,...,-,...,...,...,-
1968M12,...,...,...,...,...,...,106,2.91,...,-,...,...,...,-
1969M01,...,...,...,...,...,...,105,-2.78,...,-,...,...,...,-
1969M02,...,...,...,...,...,...,105,-1.87,...,-,...,...,...,-
1969M03,...,...,...,...,...,...,102,-3.77,...,-,...,...,...,-
1969M04,...,...,...,...,...,...,100,-4.76,...,-,...,...,...,-
1969M05,...,...,...,...,...,...,95,-8.65,...,-,...,...,...,-
1969M06,...,...,...,...,...,...,97,-7.62,...,-,...,...,...,-
1969M07,...,...,...,...,...,...,105,0.96,...,-,...,...,...,-
1969M08,...,...,...,...,...,...,104,1.96,...,-,...,...,...,-
1969M09,...,...,...,...,...,...,103,0.98,...,-,...,...,...,-
1969M10,...,...,...,...,...,...,107,5.94,...,-,...,...,...,-
1969M11,...,...,...,...,...,...,113,7.62,...,-,...,...,...,-
1969M12,...,...,...,...,...,...,109,2.83,...,-,...,...,...,-
1970M01,...,...,...,...,...,...,113,7.62,...,-,...,...,...,-
1970M02,...,...,...,...,...,...,120,14.29,...,-,...,...,...,-
1970M03,...,...,...,...,...,...,125,22.55,...,-,...,...,...,-
1970M04,...,...,...,...,...,...,124,24.00,...,-,...,...,...,-
1970M05,...,...,...,...,...,...,122,28.42,...,-,...,...,...,-
1970M06,...,...,...,...,...,...,119,22.68,...,-,...,...,...,-
