期間,總指數_原始值,總指數_年增率(%),第 1 類動物產品_原始值,第 1 類動物產品_年增率(%),02肉類_原始值,02肉類_年增率(%),03魚、甲殼及軟體類動物_原始值,03魚、甲殼及軟體類動物_年增率(%),第 2 類植物產品_原始值,第 2 類植物產品_年增率(%),黃豆_原始值,黃豆_年增率(%),玉米_原始值,玉米_年增率(%),第 4 類調製食品、飲料、酒及菸類_原始值,第 4 類調製食品、飲料、酒及菸類_年增率(%),22飲料及酒類_原始值,22飲料及酒類_年增率(%),第 5 類礦產品_原始值,第 5 類礦產品_年增率(%),25粗鹽、石料及水泥_原始值,25粗鹽、石料及水泥_年增率(%),27能源礦產品_原始值,27能源礦產品_年增率(%),原油_原始值,原油_年增率(%),第 6 類化學或有關工業產品_原始值,第 6 類化學或有關工業產品_年增率(%),28無機化學產品及貴金屬化合物_原始值,28無機化學產品及貴金屬化合物_年增率(%),29有機化學產品_原始值,29有機化學產品_年增率(%),32著色料、漆類及油墨_原始值,32著色料、漆類及油墨_年增率(%),34界面活性劑、潤滑劑及擦光料_原始值,34界面活性劑、潤滑劑及擦光料_年增率(%),37感光或電影用品_原始值,37感光或電影用品_年增率(%),38雜項化學產品_原始值,38雜項化學產品_年增率(%),第 7 類塑、橡膠及其製品_原始值,第 7 類塑、橡膠及其製品_年增率(%),39塑膠及其製品_原始值,39塑膠及其製品_年增率(%),40橡膠及其製品_原始值,40橡膠及其製品_年增率(%),第 8 類皮革及其製品_原始值,第 8 類皮革及其製品_年增率(%),第 9 類木及木製品_原始值,第 9 類木及木製品_年增率(%),44木及木製品_原始值,44木及木製品_年增率(%),第10類木漿、紙及其製品_原始值,第10類木漿、紙及其製品_年增率(%),47木漿及回收紙製品_原始值,47木漿及回收紙製品_年增率(%),48紙、紙板及其製品_原始值,48紙、紙板及其製品_年增率(%),第11類紡織及其製品_原始值,第11類紡織及其製品_年增率(%),62非針、鉤針織之衣著_原始值,62非針、鉤針織之衣著_年增率(%),第13類石料製品、玻璃及玻璃器_原始值,第13類石料製品、玻璃及玻璃器_年增率(%),70玻璃及玻璃器_原始值,70玻璃及玻璃器_年增率(%),第15類基本金屬及其製品_原始值,第15類基本金屬及其製品_年增率(%),72鋼鐵_原始值,72鋼鐵_年增率(%),73鋼鐵製品_原始值,73鋼鐵製品_年增率(%),74銅及其製品_原始值,74銅及其製品_年增率(%),76鋁及其製品_原始值,76鋁及其製品_年增率(%),第16類機器、電機、電視影像及聲音記錄機等設備_原始值,第16類機器、電機、電視影像及聲音記錄機等設備_年增率(%),84鍋爐、機器、機械用具及其零件_原始值,84鍋爐、機器、機械用具及其零件_年增率(%),85電機、電視影像、聲音記錄等設備及其零件_原始值,85電機、電視影像、聲音記錄等設備及其零件_年增率(%),第17類運輸工具_原始值,第17類運輸工具_年增率(%),87運輸工具_原始值,87運輸工具_年增率(%),第18類光學、計量、醫療儀器、樂器及其零件_原始值,第18類光學、計量、醫療儀器、樂器及其零件_年增率(%),90光學、計量、檢查、醫療儀器及其零件_原始值,90光學、計量、檢查、醫療儀器及其零件_年增率(%),第20類雜項製品_原始值,第20類雜項製品_年增率(%)
1981,66.09,-,43.97,-,-,-,-,-,47.71,-,-,-,-,-,45.58,-,-,-,-,-,-,-,29.99,-,-,-,52.11,-,-,-,35.67,-,-,-,-,-,-,-,-,-,45.72,-,52.71,-,26.17,-,38.62,-,42.19,-,-,-,59.07,-,-,-,-,-,63.07,-,-,-,-,-,-,-,30.56,-,-,-,-,-,22.74,-,50.99,-,-,-,-,-,-,-,48.79,-,-,-,-,-,-,-,-,-
1982,61.56,-6.85,43.75,-0.50,-,-,-,-,39.20,-17.84,-,-,-,-,39.52,-13.30,-,-,-,-,-,-,28.49,-5.00,-,-,47.89,-8.10,-,-,32.88,-7.82,-,-,-,-,-,-,-,-,43.88,-4.02,51.25,-2.77,23.23,-11.23,35.58,-7.87,41.59,-1.42,-,-,52.03,-11.92,-,-,-,-,57.37,-9.04,-,-,-,-,-,-,26.14,-14.46,-,-,-,-,19.64,-13.63,41.13,-19.34,-,-,-,-,-,-,46.57,-4.55,-,-,-,-,-,-,-,-
1983,58.60,-4.81,43.44,-0.71,-,-,-,-,38.52,-1.73,-,-,-,-,41.98,6.22,-,-,-,-,-,-,25.32,-11.13,-,-,46.26,-3.40,-,-,32.37,-1.55,-,-,-,-,-,-,-,-,42.72,-2.64,49.53,-3.36,23.66,1.85,37.52,5.45,39.75,-4.42,-,-,52.41,0.73,-,-,-,-,55.45,-3.35,-,-,-,-,-,-,25.62,-1.99,-,-,-,-,19.75,0.56,47.17,14.69,-,-,-,-,-,-,46.55,-0.04,-,-,-,-,-,-,-,-
1984,58.77,0.29,43.52,0.18,-,-,-,-,39.58,2.75,-,-,-,-,41.18,-1.91,-,-,-,-,-,-,24.80,-2.05,-,-,46.83,1.23,-,-,33.02,2.01,-,-,-,-,-,-,-,-,42.89,0.40,49.85,0.65,23.38,-1.18,40.75,8.61,41.30,3.90,-,-,54.28,3.57,-,-,-,-,56.55,1.98,-,-,-,-,-,-,26.24,2.42,-,-,-,-,19.99,1.22,47.40,0.49,-,-,-,-,-,-,46.99,0.95,-,-,-,-,-,-,-,-
1985,57.54,-2.09,43.00,-1.19,-,-,-,-,37.40,-5.51,-,-,-,-,36.69,-10.90,-,-,-,-,-,-,24.42,-1.53,-,-,46.21,-1.32,-,-,32.40,-1.88,-,-,-,-,-,-,-,-,42.67,-0.51,50.00,0.30,22.13,-5.35,40.50,-0.61,38.88,-5.86,-,-,49.97,-7.94,-,-,-,-,52.72,-6.77,-,-,-,-,-,-,25.66,-2.21,-,-,-,-,19.79,-1.00,45.20,-4.64,-,-,-,-,-,-,46.09,-1.92,-,-,-,-,-,-,-,-
1986,52.62,-8.55,42.23,-1.79,-,-,-,-,34.62,-7.43,-,-,-,-,37.82,3.08,-,-,-,-,-,-,15.98,-34.56,-,-,46.38,0.37,-,-,32.48,0.25,-,-,-,-,-,-,-,-,44.38,4.01,52.15,4.30,22.58,2.03,41.75,3.09,40.23,3.47,-,-,52.80,5.66,-,-,-,-,51.31,-2.67,-,-,-,-,-,-,25.96,1.17,-,-,-,-,20.02,1.16,47.62,5.35,-,-,-,-,-,-,49.47,7.33,-,-,-,-,-,-,-,-
1987,58.01,10.24,42.54,0.73,-,-,-,-,32.77,-5.34,-,-,-,-,40.39,6.80,-,-,-,-,-,-,18.67,16.83,-,-,52.15,12.44,-,-,37.23,14.62,-,-,-,-,-,-,-,-,50.15,13.00,58.93,13.00,25.49,12.89,50.44,20.81,49.88,23.99,-,-,65.97,24.94,-,-,-,-,64.30,25.32,-,-,-,-,-,-,30.10,15.95,-,-,-,-,23.92,19.48,58.81,23.50,-,-,-,-,-,-,56.87,14.96,-,-,-,-,-,-,-,-
1988,63.92,10.19,48.00,12.84,-,-,-,-,43.56,32.93,-,-,-,-,46.22,14.43,-,-,-,-,-,-,15.87,-15.00,-,-,62.50,19.85,-,-,46.74,25.54,-,-,-,-,-,-,-,-,60.80,21.24,70.84,20.21,32.69,28.25,56.48,11.97,50.32,0.88,-,-,72.46,9.84,-,-,-,-,70.40,9.49,-,-,-,-,-,-,38.66,28.44,-,-,-,-,33.09,38.34,88.00,49.63,-,-,-,-,-,-,62.06,9.13,-,-,-,-,-,-,-,-
1989,65.37,2.27,54.47,13.48,-,-,-,-,46.88,7.62,-,-,-,-,45.88,-0.74,-,-,-,-,-,-,17.96,13.17,-,-,62.75,0.40,-,-,45.17,-3.36,-,-,-,-,-,-,-,-,53.91,-11.33,61.70,-12.90,32.13,-1.71,59.27,4.94,51.06,1.47,-,-,72.28,-0.25,-,-,-,-,70.34,-0.09,-,-,-,-,-,-,41.29,6.80,-,-,-,-,36.10,9.10,77.82,-11.57,-,-,-,-,-,-,60.94,-1.80,-,-,-,-,-,-,-,-
1990,65.81,0.67,53.16,-2.40,-,-,-,-,44.28,-5.55,-,-,-,-,47.58,3.71,-,-,-,-,-,-,22.21,23.66,-,-,58.60,-6.61,-,-,38.09,-15.67,-,-,-,-,-,-,-,-,52.66,-2.32,60.24,-2.37,31.46,-2.09,60.27,1.69,51.34,0.55,-,-,68.21,-5.63,-,-,-,-,70.03,-0.44,-,-,-,-,-,-,38.74,-6.18,-,-,-,-,32.46,-10.08,70.29,-9.68,-,-,-,-,-,-,64.17,5.30,-,-,-,-,-,-,-,-
1991,64.12,-2.57,52.12,-1.96,-,-,-,-,43.31,-2.19,45.59,-,41.20,-,51.17,7.55,-,-,-,-,-,-,18.52,-16.61,15.42,-,58.68,0.14,-,-,37.14,-2.49,-,-,-,-,-,-,-,-,52.76,0.19,60.28,0.07,31.74,0.89,51.78,-14.09,51.01,-0.64,-,-,65.01,-4.69,-,-,-,-,65.88,-5.93,-,-,-,-,-,-,37.15,-4.10,-,-,-,-,29.06,-10.47,58.63,-16.59,-,-,-,-,-,-,66.23,3.21,-,-,-,-,-,-,-,-
