期間,合計_原始值,合計_年增率(%),公營事業_原始值,公營事業_年增率(%),民營企業_原始值,民營企業_年增率(%),個人等_原始值,個人等_年增率(%),政府機關_原始值,政府機關_年增率(%)
1997M01,"9,560,611",29.36,"394,437",6.35,"3,819,212",27.55,"4,128,228",34.23,"1,218,734",28.31
1997M02,"9,616,801",28.71,"392,492",5.74,"3,847,146",26.75,"4,126,370",32.92,"1,250,793",30.20
1997M03,"9,646,178",28.39,"398,232",9.86,"3,818,684",25.99,"4,167,689",32.91,"1,261,573",28.23
1997M04,"9,725,605",29.29,"396,329",13.24,"3,852,589",28.72,"4,208,899",32.76,"1,267,788",25.63
1997M05,"9,780,015",30.04,"393,216",14.88,"3,873,980",31.31,"4,249,862",32.72,"1,262,957",23.07
1997M06,"10,097,095",31.81,"395,532",16.08,"4,028,440",34.68,"4,330,548",33.59,"1,342,575",23.53
1997M07,"10,164,306",33.68,"388,713",17.30,"4,025,696",38.21,"4,383,449",34.44,"1,366,448",24.35
1997M08,"10,345,190",35.12,"385,258",16.76,"4,164,492",41.89,"4,441,750",35.04,"1,353,690",22.84
1997M09,"10,596,434",37.70,"408,149",21.16,"4,193,564",43.92,"4,625,958",38.99,"1,368,763",22.64
1997M10,"10,597,399",37.96,"388,720",17.48,"4,183,516",45.13,"4,662,463",39.19,"1,362,700",21.83
1997M11,"10,793,820",39.27,"389,657",20.45,"4,339,627",50.07,"4,701,551",38.66,"1,362,985",19.08
1997M12,"11,003,565",39.96,"395,459",18.81,"4,391,410",49.49,"4,822,696",39.44,"1,394,000",23.10
1998M01,"11,320,515",18.41,"425,131",7.78,"4,626,636",21.14,"4,843,665",17.33,"1,425,083",16.93
1998M02,"11,161,480",16.06,"391,795",-0.18,"4,488,595",16.67,"4,837,813",17.24,"1,443,277",15.39
1998M03,"11,190,251",16.01,"382,666",-3.91,"4,491,237",17.61,"4,835,642",16.03,"1,480,706",17.37
1998M04,"11,139,875",14.54,"382,373",-3.52,"4,460,970",15.79,"4,854,915",15.35,"1,441,617",13.71
1998M05,"11,202,507",14.54,"380,606",-3.21,"4,490,869",15.92,"4,878,877",14.80,"1,452,155",14.98
1998M06,"11,397,214",12.88,"371,964",-5.96,"4,608,078",14.39,"4,949,338",14.29,"1,467,834",9.33
1998M07,"11,347,881",11.64,"365,329",-6.02,"4,540,773",12.79,"4,970,201",13.39,"1,471,578",7.69
1998M08,"11,396,391",10.16,"356,498",-7.47,"4,569,136",9.72,"4,995,920",12.48,"1,474,837",8.95
1998M09,"11,522,502",8.74,"366,021",-10.32,"4,643,905",10.74,"5,009,480",8.29,"1,503,096",9.81
