期間,彩色電視機,電話機,冷暖氣機,洗衣機,家用汽車,機器腳踏車,報紙,家用電腦,有線電視頻道設備,行動電話
1976,23.48,22.14,3.62,38.60,1.54,44.57,39.56,0.00,0.00,0.00
1977,34.70,27.81,5.33,47.21,2.10,50.27,47.68,0.00,0.00,0.00
1978,46.57,35.48,8.68,53.96,2.78,54.72,52.71,0.00,0.00,0.00
1979,58.64,41.08,11.65,60.14,4.07,58.76,53.45,0.00,0.00,0.00
1980,69.29,51.09,14.40,64.73,5.11,63.51,54.61,0.00,0.00,0.00
1981,77.90,60.93,16.37,68.88,6.40,67.15,59.21,0.00,0.00,0.00
1982,83.12,67.65,17.16,70.52,7.23,68.53,57.96,0.00,0.00,0.00
1983,87.79,74.35,19.72,73.68,9.30,70.26,59.34,1.46,0.00,0.00
1984,90.41,79.63,22.91,75.49,10.38,70.55,61.55,1.94,0.00,0.00
1985,92.31,82.12,23.95,77.84,11.91,71.87,64.80,2.32,0.00,0.00
1986,94.42,85.25,25.45,79.49,13.63,72.83,66.26,2.92,0.00,0.00
1987,95.78,87.20,28.66,81.33,15.54,73.80,62.56,3.55,0.00,0.00
1988,97.34,89.11,34.29,83.97,19.21,75.25,60.34,3.95,0.00,0.00
1989,97.80,91.51,41.74,86.82,24.90,76.83,62.46,5.42,0.00,0.00
1990,98.26,93.08,47.26,88.79,29.07,77.51,62.27,6.77,0.00,0.00
1991,99.16,94.75,52.37,89.53,33.67,79.20,62.03,9.57,0.00,0.00
1992,99.30,95.13,56.14,90.38,38.94,78.49,60.13,11.76,0.00,0.00
1993,99.25,96.00,60.69,91.51,41.05,79.49,57.78,13.56,0.00,0.00
1994,99.36,96.53,64.01,92.31,45.54,80.78,58.87,15.29,43.37,0.00
1995,99.29,96.70,67.08,92.83,47.95,79.88,55.61,18.54,54.15,0.00
1996,99.32,97.49,71.65,93.00,51.16,80.82,52.25,22.56,59.57,0.00
1997,99.47,97.54,73.83,93.99,53.79,80.19,52.23,28.39,65.97,0.00
1998,99.17,97.63,76.20,93.86,54.52,80.00,49.41,32.31,68.09,0.00
1999,99.31,98.00,78.89,94.74,54.33,79.18,47.42,38.92,67.87,59.96
2000,99.45,98.04,79.46,95.36,55.58,79.37,43.61,46.49,71.96,76.03
2001,99.29,97.79,80.54,95.05,55.63,79.65,38.81,50.86,72.34,79.47
2002,99.56,97.88,83.13,95.96,58.16,80.99,38.11,56.80,74.81,83.62
2003,99.51,97.80,84.53,96.56,57.43,81.02,35.78,58.74,76.12,84.63
2004,99.47,97.56,85.71,96.91,58.04,80.78,33.63,62.37,78.53,85.67
2005,99.46,97.55,85.69,96.70,58.38,80.85,32.31,63.15,79.02,86.15
2006,99.55,97.36,87.48,97.05,59.10,81.70,28.16,66.12,79.82,88.01
2007,99.37,96.69,87.64,97.45,58.69,82.98,26.60,67.13,79.93,88.94
2008,99.39,96.00,87.55,97.26,58.37,82.22,23.59,69.27,81.65,89.80
2009,99.56,95.88,88.35,97.43,59.18,82.87,21.64,70.51,81.97,90.58
2010,99.41,95.72,89.05,97.76,57.78,82.25,21.09,71.32,82.98,90.58
2011,99.24,96.06,88.75,97.63,59.11,82.97,19.16,71.93,82.92,91.70
2012,99.27,94.76,89.89,98.07,58.41,83.12,17.75,72.31,83.23,92.26
2013,99.33,94.69,89.96,98.10,58.39,82.79,15.80,72.21,84.37,92.57
