期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2001M11,"16,928,426",...,"2,574,821",...,"9,166,242",...,"1,460,592",...,"3,158,912",...,"486,161",...,"81,698",...,0,...,"12,268,726",...,"2,032,355",...,"6,770,651",...,"264,491",...,"2,777,424",...,"348,361",...,"75,444",...,0,...,"4,659,700",...,"542,466",...,"2,395,591",...,"1,196,101",...,"381,488",...,"137,800",...,"6,254",...,0,...
2001M12,"18,981,423",...,"2,753,338",...,"10,971,253",...,"1,426,715",...,"3,332,231",...,"360,006",...,"137,880",...,0,...,"13,801,515",...,"2,167,798",...,"8,181,417",...,"202,782",...,"2,872,031",...,"242,731",...,"134,756",...,0,...,"5,179,908",...,"585,540",...,"2,789,836",...,"1,223,933",...,"460,200",...,"117,275",...,"3,124",...,0,...
2002M01,"17,314,846",-0.50,"2,591,608",20.35,"9,682,705",-6.19,"1,614,967",20.53,"2,745,910",-14.64,"454,865",49.82,"224,791",241.63,0,--,"11,911,073",-5.46,"2,040,257",19.35,"6,820,442",-7.54,"262,714",-31.41,"2,251,193",-22.91,"317,593",116.64,"218,874",249.52,0,--,"5,403,773",12.52,"551,351",24.21,"2,862,263",-2.82,"1,352,253",41.33,"494,717",66.76,"137,272",-12.57,"5,917",86.19,0,--
2002M02,"15,314,504",-8.32,"1,880,802",-2.60,"8,656,439",-16.11,"1,265,288",17.78,"3,014,161",0.37,"353,406",20.46,"144,408",71.29,0,--,"11,259,944",-5.22,"1,484,910",4.41,"6,454,555",-13.29,"289,928",57.52,"2,680,900",3.00,"210,876",40.07,"138,775",80.06,0,--,"4,054,560",-15.95,"395,892",-22.20,"2,201,884",-23.41,"975,360",9.56,"333,261",-16.73,"142,530",-0.21,"5,633",-22.14,0,--
2002M03,"20,725,927",8.67,"2,797,969",9.90,"11,774,140",5.69,"1,839,831",34.24,"3,683,286",9.40,"421,132",-25.98,"209,569",160.61,0,--,"14,788,830",8.55,"2,127,571",8.25,"8,503,127",5.55,"473,031",83.09,"3,189,834",9.37,"292,739",-17.47,"202,528",177.82,0,--,"5,937,097",8.97,"670,398",15.51,"3,271,013",6.07,"1,366,800",22.89,"493,452",9.58,"128,393",-40.07,"7,041",-6.31,0,--
2002M04,"19,389,742",-3.57,"2,701,752",-12.04,"10,756,601",-8.23,"1,565,429",23.90,"3,696,350",1.25,"457,475",48.14,"212,135",128.92,0,--,"14,102,504",-4.64,"2,066,040",-15.08,"7,989,586",-7.93,"270,850",25.29,"3,255,904",0.91,"315,665",103.34,"204,459",158.43,0,--,"5,287,238",-0.63,"635,712",-0.42,"2,767,015",-9.09,"1,294,579",23.61,"440,446",3.86,"141,810",-7.67,"7,676",-43.36,0,--
2002M05,"20,569,129",5.74,"2,955,079",4.48,"11,033,377",3.57,"1,577,572",4.14,"4,373,216",7.91,"379,261",7.01,"250,624",413.77,0,--,"15,275,752",6.89,"2,325,805",1.50,"8,204,491",5.12,"409,960",3.38,"3,866,321",7.15,"222,561",45.00,"246,614",559.40,0,--,"5,293,377",2.57,"629,274",17.16,"2,828,886",-0.69,"1,167,612",4.42,"506,895",14.06,"156,700",-22.01,"4,010",-64.77,0,--
2002M06,"20,198,677",14.22,"2,815,999",22.16,"11,399,989",12.37,"1,456,493",12.50,"3,875,139",20.38,"428,854",-35.27,"222,203",282.21,0,--,"14,981,829",20.15,"2,173,437",25.86,"8,482,703",18.02,"350,346",35.26,"3,459,436",22.27,"302,510",-27.45,"213,397",332.96,0,--,"5,216,848",0.03,"642,562",11.11,"2,917,286",-1.35,"1,106,147",6.81,"415,703",6.69,"126,344",-48.55,"8,806",-0.49,0,--
2002M07,"20,403,367",5.59,"2,823,799",15.47,"11,013,381",-0.06,"1,924,350",43.33,"3,890,178",-4.21,"489,269",45.39,"262,390",124.88,0,--,"14,970,021",5.07,"2,181,914",15.01,"8,154,994",1.14,"607,338",95.59,"3,471,732",-5.10,"298,119",43.27,"255,924",133.79,0,--,"5,433,346",7.05,"641,885",17.04,"2,858,387",-3.33,"1,317,012",27.60,"418,446",3.97,"191,150",48.82,"6,466",-10.39,0,--
2002M08,"20,247,558",12.20,"2,924,018",3.46,"11,203,370",9.37,"1,600,851",21.34,"3,721,034",18.66,"583,225",30.80,"215,060",185.88,0,--,"14,753,420",14.94,"2,296,891",1.33,"8,250,483",14.82,"277,872",-9.82,"3,335,903",21.78,"384,175",44.61,"208,096",199.59,0,--,"5,494,138",5.44,"627,127",12.10,"2,952,887",-3.43,"1,322,979",30.84,"385,131",-2.84,"199,050",10.44,"6,964",20.74,0,--
2002M09,"21,788,548",20.15,"3,842,226",80.28,"11,338,045",5.34,"1,938,763",85.12,"3,951,473",0.80,"479,709",117.31,"238,332",355.32,0,--,"16,395,749",20.49,"3,196,185",92.59,"8,568,363",6.82,"615,551",116.67,"3,505,536",-0.14,"278,202",220.23,"231,912",416.03,0,--,"5,392,799",19.11,"646,041",36.97,"2,769,682",1.01,"1,323,212",73.38,"445,937",8.92,"201,507",50.52,"6,420",-13.27,0,--
2002M10,"20,895,609",7.44,"3,446,804",26.69,"11,009,021",-3.90,"1,851,388",25.67,"3,671,381",11.84,"518,738",31.79,"398,277",224.76,0,--,"15,381,070",12.56,"2,771,548",32.78,"8,233,860",1.98,"421,875",39.31,"3,232,107",14.59,"332,334",26.10,"389,346",232.77,0,--,"5,514,539",-4.64,"675,256",6.64,"2,775,161",-17.93,"1,429,513",22.14,"439,274",-4.98,"186,404",43.33,"8,931",58.46,0,--
2002M11,"20,239,380",19.56,"2,830,453",9.93,"11,184,120",22.01,"1,953,914",33.78,"3,570,918",13.04,"385,513",-20.70,"314,462",284.91,0,--,"14,591,040",18.93,"2,189,422",7.73,"8,258,785",21.98,"523,982",98.11,"3,113,412",12.10,"197,431",-43.33,"308,008",308.26,0,--,"5,648,340",21.22,"641,031",18.17,"2,925,335",22.11,"1,429,932",19.55,"457,506",19.93,"188,082",36.49,"6,454",3.20,0,--
2002M12,"19,258,926",1.46,"2,931,682",6.48,"10,362,337",-5.55,"1,745,376",22.34,"3,417,424",2.56,"357,384",-0.73,"444,723",222.54,0,--,"13,669,806",-0.95,"2,248,591",3.73,"7,501,397",-8.31,"309,557",52.66,"2,993,962",4.25,"176,976",-27.09,"439,323",226.01,0,--,"5,589,120",7.90,"683,091",16.66,"2,860,940",2.55,"1,435,819",17.31,"423,462",-7.98,"180,408",53.83,"5,400",72.86,0,--
2003M01,"21,880,761",26.37,"3,052,906",17.80,"11,564,391",19.43,"1,812,227",12.21,"4,456,816",62.31,"565,595",24.34,"428,826",90.77,0,--,"16,453,071",38.13,"2,479,574",21.53,"8,762,661",28.48,"399,710",52.15,"3,993,432",77.39,"397,295",25.10,"420,399",92.07,0,--,"5,427,690",0.44,"573,332",3.99,"2,801,730",-2.11,"1,412,517",4.46,"463,384",-6.33,"168,300",22.60,"8,427",42.42,0,--
