期間,總計_原始值,總計_年增率(%),初次尋職_原始值,初次尋職_年增率(%),非初次尋職_原始值,非初次尋職_年增率(%),非初次尋職-工作場所歇業或業務緊縮_原始值,非初次尋職-工作場所歇業或業務緊縮_年增率(%),非初次尋職-對原有工作不滿意_原始值,非初次尋職-對原有工作不滿意_年增率(%),非初次尋職-健康不良_原始值,非初次尋職-健康不良_年增率(%),非初次尋職-季節性或臨時性工作結束_原始值,非初次尋職-季節性或臨時性工作結束_年增率(%),非初次尋職-女性結婚或生育_原始值,非初次尋職-女性結婚或生育_年增率(%),非初次尋職-退休_原始值,非初次尋職-退休_年增率(%),非初次尋職-家務太忙_原始值,非初次尋職-家務太忙_年增率(%),非初次尋職-其他_原始值,非初次尋職-其他_年增率(%)
1978,106,...,59,...,47,...,8,...,23,...,3,...,3,...,0,...,2,...,0,...,7,...
1979,83,-21.30,45,-24.11,38,-17.77,6,-27.22,20,-11.91,2,-26.73,3,-10.65,0,-11.68,1,-32.16,0,-11.96,5,-22.35
1980,82,-1.73,44,-1.16,38,-2.39,6,-1.71,21,1.74,2,-6.13,3,11.30,0,-26.10,0,-70.26,0,-81.79,5,-0.15
1981,92,12.55,47,7.56,44,18.40,8,48.06,24,17.75,2,-14.61,4,22.11,0,0.92,0,-12.16,0,342.37,5,0.45
1982,149,61.88,61,29.12,88,96.75,22,171.01,36,50.26,4,95.38,12,188.12,0,89.09,1,123.50,0,16.48,12,125.81
1983,197,32.36,73,18.82,124,41.81,28,26.58,52,44.09,5,44.85,19,56.78,1,91.59,1,59.93,0,33.88,17,44.58
1984,183,-6.87,70,-3.51,113,-8.84,21,-26.42,54,3.16,5,-9.53,17,-9.72,1,-6.15,1,-7.52,0,-21.87,15,-15.38
1985,222,21.35,75,6.41,148,30.60,54,161.88,55,2.27,5,0.92,17,1.41,1,-23.80,1,-31.52,0,11.32,15,1.41
1986,212,-4.85,73,-1.65,138,-6.46,39,-27.11,59,7.65,6,17.51,18,7.53,1,19.65,1,26.99,0,12.15,13,-10.76
1987,161,-23.95,58,-21.05,103,-25.49,22,-43.68,55,-7.67,4,-34.77,10,-45.35,1,-16.42,1,-8.90,1,26.70,10,-23.41
1988,139,-13.42,51,-12.04,88,-14.20,17,-25.22,50,-9.72,4,10.31,8,-24.69,0,-23.51,1,-22.23,1,26.24,9,-13.37
1989,132,-5.55,46,-9.74,86,-3.13,18,6.08,49,-0.56,3,-27.63,6,-15.25,1,21.10,1,-12.95,0,-54.65,8,-10.15
1990,140,6.69,47,2.94,93,8.71,24,37.36,50,1.39,3,-2.58,6,-8.75,0,-7.77,0,-34.76,0,22.22,9,13.06
1991,130,-7.65,43,-9.92,87,-6.49,21,-13.77,46,-7.78,3,5.39,8,31.71,0,-29.16,0,-20.99,0,24.43,8,-7.57
1992,132,2.18,46,6.87,87,-0.11,16,-21.35,49,6.31,4,21.69,8,1.08,0,31.30,0,24.86,1,21.46,9,5.36
1993,128,-3.15,41,-9.16,87,0.00,18,9.67,50,1.91,3,-10.19,7,-12.76,1,20.09,0,-27.46,0,-55.83,8,-9.66
1994,142,10.63,43,3.07,99,14.22,19,6.60,57,14.73,3,-4.93,9,27.31,1,48.53,1,113.56,0,57.02,9,17.32
1995,165,16.26,47,9.42,118,19.20,29,50.02,66,14.74,3,-7.11,10,18.84,1,1.49,1,5.61,0,32.52,9,-6.14
1996,242,46.93,56,20.41,186,57.39,68,137.79,79,20.00,5,76.29,19,81.25,1,-8.54,2,112.03,1,33.33,12,42.50
1997,256,5.67,57,2.03,199,6.77,71,3.48,84,6.64,7,31.06,22,17.99,1,46.00,1,-21.90,1,-10.28,12,1.11
1998,257,0.26,59,2.48,198,-0.38,71,0.87,82,-2.41,6,-3.66,25,13.16,1,-34.61,1,-7.60,1,29.23,11,-13.53
1999,283,10.05,60,2.64,222,12.25,91,26.94,86,4.65,6,-8.02,26,3.07,1,-10.89,1,18.56,1,10.71,12,6.86
2000,293,3.56,58,-3.69,235,5.53,90,-0.54,95,9.99,6,9.54,29,13.25,1,66.30,1,-8.87,1,6.57,11,-0.99
