期間,南美洲_原始值,南美洲_年增率(%),南美洲_原始值,南美洲_年增率(%),南美洲_原始值,南美洲_年增率(%),南美洲_原始值,南美洲_年增率(%),阿根廷_原始值,阿根廷_年增率(%),阿根廷_原始值,阿根廷_年增率(%),阿根廷_原始值,阿根廷_年增率(%),阿根廷_原始值,阿根廷_年增率(%),玻利維亞_原始值,玻利維亞_年增率(%),玻利維亞_原始值,玻利維亞_年增率(%),玻利維亞_原始值,玻利維亞_年增率(%),玻利維亞_原始值,玻利維亞_年增率(%),巴西_原始值,巴西_年增率(%),巴西_原始值,巴西_年增率(%),巴西_原始值,巴西_年增率(%),巴西_原始值,巴西_年增率(%),智利_原始值,智利_年增率(%),智利_原始值,智利_年增率(%),智利_原始值,智利_年增率(%),智利_原始值,智利_年增率(%),哥倫比亞_原始值,哥倫比亞_年增率(%),哥倫比亞_原始值,哥倫比亞_年增率(%),哥倫比亞_原始值,哥倫比亞_年增率(%),哥倫比亞_原始值,哥倫比亞_年增率(%),厄瓜多_原始值,厄瓜多_年增率(%),厄瓜多_原始值,厄瓜多_年增率(%),厄瓜多_原始值,厄瓜多_年增率(%),厄瓜多_原始值,厄瓜多_年增率(%),圭亞那（法屬）_原始值,圭亞那（法屬）_年增率(%),圭亞那（法屬）_原始值,圭亞那（法屬）_年增率(%),圭亞那（法屬）_原始值,圭亞那（法屬）_年增率(%),圭亞那（法屬）_原始值,圭亞那（法屬）_年增率(%),蓋亞那_原始值,蓋亞那_年增率(%),蓋亞那_原始值,蓋亞那_年增率(%),蓋亞那_原始值,蓋亞那_年增率(%),蓋亞那_原始值,蓋亞那_年增率(%),巴拉圭_原始值,巴拉圭_年增率(%),巴拉圭_原始值,巴拉圭_年增率(%),巴拉圭_原始值,巴拉圭_年增率(%),巴拉圭_原始值,巴拉圭_年增率(%),秘魯_原始值,秘魯_年增率(%),秘魯_原始值,秘魯_年增率(%),秘魯_原始值,秘魯_年增率(%),秘魯_原始值,秘魯_年增率(%),蘇利南_原始值,蘇利南_年增率(%),蘇利南_原始值,蘇利南_年增率(%),蘇利南_原始值,蘇利南_年增率(%),蘇利南_原始值,蘇利南_年增率(%),烏拉圭_原始值,烏拉圭_年增率(%),烏拉圭_原始值,烏拉圭_年增率(%),烏拉圭_原始值,烏拉圭_年增率(%),烏拉圭_原始值,烏拉圭_年增率(%),委內瑞拉_原始值,委內瑞拉_年增率(%),委內瑞拉_原始值,委內瑞拉_年增率(%),委內瑞拉_原始值,委內瑞拉_年增率(%),委內瑞拉_原始值,委內瑞拉_年增率(%)
2000M01,"4,149",10.52,"133,984",14.78,"3,973",-5.96,"127,805",-2.44,659,-1.05,"21,284",2.72,157,-32.33,"5,052",-29.90,14,-64.10,439,-64.05,0,--,1,-75.00,"1,757",10.78,"56,736",15.06,"1,501",-15.53,"48,321",-12.26,500,-2.53,"16,148",1.23,"1,763",-2.06,"56,739",1.69,294,47.00,"9,506",52.73,68,257.89,"2,175",264.32,94,-14.55,"3,046",-10.75,41,36.67,"1,304",40.37,0,-100.00,0,-100.00,0,--,0,--,2,-33.33,74,-8.64,0,--,0,--,70,-6.67,"2,248",-4.10,42,61.54,"1,351",64.56,152,-8.43,"4,923",-4.61,342,24.36,"10,991",29.09,5,-44.44,149,-43.98,1,--,21,600.00,355,88.83,"11,471",96.49,28,-26.32,896,-24.20,246,26.15,"7,934",30.58,30,7.14,954,8.29
2000M02,"3,081",25.45,"100,391",31.73,"2,363",-8.80,"76,731",-4.17,470,-8.56,"15,325",-3.81,90,-56.31,"2,928",-53.96,6,-62.50,195,-61.54,0,--,13,--,"1,317",50.34,"42,892",57.84,694,-31.49,"22,519",-28.13,447,15.50,"14,545",21.24,"1,111",17.57,"36,084",23.52,192,21.52,"6,245",27.61,42,-26.32,"1,357",-23.33,54,-47.06,"1,775",-43.99,57,23.91,"1,861",30.96,0,--,15,50.00,0,--,0,--,1,-50.00,35,-54.55,1,--,39,--,39,-17.02,"1,269",-13.26,21,-8.70,674,-3.44,143,27.68,"4,655",33.42,323,17.03,"10,475",22.89,8,0.00,246,-3.15,0,--,0,--,224,169.88,"7,308",184.14,6,-73.91,190,-73.09,180,19.21,"5,870",25.64,18,800.00,591,"1,058.82"
2000M03,"3,592",50.29,"117,057",62.01,"3,656",15.51,"118,789",24.47,500,4.17,"16,281",12.11,162,24.62,"5,253",33.73,6,-77.78,182,-77.67,0,--,3,--,"1,606",127.80,"52,324",145.31,"1,349",1.50,"43,801",9.31,508,21.82,"16,545",31.05,"1,727",53.92,"56,083",65.70,227,18.23,"7,398",27.20,26,-69.77,856,-66.81,84,-10.64,"2,743",-3.25,48,-36.84,"1,574",-31.09,1,0.00,49,188.24,0,--,0,--,3,-50.00,107,-36.69,19,--,627,--,42,-22.22,"1,361",-16.61,16,-38.46,528,-31.61,130,26.21,"4,251",36.38,273,-23.53,"8,873",-17.54,8,-11.11,266,3.10,0,--,0,--,247,208.75,"8,064",235.16,14,-48.15,462,-43.80,228,3.17,"7,436",11.07,22,83.33,729,94.92
2000M04,"4,418",72.04,"144,915",86.06,"4,559",35.04,"149,070",46.02,610,26.82,"20,008",37.02,210,65.35,"6,864",79.36,8,-60.00,268,-55.03,0,--,2,-81.82,"2,024",151.74,"66,401",172.29,"1,572",1.68,"51,402",9.94,563,18.28,"18,465",27.93,"2,240",71.12,"73,261",85.06,283,51.34,"9,270",63.55,140,311.76,"4,573",347.89,83,69.39,"2,723",83.49,65,22.64,"2,134",34.38,0,--,0,--,0,--,0,--,1,-75.00,22,-80.00,0,--,0,--,67,97.06,"2,183",111.94,34,21.43,"1,101",30.45,155,4.03,"5,096",12.57,252,5.88,"8,240",14.27,11,175.00,372,229.20,3,--,92,"9,100.00",271,141.96,"8,885",160.79,14,-17.65,455,-11.13,342,40.74,"11,219",52.08,25,4.17,815,11.49
2000M05,"4,937",43.02,"161,254",52.64,"3,317",-1.63,"107,954",4.93,627,-4.71,"20,491",1.73,449,129.08,"14,616",145.07,7,-65.00,232,-62.76,0,--,0,-100.00,"2,112",83.02,"68,959",95.26,845,-21.03,"27,492",-15.77,733,30.89,"23,955",39.72,"1,573",-0.25,"51,191",6.43,318,43.24,"10,385",52.95,77,26.23,"2,501",34.68,152,97.40,"4,971",110.01,56,211.11,"1,836",231.41,1,--,29,--,0,--,0,--,7,-36.36,234,-27.33,8,--,271,--,90,26.76,"2,934",34.65,27,-27.03,881,-22.85,235,43.29,"7,674",53.14,242,-38.73,"7,878",-34.65,6,-62.50,195,-60.69,0,--,0,--,385,126.47,"12,574",141.53,18,20.00,577,26.26,262,-19.14,"8,551",-13.62,22,633.33,711,570.75
2000M06,"4,781",43.57,"155,437",51.95,"3,930",-10.50,"127,381",-5.28,568,2.71,"18,462",8.75,128,-44.35,"4,153",-41.03,9,0.00,285,4.40,0,--,15,"1,400.00","2,236",93.09,"72,672",104.35,"1,541",-7.39,"49,929",-1.99,602,14.45,"19,569",21.19,"1,769",-13.03,"57,307",-7.98,244,29.79,"7,945",37.36,114,137.50,"3,688",150.03,117,1.74,"3,803",7.31,50,-9.09,"1,633",-3.83,4,300.00,130,490.91,0,--,0,--,2,-33.33,61,-26.51,0,-100.00,0,-100.00,120,55.84,"3,909",64.24,30,11.11,986,19.66,192,11.63,"6,255",18.17,266,-11.63,"8,625",-6.45,3,-50.00,109,-38.76,0,--,7,--,373,49.20,"12,128",58.00,16,-46.67,517,-43.93,311,15.61,"10,104",22.13,16,"1,500.00",521,"1,308.11"
2000M07,"5,438",46.18,"176,740",53.22,"4,829",5.81,"156,428",10.91,599,1.18,"19,458",6.05,309,-66.08,"10,022",-64.40,10,-52.38,316,-51.61,0,--,1,--,"2,523",84.56,"81,996",93.47,"2,118",120.17,"68,609",130.72,653,1.08,"21,236",6.04,"1,668",-22.42,"54,026",-18.71,353,38.43,"11,458",45.00,160,226.53,"5,183",242.11,164,112.99,"5,327",123.45,52,-31.58,"1,681",-28.47,0,-100.00,0,-100.00,0,--,0,--,1,-75.00,25,-81.62,0,--,0,--,119,108.77,"3,856",118.84,73,121.21,"2,361",133.30,188,12.57,"6,120",17.85,293,-17.23,"9,497",-13.09,10,100.00,341,117.20,0,--,0,--,403,37.07,"13,095",43.85,140,483.33,"4,528",522.83,414,78.45,"13,465",86.81,16,220.00,520,239.87
2000M08,"4,920",20.77,"158,529",24.90,"3,995",-19.47,"128,306",-16.71,553,-15.57,"17,819",-12.64,164,-56.96,"5,271",-55.45,12,-29.41,381,-27.98,0,-100.00,3,-91.67,"2,257",42.40,"72,726",47.32,"1,682",12.36,"54,027",16.24,651,5.85,"20,989",9.52,"1,678",-22.60,"53,889",-19.97,345,41.39,"11,105",46.21,90,47.54,"2,898",53.01,163,64.65,"5,247",69.48,21,-81.90,667,-81.47,0,--,0,--,0,--,0,--,6,-14.29,208,-2.35,0,-100.00,0,-100.00,78,-16.13,"2,523",-12.58,26,-88.39,851,-87.76,169,5.63,"5,460",9.33,314,-7.92,"10,077",-4.81,9,12.50,277,5.32,1,--,23,--,308,10.00,"9,914",13.48,9,-47.06,279,-45.61,358,15.48,"11,539",19.59,10,-93.33,321,-93.12
2000M09,"4,677",29.49,"150,610",32.41,"3,593",-0.33,"115,310",1.97,528,-13.30,"17,010",-11.34,139,-53.97,"4,448",-53.12,8,-71.43,273,-69.22,0,-100.00,6,-66.67,"2,141",47.45,"68,954",50.87,"1,621",12.80,"52,034",15.40,550,10.00,"17,698",12.35,"1,485",2.70,"47,657",5.03,318,17.34,"10,238",20.05,45,-27.42,"1,444",-25.49,181,90.53,"5,830",95.38,19,-69.84,619,-68.59,0,--,0,--,0,--,0,--,5,25.00,151,33.63,17,--,533,--,109,172.50,"3,508",176.66,35,-52.05,"1,137",-50.50,236,74.81,"7,612",79.23,199,3.11,"6,385",5.62,6,100.00,189,85.29,0,--,0,--,279,14.81,"8,978",17.13,14,-36.36,440,-35.10,314,36.52,"10,108",39.36,19,216.67,607,228.11
2000M10,"4,828",18.22,"154,442",20.02,"3,628",2.78,"115,726",4.36,584,-12.57,"18,699",-11.22,93,-73.28,"2,970",-72.84,12,100.00,392,108.51,0,--,2,100.00,"2,119",34.11,"67,786",36.14,"1,354",48.14,"43,189",50.48,583,-20.68,"18,639",-19.50,"1,670",-6.55,"53,255",-5.16,300,47.78,"9,603",50.09,63,1.61,"2,024",3.85,202,108.25,"6,475",112.02,16,-80.25,520,-79.54,1,--,28,--,0,--,0,--,4,-60.00,117,-61.76,0,-100.00,0,-100.00,63,-30.00,"2,001",-29.81,35,-30.00,"1,111",-28.74,247,29.32,"7,892",31.14,251,-4.92,"8,016",-3.46,8,14.29,252,15.07,1,--,29,--,213,18.33,"6,812",20.31,9,-30.77,279,-29.19,492,59.22,"15,733",61.76,136,"6,700.00","4,331","6,269.12"
