期間,國小_平均,國小_男,國小_女,國中_平均,國中_男,國中_女,高中_平均,高中_男,高中_女,高職_平均,高職_男,高職_女
1976,90.41,95.12,85.42,61.57,59.50,64.17,42.39,36.99,49.84,...,...,...
1977,93.60,97.59,89.38,60.04,58.36,62.10,43.59,39.13,49.61,...,...,...
1978,94.08,97.36,90.63,60.42,58.59,62.57,40.43,34.43,48.62,...,...,...
1979,95.58,98.16,92.84,62.75,60.21,65.68,43.96,37.53,52.34,...,...,...
1980,96.14,97.99,94.19,65.16,63.10,67.48,44.64,39.92,50.74,...,...,...
1981,96.77,98.29,95.16,68.11,66.29,70.12,45.39,39.56,52.72,...,...,...
1982,97.96,98.77,97.10,71.52,70.87,72.23,46.03,40.80,52.52,...,...,...
1983,97.95,98.77,97.09,69.55,68.47,70.72,46.40,40.01,53.79,...,...,...
1984,98.70,99.48,97.87,70.54,68.98,72.21,44.36,38.31,51.18,...,...,...
1985,98.73,99.07,98.38,71.31,70.08,72.62,40.19,35.53,45.68,...,...,...
1986,99.04,99.47,98.59,77.13,73.96,80.50,40.98,36.31,46.45,...,...,...
1987,99.51,99.37,99.65,79.32,75.34,83.19,46.26,38.87,54.63,2.83,4.43,1.35
1988,99.09,99.16,99.02,79.51,75.70,83.52,45.53,37.29,54.86,4.57,7.72,2.50
1989,99.62,99.79,99.44,79.60,76.80,82.47,44.40,39.86,49.29,7.00,8.84,5.41
1990,99.77,99.98,99.56,84.70,81.40,88.09,48.58,46.38,50.94,12.92,12.01,13.68
1991,99.28,99.34,99.22,86.09,83.08,89.19,51.94,55.24,48.43,13.68,14.47,13.04
1992,99.54,99.37,99.71,88.32,85.17,91.58,59.15,63.61,54.29,13.71,14.87,12.78
1993,99.53,99.27,99.80,87.78,84.94,90.75,61.32,64.47,58.29,18.03,18.44,17.71
1994,99.83,99.77,99.89,88.49,85.79,91.31,57.38,55.64,59.32,16.22,16.11,16.31
1995,99.75,99.77,99.72,89.17,86.73,91.71,56.58,53.01,60.51,17.84,17.13,18.43
1996,98.89,98.70,99.09,90.70,88.59,92.91,58.88,55.31,62.71,17.71,16.67,18.58
1997,99.18,99.19,99.18,92.02,90.15,93.98,61.95,60.30,63.73,23.32,22.53,23.99
1998,99.60,99.46,99.75,93.94,92.64,95.30,67.43,66.43,68.46,24.74,22.85,26.37
1999,99.89,99.88,99.91,94.73,94.69,94.79,74.35,75.58,73.10,30.14,28.04,32.07
2000,99.79,99.78,99.79,95.31,94.46,96.20,74.77,75.43,74.11,36.90,33.52,40.07
2001,99.15,99.34,98.98,95.97,94.91,97.10,77.14,77.41,76.86,42.72,38.48,46.78
2002,99.70,99.64,99.76,95.48,94.81,96.20,81.21,81.09,81.32,46.58,42.91,50.17
2003,99.44,99.44,99.44,95.74,94.74,96.82,82.20,80.78,83.60,56.02,50.95,61.04
2004,99.42,99.45,99.39,96.03,95.26,96.86,86.01,84.98,87.00,62.72,59.39,66.32
2005,99.31,99.21,99.41,94.88,93.52,96.38,88.44,87.28,89.56,66.61,63.90,69.71
2006,99.54,99.68,99.39,96.23,95.66,96.86,91.13,90.48,91.75,69.79,67.61,72.34
2007,99.66,99.63,99.69,96.26,95.46,97.12,93.61,93.07,94.12,72.96,71.50,74.64
2008,99.78,99.74,99.82,95.38,94.76,96.06,95.34,94.76,95.91,76.47,74.95,78.28
2009,99.85,99.93,99.76,97.63,97.42,97.86,95.56,94.88,96.23,76.91,75.27,78.90
2010,99.89,99.92,99.85,98.15,97.83,98.50,95.24,94.45,96.01,79.64,78.02,81.62
2011,99.91,99.91,99.90,97.67,97.32,98.04,94.67,93.59,95.72,81.91,80.46,83.64
2012,99.91,99.96,99.85,99.15,98.99,99.33,94.75,93.39,96.09,83.51,81.54,85.82
