期間,發行部門-中央銀行_原始值,發行部門-中央銀行_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-保險公司及退休基金_原始值,持有部門-保險公司及退休基金_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%),持有部門-政府_原始值,持有部門-政府_年增率(%),持有部門-公營事業_原始值,持有部門-公營事業_年增率(%),持有部門-民營企業_原始值,持有部門-民營企業_年增率(%),持有部門-家庭及非營利團體_原始值,持有部門-家庭及非營利團體_年增率(%)
2000,"708,414",...,"180,666",...,"1,295",...,"3,647",...,469,...,624,...,"303,174",...,"218,538",...
2001,"692,622",-2.23,"166,963",-7.58,"1,584",22.31,"3,819",4.72,475,1.14,552,-11.54,"244,625",-19.31,"274,604",25.65
2002,"698,203",0.81,"170,925",2.37,"4,232",167.14,"1,591",-58.34,445,-6.24,589,6.64,"221,128",-9.61,"299,293",8.99
2003,"784,814",12.40,"176,609",3.33,"1,327",-68.64,"5,688",257.51,465,4.44,543,-7.84,"242,858",9.83,"357,325",19.39
2004,"856,741",9.16,"186,893",5.82,"1,510",13.79,"3,178",-44.13,463,-0.47,677,24.75,"201,222",-17.14,"462,798",29.52
2005,"922,609",7.69,"192,242",2.86,656,-56.59,"3,685",15.95,466,0.72,449,-33.68,"212,090",5.40,"513,022",10.85
2006,"959,544",4.00,"200,823",4.46,757,15.40,"16,584",350.07,544,16.69,"1,001",122.98,"242,505",14.34,"497,330",-3.06
2007,"961,447",0.20,"198,820",-1.00,869,14.91,"14,676",-11.50,559,2.83,437,-56.35,"221,741",-8.56,"524,345",5.43
2008,"1,054,061",9.63,"220,524",10.92,"1,382",58.94,"9,277",-36.79,551,-1.48,424,-2.98,"154,729",-30.22,"667,174",27.24
2009,"1,122,504",6.49,"209,886",-4.82,962,-30.38,"5,153",-44.46,620,12.49,388,-8.48,"177,218",14.53,"728,277",9.16
2010,"1,204,628",7.32,"208,775",-0.53,863,-10.35,"4,850",-5.86,631,1.76,408,5.18,"170,555",-3.76,"818,547",12.39
2011,"1,320,376",9.61,"213,032",2.04,708,-17.96,"3,475",-28.35,570,-9.66,390,-4.43,"170,784",0.13,"931,417",13.79
2012,"1,437,306",8.86,"234,094",9.89,"1,230",73.80,"7,109",104.55,548,-3.75,421,7.94,"201,623",18.06,"992,281",6.53
