期間,所數-合計_原始值,所數-合計_年增率(%),所數-公立_原始值,所數-公立_年增率(%),所數-私立_原始值,所數-私立_年增率(%),所數-公設民營_原始值,所數-公設民營_年增率(%),所數-夜間型住宿_原始值,所數-夜間型住宿_年增率(%),所數-日間型住宿_原始值,所數-日間型住宿_年增率(%),所數-日間服務_原始值,所數-日間服務_年增率(%),所數-服利服務中心(按機構性質分)_原始值,所數-服利服務中心(按機構性質分)_年增率(%),所數-生活重建_原始值,所數-生活重建_年增率(%),所數-生活照顧_原始值,所數-生活照顧_年增率(%),所數-服利服務中心(按機構類型分)_原始值,所數-服利服務中心(按機構類型分)_年增率(%),核定安置服務人數-合計_原始值,核定安置服務人數-合計_年增率(%),核定安置服務人數-夜間型住宿_原始值,核定安置服務人數-夜間型住宿_年增率(%),核定安置服務人數-全日型住宿_原始值,核定安置服務人數-全日型住宿_年增率(%),核定安置服務人數-日間托顧_原始值,核定安置服務人數-日間托顧_年增率(%),核定安置服務人數-部份時制托顧_原始值,核定安置服務人數-部份時制托顧_年增率(%),實際安置服務人數-合計_原始值,實際安置服務人數-合計_年增率(%),實際安置服務人數-男_原始值,實際安置服務人數-男_年增率(%),實際安置服務人數-女_原始值,實際安置服務人數-女_年增率(%),實際安置服務人數-夜間型住宿-男_原始值,實際安置服務人數-夜間型住宿-男_年增率(%),實際安置服務人數-夜間型住宿-女_原始值,實際安置服務人數-夜間型住宿-女_年增率(%),實際安置服務人數-全日型住宿-男_原始值,實際安置服務人數-全日型住宿-男_年增率(%),實際安置服務人數-全日型住宿-女_原始值,實際安置服務人數-全日型住宿-女_年增率(%),實際安置服務人數-日間托顧-男_原始值,實際安置服務人數-日間托顧-男_年增率(%),實際安置服務人數-日間托顧-女_原始值,實際安置服務人數-日間托顧-女_年增率(%),實際安置服務人數-部份時制托顧-男_原始值,實際安置服務人數-部份時制托顧-男_年增率(%),實際安置服務人數-部份時制托顧-女_原始值,實際安置服務人數-部份時制托顧-女_年增率(%),實際安置服務人次_原始值,實際安置服務人次_年增率(%),實際安置服務人數-特教單位委託_原始值,實際安置服務人數-特教單位委託_年增率(%),實際安置服務人數-勞政單位委託_原始值,實際安置服務人數-勞政單位委託_年增率(%)
1999,144,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"9,751",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"18,898",...,...,...,...,...
2000,178,23.61,12,...,123,...,43,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"13,085",34.19,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"13,537",-28.37,...,...,...,...
2001,193,8.43,11,-8.33,134,8.94,48,11.63,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"14,739",12.64,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"126,340",833.29,...,...,...,...
2002,223,15.54,12,9.09,159,18.66,52,8.33,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"16,664",13.06,156,...,"10,210",...,"6,298",...,...,...,"12,611",...,"7,499",...,"5,112",...,94,...,106,...,"4,845",...,"3,362",...,"2,560",...,"1,644",...,...,...,...,...,"94,287",-25.37,317,...,485,...
2003,241,8.07,13,8.33,176,10.69,52,0.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"18,981",13.90,113,-27.56,"11,965",17.19,"6,143",-2.46,760,...,"14,540",15.30,"8,714",16.20,"5,826",13.97,62,-34.04,38,-64.15,"5,564",14.84,"3,842",14.28,"2,482",-3.05,"1,618",-1.58,606,...,328,...,"320,930",240.38,297,-6.31,720,48.45
2004,244,1.24,15,15.38,175,-0.57,54,3.85,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"20,036",5.56,178,57.52,"12,175",1.76,"6,692",8.94,991,30.39,"15,582",7.17,"9,338",7.16,"6,244",7.17,58,-6.45,58,52.63,"5,875",5.59,"4,104",6.82,"2,426",-2.26,"1,609",-0.56,979,61.55,473,44.21,"423,191",31.86,243,-18.18,909,26.25
2005,244,0.00,14,-6.67,178,1.71,52,-3.70,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"20,095",0.29,125,-29.78,"12,795",5.09,"6,138",-8.28,"1,037",4.64,"15,905",2.07,"9,627",3.09,"6,278",0.54,46,-20.69,49,-15.52,"6,143",4.56,"4,214",2.68,"2,562",5.61,"1,625",0.99,876,-10.52,390,-17.55,"513,177",21.26,147,-39.51,341,-62.49
2006,248,1.64,15,7.14,179,0.56,54,3.85,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"20,080",-0.07,206,64.80,"13,093",2.33,"5,907",-3.76,874,-15.72,"16,730",5.19,"9,946",3.31,"6,424",2.33,52,13.04,58,18.37,"6,500",5.81,"4,403",4.49,"2,542",-0.78,"1,531",-5.78,852,-2.74,432,10.77,"592,245",15.41,120,-18.37,360,5.57
2007,254,2.42,15,0.00,182,1.68,57,5.56,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"20,705",3.11,136,-33.98,"13,602",3.89,"6,238",5.60,729,-16.59,"17,002",1.63,"10,335",3.91,"6,667",3.78,71,36.54,59,1.72,"6,793",4.51,"4,564",3.66,"2,549",0.28,"1,602",4.64,922,8.22,442,2.31,"738,823",24.75,110,-8.33,399,10.83
2008,264,3.94,16,6.67,185,1.65,63,10.53,7,...,150,...,86,...,21,...,...,...,...,...,...,...,"21,958",6.05,158,16.18,"14,684",7.95,"6,331",1.49,785,7.68,"17,457",2.68,"10,568",2.25,"6,889",3.33,55,-22.54,48,-18.64,"7,042",3.67,"4,790",4.95,"2,508",-1.61,"1,579",-1.44,963,4.45,472,6.79,"884,313",19.69,69,-37.27,210,-47.37
