期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
1973,"7,319",...,"1,236",...,1,...,633,...,204,...,14,...,761,...,...,...,...,...,214,...,68,...,68,...,2,...,103,...,964,...,268,...,75,...,715,...,882,...,492,...,298,...,92,...,229,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1974,"5,400",-26.22,414,-66.50,17,"1,600.00",429,-32.23,142,-30.39,21,50.00,655,-13.93,...,...,...,...,195,-8.88,235,245.59,-,--,-,--,76,-26.21,794,-17.63,330,23.13,31,-58.67,574,-19.72,786,-10.88,324,-34.15,196,-34.23,-,--,181,-20.96,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1975,"3,693",-31.61,353,-14.73,11,-35.29,216,-49.65,132,-7.04,14,-33.33,331,-49.47,...,...,...,...,165,-15.38,34,-85.53,257,--,-,--,58,-23.68,411,-48.24,167,-49.39,37,19.35,448,-21.95,441,-43.89,212,-34.57,173,-11.73,47,--,186,2.76,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1976,"3,368",-8.80,318,-9.92,7,-36.36,220,1.85,219,65.91,20,42.86,271,-18.13,...,...,...,...,116,-29.70,45,32.35,167,-35.02,-,--,50,-13.79,483,17.52,129,-22.75,22,-40.54,437,-2.46,395,-10.43,219,3.30,104,-39.88,33,-29.79,113,-39.25,595,...,80,...,2,...,55,...,21,...,5,...,60,...,...,...,...,...,17,...,14,...,25,...,-,...,12,...,64,...,20,...,1,...,45,...,53,...,70,...,18,...,11,...,22,...
1977,"3,954",17.40,241,-24.21,4,-42.86,252,14.55,279,27.40,23,15.00,307,13.28,...,...,...,...,178,53.45,35,-22.22,130,-22.16,-,--,67,34.00,436,-9.73,188,45.74,23,4.55,527,20.59,537,35.95,314,43.38,177,70.19,54,63.64,182,61.06,597,0.34,67,-16.25,-,--,65,18.18,26,23.81,-,--,54,-10.00,...,...,...,...,20,17.65,12,-14.29,20,-20.00,-,--,15,25.00,74,15.62,26,30.00,2,100.00,53,17.78,43,-18.87,64,-8.57,26,44.44,10,-9.09,20,-9.09
1978,"5,263",33.11,291,20.75,5,25.00,297,17.86,562,101.43,37,60.87,405,31.92,...,...,...,...,209,17.42,44,25.71,163,25.38,-,--,115,71.64,575,31.88,195,3.72,28,21.74,613,16.32,595,10.80,595,89.49,235,32.77,69,27.78,230,26.37,795,33.17,103,53.73,2,--,68,4.62,69,165.38,2,--,54,0.00,...,...,...,...,38,90.00,23,91.67,39,95.00,-,--,17,13.33,94,27.03,27,3.85,5,150.00,72,35.85,69,60.47,52,-18.75,28,7.69,11,10.00,22,10.00
1979,"5,653",7.41,430,47.77,7,40.00,391,31.65,189,-66.37,39,5.41,403,-0.49,...,...,...,...,212,1.44,50,13.64,182,11.66,-,--,106,-7.83,720,25.22,259,32.82,26,-7.14,769,25.45,756,27.06,575,-3.36,241,2.55,68,-1.45,230,0.00,877,10.31,116,12.62,3,50.00,73,7.35,46,-33.33,8,300.00,76,40.74,...,...,...,...,37,-2.63,19,-17.39,32,-17.95,-,--,16,-5.88,100,6.38,32,18.52,2,-60.00,88,22.22,67,-2.90,84,61.54,37,32.14,14,27.27,27,22.73
1980,"6,077",7.50,428,-0.47,17,142.86,313,-19.95,250,32.28,42,7.69,372,-7.69,...,...,...,...,209,-1.42,53,6.00,192,5.49,-,--,95,-10.38,781,8.47,271,4.63,11,-57.69,953,23.93,950,25.66,583,1.39,265,9.96,67,-1.47,225,-2.17,"1,035",18.02,104,-10.34,4,33.33,106,45.21,52,13.04,6,-25.00,104,36.84,...,...,...,...,45,21.62,16,-15.79,28,-12.50,-,--,16,0.00,105,5.00,46,43.75,4,100.00,130,47.73,92,37.31,101,20.24,37,0.00,17,21.43,22,-18.52
1981,"5,685",-6.45,296,-30.84,8,-52.94,313,0.00,265,6.00,59,40.48,293,-21.24,...,...,...,...,228,9.09,52,-1.89,190,-1.04,-,--,119,25.26,847,8.45,222,-18.08,12,9.09,898,-5.77,872,-8.21,620,6.35,186,-29.81,47,-29.85,158,-29.78,"1,237",19.52,149,43.27,4,0.00,117,10.38,59,13.46,10,66.67,113,8.65,...,...,...,...,39,-13.33,29,81.25,51,82.14,-,--,17,6.25,122,16.19,72,56.52,11,175.00,134,3.08,105,14.13,127,25.74,25,-32.43,27,58.82,26,18.18
1982,"5,283",-7.07,247,-16.55,8,0.00,314,0.32,313,18.11,76,28.81,246,-16.04,...,...,...,...,241,5.70,43,-17.31,156,-17.89,-,--,105,-11.76,787,-7.08,128,-42.34,11,-8.33,859,-4.34,744,-14.68,599,-3.39,170,-8.60,54,14.89,182,15.19,"1,008",-18.51,95,-36.24,3,-25.00,80,-31.62,45,-23.73,7,-30.00,74,-34.51,...,...,...,...,39,0.00,23,-20.69,39,-23.53,-,--,14,-17.65,118,-3.28,42,-41.67,8,-27.27,122,-8.96,99,-5.71,116,-8.66,33,32.00,17,-37.04,34,30.77
