期間,資產淨額=負債淨值淨額_原始值,資產淨額=負債淨值淨額_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-政府債券_原始值,資產--對非金融機構證券投資-政府債券_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--通貨發行額_原始值,負債與淨值--通貨發行額_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-計_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-計_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--信託資金_原始值,負債與淨值--信託資金_年增率(%),負債與淨值--人壽保險準備_原始值,負債與淨值--人壽保險準備_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%),負債與淨值--其他項目(淨額)_原始值,負債與淨值--其他項目(淨額)_年增率(%)
1997M01,"18,153,614",7.85,"3,144,472",1.14,"11,959,656",4.79,"1,221,774",24.35,"395,806",1.16,"10,342,076",3.02,"709,889",23.46,"84,610",33.76,"1,497,048",43.48,"267,180",-19.85,"190,275",39.92,"300,484",88.55,"481,222",-11.36,"857,587",32.06,"13,419,869",10.05,"310,056",1.83,"798,042",11.64,"1,896,223",21.09,"2,486,952",-1.73,"5,331,079",10.43,"326,811",43.68,"2,270,706",12.24,-,-,"817,672",-5.60,"316,383",1.15,"1,352,470",17.39,"92,810",-5.87,"1,568,913",18.10,"-753,312",--
1997M02,"18,076,660",6.98,"3,165,148",1.91,"11,998,645",4.18,"1,252,833",26.11,"394,791",-0.89,"10,351,021",2.23,"715,483",31.72,"83,750",41.25,"1,477,122",42.62,"258,184",-10.41,"195,392",43.07,"182,936",-13.28,"479,637",-9.05,"735,877",-7.77,"13,545,296",10.40,"284,865",5.07,"782,699",14.70,"1,937,057",19.88,"2,501,180",-0.84,"5,377,955",10.14,"335,882",40.02,"2,325,658",13.15,-,-,"790,303",7.50,"319,168",1.93,"1,375,163",17.74,"83,516",-14.45,"1,582,017",15.78,"-834,317",--
1997M03,"18,281,276",8.93,"3,191,830",9.83,"12,022,485",3.89,"1,263,613",24.29,"400,619",0.98,"10,358,253",1.96,"794,471",33.39,"75,399",26.39,"1,593,744",48.56,"233,056",-14.30,"188,721",37.41,"181,570",9.17,"496,333",-8.53,"699,525",-2.90,"13,574,780",10.42,"288,391",-0.58,"807,324",20.47,"1,949,003",20.57,"2,495,665",0.15,"5,386,133",9.81,"333,960",41.69,"2,314,304",11.01,-,-,"795,873",3.73,"324,414",1.98,"1,388,918",17.19,"71,572",-29.62,"1,599,834",17.19,"-669,973",--
1997M04,"18,272,341",8.05,"3,191,878",9.03,"12,095,713",4.39,"1,269,828",21.88,"398,718",2.01,"10,427,167",2.69,"784,897",36.18,"78,095",20.37,"1,546,828",32.23,"209,870",-24.36,"189,277",37.38,"175,783",3.07,"535,601",0.45,"679,932",1.45,"13,516,153",9.31,"282,690",4.27,"796,985",12.93,"1,958,624",21.10,"2,466,397",-0.48,"5,385,671",8.32,"327,576",39.09,"2,298,210",10.23,-,-,"796,637",-2.09,"323,952",4.58,"1,408,405",17.86,"58,965",-45.25,"1,619,516",17.16,"-666,820",--
1997M05,"18,417,022",7.72,"3,246,125",8.08,"12,158,408",4.99,"1,264,997",19.27,"395,605",3.47,"10,497,806",3.55,"785,707",43.82,"77,982",3.93,"1,583,358",21.44,"212,558",-25.89,"185,050",33.73,"167,834",3.01,"544,490",3.24,"667,654",1.65,"13,557,337",8.63,"271,601",1.90,"815,016",16.67,"1,936,647",21.65,"2,494,356",-1.88,"5,403,750",7.35,"343,211",33.92,"2,292,756",9.66,-,-,"836,080",-1.04,"330,800",4.27,"1,427,867",17.80,"62,554",-42.71,"1,630,620",16.28,"-640,380",--
1997M06,"18,565,159",6.77,"3,243,106",7.69,"12,490,540",6.85,"1,344,615",19.82,"398,169",7.15,"10,747,756",5.41,"780,401",39.77,"83,994",0.45,"1,386,922",3.75,"220,758",-39.46,"185,189",1.14,"174,249",8.80,"555,819",11.72,"681,271",1.84,"13,714,204",7.17,"324,594",-8.78,"871,267",15.52,"2,013,056",18.69,"2,465,520",-2.69,"5,397,989",6.40,"349,962",28.30,"2,291,816",8.60,-,-,"837,411",4.12,"328,592",2.33,"1,447,840",17.43,"64,968",-40.76,"1,596,821",9.77,"-661,767",--
1997M07,"18,686,883",7.04,"3,287,565",8.05,"12,567,060",8.08,"1,368,488",20.38,"391,102",7.43,"10,807,470",6.72,"752,238",29.94,"68,531",-13.78,"1,446,236",1.94,"199,268",-45.26,"187,996",2.43,"177,989",8.89,"591,518",22.25,"668,382",2.58,"13,757,338",6.66,"293,103",-9.32,"882,429",18.77,"2,046,370",23.47,"2,457,221",-5.03,"5,386,649",4.94,"367,180",32.50,"2,324,386",6.76,-,-,"846,938",7.32,"337,015",4.56,"1,466,442",17.55,"65,407",-40.10,"1,629,263",8.77,"-675,420",--
1997M08,"18,723,910",6.92,"3,254,676",6.08,"12,752,662",9.21,"1,355,730",18.74,"387,647",6.15,"11,009,285",8.25,"791,213",23.53,"70,918",-9.83,"1,261,846",-8.24,"234,721",-27.90,"190,549",3.35,"167,325",3.21,"556,071",12.83,"659,363",2.71,"13,810,286",7.01,"325,415",24.43,"902,949",24.08,"2,007,147",22.96,"2,497,744",-4.74,"5,378,479",3.75,"399,206",37.58,"2,299,346",5.12,-,-,"861,623",1.99,"331,421",3.32,"1,484,506",17.31,"65,356",-36.49,"1,670,958",10.34,"-715,674",--
1997M09,"18,835,450",6.80,"3,195,617",3.62,"12,882,807",10.06,"1,370,803",18.64,"410,536",10.14,"11,101,468",9.08,"775,607",19.77,"67,048",-16.69,"1,296,276",-9.87,"245,247",-24.61,"191,182",4.31,"181,666",5.62,"529,928",9.06,"669,690",0.86,"13,784,627",6.10,"324,641",9.53,"836,089",14.42,"1,945,774",19.22,"2,580,657",-1.76,"5,376,477",3.09,"424,642",43.98,"2,296,347",4.58,-,-,"848,647",3.49,"339,784",4.95,"1,501,398",16.91,"67,159",-35.03,"1,722,998",13.58,"-628,781",--
1997M10,"19,116,789",8.22,"3,361,027",7.94,"12,874,464",10.30,"1,364,740",17.87,"391,019",5.66,"11,118,705",9.60,"764,374",19.31,"64,414",-22.26,"1,470,292",-0.01,"226,932",-32.06,"189,577",2.20,"165,709",0.85,"491,427",2.04,"663,672",2.93,"13,962,663",6.64,"306,842",-1.12,"800,020",12.58,"1,967,294",18.26,"2,779,146",5.22,"5,324,073",1.15,"505,669",72.06,"2,279,619",3.13,-,-,"790,900",-0.55,"342,996",6.61,"1,521,849",17.02,"62,267",-39.54,"1,976,606",29.21,"-695,591",--
1997M11,"19,396,614",8.99,"3,477,073",11.63,"13,088,894",11.49,"1,365,025",15.24,"394,656",9.78,"11,329,213",11.12,"785,429",22.03,"67,145",-22.18,"1,382,899",-8.40,"243,129",-31.32,"190,972",2.70,"161,073",-0.56,"497,807",8.23,"662,084",3.34,"14,068,552",6.86,"304,454",14.92,"833,864",10.68,"1,984,083",15.69,"2,851,910",9.48,"5,279,064",-0.03,"552,955",70.83,"2,262,222",1.80,-,-,"808,562",2.15,"342,113",4.69,"1,543,546",16.98,"65,588",-35.07,"2,066,799",34.28,"-658,437",--
1997M12,"19,862,917",10.27,"3,541,258",12.72,"13,306,163",12.12,"1,396,040",19.09,"400,458",9.30,"11,509,665",11.43,"822,081",21.46,"67,260",-11.80,"1,496,021",-0.93,"262,414",-31.90,"192,689",1.50,"175,031",5.26,"489,623",1.25,"684,311",3.08,"14,340,367",7.47,"308,031",-2.01,"892,481",8.76,"2,004,376",11.81,"3,181,377",23.70,"5,148,420",-2.99,"569,905",83.93,"2,235,777",0.36,-,-,"837,623",6.63,"356,550",7.90,"1,565,449",16.90,"68,890",-25.81,"2,109,461",36.01,"-589,357",--
1998M01,"20,325,170",11.96,"3,701,804",17.72,"13,615,588",13.85,"1,427,123",16.81,"430,129",8.67,"11,758,336",13.69,"900,715",26.88,"63,376",-25.10,"1,389,432",-7.19,"249,708",-6.54,"192,768",1.31,"211,779",-29.52,"511,069",6.20,"1,025,671",19.60,"14,401,276",7.31,"311,177",0.36,"758,732",-4.93,"2,048,304",8.02,"3,285,196",32.10,"5,095,383",-4.42,"610,890",86.92,"2,291,594",0.92,-,-,"816,639",-0.13,"351,134",10.98,"1,581,631",16.94,"68,132",-26.59,"2,282,788",45.50,"-713,170",--
1998M02,"20,147,751",11.46,"3,503,621",10.69,"13,448,671",12.08,"1,445,317",15.36,"396,793",0.51,"11,606,561",12.13,"861,816",20.45,"70,752",-15.52,"1,617,053",9.47,"273,725",6.02,"194,051",-0.69,"178,062",-2.66,"470,083",-1.99,"742,187",0.86,"14,637,903",8.07,"304,085",6.75,"806,023",2.98,"2,135,701",10.25,"3,491,365",39.59,"4,997,830",-7.07,"614,883",83.07,"2,288,016",-1.62,-,-,"871,083",10.22,"379,094",18.78,"1,601,310",16.45,"74,048",-11.34,"2,157,556",36.38,"-785,513",--
1998M03,"20,331,659",11.22,"3,587,098",12.38,"13,483,418",12.15,"1,482,746",17.34,"387,665",-3.23,"11,613,007",12.11,"816,568",2.78,"83,639",10.93,"1,730,429",8.58,"253,706",8.86,"194,936",3.29,"181,865",0.16,"503,709",1.49,"701,459",0.28,"14,638,296",7.83,"286,939",-0.50,"837,309",3.71,"2,080,554",6.75,"3,635,568",45.68,"4,925,246",-8.56,"621,639",86.14,"2,251,041",-2.73,-,-,"867,258",8.97,"384,545",18.54,"1,625,550",17.04,"77,333",8.05,"2,233,949",39.64,"-700,440",--
1998M04,"20,308,296",11.14,"3,603,920",12.91,"13,424,691",10.99,"1,443,657",13.69,"387,372",-2.85,"11,593,662",11.19,"805,208",2.59,"85,198",9.10,"1,768,252",14.31,"245,641",17.04,"196,726",3.94,"178,660",1.64,"522,381",-2.47,"690,102",1.50,"14,606,389",8.07,"276,990",-2.02,"798,414",0.18,"2,017,566",3.01,"3,771,568",52.92,"4,894,209",-9.13,"617,582",88.53,"2,230,060",-2.97,-,-,"841,127",5.58,"393,785",21.56,"1,642,091",16.59,"74,538",26.41,"2,259,336",39.51,"-721,453",--
1998M05,"20,425,008",10.90,"3,713,640",14.40,"13,478,485",10.86,"1,454,195",14.96,"383,605",-3.03,"11,640,685",10.89,"763,078",-2.88,"80,240",2.90,"1,800,739",13.73,"221,455",4.19,"197,350",6.65,"170,021",1.30,"531,880",-2.32,"687,051",2.91,"14,638,940",7.98,"304,851",12.24,"810,583",-0.54,"2,013,219",3.95,"3,752,354",50.43,"4,928,948",-8.79,"620,960",80.93,"2,208,025",-3.70,-,-,"891,209",6.59,"406,020",22.74,"1,666,788",16.73,"76,617",22.48,"2,361,050",44.79,"-834,547",--
1998M06,"20,725,227",11.64,"3,737,068",15.23,"13,688,830",9.59,"1,469,874",9.32,"375,264",-5.75,"11,843,692",10.20,"795,526",1.94,"91,766",9.25,"1,782,821",28.55,"252,541",14.40,"196,830",6.29,"179,845",3.21,"528,999",-4.83,"688,121",1.01,"14,803,163",7.94,"324,267",-0.10,"896,417",2.89,"2,026,890",0.69,"3,727,968",51.20,"4,971,677",-7.90,"663,909",89.71,"2,192,035",-4.35,-,-,"864,661",3.25,"411,609",25.26,"1,690,728",16.78,"76,622",17.94,"2,378,377",48.94,"-717,053",--
1998M07,"20,745,447",11.02,"3,736,698",13.66,"13,628,713",8.45,"1,473,618",7.68,"368,698",-5.73,"11,786,397",9.06,"771,790",2.60,"90,810",32.51,"1,894,334",30.98,"248,729",24.82,"197,341",4.97,"177,032",-0.54,"506,701",-14.34,"673,478",0.76,"14,880,289",8.16,"290,455",-0.90,"844,757",-4.27,"2,016,325",-1.47,"3,779,551",53.81,"5,030,037",-6.62,"687,881",87.34,"2,231,283",-4.01,-,-,"847,232",0.03,"420,367",24.73,"1,714,109",16.89,"76,213",16.52,"2,421,460",48.62,"-794,402",--
1998M08,"20,880,428",11.52,"3,776,101",16.02,"13,683,950",7.30,"1,476,877",8.94,"359,597",-7.24,"11,847,476",7.61,"775,787",-1.95,"89,881",26.74,"1,905,290",50.99,"275,784",17.49,"197,600",3.70,"176,035",5.21,"482,251",-13.28,"665,265",0.90,"14,962,660",8.34,"272,889",-16.14,"833,063",-7.74,"1,983,101",-1.20,"3,824,921",53.14,"5,124,300",-4.73,"706,332",76.93,"2,218,054",-3.54,-,-,"843,614",-2.09,"426,032",28.55,"1,735,267",16.89,"84,821",29.78,"2,519,775",50.80,"-839,257",--
