期間,合計_原始值,合計_年增率(%),業務_原始值,業務_年增率(%),觀光_原始值,觀光_年增率(%),探親_原始值,探親_年增率(%),會議_原始值,會議_年增率(%),求學_原始值,求學_年增率(%),展覽_原始值,展覽_年增率(%),醫療_原始值,醫療_年增率(%),其他_原始值,其他_年增率(%),未列明_原始值,未列明_年增率(%)
1999,"2,411,248",...,"806,159",...,"782,938",...,"257,683",...,"31,194",...,"27,054",...,...,--,...,--,"110,446",...,"395,774",...
2000,"2,624,037",8.82,"900,339",11.68,"870,929",11.24,"279,243",8.37,"34,879",11.81,"27,808",2.79,...,--,...,--,"114,533",3.70,"396,306",0.13
2001,"2,831,035",7.89,"848,732",-5.73,"1,021,572",17.30,"332,834",19.19,"39,390",12.93,"26,971",-3.01,...,--,...,--,"102,818",-10.23,"458,718",15.75
2002,"2,977,692",5.18,"831,465",-2.03,"1,028,635",0.69,"329,751",-0.93,"39,485",0.24,"61,904",129.52,...,--,...,--,"131,684",28.07,"554,768",20.94
2003,"2,248,117",-24.50,"698,792",-15.96,"695,277",-32.41,"280,022",-15.08,"31,545",-20.11,"48,575",-21.53,...,--,...,--,"162,656",23.52,"331,250",-40.29
2004,"2,950,342",31.24,"920,377",31.71,"1,031,713",48.39,"374,008",33.56,"43,616",38.27,"37,324",-23.16,...,--,...,--,"215,540",32.51,"327,764",-1.05
2005,"3,378,118",14.50,"944,487",2.62,"1,381,637",33.92,"379,252",1.40,"49,686",13.92,"38,717",3.73,...,--,...,--,"210,121",-2.51,"374,218",14.17
2006,"3,519,827",4.19,"949,836",0.57,"1,510,207",9.31,"377,455",-0.47,"52,634",5.93,"38,649",-0.18,...,--,...,--,"208,826",-0.62,"382,220",2.14
2007,"3,716,063",5.58,"930,775",-2.01,"1,648,507",9.16,"395,760",4.85,"57,839",9.89,"41,901",8.41,...,--,...,--,"216,488",3.67,"424,793",11.14
2008,"3,845,187",3.47,"881,431",-5.30,"1,775,229",7.69,"404,692",2.26,"59,226",2.40,"45,229",7.94,...,--,...,--,"230,716",6.57,"448,664",5.62
2009,"4,395,004",14.30,"795,669",-9.73,"2,298,334",29.47,"413,942",2.29,"68,925",16.38,"54,701",20.94,...,--,...,--,"275,033",19.21,"488,400",8.86
2010,"5,567,277",26.67,"937,777",17.86,"3,246,005",41.23,"496,627",19.98,"88,097",27.82,"62,681",14.59,...,--,...,--,"295,048",7.28,"441,042",-9.70
2011,"6,087,484",9.34,"984,845",5.02,"3,633,856",11.95,"500,131",0.71,"81,780",-7.17,"62,829",0.24,...,--,...,--,"573,304",94.31,"250,739",-43.15
2012,"7,311,470",20.11,"893,767",-9.25,"4,677,330",28.72,"444,213",-11.18,"62,988",-22.98,"62,719",-0.18,"15,789",--,"58,444",--,"1,096,220",91.21,-,--
2013,"8,016,280",9.64,"927,262",3.75,"5,479,099",17.14,"469,877",5.78,"61,608",-2.19,"75,938",21.08,"16,316",3.34,"100,083",71.25,"886,097",-19.17,...,--
