期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),對金融機構證券投資_原始值,對金融機構證券投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),借入款_原始值,借入款_年增率(%),應付融券價款_原始值,應付融券價款_年增率(%),存入保證金_原始值,存入保證金_年增率(%),應付票據_原始值,應付票據_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
1997M01,"168,388",138.72,"1,885",-6.50,465,--,"6,612",49.76,"5,396",-39.25,"11,993",-47.81,2,100.00,"194,741",78.94,"16,499",1.15,"7,970",64.13,"5,216",34.23,"132,669",158.82,"32,387",-0.41
1997M02,"187,371",202.88,"1,946",-6.40,50,-93.14,"6,125",494.66,"4,845",-48.29,"11,074",-54.87,2,100.00,"211,413",112.24,"24,647",42.53,"7,722",72.02,"5,179",44.79,"140,857",232.89,"33,008",3.34
1997M03,"168,108",181.34,"2,103",-22.08,50,--,"9,440",342.15,"4,935",-43.66,"10,793",-55.96,2,100.00,"195,431",99.71,"15,309",16.63,"7,176",39.12,"4,138",1.37,"136,040",212.71,"32,768",2.44
1997M04,"158,101",60.81,"2,050",-22.96,739,--,"6,187",278.41,"3,945",-56.74,"10,433",-54.99,2,100.00,"181,457",34.50,"16,905",100.46,"7,038",26.67,"3,661",-18.30,"120,630",46.46,"33,223",-2.50
1997M05,"134,602",38.81,"2,050",3.80,50,--,"8,350",113.50,"2,895",-68.45,"9,683",-57.48,2,100.00,"157,632",16.94,"12,757",30.25,"10,496",49.96,"5,235",-6.87,"97,240",20.54,"31,904",0.59
1997M06,"161,868",42.30,"1,177",-15.45,50,--,"3,022",-26.51,"2,190",-72.01,"6,883",-69.20,2,100.00,"175,192",17.24,"31,703",103.00,"10,876",70.55,"5,476",7.16,"101,320",11.61,"25,817",-18.14
1997M07,"148,659",39.91,"2,227",81.06,50,--,"8,523",22.16,"2,490",-68.58,"8,186",-62.07,2,100.00,"170,137",18.17,"17,521",71.47,"14,471",130.94,"7,013",56.44,"102,340",11.20,"28,792",-7.04
1997M08,"151,679",42.30,"1,983",12.54,50,-83.33,"5,919",-6.24,"2,450",-66.99,"5,563",-71.56,2,100.00,"167,646",18.10,"23,769",101.09,"14,753",109.56,"6,980",41.15,"95,390",9.44,"26,754",-13.65
1997M09,"125,957",9.30,"2,028",2.17,50,-83.33,"9,116",32.40,"2,500",-62.34,"5,267",-73.51,2,0.00,"144,920",-3.99,"17,090",100.59,"14,602",75.15,"6,837",18.95,"78,940",-19.65,"27,451",-8.77
1997M10,"130,823",10.73,"2,028",2.17,50,--,"10,679",56.19,"2,000",-63.80,"5,675",-69.84,2,100.00,"151,257",-0.04,"10,334",13.66,"12,408",65.90,"8,983",75.55,"91,425",-7.36,"28,107",-9.14
1997M11,"148,714",1.40,"2,028",12.92,50,--,"5,800",-16.79,"4,020",-29.16,"5,192",-70.57,2,0.00,"165,806",-7.24,"17,913",50.99,"17,419",151.18,"14,967",209.56,"87,020",-29.66,"28,487",-9.26
1997M12,"181,547",11.02,"2,026",19.60,50,0.00,"9,175",13.15,"3,590",-34.19,"3,048",-79.11,2,0.00,"199,438",3.11,"21,958",12.20,"19,665",193.20,"17,203",270.91,"111,196",-15.59,"29,416",-4.41
1998M01,"189,584",12.59,"2,016",6.95,50,-89.25,"5,918",-10.50,"3,980",-26.24,"3,905",-67.44,2,0.00,"205,455",5.50,"25,807",56.42,"18,128",127.45,"15,984",206.44,"120,366",-9.27,"25,170",-22.28
1998M02,"238,536",27.31,"2,016",3.60,50,0.00,"6,038",-1.42,"3,865",-20.23,"4,346",-60.75,2,0.00,"254,853",20.55,"32,149",30.44,"10,447",35.29,"8,867",71.21,"174,396",23.81,"28,994",-12.16
1998M03,"252,562",50.24,"2,168",3.09,50,0.00,"7,727",-18.15,"3,878",-21.42,"6,595",-38.90,2,0.00,"272,982",39.68,"30,640",100.14,"9,198",28.18,"6,683",61.50,"196,446",44.40,"30,015",-8.40
1998M04,"227,098",43.64,"1,567",-23.56,50,-93.23,"14,855",140.10,"3,061",-22.41,"4,452",-57.33,2,0.00,"251,085",38.37,"16,841",-0.38,"11,857",68.47,"8,067",120.35,"181,935",50.82,"32,385",-2.52
1998M05,"204,797",52.15,"2,168",5.76,50,0.00,"12,262",46.85,"1,593",-44.97,"3,443",-64.44,2,0.00,"224,315",42.30,"10,920",-14.40,"13,876",32.20,"9,420",79.94,"159,255",63.78,"30,844",-3.32
1998M06,"180,050",11.23,"2,161",83.60,50,0.00,"14,025",364.10,"3,389",54.75,"3,436",-50.08,2,0.00,"203,113",15.94,"17,888",-43.58,"20,996",93.05,"14,164",158.66,"120,425",18.86,"29,640",14.81
