期間,合計_原始值,合計_年增率(%),食品及飲料製造業_原始值,食品及飲料製造業_年增率(%),食品及飲料製造業-飲料製造業_原始值,食品及飲料製造業-飲料製造業_年增率(%),菸草製造業_原始值,菸草製造業_年增率(%),紡織業_原始值,紡織業_年增率(%),成衣及服飾品製造業_原始值,成衣及服飾品製造業_年增率(%),皮革、毛皮及其製品製造業_原始值,皮革、毛皮及其製品製造業_年增率(%),木竹製品製造業_原始值,木竹製品製造業_年增率(%),紙漿、紙及紙製品製造業_原始值,紙漿、紙及紙製品製造業_年增率(%),印刷及資料儲存媒體複製業_原始值,印刷及資料儲存媒體複製業_年增率(%),石油及煤製品製造業_原始值,石油及煤製品製造業_年增率(%),化學材料製造業_原始值,化學材料製造業_年增率(%),化學製品製造業_原始值,化學製品製造業_年增率(%),化學製品製造業-藥品製造業_原始值,化學製品製造業-藥品製造業_年增率(%),橡膠製品製造業_原始值,橡膠製品製造業_年增率(%),塑膠製品製造業_原始值,塑膠製品製造業_年增率(%),非金屬礦物製品製造業_原始值,非金屬礦物製品製造業_年增率(%),基本金屬製造業_原始值,基本金屬製造業_年增率(%),金屬製品製造業_原始值,金屬製品製造業_年增率(%),電子零組件製造業_原始值,電子零組件製造業_年增率(%),電腦、電子產品及光學製品製造業_原始值,電腦、電子產品及光學製品製造業_年增率(%),電力設備製造業_原始值,電力設備製造業_年增率(%),機械設備製造業_原始值,機械設備製造業_年增率(%),運輸工具製造業_原始值,運輸工具製造業_年增率(%),運輸工具製造業-汽車及其零件製造業_原始值,運輸工具製造業-汽車及其零件製造業_年增率(%),家具製造業_原始值,家具製造業_年增率(%),其他製造業_原始值,其他製造業_年增率(%),產業用機械設備維修及安裝業_原始值,產業用機械設備維修及安裝業_年增率(%)
1997M01,"1,864,590",30.11,"124,025",19.54,-,-,"15,298",10.61,"157,413",19.57,"21,409",47.97,"14,879",35.68,"33,727",35.12,"50,821",19.02,"21,572",65.86,"106,855",5.16,"40,781",21.75,"72,180",44.28,-,-,"27,226",40.81,"109,684",49.05,"67,040",31.39,"153,686",14.46,"249,350",26.99,"174,699",42.53,"88,347",170.99,"85,767",50.03,"90,290",38.89,"75,583",13.67,-,-,"12,949",34.75,"71,009",32.22,-,-
1997M02,"1,881,740",28.05,"125,278",15.42,-,-,"13,985",21.76,"162,032",17.33,"21,471",50.76,"16,514",51.48,"33,686",34.84,"51,871",18.18,"21,550",66.26,"105,465",3.31,"41,368",21.82,"70,770",36.59,-,-,"27,954",40.56,"111,465",44.09,"67,647",25.45,"155,269",13.08,"249,791",26.48,"180,425",42.27,"91,551",173.15,"83,470",42.33,"91,771",37.11,"73,205",6.39,-,-,"13,894",42.36,"71,308",30.61,-,-
1997M03,"1,857,317",27.24,"120,135",7.61,-,-,"12,958",13.12,"153,812",10.17,"21,107",48.50,"16,557",53.21,"33,904",37.79,"51,344",15.26,"21,670",68.36,"106,343",14.75,"41,747",20.19,"72,205",39.45,-,-,"27,697",40.93,"106,834",40.43,"66,223",27.35,"154,890",16.62,"248,120",26.07,"180,595",37.76,"91,475",158.14,"81,010",38.84,"92,556",40.40,"70,519",5.21,-,-,"13,281",32.22,"72,335",34.50,-,-
1997M04,"1,875,644",30.39,"120,798",11.70,-,-,"12,857",24.38,"155,801",15.73,"21,588",58.54,"17,799",69.29,"31,839",27.87,"52,060",17.98,"20,151",57.25,"101,874",13.59,"41,243",27.14,"70,125",31.64,-,-,"26,892",36.97,"110,080",48.78,"64,598",27.51,"161,078",25.52,"251,127",27.82,"185,508",40.78,"92,948",151.99,"82,080",36.87,"92,762",41.56,"75,431",16.29,-,-,"13,720",42.19,"73,285",32.72,-,-
1997M05,"1,884,620",31.12,"123,776",9.16,-,-,"10,086",-4.84,"158,495",22.09,"21,331",55.36,"18,050",65.54,"33,861",38.21,"51,022",16.72,"22,119",69.81,"101,403",14.26,"41,010",29.27,"70,701",33.60,-,-,"27,960",41.40,"112,213",49.53,"63,971",28.07,"153,203",15.74,"252,208",29.16,"191,245",46.52,"92,318",142.44,"84,938",40.76,"94,735",46.78,"74,762",20.06,-,-,"13,316",40.04,"71,897",30.13,-,-
1997M06,"1,928,925",34.19,"128,674",17.14,-,-,"11,786",2.37,"166,491",27.22,"21,783",53.35,"19,045",77.56,"34,564",39.83,"53,820",23.62,"21,834",65.82,"101,079",16.85,"40,972",28.56,"72,709",31.87,-,-,"29,346",49.15,"114,683",51.43,"66,530",33.78,"152,649",15.93,"260,300",31.92,"199,212",48.47,"94,787",168.99,"86,829",45.01,"95,249",46.44,"69,848",15.13,-,-,"13,578",35.88,"73,157",31.25,-,-
1997M07,"1,949,756",39.20,"128,734",27.26,-,-,"7,724",-24.54,"164,307",27.06,"21,353",56.49,"18,347",74.50,"34,995",43.05,"55,411",26.97,"22,342",65.34,"107,373",36.97,"42,190",36.05,"75,819",42.44,-,-,"29,650",55.16,"121,122",61.95,"64,744",33.78,"154,231",18.49,"261,047",34.35,"200,716",49.00,"94,764",165.30,"86,935",46.58,"94,670",49.68,"73,454",27.42,-,-,"14,497",46.75,"75,331",39.11,-,-
1997M08,"1,986,793",41.15,"130,164",27.07,-,-,"2,409",-74.09,"173,377",33.10,"20,976",52.74,"18,708",65.08,"34,427",42.89,"57,868",31.54,"22,773",66.84,"100,508",24.61,"44,764",43.12,"77,917",47.47,-,-,"30,427",59.04,"125,328",68.17,"67,639",38.02,"162,853",24.32,"262,557",33.47,"202,245",49.93,"99,368",177.23,"91,400",56.18,"96,301",50.77,"75,250",35.77,-,-,"14,289",48.97,"75,245",36.82,-,-
1997M09,"2,020,247",45.55,"130,262",27.55,-,-,"1,396",-69.76,"178,219",40.67,"20,948",42.85,"18,677",67.45,"34,112",39.11,"58,993",34.61,"22,858",73.06,"99,096",27.79,"45,538",43.48,"78,491",47.69,-,-,"31,115",62.21,"125,326",73.44,"68,265",39.36,"161,450",26.55,"266,589",36.06,"211,108",56.74,"109,115",188.16,"91,978",62.49,"97,520",51.39,"78,424",45.27,-,-,"14,559",56.38,"76,208",41.54,-,-
1997M10,"2,046,373",48.93,"132,650",31.02,-,-,"1,614",-56.46,"174,672",38.86,"20,463",41.62,"19,453",76.78,"34,316",39.44,"58,107",34.94,"22,991",69.15,"98,646",33.13,"47,640",54.15,"80,342",54.93,-,-,"31,629",65.55,"122,357",70.67,"66,659",34.77,"160,518",25.82,"270,410",38.82,"219,203",65.25,"116,285",211.20,"95,893",67.79,"98,938",56.01,"78,338",42.71,-,-,"14,291",53.17,"80,958",57.06,-,-
1997M11,"2,105,288",53.05,"136,966",34.10,-,-,"4,593",178.03,"183,252",44.94,"21,020",41.35,"20,141",80.86,"34,290",41.37,"61,155",45.11,"23,415",73.37,"102,821",42.04,"50,358",65.19,"79,405",54.09,-,-,"32,891",72.57,"125,275",74.62,"70,565",47.21,"164,022",31.97,"278,432",41.64,"228,959",67.31,"119,869",209.02,"97,664",69.46,"100,309",57.40,"82,626",48.23,-,-,"14,627",52.68,"72,633",39.36,-,-
1997M12,"2,112,413",50.93,"138,754",36.14,-,-,"6,559",33.78,"180,545",40.42,"21,318",42.54,"20,554",78.93,"34,137",34.64,"59,717",51.29,"24,258",75.40,"105,875",46.01,"50,912",67.89,"80,426",53.68,-,-,"32,929",75.30,"130,916",75.61,"70,985",46.58,"162,956",27.33,"277,047",41.05,"230,050",65.74,"118,856",197.85,"94,558",64.29,"102,121",58.79,"79,924",28.06,-,-,"14,343",44.56,"74,673",37.15,-,-
1998M01,"2,236,895",19.97,"143,387",15.61,-,-,"14,974",-2.12,"194,154",23.34,"21,980",2.67,"20,863",40.22,"34,655",2.75,"61,887",21.77,"24,863",15.26,"116,088",8.64,"57,607",41.26,"85,685",18.71,-,-,"34,374",26.25,"135,763",23.78,"74,913",11.74,"171,731",11.74,"285,311",14.42,"249,232",42.66,"128,908",45.91,"98,741",15.13,"105,342",16.67,"84,225",11.43,-,-,"14,693",13.47,"77,519",9.17,-,-
1998M02,"2,149,598",14.23,"131,978",5.35,-,-,"5,010",-64.18,"185,851",14.70,"21,893",1.97,"19,649",18.98,"34,362",2.01,"59,345",14.41,"24,402",13.23,"101,665",-3.60,"55,626",34.47,"84,111",18.85,-,-,"31,448",12.50,"131,638",18.10,"70,848",4.73,"166,881",7.48,"281,953",12.88,"247,687",37.28,"122,840",34.18,"97,297",16.57,"104,851",14.25,"81,959",11.96,-,-,"14,212",2.29,"74,092",3.90,-,-
1998M03,"2,140,964",15.27,"127,640",6.25,-,-,"4,169",-67.83,"183,891",19.56,"21,851",3.52,"20,406",23.25,"34,681",2.29,"56,175",9.41,"25,276",16.64,"105,091",-1.18,"55,114",32.02,"82,529",14.30,-,-,"33,453",20.78,"130,819",22.45,"69,175",4.46,"163,161",5.34,"279,516",12.65,"250,071",38.47,"125,938",37.67,"99,466",22.78,"104,911",13.35,"78,958",11.97,-,-,"15,017",13.07,"73,656",1.83,-,-
1998M04,"2,126,264",13.36,"129,300",7.04,-,-,"6,768",-47.36,"182,733",17.29,"21,695",0.50,"19,227",8.02,"35,512",11.54,"55,802",7.19,"24,761",22.88,"105,182",3.25,"53,475",29.66,"81,845",16.71,-,-,"30,574",13.69,"130,736",18.76,"67,256",4.11,"160,225",-0.53,"285,359",13.63,"249,860",34.69,"122,053",31.31,"95,964",16.92,"104,304",12.44,"78,780",4.44,-,-,"13,949",1.67,"70,904",-3.25,-,-
1998M05,"2,138,126",13.45,"130,661",5.56,-,-,"8,635",-14.39,"186,299",17.54,"21,417",0.40,"19,690",9.09,"34,765",2.67,"55,778",9.32,"24,633",11.37,"100,670",-0.72,"53,573",30.63,"83,699",18.38,-,-,"30,832",10.27,"133,754",19.20,"67,108",4.90,"163,091",6.45,"285,543",13.22,"252,461",32.01,"120,637",30.68,"96,309",13.39,"103,723",9.49,"79,605",6.48,-,-,"13,941",4.69,"71,302",-0.83,-,-
