期間,總計_原始值,總計_年增率(%),農林業_原始值,農林業_年增率(%),畜牧業_原始值,畜牧業_年增率(%),漁業_原始值,漁業_年增率(%),礦業_原始值,礦業_年增率(%),製造業_原始值,製造業_年增率(%),加工業_原始值,加工業_年增率(%),銀樓業_原始值,銀樓業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),建築業_原始值,建築業_年增率(%),打撈業_原始值,打撈業_年增率(%),承攬業_原始值,承攬業_年增率(%),運送業_原始值,運送業_年增率(%),出版業_原始值,出版業_年增率(%),印刷製板裝訂業_原始值,印刷製板裝訂業_年增率(%),金融業_原始值,金融業_年增率(%),典當業_原始值,典當業_年增率(%),買賣業_原始值,買賣業_年增率(%),國際貿易業_原始值,國際貿易業_年增率(%),出租業_原始值,出租業_年增率(%),倉庫業_原始值,倉庫業_年增率(%),行紀業_原始值,行紀業_年增率(%),代辦業_原始值,代辦業_年增率(%),廣告傳播業_原始值,廣告傳播業_年增率(%),居間業_原始值,居間業_年增率(%),服務業_原始值,服務業_年增率(%),飲食業_原始值,飲食業_年增率(%),娛樂業_原始值,娛樂業_年增率(%),旅館業_原始值,旅館業_年增率(%),其他營利事業_原始值,其他營利事業_年增率(%)
1971,"261,555",...,482,...,144,...,144,...,513,...,"30,951",...,"20,335",...,"1,505",...,199,...,"5,749",...,14,...,"1,494",...,"2,264",...,251,...,"1,329",...,1,...,879,...,"142,793",...,707,...,437,...,305,...,553,...,563,...,188,...,41,...,"34,796",...,"8,684",...,"2,313",...,"2,681",...,"1,240",...
1972,"280,725",7.33,485,0.62,169,17.36,150,4.17,553,7.80,"32,430",4.78,"22,550",10.89,"1,566",4.05,208,4.52,"6,088",5.90,15,7.14,"1,751",17.20,"2,386",5.39,297,18.33,"1,439",8.28,1,0.00,895,1.82,"154,296",8.06,782,10.61,453,3.66,306,0.33,577,4.34,536,-4.80,214,13.83,45,9.76,"36,741",5.59,"9,147",5.33,"2,436",5.32,"2,744",2.35,"1,465",18.15
1973,"300,282",6.97,516,6.39,173,2.37,153,2.00,582,5.24,"33,885",4.49,"25,687",13.91,"1,810",15.58,205,-1.44,"6,380",4.80,14,-6.67,"1,848",5.54,"2,521",5.66,315,6.06,"2,457",70.74,-,--,898,0.34,"164,437",6.57,812,3.84,535,18.10,316,3.27,601,4.16,536,0.00,226,5.61,48,6.67,"38,585",5.02,"9,668",5.70,"2,523",3.57,"2,783",1.42,"1,768",20.68
1974,"331,282",10.32,552,6.98,182,5.20,145,-5.23,656,12.71,"34,801",2.70,"28,868",12.38,"1,801",-0.50,447,118.05,"6,497",1.83,19,35.71,"2,128",15.15,"2,578",2.26,360,14.29,"1,617",-34.19,-,--,949,5.68,"186,739",13.56,844,3.94,622,16.26,323,2.22,651,8.32,523,-2.43,235,3.98,51,6.25,"41,766",8.24,"10,375",7.31,"2,605",3.25,"2,934",5.43,"2,014",13.91
1975,"357,051",7.78,590,6.88,186,2.20,385,165.52,670,2.13,"35,288",1.40,"31,204",8.09,"1,854",2.94,446,-0.22,"6,598",1.55,19,0.00,"2,393",12.45,"2,714",5.28,422,17.22,"1,750",8.23,12,--,912,-3.90,"204,040",9.26,954,13.03,862,38.59,319,-1.24,703,7.99,615,17.59,250,6.38,52,1.96,"45,318",8.50,"10,877",4.84,"2,573",-1.23,"2,955",0.72,"2,090",3.77
1976,"383,575",7.43,637,7.97,216,16.13,395,2.60,673,0.45,"35,544",0.73,"33,489",7.32,"2,062",11.22,447,0.22,"6,284",-4.76,18,-5.26,"2,638",10.24,"3,123",15.07,499,18.25,"1,845",5.43,12,0.00,"1,005",10.20,"222,439",9.02,"1,031",8.07,"1,358",57.54,324,1.57,741,5.41,620,0.81,284,13.60,56,7.69,"48,569",7.17,"11,534",6.04,"2,552",-0.82,"2,972",0.58,"2,208",5.65
1977,"398,291",3.84,674,5.81,186,-13.89,366,-7.34,668,-0.74,"35,543",0.00,"33,840",1.05,"2,213",7.32,446,-0.22,"6,325",0.65,18,0.00,"2,862",8.49,"3,373",8.01,572,14.63,"1,863",0.98,13,8.33,"1,018",1.29,"233,249",4.86,"1,091",5.82,"1,619",19.22,334,3.09,836,12.82,611,-1.45,310,9.15,55,-1.79,"50,492",3.96,"11,935",3.48,"2,566",0.55,"3,006",1.14,"2,207",-0.05
1978,"410,589",3.09,678,0.59,245,31.72,366,0.00,685,2.54,"34,574",-2.73,"33,582",-0.76,"2,349",6.15,446,0.00,"6,259",-1.04,18,0.00,"3,328",16.28,"3,333",-1.19,619,8.22,"1,868",0.27,13,0.00,"1,045",2.65,"244,213",4.70,970,-11.09,"2,044",26.25,343,2.69,"1,037",24.04,498,-18.49,331,6.77,35,-36.36,"51,693",2.38,"12,153",1.83,"2,657",3.55,"3,041",1.16,"2,166",-1.86
1979,"431,428",5.08,687,1.33,243,-0.82,393,7.38,701,2.34,"34,914",0.98,"34,118",1.60,"2,661",13.28,447,0.22,"6,435",2.81,16,-11.11,"3,766",13.16,"3,364",0.93,684,10.50,"1,903",1.87,13,0.00,"1,086",3.92,"260,259",6.57,940,-3.09,"2,262",10.67,339,-1.17,"1,530",47.54,522,4.82,370,11.78,151,331.43,"53,500",3.50,"12,167",0.12,"2,763",3.99,"2,946",-3.12,"2,248",3.79
1980,"457,116",5.95,705,2.62,244,0.41,393,0.00,710,1.28,"35,491",1.65,"34,622",1.48,"2,841",6.76,462,3.36,"6,688",3.93,17,6.25,"4,247",12.77,"3,801",12.99,795,16.23,"1,805",-5.15,12,-7.69,"1,192",9.76,"278,855",7.15,976,3.83,"3,251",43.72,343,1.18,"1,624",6.14,564,8.05,413,11.62,153,1.32,"55,960",4.60,"12,672",4.15,"2,788",0.90,"3,127",6.14,"2,365",5.20
