期間,合計_原始值,合計_年增率(%),男_原始值,男_年增率(%),女_原始值,女_年增率(%),15~24歲_原始值,15~24歲_年增率(%),25~44歲_原始值,25~44歲_年增率(%),45~64歲_原始值,45~64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),國中及以下_原始值,國中及以下_年增率(%),高中(職)_原始值,高中(職)_年增率(%),大專及以上_原始值,大專及以上_年增率(%),初次尋職者_原始值,初次尋職者_年增率(%),非初次尋職者_原始值,非初次尋職者_年增率(%)
1993,15.15,...,15.30,...,14.95,...,11.89,...,17.75,...,21.70,...,9.55,...,14.72,...,14.40,...,16.69,...,13.76,...,15.81,...
1994,15.68,3.50,15.66,2.35,15.71,5.08,13.18,10.85,17.72,-0.17,18.27,-15.81,8.85,-7.33,15.19,3.19,15.01,4.24,17.21,3.12,16.12,17.15,15.49,-2.02
1995,17.20,9.69,17.07,9.00,17.40,10.76,13.87,5.24,19.51,10.10,20.68,13.19,11.17,26.21,15.98,5.20,16.11,7.33,20.14,17.02,17.87,10.86,16.93,9.30
1996,20.45,18.90,20.81,21.91,19.82,13.91,15.87,14.42,22.53,15.48,26.25,26.93,19.13,71.26,19.72,23.40,19.90,23.53,22.17,10.08,21.41,19.81,20.16,19.08
1997,21.36,4.45,21.81,4.81,20.49,3.38,16.99,7.06,22.80,1.20,27.35,4.19,5.75,-69.94,20.87,5.83,21.17,6.38,22.41,1.08,21.87,2.15,21.21,5.21
1998,21.79,2.01,22.57,3.48,20.30,-0.93,17.04,0.29,23.58,3.42,27.94,2.16,13.46,134.09,22.55,8.05,21.36,0.90,21.46,-4.24,21.22,-2.97,21.96,3.54
1999,22.52,3.35,23.26,3.06,21.04,3.65,17.11,0.41,24.21,2.67,29.18,4.44,7.81,-41.98,23.82,5.63,21.71,1.64,22.01,2.56,22.02,3.77,22.65,3.14
2000,23.70,5.24,24.58,5.67,21.86,3.90,18.27,6.78,24.94,3.02,31.09,6.55,9.87,26.38,23.99,0.71,23.51,8.29,23.60,7.22,23.16,5.18,23.83,5.21
2001,26.13,10.25,27.09,10.21,24.18,10.61,19.89,8.87,27.72,11.15,31.75,2.12,3.33,-66.26,28.22,17.63,25.23,7.32,24.43,3.52,26.20,13.13,26.12,9.61
2002,30.26,15.81,31.92,17.83,26.79,10.79,22.64,13.83,31.88,15.01,37.41,17.83,17.38,421.92,33.54,18.85,29.34,16.29,27.39,12.12,28.23,7.75,30.64,17.30
2003,30.54,0.93,32.76,2.63,26.47,-1.19,23.27,2.78,32.12,0.75,35.58,-4.89,8.78,-49.48,32.43,-3.31,30.09,2.56,28.83,5.26,28.95,2.55,30.86,0.72
2004,29.40,-3.73,31.42,-4.09,25.89,-2.19,21.06,-9.50,31.31,-2.52,35.16,-1.18,10.61,20.84,31.13,-4.01,29.71,-1.26,27.28,-5.38,27.01,-6.70,29.95,-2.95
2005,27.59,-6.16,29.14,-7.26,25.21,-2.63,20.36,-3.32,29.13,-6.96,32.90,-6.43,19.13,80.30,29.67,-4.69,27.38,-7.84,26.20,-3.96,26.89,-0.44,27.75,-7.35
2006,24.28,-12.00,25.65,-11.98,22.25,-11.74,17.75,-12.82,25.46,-12.60,29.77,-9.51,14.79,-22.69,25.97,-12.47,23.63,-13.70,23.97,-8.51,23.23,-13.61,24.54,-11.57
2007,24.24,-0.16,25.45,-0.78,22.48,1.03,17.72,-0.17,25.82,1.41,28.21,-5.24,23.03,55.71,25.39,-2.23,24.54,3.85,23.31,-2.75,22.97,-1.12,24.57,0.12
2008,25.25,4.17,25.90,1.77,24.27,7.96,19.32,9.03,27.07,4.84,27.55,-2.34,7.35,-68.09,25.22,-0.67,25.90,5.54,24.68,5.88,25.62,11.54,25.16,2.40
2009,27.49,8.87,27.98,8.03,26.66,9.85,23.03,19.20,28.52,5.36,28.86,4.75,8.16,11.02,26.74,6.03,28.07,8.38,27.40,11.02,30.55,19.24,26.91,6.96
2010,29.68,7.97,30.68,9.65,28.00,5.03,21.26,-7.69,31.52,10.52,32.46,12.47,14.80,81.37,28.39,6.17,30.78,9.65,29.37,7.19,29.84,-2.32,29.65,10.18
2011,27.67,-6.77,28.45,-7.27,26.49,-5.39,19.75,-7.10,29.88,-5.20,30.11,-7.24,9.20,-37.84,27.90,-1.73,27.15,-11.79,28.00,-4.66,27.32,-8.45,27.76,-6.37
2012,26.04,-5.89,26.87,-5.55,24.83,-6.27,17.99,-8.91,28.75,-3.78,27.88,-7.41,13.57,47.50,24.40,-12.54,25.15,-7.37,27.23,-2.75,28.49,4.28,25.35,-8.68
2013,26.18,0.54,26.17,-2.61,26.19,5.48,18.69,3.89,29.21,1.60,27.08,-2.87,5.28,-61.09,23.99,-1.68,24.85,-1.19,27.79,2.06,27.74,-2.63,25.70,1.38
