期間,融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融資_原始值,融資_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%),融券_原始值,融券_年增率(%)
1997M01,"21,113",105.62,"445,290",141.99,"20,817",94.86,"444,987",129.85,"13,461",86.80,"292,615",126.56,"1,554",34.08,"60,789",72.05,"1,513",21.33,"58,810",52.38,394,35.86,"16,996",76.75
1997M02,"24,219",472.15,"490,082",579.98,"23,347",385.38,"469,838",453.79,"14,333",116.22,"312,859",168.80,"1,751",140.52,"75,600",235.72,"1,806",139.84,"76,746",230.50,339,27.92,"15,850",77.81
1997M03,"34,915",307.65,"712,813",371.73,"34,484",294.28,"716,815",360.13,"14,764",128.97,"308,857",176.47,"3,076",213.24,"119,267",268.38,"3,095",220.39,"119,483",283.36,320,13.88,"15,634",54.44
1997M04,"28,885",28.22,"579,912",15.35,"28,886",40.28,"581,728",33.63,"14,763",76.09,"307,041",71.42,"2,867",68.85,"145,258",91.45,"2,950",68.76,"144,223",93.59,237,2.60,"16,669",44.97
1997M05,"16,471",10.48,"377,263",8.33,"17,414",18.43,"402,248",16.43,"13,820",60.90,"282,056",55.07,"2,874",76.32,"175,642",147.61,"2,749",78.51,"167,271",145.34,362,12.77,"25,040",75.68
1997M06,"24,023",42.16,"611,793",72.25,"23,454",49.30,"584,002",78.90,"14,389",47.16,"309,847",47.11,"2,946",127.31,"187,793",277.06,"2,916",120.74,"185,330",263.69,392,32.43,"27,503",109.96
1997M07,"28,335",130.42,"752,473",183.91,"28,507",129.30,"759,298",175.28,"14,217",47.43,"303,022",51.64,"3,787",169.73,"270,605",404.75,"3,711",164.32,"260,484",381.50,468,58.11,"37,624",198.30
1997M08,"20,606",85.02,"470,742",106.01,"20,947",89.24,"487,505",111.41,"13,876",42.89,"286,259",44.76,"2,970",111.39,"227,432",341.61,"2,966",121.84,"223,275",354.00,472,29.67,"41,781",179.75
1997M09,"13,986",7.33,"288,838",10.51,"15,212",24.11,"330,789",35.45,"12,650",20.65,"244,308",13.69,"2,987",129.59,"242,135",459.11,"3,001",149.25,"245,169",501.18,458,-0.65,"38,747",121.91
1997M10,"14,948",11.11,"380,176",41.45,"14,884",13.03,"365,697",39.96,"12,714",18.05,"258,787",16.37,"3,416",175.71,"245,620",474.85,"3,395",165.23,"249,980",465.02,479,14.05,"34,387",115.65
1997M11,"18,369",-4.06,"530,398",13.87,"16,925",-3.07,"488,304",17.91,"14,158",13.67,"300,881",9.79,"3,760",145.59,"272,642",358.66,"3,683",130.76,"261,988",337.76,556,56.62,"45,041",189.80
1997M12,"31,096",99.83,"754,828",107.79,"28,261",90.30,"682,618",97.85,"16,993",29.08,"373,091",27.63,"4,525",241.25,"262,500",426.57,"4,367",228.84,"256,350",408.87,714,102.27,"51,191",240.89
1998M01,"12,727",-39.72,"335,579",-24.64,"13,029",-37.41,"335,211",-24.67,"16,691",24.00,"373,459",27.63,"2,165",39.32,"136,158",123.98,"2,248",48.58,"137,925",134.53,631,60.15,"49,424",190.80
1998M02,"31,026",28.11,"987,722",101.54,"28,935",23.93,"883,334",88.01,"18,782",31.04,"477,847",52.74,"2,974",69.85,"197,331",161.02,"3,246",79.73,"217,831",183.83,359,5.90,"28,924",82.49
1998M03,"33,225",-4.84,"884,047",24.02,"31,700",-8.07,"841,708",17.42,"20,307",37.54,"520,186",68.42,"3,532",14.82,"225,973",89.47,"3,583",15.77,"230,206",92.67,308,-3.75,"24,691",57.93
1998M04,"23,494",-18.66,"603,098",4.00,"23,996",-16.93,"629,583",8.23,"19,805",34.15,"493,701",60.79,"3,435",19.81,"217,688",49.86,"3,263",10.61,"206,096",42.90,480,102.53,"36,283",117.67
1998M05,"15,571",-5.46,"435,933",15.55,"15,982",-8.22,"456,183",13.41,"19,394",40.33,"473,451",67.86,"3,221",12.07,"204,021",16.16,"3,128",13.79,"200,389",19.80,573,58.29,"39,915",59.40
1998M06,"20,562",-14.41,"491,618",-19.64,"21,209",-9.57,"556,438",-4.72,"18,747",30.29,"408,631",31.88,"5,543",88.15,"325,898",73.54,"5,150",76.61,"305,533",64.86,966,146.43,"60,280",119.18
1998M07,"21,991",-22.39,"544,766",-27.60,"21,698",-23.89,"540,008",-28.88,"19,040",33.92,"413,389",36.42,"4,412",16.50,"258,077",-4.63,"4,424",19.21,"255,578",-1.88,954,103.85,"62,779",66.86
1998M08,"13,847",-32.80,"333,968",-29.05,"14,528",-30.64,"371,501",-23.80,"18,359",32.31,"375,856",31.30,"4,898",64.92,"275,195",21.00,"4,921",65.91,"283,257",26.86,931,97.25,"54,717",30.96
1998M09,"28,127",101.11,"565,042",95.63,"26,407",73.59,"529,727",60.14,"20,079",58.73,"411,171",68.30,"4,958",65.99,"194,936",-19.49,"4,814",60.41,"201,130",-17.96,"1,075",134.72,"48,523",25.23
1998M10,"25,605",71.29,"514,306",35.28,"24,433",64.16,"492,049",34.55,"21,251",67.15,"433,428",67.48,"3,905",14.31,"138,592",-43.57,"3,930",15.76,"142,472",-43.01,"1,050",119.21,"44,643",29.83
1998M11,"28,483",55.06,"681,068",28.41,"27,242",60.96,"654,834",34.10,"22,492",58.86,"459,662",52.77,"3,266",-13.14,"141,667",-48.04,"3,467",-5.86,"147,804",-43.58,849,52.70,"38,506",-14.51
1998M12,"20,436",-34.28,"427,024",-43.43,"21,251",-24.80,"456,803",-33.08,"21,677",27.56,"429,883",15.22,"2,558",-43.47,"96,698",-63.16,"2,656",-39.18,"101,860",-60.27,751,5.18,"33,344",-34.86
