期間,證券投資--政府債券_原始值,證券投資--政府債券_年增率(%),證券投資--金融債券及定期存單_原始值,證券投資--金融債券及定期存單_年增率(%),證券投資--公司債券_原始值,證券投資--公司債券_年增率(%),存放央行--支票存款_原始值,存放央行--支票存款_年增率(%),存放央行--定期存款_原始值,存放央行--定期存款_年增率(%),庫存現金_原始值,庫存現金_年增率(%),固定資產_原始值,固定資產_年增率(%),其他資產_原始值,其他資產_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),賠款準備_原始值,賠款準備_年增率(%),其他負債(淨額)_原始值,其他負債(淨額)_年增率(%),淨值_原始值,淨值_年增率(%)
1997M01,"1,639",10.00,380,-5.00,0,--,55,7.84,"6,814",14.39,0,0.00,204,-0.97,480,10.34,"9,572",12.10,"1,451",31.19,"2,168",18.99,"5,953",6.10
1997M02,"1,640",11.79,330,-90.29,0,--,11,450.00,"9,297",59.80,0,5.88,206,0.00,349,6.73,"11,833",5.46,"1,482",30.69,"1,864",-58.08,"8,487",50.51
1997M03,"1,596",6.12,130,-90.71,0,--,4,-42.86,"9,571",64.51,0,5.88,206,-0.48,398,15.03,"11,905",28.26,"1,512",30.12,"1,872",-23.81,"8,521",50.47
1997M04,"1,594",-0.50,100,-91.30,0,--,5,25.00,"9,523",60.92,0,5.88,205,-0.97,432,11.05,"11,859",27.93,"1,542",29.69,"1,753",-26.53,"8,564",50.38
1997M05,"1,597",11.52,0,-100.00,0,--,4,300.00,"9,420",52.53,0,5.88,206,-0.48,446,11.22,"11,673",0.48,"1,572",29.17,"1,495",-67.99,"8,606",50.22
1997M06,"1,585",16.29,0,-100.00,0,--,4,0.00,"8,824",39.22,0,5.88,206,-0.48,456,35.31,"11,075",0.78,"1,603",28.86,"1,259",-69.82,"8,213",47.37
1997M07,"1,485",8.95,0,-100.00,890,--,2,-94.87,"8,485",32.58,0,5.88,205,-0.97,416,-6.09,"11,483",5.14,"1,634",28.36,"1,594",-60.55,"8,255",47.20
1997M08,"1,186",-16.36,0,-100.00,"1,057",--,3,-91.18,"8,127",23.53,0,5.88,207,0.49,421,29.54,"11,001",3.47,"1,666",27.86,"1,034",-71.94,"8,301",47.08
1997M09,"1,412",-0.42,0,-100.00,"1,511",--,5,-50.00,"7,065",6.58,0,0.00,207,0.49,380,26.25,"10,580",-5.65,"1,698",27.48,552,-86.91,"8,330",47.07
1997M10,"1,412",-7.53,"1,096",-35.91,"1,245",--,4,33.33,"6,254",-8.16,0,0.00,206,0.00,884,248.03,"11,101",5.62,"1,730",27.02,999,-71.04,"8,372",46.93
1997M11,"1,962",28.49,"1,299",-3.78,0,--,3,0.00,"6,368",-6.63,0,0.00,205,0.00,825,185.47,"10,662",4.59,"1,761",26.51,490,-84.05,"8,411",46.81
1997M12,"2,097",37.33,"2,689",168.90,146,--,3,-50.00,"6,150",-9.96,0,0.00,213,3.90,402,26.81,"11,700",18.36,"1,793",26.18,"1,450",-46.51,"8,457",47.00
1998M01,"2,096",27.88,"2,689",607.63,146,--,7,-87.27,"6,050",-11.21,0,0.00,212,3.92,846,76.25,"12,046",25.85,"1,825",25.78,"1,338",-38.28,"8,883",49.22
1998M02,"2,310",40.85,"3,689","1,017.88",718,--,3,-72.73,"3,529",-62.04,0,0.00,213,3.40,811,132.38,"11,273",-4.73,"1,859",25.44,485,-73.98,"8,929",5.21
1998M03,"2,256",41.35,"4,389","3,276.15",718,--,3,-25.00,"3,861",-59.66,0,0.00,461,123.79,376,-5.53,"12,064",1.34,"1,892",25.13,"1,204",-35.68,"8,968",5.25
1998M04,"2,096",31.49,"4,579","4,479.00",718,--,3,-40.00,"4,359",-54.23,0,0.00,462,125.37,368,-14.81,"12,585",6.12,"1,925",24.84,"1,648",-5.99,"9,012",5.23
1998M05,"1,999",25.17,"4,579",--,0,--,3,-25.00,"5,517",-41.43,0,0.00,465,125.73,373,-16.37,"12,936",10.82,"1,958",24.55,"1,916",28.16,"9,062",5.30
1998M06,"1,987",25.36,"4,879",--,0,--,4,0.00,"5,097",-42.24,0,0.00,466,126.21,338,-25.88,"12,771",15.31,"1,991",24.20,"1,963",55.92,"8,817",7.35
1998M07,"1,614",8.69,"5,429",--,0,-100.00,7,250.00,"4,831",-43.06,0,0.00,465,126.83,348,-16.35,"12,694",10.55,"2,025",23.93,"1,817",13.99,"8,852",7.23
1998M08,"1,614",36.09,"5,961",--,0,-100.00,2,-33.33,"4,297",-47.13,0,0.00,464,124.15,360,-14.49,"12,698",15.43,"2,060",23.65,"1,762",70.41,"8,876",6.93
1998M09,"1,614",14.31,"6,041",--,0,-100.00,4,-20.00,"4,289",-39.29,0,-5.56,465,124.64,387,1.84,"12,800",20.98,"2,095",23.38,"1,816",228.99,"8,889",6.71
1998M10,"1,614",14.31,"6,221",467.61,0,-100.00,2,-50.00,"4,582",-26.73,0,-5.56,473,129.61,370,-58.14,"13,262",19.47,"2,130",23.12,"2,224",122.62,"8,908",6.40
1998M11,"1,414",-27.93,"6,671",413.55,0,--,3,0.00,"4,341",-31.83,0,-5.56,512,149.76,360,-56.36,"13,301",24.75,"2,165",22.94,"2,196",348.16,"8,940",6.29
1998M12,"1,554",-25.89,"6,461",140.28,0,-100.00,4,33.33,"4,872",-20.78,0,-5.56,511,139.91,387,-3.73,"13,789",17.85,"2,200",22.70,"2,622",80.83,"8,967",6.03
1999M01,"1,554",-25.86,"6,511",142.13,0,-100.00,3,-57.14,"4,841",-19.98,0,-100.00,510,140.57,529,-37.47,"13,948",15.79,"2,236",22.52,"2,727",103.81,"8,985",1.15
1999M02,"1,554",-32.73,"6,571",78.12,0,-100.00,5,66.67,"4,399",24.65,0,-100.00,508,138.50,677,-16.52,"13,714",21.65,"2,292",23.29,"2,412",397.32,"9,010",0.91
1999M03,"1,553",-31.16,"6,681",52.22,0,-100.00,2,-33.33,"4,586",18.78,0,-100.00,510,10.63,494,31.38,"13,826",14.61,"2,350",24.21,"2,445",103.07,"9,031",0.70
1999M04,"1,543",-26.38,"6,731",47.00,0,-100.00,3,0.00,"4,587",5.23,0,-100.00,509,10.17,493,33.97,"13,866",10.18,"2,407",25.04,"2,397",45.45,"9,062",0.55
1999M05,"1,543",-22.81,"6,591",43.94,0,--,5,66.67,"5,534",0.31,0,-100.00,508,9.25,527,41.29,"14,708",13.70,"2,464",25.84,"1,971",2.87,"10,273",13.36
1999M06,"1,531",-22.95,"6,551",34.27,0,--,5,25.00,"5,676",11.36,0,-100.00,512,9.87,511,51.18,"14,786",15.78,"2,587",29.93,"2,123",8.15,"10,076",14.28
1999M07,"1,531",-5.14,"8,451",55.66,0,--,28,300.00,"6,086",25.98,0,-100.00,511,9.89,854,145.40,"17,461",37.55,"2,659",31.31,"4,700",158.67,"10,102",14.12
1999M08,"1,530",-5.20,"8,641",44.96,0,--,7,250.00,"5,966",38.84,0,-100.00,510,9.91,614,70.56,"17,268",35.99,"2,732",32.62,"4,407",150.11,"10,129",14.12
1999M09,"1,530",-5.20,"7,621",26.15,0,--,8,100.00,"5,961",38.98,0,-100.00,509,9.46,630,62.79,"16,259",27.02,"1,520",-27.45,"4,596",153.08,"10,143",14.11
1999M10,"1,530",-5.20,"7,641",22.83,0,--,6,200.00,"5,998",30.90,0,-100.00,508,7.40,640,72.97,"16,323",23.08,"1,592",-25.26,"4,566",105.31,"10,165",14.11
1999M11,"1,525",7.85,"7,298",9.40,0,--,4,33.33,"6,052",39.41,0,-100.00,507,-0.98,"1,200",233.33,"16,586",24.70,"1,665",-23.09,"4,740",115.85,"10,181",13.88
1999M12,"1,525",-1.87,"6,378",-1.28,99,--,7,75.00,"6,464",32.68,0,-100.00,506,-0.98,"1,071",176.74,"16,050",16.40,"1,752",-20.36,"4,113",56.86,"10,185",13.58
2000M01,"1,525",-1.87,"5,328",-18.17,197,--,45,"1,400.00","9,602",98.35,0,--,505,-0.98,"1,470",177.88,"18,672",33.87,"1,989",-11.05,"5,549",103.48,"11,134",23.92
2000M02,"1,525",-1.87,"5,185",-21.09,197,--,7,40.00,"11,043",151.03,0,--,504,-0.79,515,-23.93,"18,976",38.37,"2,234",-2.53,"5,573",131.05,"11,169",23.96
2000M03,"1,524",-1.87,"4,478",-32.97,0,--,4,100.00,"11,466",150.02,0,--,503,-1.37,480,-2.83,"18,455",33.48,"2,475",5.32,"4,803",96.44,"11,177",23.76
2000M04,"1,488",-3.56,"4,468",-33.62,69,--,6,100.00,"12,038",162.44,0,--,502,-1.38,482,-2.23,"19,053",37.41,"2,717",12.88,"5,124",113.77,"11,212",23.73
2000M05,"1,488",-3.56,"9,508",44.26,69,--,3,-40.00,"10,873",96.48,0,--,502,-1.18,880,66.98,"23,323",58.57,"2,969",20.50,"9,107",362.05,"11,247",9.48
2000M06,"1,476",-3.59,"7,448",13.69,0,--,7,40.00,"10,736",89.15,0,--,501,-2.15,531,3.91,"20,699",39.99,"3,294",27.33,"6,125",188.51,"11,280",11.95
2000M07,"1,476",-3.59,"4,018",-52.46,0,--,68,142.86,"11,154",83.27,0,--,526,2.94,"1,541",80.44,"18,783",7.57,"3,550",33.51,"3,913",-16.74,"11,320",12.06
2000M08,"1,475",-3.59,"3,566",-58.73,0,--,3,-57.14,"12,940",116.90,0,--,530,3.92,441,-28.18,"18,955",9.77,"3,809",39.42,"3,785",-14.11,"11,361",12.16
2000M09,"1,475",-3.59,"3,716",-51.24,0,--,3,-62.50,"12,611",111.56,0,--,529,3.93,486,-22.86,"18,820",15.75,"4,067",167.57,"3,374",-26.59,"11,379",12.19
2000M10,"1,526",-0.26,"2,820",-63.09,0,--,5,-16.67,"12,222",103.77,0,--,528,3.94,"1,251",95.47,"18,352",12.43,"4,324",171.61,"2,609",-42.86,"11,419",12.34
2000M11,"1,436",-5.84,"2,960",-59.44,0,--,4,0.00,"12,552",107.40,0,--,532,4.93,906,-24.50,"18,390",10.88,"4,582",175.20,"2,350",-50.42,"11,458",12.54
2000M12,"1,485",-2.62,"3,135",-50.85,0,-100.00,5,-28.57,"12,776",97.65,0,--,540,6.72,426,-60.22,"18,367",14.44,"4,916",180.59,"2,231",-45.76,"11,220",10.16
2001M01,"1,485",-2.62,"3,135",-41.16,0,-100.00,43,-4.44,"12,883",34.17,0,--,539,6.73,"1,983",34.90,"20,068",7.48,"5,174",160.13,"3,630",-34.58,"11,264",1.17
2001M02,"1,484",-2.69,"3,135",-39.54,0,-100.00,2,-71.43,"14,508",31.38,0,--,538,6.75,598,16.12,"20,265",6.79,"5,435",143.29,"3,525",-36.75,"11,305",1.22
2001M03,"1,484",-2.62,"2,710",-39.48,0,--,3,-25.00,"15,946",39.07,0,--,537,6.76,448,-6.67,"21,128",14.48,"5,696",130.14,"4,113",-14.37,"11,319",1.27
2001M04,"1,474",-0.94,"2,710",-39.35,0,-100.00,4,-33.33,"15,659",30.08,0,--,536,6.77,470,-2.49,"20,853",9.45,"5,956",119.21,"3,537",-30.97,"11,360",1.32
2001M05,"1,474",-0.94,"2,710",-71.50,0,-100.00,2,-33.33,"15,986",47.02,0,--,535,6.57,499,-43.30,"21,206",-9.08,"6,216",109.36,"3,609",-60.37,"11,381",1.19
2001M06,"1,473",-0.20,"2,450",-67.11,0,--,2,-71.43,"15,792",47.09,0,--,535,6.79,514,-3.20,"20,766",0.32,"6,476",96.60,"2,882",-52.95,"11,408",1.13
2001M07,"1,473",-0.20,"2,570",-36.04,0,--,49,-27.94,"16,005",43.49,0,--,534,1.52,"1,892",22.78,"22,523",19.91,"7,072",99.21,"4,250",8.61,"11,201",-1.05
2001M08,"1,473",-0.14,"2,890",-18.96,0,--,3,0.00,"16,727",29.27,0,--,533,0.57,498,12.93,"22,124",16.72,"7,330",92.44,"3,517",-7.08,"11,277",-0.74
2001M09,"1,473",-0.14,200,-94.62,0,--,10,233.33,"17,373",37.76,0,--,532,0.57,455,-6.38,"20,043",6.50,"7,612",87.16,"1,154",-65.80,"11,277",-0.90
2001M10,"1,523",-0.20,200,-92.91,0,--,3,-40.00,"17,208",40.80,0,--,531,0.57,659,-47.32,"20,124",9.66,"7,929",83.37,918,-64.81,"11,277",-1.24
2001M11,"1,549",7.87,300,-89.86,0,--,3,-25.00,"17,577",40.03,0,--,532,0.00,492,-45.70,"20,453",11.22,"8,227",79.55,949,-59.62,"11,277",-1.58
2001M12,"1,596",7.47,300,-90.43,0,--,4,-20.00,"17,559",37.44,0,--,534,-1.11,439,3.05,"20,432",11.24,"8,528",73.47,627,-71.90,"11,277",0.51
2002M01,"1,649",11.04,300,-90.43,0,--,3,-93.02,"18,592",44.31,0,--,533,-1.11,"1,456",-26.58,"22,533",12.28,"8,846",70.97,"2,410",-33.61,"11,277",0.12
2002M02,"1,548",4.31,400,-87.24,0,--,3,50.00,"19,659",35.50,0,--,532,-1.12,446,-25.42,"22,588",11.46,"9,161",68.56,"2,150",-39.01,"11,277",-0.25
2002M03,"1,547",4.25,500,-81.55,0,--,2,-33.33,"19,133",19.99,0,--,531,-1.12,443,-1.12,"22,156",4.87,"8,836",55.13,"2,043",-50.33,"11,277",-0.37
2002M04,"1,834",24.42,500,-81.55,0,--,3,-25.00,"18,241",16.49,0,--,530,-1.12,852,81.28,"21,960",5.31,"8,944",50.17,"1,739",-50.83,"11,277",-0.73
2002M05,"1,983",34.53,600,-77.86,0,--,3,50.00,"18,497",15.71,0,--,528,-1.31,547,9.62,"22,158",4.49,"8,913",43.39,"1,968",-45.47,"11,277",-0.91
2002M06,"1,933",31.23,"1,200",-51.02,-,-,8,300.00,"18,408",16.57,-,-,529,-1.12,361,-29.77,"22,439",8.06,"9,019",39.27,"2,143",-25.64,"11,277",-1.15
2002M07,"1,933",31.23,"1,500",-41.63,-,-,46,-6.12,"18,516",15.69,-,-,528,-1.12,"1,311",-30.71,"23,834",5.82,"9,167",29.62,"3,390",-20.24,"11,277",0.68
2002M08,"1,926",30.75,600,-79.24,-,-,8,166.67,"20,126",20.32,-,-,527,-1.13,296,-40.56,"23,483",6.14,"9,284",26.66,"2,922",-16.92,"11,277",0.00
2002M09,"1,875",27.29,800,300.00,-,-,7,-30.00,"19,988",15.05,-,-,539,1.32,288,-36.70,"23,497",17.23,"9,358",22.94,"2,862",148.01,"11,277",0.00
2002M10,"1,987",30.47,"1,500",650.00,-,-,3,0.00,"18,804",9.27,-,-,548,3.20,683,3.64,"23,525",16.90,"9,450",19.18,"2,798",204.79,"11,277",0.00
2002M11,"1,797",16.01,"1,400",366.67,-,-,3,0.00,"18,893",7.49,-,-,552,3.76,476,-3.25,"23,121",13.04,"9,562",16.23,"2,282",140.46,"11,277",0.00
2002M12,"1,797",12.59,"2,303",667.67,-,-,4,0.00,"17,777",1.24,-,-,565,5.81,280,-36.22,"22,726",11.23,"9,662",13.30,"1,787",185.01,"11,277",0.00
2003M01,"1,798",9.04,"2,665",788.33,-,-,2,-33.33,"17,767",-4.44,-,-,564,5.82,"1,556",6.87,"24,352",8.07,"9,787",10.64,"3,288",36.43,"11,277",0.00
2003M02,"1,798",16.15,"2,765",591.25,-,-,4,33.33,"18,916",-3.78,-,-,562,5.64,315,-29.37,"24,360",7.84,"9,917",8.25,"3,166",47.26,"11,277",0.00
2003M03,"1,798",16.22,"2,765",453.00,-,-,3,50.00,"19,100",-0.17,-,-,561,5.65,341,-23.02,"24,568",10.89,"10,006",13.24,"3,285",60.79,"11,277",0.00
2003M04,"1,788",-2.51,"2,765",453.00,-,-,4,33.33,"17,902",-1.86,-,-,559,5.47,762,-10.56,"23,780",8.29,"10,075",12.65,"2,428",39.62,"11,277",0.00
2003M05,"1,788",-9.83,"2,765",360.83,-,-,5,66.67,"17,715",-4.23,-,-,559,5.87,557,1.83,"23,389",5.56,"10,180",14.22,"1,932",-1.83,"11,277",0.00
2003M06,"1,786",-7.60,"3,065",155.42,-,-,7,-12.50,"17,767",-3.48,-,-,557,5.29,436,20.78,"23,618",5.25,"10,356",14.82,"1,985",-7.37,"11,277",0.00
2003M07,"1,936",0.16,"2,763",84.20,-,-,178,286.96,"18,814",1.61,-,-,558,5.68,"1,385",5.64,"25,634",7.55,"10,463",14.14,"3,894",14.87,"11,277",0.00
