期間,平均_0歲,平均_10歲,平均_20歲,平均_30歲,平均_40歲,平均_50歲,平均_60歲,平均_70歲,平均_80歲,男性_0歲,男性_10歲,男性_20歲,男性_30歲,男性_40歲,男性_50歲,男性_60歲,男性_70歲,男性_80歲,女性_0歲,女性_10歲,女性_20歲,女性_30歲,女性_40歲,女性_50歲,女性_60歲,女性_70歲,女性_80歲
1977,...,...,...,...,...,...,...,...,...,68.69,60.14,50.65,41.49,32.44,23.93,16.20,9.48,4.89,73.85,65.14,55.42,45.84,36.38,27.34,19.02,11.45,5.92
1978,...,...,...,...,...,...,...,...,...,69.15,60.54,51.07,41.89,32.83,24.32,16.60,9.86,5.11,74.32,65.57,55.84,46.23,36.78,27.71,19.44,11.90,6.29
1979,...,...,...,...,...,...,...,...,...,69.36,60.69,51.24,42.07,32.99,24.45,16.70,10.37,5.77,74.47,65.63,55.91,46.32,36.83,27.79,19.39,12.11,6.75
1980,...,...,...,...,...,...,...,...,...,69.57,60.91,51.43,42.23,33.18,24.66,16.86,10.51,5.80,74.55,65.69,55.96,46.37,36.88,27.80,19.49,12.27,6.72
1981,72.01,63.17,53.57,44.20,34.93,26.05,18.06,11.40,6.40,69.74,60.99,51.51,42.34,33.28,24.78,17.01,10.68,5.94,74.64,65.71,55.97,46.37,36.86,27.71,19.27,12.10,6.71
1982,72.10,63.16,53.54,44.13,34.85,26.03,17.98,11.10,6.11,69.84,60.96,51.44,42.22,33.14,24.62,16.80,10.21,5.54,74.86,65.86,56.12,46.49,36.97,27.80,19.31,11.95,6.52
1983,72.16,63.16,53.54,44.13,34.81,25.98,17.88,11.04,6.07,69.90,60.97,51.47,42.24,33.12,24.57,16.71,10.16,5.50,75.08,66.00,56.25,46.63,37.08,27.93,19.42,12.10,6.62
1984,72.57,63.51,53.83,44.39,35.11,26.30,18.18,11.29,6.33,70.46,61.45,51.89,42.63,33.55,25.04,17.18,10.51,5.76,75.53,66.40,56.62,46.98,37.43,28.24,19.67,12.29,6.86
1985,73.02,63.93,54.28,44.84,35.52,26.62,18.44,11.45,6.37,70.82,61.79,52.24,42.99,33.85,25.26,17.37,10.65,5.83,75.81,66.65,56.88,47.23,37.69,28.46,19.88,12.40,6.84
1986,73.28,64.13,54.50,45.07,35.73,26.83,18.57,11.49,6.33,70.97,61.89,52.38,43.14,34.00,25.40,17.48,10.73,5.86,75.88,66.66,56.90,47.25,37.70,28.46,19.82,12.36,6.88
1987,73.39,64.15,54.57,45.15,35.81,26.90,18.67,11.61,6.46,71.09,61.91,52.49,43.27,34.12,25.53,17.62,10.82,5.90,76.31,67.00,57.24,47.59,38.04,28.77,20.09,12.54,6.93
1988,73.32,64.11,54.54,45.14,35.83,26.93,18.74,11.65,6.39,70.99,61.82,52.41,43.24,34.15,25.58,17.75,10.93,5.93,76.21,66.93,57.19,47.54,37.97,28.69,20.06,12.52,6.81
1989,73.54,64.31,54.75,45.36,36.07,27.21,18.98,11.88,6.66,71.10,61.91,52.49,43.31,34.24,25.72,17.88,11.04,6.05,76.47,67.21,57.48,47.85,38.31,29.05,20.34,12.76,7.11
1990,73.79,64.54,54.93,45.52,36.23,27.32,19.11,11.99,6.73,71.33,62.11,52.63,43.41,34.35,25.76,17.93,11.11,6.12,76.75,67.45,57.70,48.06,38.52,29.23,20.51,12.88,7.19
1991,74.26,64.97,55.34,45.92,36.62,27.70,19.45,12.28,6.90,71.83,62.58,53.06,43.86,34.79,26.19,18.36,11.49,6.41,77.14,67.81,58.05,48.39,38.82,29.53,20.79,13.10,7.29
1992,74.26,64.97,55.34,45.89,36.58,27.65,19.39,12.22,6.80,71.78,62.54,53.02,43.78,34.71,26.09,18.25,11.41,6.27,77.19,67.84,58.07,48.39,38.81,29.52,20.74,13.01,7.18
1993,74.28,64.95,55.34,45.91,36.61,27.69,19.41,12.22,7.00,71.61,62.31,52.83,43.61,34.53,25.93,18.05,11.39,6.62,77.52,68.16,58.40,48.74,39.16,29.88,21.13,13.37,7.44
1994,74.50,65.17,55.54,46.10,36.80,27.89,19.63,12.41,7.04,71.81,62.54,53.04,43.77,34.72,26.15,18.33,11.50,6.47,77.76,68.36,58.60,48.94,39.35,30.04,21.29,13.44,7.43
1995,74.53,65.29,55.65,46.22,36.92,28.00,19.73,12.54,7.05,71.85,62.66,53.13,43.91,34.85,26.26,18.44,11.65,6.41,77.74,68.45,58.69,49.02,39.44,30.13,21.35,13.57,7.57
1996,74.95,65.74,56.08,46.61,37.32,28.40,20.19,13.04,7.54,72.38,63.18,53.62,44.34,35.30,26.73,19.01,12.34,7.17,78.05,68.82,59.05,49.36,39.77,30.46,21.71,13.93,7.91
1997,75.54,66.31,56.62,47.12,37.83,28.90,20.66,13.47,7.91,72.97,63.74,54.14,44.82,35.80,27.23,19.49,12.82,7.63,78.61,69.35,59.58,49.86,40.27,30.93,22.11,14.29,8.19
1998,75.76,66.55,56.85,47.34,38.04,29.10,20.82,13.62,8.02,73.12,63.95,54.35,45.01,35.96,27.40,19.59,12.89,7.71,78.93,69.66,59.87,50.14,40.55,31.19,22.37,14.59,8.40
1999,75.90,66.69,57.01,47.48,38.17,29.24,20.94,13.73,8.10,73.33,64.16,54.54,45.17,36.10,27.53,19.70,13.02,7.83,78.98,69.72,59.95,50.24,40.65,31.31,22.50,14.67,8.45
2000,76.46,67.17,57.44,47.89,38.55,29.63,21.30,13.99,8.30,73.83,64.57,54.90,45.51,36.41,27.85,19.99,13.26,8.02,79.56,70.25,60.44,50.71,41.09,31.74,22.89,14.95,8.65
2001,76.75,67.44,57.69,48.10,38.75,29.79,21.47,14.17,8.44,74.07,64.80,55.11,45.67,36.55,27.95,20.09,13.37,8.14,79.92,70.56,60.74,50.99,41.36,31.99,23.15,15.21,8.84
2002,77.19,67.84,58.05,48.47,39.10,30.11,21.72,14.36,8.58,74.58,65.23,55.50,46.06,36.92,28.30,20.37,13.58,8.30,80.24,70.87,61.03,51.28,41.63,32.24,23.33,15.35,8.95
2003,77.35,67.95,58.16,48.56,39.20,30.22,21.81,14.43,8.62,74.77,65.37,55.63,46.16,37.04,28.42,20.47,13.65,8.33,80.33,70.93,61.09,51.33,41.69,32.29,23.38,15.40,8.98
2004,77.48,68.10,58.32,48.72,39.37,30.42,22.01,14.57,8.73,74.68,65.32,55.60,46.13,37.02,28.44,20.52,13.64,8.35,80.75,71.35,61.51,51.75,42.11,32.74,23.78,15.74,9.19
2005,77.42,68.01,58.23,48.67,39.34,30.41,22.00,14.55,8.69,74.50,65.11,55.38,45.96,36.90,28.36,20.42,13.59,8.27,80.80,71.37,61.54,51.81,42.18,32.78,23.84,15.73,9.17
2006,77.90,68.47,58.68,49.10,39.78,30.88,22.51,15.02,9.14,74.86,65.47,55.74,46.29,37.25,28.77,20.89,13.97,8.63,81.41,71.95,62.09,52.35,42.71,33.31,24.38,16.28,9.73
2007,78.38,68.93,59.10,49.48,40.10,31.15,22.70,15.14,9.18,75.46,66.04,56.26,46.74,37.60,29.06,21.08,14.09,8.73,81.72,72.24,62.36,52.60,42.94,33.53,24.53,16.37,9.70
2008,78.57,69.11,59.28,49.62,40.23,31.29,22.80,15.18,9.14,75.59,66.14,56.35,46.80,37.64,29.09,21.09,14.04,8.59,81.94,72.47,62.59,52.82,43.17,33.76,24.70,16.46,9.72
2009,79.01,69.51,59.68,50.02,40.61,31.64,23.15,15.48,9.38,76.03,66.53,56.74,47.17,38.00,29.41,21.40,14.28,8.78,82.34,72.83,62.95,53.19,43.51,34.10,25.05,16.78,9.99
2010,79.18,69.66,59.83,50.15,40.71,31.72,23.23,15.49,9.31,76.13,66.64,56.85,47.27,38.03,29.42,21.39,14.21,8.66,82.55,73.00,63.12,53.32,43.64,34.22,25.17,16.81,9.95
2011,79.15,69.64,59.81,50.13,40.70,31.72,23.21,15.45,9.27,75.96,66.47,56.67,47.09,37.88,29.30,21.26,14.06,8.53,82.63,73.12,63.24,53.44,43.76,34.31,25.25,16.86,9.97
2012,79.51,69.96,60.12,50.43,40.98,32.00,23.45,15.67,9.41,76.43,66.90,57.10,47.48,38.23,29.64,21.55,14.29,8.66,82.82,73.25,63.37,53.59,43.92,34.49,25.40,17.03,10.12
