期間,權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%)
1998M01,0,...,0,...,0,...,0,...,0,...,600,...,0,...,0,...
1998M02,0,...,0,...,0,...,0,...,0,...,426,...,0,...,0,...
1998M03,0,...,0,...,0,...,0,...,0,...,417,...,0,...,0,...
1998M04,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
1998M05,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
1998M06,0,...,0,...,0,...,0,...,0,...,580,...,0,...,0,...
1998M07,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
1998M08,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
1998M09,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
1998M10,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
1998M11,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
1998M12,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
1999M01,0,--,0,--,0,--,0,--,0,--,0,-100.00,0,--,0,--
1999M02,0,--,0,--,0,--,0,--,0,--,0,-100.00,0,--,0,--
1999M03,0,--,0,--,0,--,0,--,0,--,0,-100.00,0,--,0,--
1999M04,0,--,0,--,0,--,0,--,0,--,"2,970",--,0,--,0,--
1999M05,0,--,0,--,0,--,0,--,0,--,"1,886",--,0,--,0,--
1999M06,0,--,0,--,0,--,0,--,0,--,116,-80.00,0,--,0,--
1999M07,0,--,0,--,0,--,0,--,0,--,686,--,0,--,0,--
1999M08,0,--,0,--,0,--,0,--,0,--,"5,158",--,0,--,0,--
1999M09,0,--,0,--,0,--,0,--,0,--,"1,410",--,0,--,0,--
1999M10,0,--,0,--,0,--,0,--,0,--,464,--,0,--,0,--
1999M11,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
1999M12,0,--,0,--,0,--,0,--,0,--,800,--,0,--,0,--
2000M01,0,--,0,--,0,--,0,--,0,--,"3,704",--,0,--,0,--
2000M02,0,--,0,--,0,--,0,--,0,--,"5,518",--,0,--,0,--
2000M03,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--
2000M04,0,--,0,--,0,--,0,--,0,--,"2,374",-20.07,0,--,0,--
2000M05,0,--,0,--,0,--,0,--,0,--,744,-60.55,0,--,0,--
2000M06,0,--,0,--,0,--,0,--,0,--,"1,646","1,318.97",0,--,0,--
2000M07,0,--,0,--,0,--,0,--,0,--,"8,144","1,087.17",0,--,0,--
