期間,櫃買市場證券-總成交值 (十億元)_原始值,櫃買市場證券-總成交值 (十億元)_年增率(%),上市證券信用交易-總成交值(十億元)_原始值,上市證券信用交易-總成交值(十億元)_年增率(%),上櫃證券信用交易-總成交值(十億元)_原始值,上櫃證券信用交易-總成交值(十億元)_年增率(%),證券服務事業-證券商總公司家數(家)_原始值,證券服務事業-證券商總公司家數(家)_年增率(%),證券服務事業-經紀商家數(家)_原始值,證券服務事業-經紀商家數(家)_年增率(%),期貨商-專營家數(家)_原始值,期貨商-專營家數(家)_年增率(%),期貨經理事業-專營家數(家)_原始值,期貨經理事業-專營家數(家)_年增率(%)
1998M08,"5,089.10",...,"1,799.99",...,...,...,217,...,190,...,26,...,...,...
1998M09,"6,007.80",...,"2,050.30",...,...,...,217,...,189,...,26,...,...,...
1998M10,"5,618.52",...,"1,895.30",...,...,...,215,...,188,...,26,...,...,...
1998M11,"4,733.19",...,"2,422.30",...,...,...,216,...,189,...,26,...,...,...
1998M12,"5,571.92",...,"1,577.28",...,...,...,215,...,188,...,26,...,...,...
1999M01,"4,549.79",...,"1,414.69",...,72.96,...,213,...,186,...,26,...,...,...
1999M02,"3,232.23",...,990.44,...,49.80,...,213,...,186,...,26,...,...,...
1999M03,"5,121.48",...,"2,402.84",...,102.76,...,212,...,185,...,26,...,...,...
1999M04,"4,585.02",...,"2,927.52",...,143.22,...,213,...,186,...,26,...,...,...
1999M05,"4,346.07",...,"2,670.40",...,176.17,...,212,...,185,...,26,...,...,...
1999M06,"4,135.71",...,"3,761.22",...,185.18,...,212,...,185,...,26,...,...,...
1999M07,"4,358.34",...,"2,942.64",...,158.35,...,211,...,184,...,26,...,...,...
1999M08,"4,484.66",-11.88,"2,756.58",53.14,120.79,...,209,-3.69,182,-4.21,26,0.00,...,...
1999M09,"4,607.51",-23.31,"2,122.60",3.53,134.93,...,211,-2.76,183,-3.17,26,0.00,...,...
1999M10,"4,913.89",-12.54,"2,065.36",8.97,162.80,...,212,-1.40,183,-2.66,26,0.00,...,...
1999M11,"5,014.82",5.95,"2,432.82",0.43,270.62,...,212,-1.85,184,-2.65,26,0.00,...,...
1999M12,"4,931.13",-11.50,"2,936.68",86.19,320.96,...,212,-1.40,184,-2.13,26,0.00,...,...
2000M01,"4,770.92",4.86,"4,567.43",222.86,492.72,575.36,213,0.00,185,-0.54,26,0.00,...,...
2000M02,"4,056.56",25.50,"2,402.84",142.60,479.21,862.28,212,-0.47,184,-1.08,26,0.00,...,...
2000M03,"5,888.11",14.97,"4,295.32",78.76,707.01,587.99,211,-0.47,183,-1.08,26,0.00,...,...
2000M04,"5,906.06",28.81,"4,084.77",39.53,709.43,395.33,210,-1.41,182,-2.15,26,0.00,...,...
2000M05,"5,614.49",29.19,"2,560.08",-4.13,324.56,84.23,210,-0.94,182,-1.62,26,0.00,...,...
2000M06,"5,988.87",44.81,"2,143.54",-43.01,441.27,138.29,210,-0.94,182,-1.62,26,0.00,...,...
2000M07,"6,262.84",43.70,"1,780.03",-39.51,237.47,49.96,206,-2.37,177,-3.80,25,-3.85,...,...
2000M08,"6,985.49",55.76,"1,770.03",-35.79,348.62,188.62,204,-2.39,174,-4.40,25,-3.85,...,...
2000M09,"6,177.39",34.07,"1,915.38",-9.76,322.21,138.80,196,-7.11,165,-9.84,25,-3.85,...,...
2000M10,"6,645.60",35.24,"1,640.00",-20.59,168.25,3.34,194,-8.49,163,-10.93,25,-3.85,...,...
2000M11,"7,616.26",51.88,"1,865.02",-23.34,159.96,-40.89,194,-8.49,162,-11.96,25,-3.85,...,...
2000M12,"7,369.48",49.45,958.90,-67.35,87.42,-72.76,190,-10.38,158,-14.13,25,-3.85,...,...
2001M01,"5,704.03",19.56,"1,816.01",-60.24,180.88,-63.29,191,-10.33,159,-14.05,25,-3.85,...,...
2001M02,"8,258.17",103.58,"2,298.21",-4.35,305.95,-36.15,190,-10.38,158,-14.13,25,-3.85,...,...
2001M03,"11,388.03",93.41,"2,205.14",-48.66,366.01,-48.23,188,-10.90,156,-14.75,25,-3.85,...,...
2001M04,"8,890.66",50.53,"1,431.22",-64.96,277.53,-60.88,189,-10.00,157,-13.74,25,-3.85,...,...
2001M05,"10,364.66",84.61,"1,123.11",-56.13,163.76,-49.54,189,-10.00,157,-13.74,25,-3.85,...,...
2001M06,"10,864.34",81.41,940.06,-56.14,144.72,-67.20,190,-9.52,158,-13.19,25,-3.85,...,...
2001M07,"13,046.29",108.31,888.88,-50.06,100.68,-57.60,190,-7.77,158,-10.73,26,4.00,...,...
2001M08,"10,530.58",50.75,"1,163.86",-34.25,129.62,-62.82,190,-6.86,158,-9.20,26,4.00,...,...
2001M09,"9,679.62",56.69,657.06,-65.70,56.78,-82.38,188,-4.08,156,-5.45,26,4.00,...,...
