期間,家庭及非營利團體_原始值,家庭及非營利團體_年增率(%),家庭及非營利團體_原始值,家庭及非營利團體_年增率(%),民營企業_原始值,民營企業_年增率(%),民營企業_原始值,民營企業_年增率(%),公營企業_原始值,公營企業_年增率(%),公營企業_原始值,公營企業_年增率(%),政府_原始值,政府_年增率(%),政府_原始值,政府_年增率(%),中央銀行_原始值,中央銀行_年增率(%),中央銀行_原始值,中央銀行_年增率(%),其他貨幣機構_原始值,其他貨幣機構_年增率(%),其他貨幣機構_原始值,其他貨幣機構_年增率(%),保險公司及退休基金_原始值,保險公司及退休基金_年增率(%),保險公司及退休基金_原始值,保險公司及退休基金_年增率(%),其他金融機構_原始值,其他金融機構_年增率(%),其他金融機構_原始值,其他金融機構_年增率(%),國內全體部門_原始值,國內全體部門_年增率(%),國內全體部門_原始值,國內全體部門_年增率(%),國外部門_原始值,國外部門_年增率(%),國外部門_原始值,國外部門_年增率(%)
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,通貨,"218,538",...,-,...,"303,174",...,-,...,624,...,-,...,469,...,-,...,-,...,"708,414",...,"180,666",...,-,...,"1,295",...,-,...,"3,647",...,-,...,"708,414",...,"708,414",...,-,...,-,...,活期性存款,"3,511,284",...,-,...,"1,179,396",...,-,...,"36,845",...,-,...,-,...,-,...,-,...,-,...,"16,306",...,"4,955,841",...,"27,142",...,-,...,"98,383",...,-,...,"4,869,355",...,"4,955,841",...,"86,486",...,-,...,定期性存款及外匯存款,"10,975,324",...,-,...,"989,840",...,-,...,"168,438",...,-,...,-,...,-,...,-,...,-,...,"879,468",...,"14,851,192",...,"781,897",...,-,...,"497,618",...,-,...,"14,292,585",...,"14,851,192",...,"558,607",...,-,...,國外存款,"593,954",...,-,...,"1,049",...,-,...,29,...,-,...,-,...,-,...,-,...,-,...,"560,963",...,-,...,-,...,-,...,"7,072",...,-,...,"1,163,067",...,-,...,-,...,"1,163,067",...,政府存款,-,...,-,...,-,...,-,...,-,...,-,...,"938,737",...,-,...,-,...,"141,164",...,-,...,"797,461",...,-,...,-,...,-,...,112,...,"938,737",...,"938,737",...,-,...,-,...,準備性存款,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,"895,151",...,"895,151",...,-,...,-,...,-,...,-,...,-,...,"895,151",...,"895,151",...,-,...,-,...,非準備存款,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,"1,197,476",...,"1,184,693",...,-,...,"12,781",...,-,...,2,...,-,...,"1,197,476",...,"1,197,476",...,-,...,-,...,中央銀行單券,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,"561,785",...,"557,125",...,-,...,-,...,-,...,"4,660",...,-,...,"561,785",...,"561,785",...,-,...,-,...,中央銀行融通,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,"294,521",...,-,...,-,...,"287,521",...,-,...,-,...,-,...,"7,000",...,"294,521",...,"294,521",...,-,...,-,...,金融機構同業往來,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,"52,763",...,"11,199",...,-,...,-,...,"11,199",...,"52,763",...,"63,962",...,"63,962",...,-,...,-,...,金融機構放款,-,...,"8,120,423",...,-,...,"5,953,803",...,-,...,"449,395",...,-,...,"2,086,745",...,"2,040",...,-,...,"16,564,397",...,"39,865",...,"1,006,897",...,"21,544",...,"346,754",...,"396,141",...,"17,920,089",...,"17,067,917",...,-,...,"852,172",...,附條件交易,"596,017",...,-,...,"103,674",...,"29,066",...,-,...,-,...,-,...,-,...,"37,860",...,-,...,"353,610",...,"434,773",...,"54,314",...,-,...,"366,812",...,"1,048,678",...,"1,512,286",...,"1,512,517",...,231,...,-,...,非金融部門放款,"443,234",...,"369,953",...,"107,220",...,"662,602",...,"2,196",...,"154,204",...,"647,173",...,"45,136",...,-,...,-,...,-,...,"232,295",...,-,...,-,...,-,...,869,...,"1,199,823",...,"1,465,059",...,"279,574",...,"14,338",...,短期票券,"37,994",...,-,...,"63,822",...,"986,809",...,"36,412",...,"40,439",...,-,...,-,...,-,...,-,...,"566,174",...,-,...,"153,155",...,-,...,"405,655",...,"239,231",...,"1,263,213",...,"1,266,479",...,"3,266",...,-,...,政府債券,"10,067",...,-,...,"17,053",...,-,...,808,...,-,...,-,...,"1,525,335",...,-,...,-,...,"555,398",...,-,...,"434,633",...,-,...,"507,376",...,-,...,"1,525,335",...,"1,525,335",...,-,...,-,...,國內公司債,"56,427",...,-,...,"18,698",...,"607,242",...,635,...,"84,685",...,-,...,-,...,-,...,-,...,"112,961",...,-,...,"114,921",...,-,...,"403,431",...,"15,377",...,"707,073",...,"707,304",...,231,...,-,...,金融債券,"5,961",...,-,...,"3,519",...,-,...,"1,946",...,-,...,-,...,-,...,-,...,-,...,"25,839",...,"91,668",...,"15,858",...,-,...,"38,545",...,-,...,"91,668",...,"91,668",...,-,...,-,...,共同基金,"638,309",...,-,...,"232,319",...,-,...,"5,726",...,-,...,-,...,-,...,-,...,-,...,"63,984",...,-,...,"58,308",...,-,...,"74,889",...,"1,093,137",...,"1,073,535",...,"1,093,137",...,"19,602",...,-,...,上市上櫃公司股權,"4,401,785",...,-,...,"1,174,192",...,"6,866,148",...,-,...,"723,579",...,"1,124,152",...,-,...,-,...,-,...,"453,412",...,"1,067,083",...,"174,085",...,"445,225",...,"879,350",...,"169,098",...,"8,206,976",...,"9,271,133",...,"1,064,157",...,-,...,其他企業權益,"3,625,379",...,-,...,"2,103,876",...,"5,299,745",...,"7,988",...,"2,606,698",...,"2,660,937",...,-,...,"23,870",...,"509,682",...,"232,289",...,"559,460",...,"38,543",...,"76,199",...,"808,084",...,"874,910",...,"9,500,964",...,"9,926,693",...,"425,729",...,-,...,人壽保險準備,"2,492,372",...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,"2,492,372",...,-,...,-,...,"2,492,372",...,"2,492,372",...,-,...,-,...,退休基金準備,"363,431",...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,"363,431",...,-,...,-,...,"363,431",...,"363,431",...,-,...,-,...,應收應付款,"2,111,094",...,"404,547",...,"5,798,930",...,"6,795,555",...,"173,262",...,"441,201",...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,"8,083,286",...,"7,641,303",...,"400,253",...,"842,236",...,對外直接投資,"1,403,077",...,-,...,"650,585",...,-,...,"4,157",...,-,...,-,...,-,...,-,...,-,...,"48,391",...,-,...,-,...,-,...,"2,012",...,-,...,"2,108,222",...,-,...,-,...,"2,108,222",...,國外證券,"551,282",...,-,...,"52,633",...,"138,995",...,-,...,-,...,-,...,-,...,-,...,-,...,"193,103",...,"37,842",...,"124,540",...,-,...,"61,862",...,264,...,"983,421",...,"177,101",...,"139,952",...,"946,272",...,中央銀行準備資產,-,...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,"3,674,319",...,-,...,-,...,-,...,-,...,-,...,-,...,-,...,"3,674,319",...,-,...,-,...,"3,674,319",...,其他債權債務淨額,-,...,"180,926",...,-,...,"155,654",...,-,...,"113,431",...,"37,307",...,-,...,-,...,"31,865",...,"997,271",...,-,...,-,...,"129,802",...,-,...,"298,086",...,"1,034,578",...,"909,764",...,-,...,"124,813",...,合計,"32,035,530",...,"9,075,849",...,"12,799,981",...,"27,495,620",...,"439,066",...,"4,613,632",...,"5,408,775",...,"3,657,217",...,"4,032,610",...,"4,045,537",...,"24,493,964",...,"23,366,200",...,"2,998,368",...,"3,528,573",...,"4,517,351",...,"4,195,665",...,"86,725,644",...,"79,978,293",...,"2,978,088",...,"9,725,439",...
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,通貨,"274,604",25.65,-,--,"244,625",-19.31,-,--,552,-11.54,-,--,475,1.14,-,--,-,--,"692,622",-2.23,"166,963",-7.58,-,--,"1,584",22.31,-,--,"3,819",4.72,-,--,"692,622",-2.23,"692,622",-2.23,-,--,-,--,活期性存款,"4,204,092",19.73,-,--,"1,095,514",-7.11,-,--,"22,325",-39.41,-,--,-,--,-,--,-,--,-,--,"26,218",60.79,"5,646,219",13.93,"63,790",135.03,-,--,"136,741",38.99,-,--,"5,548,680",13.95,"5,646,219",13.93,"97,539",12.78,-,--,定期性存款及外匯存款,"10,943,702",-0.29,-,--,"976,123",-1.39,-,--,"140,781",-16.42,-,--,-,--,-,--,-,--,-,--,"872,091",-0.84,"15,145,169",1.98,"827,619",5.85,-,--,"685,529",37.76,-,--,"14,445,844",1.07,"15,145,169",1.98,"699,325",25.19,-,--,國外存款,"691,911",16.49,-,--,"1,529",45.76,-,--,179,517.24,-,--,-,--,-,--,-,--,-,--,"625,120",11.44,-,--,-,--,-,--,"2,425",-65.70,-,--,"1,321,164",13.59,-,--,-,--,"1,321,164",13.59,政府存款,-,--,-,--,-,--,-,--,-,--,-,--,"949,400",1.14,-,--,-,--,"113,616",-19.51,-,--,"835,759",4.80,-,--,-,--,-,--,25,-77.68,"949,400",1.14,"949,400",1.14,-,--,-,--,準備性存款,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"781,360",-12.71,"781,360",-12.71,-,--,-,--,-,--,-,--,-,--,"781,360",-12.71,"781,360",-12.71,-,--,-,--,非準備存款,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"1,653,947",38.12,"1,636,376",38.13,-,--,"17,563",37.41,-,--,8,300.00,-,--,"1,653,947",38.12,"1,653,947",38.12,-,--,-,--,中央銀行單券,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"953,120",69.66,"945,410",69.69,-,--,-,--,-,--,"7,710",65.45,-,--,"953,120",69.66,"953,120",69.66,-,--,-,--,中央銀行融通,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"454,918",54.46,-,--,-,--,"454,918",58.22,-,--,-,--,-,--,-,--,"454,918",54.46,"454,918",54.46,-,--,-,--,金融機構同業往來,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"90,026",70.62,"10,036",-10.38,-,--,-,--,"10,036",-10.38,"90,026",70.62,"100,062",56.44,"100,062",56.44,-,--,-,--,金融機構放款,-,--,"8,106,135",-0.18,-,--,"5,819,599",-2.25,-,--,"468,458",4.24,-,--,"2,169,501",3.97,"2,040",0.00,-,--,"16,702,070",0.83,"20,494",-48.59,"1,078,762",7.14,"80,778",274.94,"402,136",15.97,"383,554",-3.18,"18,185,008",1.48,"17,048,520",-0.11,-,--,"1,136,489",33.36,附條件交易,"320,335",-46.25,-,--,"81,822",-21.08,"15,023",-48.31,-,--,-,--,-,--,-,--,-,--,-,--,"327,071",-7.51,"372,326",-14.36,"58,503",7.71,-,--,"646,455",76.24,"1,047,153",-0.15,"1,434,186",-5.16,"1,434,502",-5.16,316,36.80,-,--,非金融部門放款,"239,952",-45.86,"349,149",-5.62,"93,997",-12.33,"536,432",-19.04,253,-88.48,"137,527",-10.81,"580,617",-10.28,"35,597",-21.13,-,--,-,--,-,--,"168,754",-27.35,-,--,-,--,-,--,"8,027",824.02,"914,819",-23.75,"1,235,486",-15.67,"334,772",19.74,"14,105",-1.63,短期票券,"33,321",-12.30,-,--,"44,203",-30.74,"868,608",-11.98,"6,499",-82.15,"76,622",89.48,-,--,-,--,-,--,-,--,"567,659",0.26,-,--,"88,016",-42.53,-,--,"370,397",-8.69,"165,460",-30.84,"1,110,095",-12.12,"1,110,690",-12.30,595,-81.78,-,--,政府債券,"7,824",-22.28,-,--,"16,697",-2.09,-,--,818,1.24,-,--,-,--,"1,908,304",25.11,-,--,-,--,"768,248",38.32,-,--,"600,726",38.21,-,--,"513,886",1.28,-,--,"1,908,199",25.10,"1,908,304",25.11,105,--,-,--,國內公司債,"50,853",-9.88,-,--,"17,492",-6.45,"665,020",9.51,632,-0.47,"126,220",49.05,-,--,-,--,-,--,-,--,"104,780",-7.24,-,--,"116,631",1.49,-,--,"517,399",28.25,"17,282",12.39,"807,787",14.24,"808,522",14.31,735,218.18,-,--,金融債券,"20,328",241.00,-,--,"6,492",84.48,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"51,768",100.35,"202,611",121.03,"30,141",90.07,-,--,"93,882",143.57,-,--,"202,611",121.03,"202,611",121.03,-,--,-,--,共同基金,"1,109,388",73.80,-,--,"278,402",19.84,-,--,"39,962",597.90,-,--,-,--,-,--,-,--,-,--,"98,199",53.47,-,--,"112,784",93.43,-,--,"108,263",44.56,"1,767,844",61.72,"1,746,998",62.73,"1,767,844",61.72,"20,846",6.35,-,--,上市上櫃公司股權,"5,141,827",16.81,-,--,"1,491,721",27.04,"9,206,567",34.09,-,--,"501,682",-30.67,"727,095",-35.32,-,--,-,--,-,--,"707,936",56.14,"864,487",-18.99,"264,486",51.93,"94,200",-78.84,"1,290,973",46.81,"992,303",486.82,"9,624,038",17.27,"11,659,239",25.76,"2,035,201",91.25,-,--,其他企業權益,"3,691,884",1.83,-,--,"2,372,980",12.79,"5,439,287",2.63,"3,247",-59.35,"2,559,394",-1.81,"2,682,308",0.80,-,--,"24,222",1.47,"729,074",43.04,"358,663",54.40,"844,840",51.01,"62,269",61.56,"201,745",164.76,"918,576",13.67,"869,149",-0.66,"10,114,149",6.45,"10,643,489",7.22,"529,340",24.34,-,--,人壽保險準備,"2,919,504",17.14,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"2,919,504",17.14,-,--,-,--,"2,919,504",17.14,"2,919,504",17.14,-,--,-,--,退休基金準備,"406,457",11.84,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"406,457",11.84,-,--,-,--,"406,457",11.84,"406,457",11.84,-,--,-,--,應收應付款,"2,223,578",5.33,"402,683",-0.46,"5,171,468",-10.82,"6,541,140",-3.74,"157,685",-8.99,"321,638",-27.10,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"7,552,731",-6.56,"7,265,461",-4.92,"522,721",30.60,"809,991",-3.83,對外直接投資,"1,541,234",9.85,-,--,"759,987",16.82,-,--,"4,448",7.00,-,--,-,--,-,--,-,--,-,--,"68,736",42.04,-,--,-,--,-,--,"3,165",57.28,-,--,"2,377,570",12.78,-,--,-,--,"2,377,570",12.78,國外證券,"677,975",22.98,-,--,"63,714",21.05,"164,113",18.07,-,--,-,--,-,--,-,--,-,--,-,--,"236,017",22.22,"35,952",-4.99,"355,214",185.22,-,--,"65,636",6.10,329,24.87,"1,398,556",42.21,"200,394",13.15,"153,121",9.41,"1,351,283",42.80,中央銀行準備資產,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"4,430,906",20.59,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"4,430,906",20.59,-,--,-,--,"4,430,906",20.59,其他債權債務淨額,-,--,"239,502",32.38,-,--,"379,947",144.10,-,--,"41,023",-63.83,"31,353",-15.96,-,--,"21,285",--,-,--,"1,267,762",27.12,-,--,-,--,"123,068",-5.19,-,--,"517,186",73.50,"1,320,400",27.63,"1,300,726",42.97,-,--,"19,674",-84.24,合計,"34,498,768",7.69,"9,097,469",0.24,"12,716,765",-0.65,"29,635,736",7.78,"377,382",-14.05,"4,232,564",-8.26,"4,971,247",-8.09,"4,113,402",12.47,"4,933,371",22.34,"4,923,739",21.71,"26,402,474",7.79,"24,601,565",5.29,"3,678,088",22.67,"3,825,751",8.42,"5,777,035",27.89,"5,858,339",39.63,"93,355,131",7.64,"86,288,565",7.89,"4,394,616",47.57,"11,461,182",17.85
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,通貨,"299,293",8.99,-,--,"221,128",-9.61,-,--,589,6.64,-,--,445,-6.24,-,--,-,--,"698,203",0.81,"170,925",2.37,-,--,"4,232",167.14,-,--,"1,591",-58.34,-,--,"698,203",0.81,"698,203",0.81,-,--,-,--,活期性存款,"4,771,302",13.49,-,--,"1,112,001",1.50,-,--,"16,624",-25.54,-,--,-,--,-,--,-,--,-,--,"24,670",-5.91,"6,228,223",10.31,"44,243",-30.64,-,--,"153,284",12.10,-,--,"6,122,123",10.33,"6,228,223",10.31,"106,100",8.78,-,--,定期性存款及外匯存款,"10,693,489",-2.29,-,--,"974,629",-0.15,-,--,"131,184",-6.82,-,--,-,--,-,--,-,--,-,--,"838,249",-3.88,"14,974,863",-1.12,"738,239",-10.80,-,--,"758,497",10.64,-,--,"14,134,286",-2.16,"14,974,863",-1.12,"840,577",20.20,-,--,國外存款,"720,670",4.16,-,--,"2,489",62.80,-,--,183,2.23,-,--,-,--,-,--,-,--,-,--,"473,843",-24.20,-,--,-,--,-,--,"4,569",88.39,-,--,"1,201,754",-9.04,-,--,-,--,"1,201,754",-9.04,政府存款,-,--,-,--,-,--,-,--,-,--,-,--,"890,155",-6.24,-,--,-,--,"140,071",23.28,-,--,"749,995",-10.26,-,--,-,--,-,--,89,256.00,"890,155",-6.24,"890,155",-6.24,-,--,-,--,準備性存款,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"871,682",11.56,"871,682",11.56,-,--,-,--,-,--,-,--,-,--,"871,682",11.56,"871,682",11.56,-,--,-,--,非準備存款,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"1,885,143",13.98,"1,867,341",14.11,-,--,"17,781",1.24,-,--,21,162.50,-,--,"1,885,143",13.98,"1,885,143",13.98,-,--,-,--,中央銀行單券,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"1,947,985",104.38,"1,908,460",101.87,-,--,-,--,-,--,"39,525",412.65,-,--,"1,947,985",104.38,"1,947,985",104.38,-,--,-,--,中央銀行融通,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"672,020",47.72,-,--,-,--,"672,020",47.72,-,--,-,--,-,--,-,--,"672,020",47.72,"672,020",47.72,-,--,-,--,金融機構同業往來,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"77,576",-13.83,"7,126",-29.00,-,--,-,--,"7,126",-29.00,"77,576",-13.83,"84,702",-15.35,"84,702",-15.35,-,--,-,--,金融機構放款,-,--,"7,974,128",-1.63,-,--,"5,448,830",-6.37,-,--,"478,404",2.12,-,--,"1,961,040",-9.61,"2,040",0.00,-,--,"16,115,915",-3.51,"25,715",25.48,"1,077,867",-0.08,"124,404",54.01,"329,285",-18.12,"464,011",20.98,"17,525,107",-3.63,"16,476,533",-3.36,-,--,"1,048,574",-7.74,附條件交易,"504,401",57.46,-,--,"57,157",-30.14,"2,289",-84.76,-,--,-,--,-,--,-,--,-,--,-,--,"246,720",-24.57,"454,400",22.04,"82,389",40.83,-,--,"701,400",8.50,"1,135,686",8.45,"1,592,066",11.01,"1,592,375",11.01,309,-2.22,-,--,非金融部門放款,"65,807",-72.57,"315,862",-9.53,"82,010",-12.75,"362,617",-32.40,248,-1.98,"138,024",0.36,"532,055",-8.36,"30,840",-13.36,-,--,-,--,-,--,"235,164",39.35,-,--,-,--,-,--,"7,617",-5.11,"680,121",-25.66,"1,090,125",-11.77,"423,483",26.50,"13,479",-4.44,短期票券,"26,339",-20.95,-,--,"47,528",7.52,"645,616",-25.67,"11,985",84.41,"44,692",-41.67,-,--,-,--,-,--,-,--,"331,977",-41.52,-,--,"127,459",44.81,-,--,"332,668",-10.19,"187,648",13.41,"877,956",-20.91,"877,956",-20.95,-,--,-,--,政府債券,"12,452",59.15,-,--,"14,002",-16.14,-,--,56,-93.21,-,--,-,--,"2,394,536",25.48,-,--,-,--,"818,219",6.50,-,--,"928,927",54.63,-,--,"620,743",20.79,-,--,"2,394,397",25.48,"2,394,536",25.48,139,32.38,-,--,國內公司債,"125,919",147.61,-,--,"14,640",-16.30,"766,621",15.28,700,10.76,"172,610",36.75,-,--,-,--,-,--,-,--,"128,383",22.53,-,--,"111,712",-4.22,-,--,"625,291",20.85,"68,006",293.50,"1,006,646",24.62,"1,007,237",24.58,591,-19.59,-,--,金融債券,"6,744",-66.83,-,--,"8,134",25.30,-,--,200,--,-,--,-,--,-,--,-,--,-,--,"45,045",-12.99,"377,303",86.22,"71,878",138.47,-,--,"245,302",161.29,-,--,"377,303",86.22,"377,303",86.22,-,--,-,--,共同基金,"1,181,962",6.54,-,--,"540,495",94.14,-,--,"57,885",44.85,-,--,-,--,-,--,-,--,-,--,"116,219",18.35,-,--,"137,767",22.15,-,--,"132,190",22.10,"2,179,703",23.30,"2,166,519",24.01,"2,179,703",23.30,"13,184",-36.76,-,--,上市上櫃公司股權,"4,830,436",-6.06,-,--,"1,328,936",-10.91,"7,573,416",-17.74,-,--,"496,858",-0.96,"771,494",6.11,-,--,-,--,-,--,"381,311",-46.14,"376,584",-56.44,"202,314",-23.51,"37,637",-60.05,"912,854",-29.29,"1,496,178",50.78,"8,427,344",-12.43,"9,980,673",-14.40,"1,553,329",-23.68,-,--,其他企業權益,"4,275,318",15.80,-,--,"3,044,819",28.31,"5,852,532",7.60,"3,155",-2.86,"2,541,155",-0.71,"2,506,539",-6.55,-,--,"24,264",0.17,"972,462",33.38,"322,554",-10.07,"1,214,342",43.74,"77,427",24.34,"216,932",7.53,"1,014,761",10.47,"1,055,996",21.50,"11,268,837",11.42,"11,853,420",11.37,"584,583",10.44,-,--,人壽保險準備,"3,494,402",19.69,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"3,494,402",19.69,-,--,-,--,"3,494,402",19.69,"3,494,402",19.69,-,--,-,--,退休基金準備,"454,912",11.92,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"454,912",11.92,-,--,-,--,"454,912",11.92,"454,912",11.92,-,--,-,--,應收應付款,"2,500,074",12.43,"399,930",-0.68,"5,678,197",9.80,"7,323,847",11.97,"145,859",-7.50,"324,331",0.84,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"8,324,130",10.21,"8,048,108",10.77,"703,067",34.50,"979,089",20.88,對外直接投資,"1,546,561",0.35,-,--,"916,164",20.55,-,--,"5,801",30.42,-,--,-,--,-,--,-,--,-,--,"75,811",10.29,-,--,-,--,-,--,"27,227",760.36,-,--,"2,571,564",8.16,-,--,-,--,"2,571,564",8.16,國外證券,"1,012,210",49.30,-,--,"95,923",50.55,"180,543",10.01,404,--,-,--,-,--,-,--,-,--,-,--,"305,786",29.56,"47,198",31.28,"555,458",56.37,-,--,"128,830",96.28,"79,020","23,912.40","2,098,611",50.06,"306,761",53.08,"232,364",51.75,"2,024,214",49.80,中央銀行準備資產,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"5,775,080",30.34,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"5,775,080",30.34,-,--,-,--,"5,775,080",30.34,其他債權債務淨額,-,--,"269,346",12.46,-,--,"308,960",-18.68,-,--,"40,004",-2.48,-,--,"2,642",--,"51,885",143.77,-,--,"1,083,839",-14.51,-,--,-,--,"140,181",13.91,-,--,"362,626",-29.88,"1,135,724",-13.99,"1,123,759",-13.61,-,--,"11,965",-39.18,合計,"36,522,291",5.87,"8,959,267",-1.52,"14,138,252",11.18,"28,465,271",-3.95,"374,871",-0.67,"4,236,079",0.08,"4,700,688",-5.44,"4,389,058",6.70,"6,525,289",32.27,"6,515,546",32.33,"26,204,524",-0.75,"25,362,933",3.09,"4,177,693",13.58,"4,468,469",16.80,"6,035,163",4.47,"7,114,156",21.44,"98,678,771",5.70,"89,510,779",3.73,"4,457,726",1.44,"13,625,718",18.89
