期間,機動車輛數(輛) - 合計_原始值,機動車輛數(輛) - 合計_年增率(%),機動車輛數(輛) - 汽車 (不含軍車)_原始值,機動車輛數(輛) - 汽車 (不含軍車)_年增率(%),機動車輛數(輛) - 機車_原始值,機動車輛數(輛) - 機車_年增率(%),肇事總件數(件)_原始值,肇事總件數(件)_年增率(%),肇事率(件/萬輛)_原始值,肇事率(件/萬輛)_年增率(%),A1類件數(件)_原始值,A1類件數(件)_年增率(%),A1類死亡人數(人)_原始值,A1類死亡人數(人)_年增率(%),A1類受傷人數(人)_原始值,A1類受傷人數(人)_年增率(%),A2類件數(件)_原始值,A2類件數(件)_年增率(%),A2類受傷人數(人)_原始值,A2類受傷人數(人)_年增率(%),A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_原始值,A1類肇事件數按肇事原因(件) - 汽(機、慢)車駕駛人_年增率(%),A1類肇事件數按肇事原因(件) - 機件_原始值,A1類肇事件數按肇事原因(件) - 機件_年增率(%),A1類肇事件數按肇事原因(件) - 行人(或乘客)_原始值,A1類肇事件數按肇事原因(件) - 行人(或乘客)_年增率(%),A1類肇事件數按肇事原因(件) - 交通管制(設施)_原始值,A1類肇事件數按肇事原因(件) - 交通管制(設施)_年增率(%),A1類肇事件數按肇事原因(件) - 其他_原始值,A1類肇事件數按肇事原因(件) - 其他_年增率(%)
1992,"11,268,253",...,"3,618,942",...,"7,649,311",...,"3,489",...,3.19,-,"3,489",...,"2,717",...,"2,929",...,...,...,...,...,"3,428",...,34,...,23,...,2,...,2,...
1993,"11,856,524",5.22,"3,989,128",10.23,"7,867,396",2.85,"2,696",-22.73,2.33,-,"2,696",-22.73,"2,349",-13.54,"2,115",-27.79,...,...,...,...,"2,627",-23.37,41,20.59,25,8.70,3,50.00,0,-100.00
1994,"12,377,082",4.39,"4,342,573",8.86,"8,034,509",2.12,"3,603",33.64,2.97,-,"3,603",33.64,"3,094",31.72,"2,937",38.87,...,...,...,...,"3,505",33.42,49,19.51,40,60.00,6,100.00,3,--
1995,"13,201,471",6.66,"4,684,447",7.87,"8,517,024",6.01,"3,528",-2.08,2.76,-,"3,528",-2.08,"3,065",-0.94,"2,933",-0.14,...,...,...,...,"3,439",-1.88,37,-24.49,49,22.50,1,-83.33,2,-33.33
1996,"14,273,465",8.12,"4,989,551",6.51,"9,283,914",9.00,"3,619",2.58,2.63,-,"3,619",2.58,"2,990",-2.45,"2,939",0.20,...,...,...,...,"3,536",2.82,39,5.41,42,-14.29,2,100.00,0,-100.00
1997,"15,345,743",7.51,"5,294,130",6.10,"10,051,613",8.27,"3,162",-12.63,2.13,-,"3,162",-12.63,"2,735",-8.53,"2,428",-17.39,...,...,...,...,"3,062",-13.40,34,-12.82,58,38.10,6,200.00,2,--
1998,"15,959,135",4.00,"5,430,095",2.57,"10,529,040",4.75,"2,720",-13.98,1.74,-,"2,720",-13.98,"2,507",-8.34,"2,007",-17.34,...,...,...,...,"2,638",-13.85,41,20.59,38,-34.48,3,-50.00,0,-100.00
1999,"16,317,768",2.25,"5,359,299",-1.30,"10,958,469",4.08,"2,487",-8.57,1.54,-,"2,487",-8.57,"2,392",-4.59,"1,636",-18.49,...,...,...,...,"2,422",-8.19,19,-53.66,43,13.16,2,-33.33,1,--
2000,"17,022,689",4.32,"5,599,517",4.48,"11,423,172",4.24,"52,952","2,029.15",31.76,-,"3,207",28.95,"3,388",41.64,"1,541",-5.81,"49,745",...,"65,354",...,"3,141",29.69,26,36.84,35,-18.60,4,100.00,1,0.00
2001,"17,465,037",2.60,"5,731,835",2.36,"11,733,202",2.71,"64,264",21.36,37.27,-,"3,142",-2.03,"3,344",-1.30,"1,490",-3.31,"61,122",22.87,"79,122",21.07,"3,058",-2.64,28,7.69,55,57.14,0,-100.00,1,0.00
2002,"17,906,957",2.53,"5,923,200",3.34,"11,983,757",2.14,"86,259",34.23,48.77,-,"2,725",-13.27,"2,861",-14.44,"1,284",-13.83,"83,534",36.67,"108,310",36.89,"2,636",-13.80,26,-7.14,57,3.64,2,--,4,300.00
2003,"18,500,658",3.32,"6,133,794",3.56,"12,366,864",3.20,"120,223",39.37,66.04,-,"2,572",-5.61,"2,718",-5.00,"1,262",-1.71,"117,651",40.84,"155,041",43.15,"2,474",-6.15,19,-26.92,77,35.09,2,0.00,0,-100.00
2004,"19,183,136",3.69,"6,389,186",4.16,"12,793,950",3.45,"137,221",14.14,72.83,-,"2,502",-2.72,"2,634",-3.09,"1,248",-1.11,"134,719",14.51,"177,860",14.72,"2,378",-3.88,20,5.26,102,32.47,0,-100.00,2,--
2005,"19,862,807",3.54,"6,667,542",4.36,"13,195,265",3.14,"155,814",13.55,79.81,-,"2,767",10.59,"2,894",9.87,"1,383",10.82,"153,047",13.60,"201,704",13.41,"2,655",11.65,10,-50.00,98,-3.92,2,--,2,0.00
2006,"20,307,197",2.24,"6,750,169",1.24,"13,557,028",2.74,"160,897",3.26,80.11,-,"2,999",8.38,"3,140",8.50,"1,301",-5.93,"157,898",3.17,"209,875",4.05,"2,891",8.89,7,-30.00,93,-5.10,4,100.00,4,100.00
2007,"20,711,754",1.99,"6,768,281",0.27,"13,943,473",2.85,"163,971",1.91,79.95,-,"2,463",-17.87,"2,573",-18.06,"1,006",-22.67,"161,508",2.29,"215,921",2.88,"2,368",-18.09,13,85.71,79,-15.05,3,-25.00,0,-100.00
