期間,店頭市場契約-遠期契約_原始值,店頭市場契約-遠期契約_年增率(%),店頭市場契約-交換_原始值,店頭市場契約-交換_年增率(%),店頭市場契約-買入選擇權_原始值,店頭市場契約-買入選擇權_年增率(%),店頭市場契約-賣出選擇權_原始值,店頭市場契約-賣出選擇權_年增率(%),交易所契約-期貨-長部位_原始值,交易所契約-期貨-長部位_年增率(%),交易所契約-期貨-短部位_原始值,交易所契約-期貨-短部位_年增率(%),交易所契約-買入選擇權_原始值,交易所契約-買入選擇權_年增率(%),交易所契約-賣出選擇權_原始值,交易所契約-賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%)
1998Q1,"1,270,465",...,"233,379",...,"128,583",...,"124,619",...,0,...,0,...,0,...,0,...,"1,757,046",...
1998Q2,"1,644,993",...,"349,731",...,"198,674",...,"184,559",...,0,...,0,...,0,...,0,...,"2,377,957",...
1998Q3,"1,063,119",...,"310,568",...,"253,186",...,"249,786",...,0,...,0,...,0,...,0,...,"1,876,659",...
1998Q4,"735,597",...,"269,347",...,"151,706",...,"148,305",...,0,...,0,...,0,...,0,...,"1,304,955",...
1999Q1,"831,119",-34.58,"292,342",25.26,"166,112",29.19,"162,001",30.00,0,--,0,--,17,--,0,--,"1,451,591",-17.38
1999Q2,"851,734",-48.22,"315,428",-9.81,"171,737",-13.56,"156,942",-14.96,0,--,0,--,0,--,0,--,"1,495,841",-37.10
1999Q3,"816,480",-23.20,"295,634",-4.81,"229,810",-9.23,"214,291",-14.21,0,--,0,--,0,--,0,--,"1,556,215",-17.08
1999Q4,"815,196",10.82,"437,764",62.53,"199,045",31.20,"193,825",30.69,0,--,0,--,0,--,0,--,"1,645,830",26.12
2000Q1,"876,295",5.44,"308,512",5.53,"320,378",92.87,"319,408",97.16,0,--,0,--,0,-100.00,0,--,"1,824,593",25.70
2000Q2,"833,186",-2.18,"324,605",2.91,"340,938",98.52,"340,535",116.98,0,--,0,--,"23,936",--,"23,936",--,"1,887,136",26.16
2000Q3,"954,388",16.89,"361,433",22.26,"349,915",52.26,"341,476",59.35,0,--,0,--,"20,361",--,"20,361",--,"2,047,934",31.60
2000Q4,"1,323,468",62.35,"435,697",-0.47,"276,354",38.84,"271,325",39.98,0,--,0,--,"23,471",--,"23,471",--,"2,353,786",43.02
2001Q1,"1,299,925",48.34,"476,772",54.54,"360,430",12.50,"346,516",8.49,0,--,0,--,0,--,0,--,"2,483,643",36.12
2001Q2,"1,628,117",95.41,"599,062",84.55,"365,087",7.08,"354,308",4.04,0,--,0,--,0,-100.00,0,-100.00,"2,946,574",56.14
2001Q3,"1,685,097",76.56,"870,109",140.74,"400,459",14.44,"398,421",16.68,0,--,0,--,0,-100.00,0,-100.00,"3,354,086",63.78
2001Q4,"1,732,963",30.94,"876,701",101.22,"382,939",38.57,"370,442",36.53,0,--,0,--,0,-100.00,0,-100.00,"3,363,045",42.88
2002Q1,"1,784,658",37.29,"947,132",98.66,"505,358",40.21,"491,943",41.97,0,--,0,--,0,--,0,--,"3,729,091",50.15
2002Q2,"2,248,782",38.12,"938,368",56.64,"668,119",83.00,"640,791",80.86,0,--,0,--,0,--,0,--,"4,496,060",52.59
2002Q3,"2,237,380",32.77,"1,012,386",16.35,"684,292",70.88,"674,456",69.28,0,--,0,--,0,--,0,--,"4,608,514",37.40
2002Q4,"1,981,831",14.36,"1,063,394",21.29,"550,086",43.65,"534,677",44.33,697,--,"10,102",--,0,--,0,--,"4,140,787",23.13
2003Q1,"2,058,906",15.37,"1,222,248",29.05,"650,674",28.76,"709,909",44.31,"14,768",--,"1,911",--,0,--,0,--,"4,658,416",24.92
2003Q2,"2,594,688",15.38,"1,381,573",47.23,"713,966",6.86,"722,867",12.81,"2,249",--,"1,730",--,280,--,280,--,"5,417,633",20.50
2003Q3,"3,623,116",61.94,"1,732,399",71.12,"836,211",22.20,"877,076",30.04,0,--,0,--,46,--,20,--,"7,068,868",53.39
2003Q4,"3,328,836",67.97,"2,084,769",96.05,"883,205",60.56,"823,165",53.96,0,-100.00,0,-100.00,0,--,0,--,"7,119,975",71.95
2004Q1,"4,452,373",116.25,"2,479,690",102.88,"1,637,224",151.62,"1,612,592",127.15,0,-100.00,0,-100.00,0,--,0,--,"10,181,879",118.57
2004Q2,"4,772,518",83.93,"2,725,419",97.27,"1,431,370",100.48,"1,377,468",90.56,0,-100.00,0,-100.00,0,-100.00,0,-100.00,"10,306,775",90.24
2004Q3,"4,697,579",29.66,"2,551,276",47.27,"1,232,062",47.34,"1,166,198",32.96,0,--,0,--,233,406.52,233,"1,065.00","9,647,581",36.48
