期間,總指數_原始值,總指數_年增率(%),第 1 類動物產品_原始值,第 1 類動物產品_年增率(%),03魚、甲殼及軟體類動物_原始值,03魚、甲殼及軟體類動物_年增率(%),第 4 類調製食品、飲料、酒及菸類_原始值,第 4 類調製食品、飲料、酒及菸類_年增率(%),第 5 類礦產品_原始值,第 5 類礦產品_年增率(%),27能源礦產品_原始值,27能源礦產品_年增率(%),第 6 類化學或有關工業產品_原始值,第 6 類化學或有關工業產品_年增率(%),28無機化學產品及貴金屬化合物_原始值,28無機化學產品及貴金屬化合物_年增率(%),29有機化學產品_原始值,29有機化學產品_年增率(%),32著色料、漆類及油墨_原始值,32著色料、漆類及油墨_年增率(%),38雜項化學產品_原始值,38雜項化學產品_年增率(%),第 7 類塑、橡膠及其製品_原始值,第 7 類塑、橡膠及其製品_年增率(%),39塑膠及其製品_原始值,39塑膠及其製品_年增率(%),40橡膠及其製品_原始值,40橡膠及其製品_年增率(%),第10類木漿、紙及其製品_原始值,第10類木漿、紙及其製品_年增率(%),48紙、紙板及其製品_原始值,48紙、紙板及其製品_年增率(%),第11類紡織及其製品_原始值,第11類紡織及其製品_年增率(%),54人造纖維絲、絲紗及其梭織物_原始值,54人造纖維絲、絲紗及其梭織物_年增率(%),55人造纖維棉_原始值,55人造纖維棉_年增率(%),58花邊及窄幅梭織物_原始值,58花邊及窄幅梭織物_年增率(%),59浸漬、塗佈或黏合織物及工業用織物_原始值,59浸漬、塗佈或黏合織物及工業用織物_年增率(%),60針織品或鉤針織品_原始值,60針織品或鉤針織品_年增率(%),第13類石料製品、玻璃及玻璃器_原始值,第13類石料製品、玻璃及玻璃器_年增率(%),70玻璃及玻璃器_原始值,70玻璃及玻璃器_年增率(%),第15類基本金屬及其製品_原始值,第15類基本金屬及其製品_年增率(%),72鋼鐵_原始值,72鋼鐵_年增率(%),73鋼鐵製品_原始值,73鋼鐵製品_年增率(%),74銅及其製品_原始值,74銅及其製品_年增率(%),76鋁及其製品_原始值,76鋁及其製品_年增率(%),82基本金屬製工具及其零件_原始值,82基本金屬製工具及其零件_年增率(%),83基本金屬雜項製品_原始值,83基本金屬雜項製品_年增率(%),第16類機器、電機、電視影像及聲音記錄機等設備_原始值,第16類機器、電機、電視影像及聲音記錄機等設備_年增率(%),84鍋爐、機器、機械用具及其零件_原始值,84鍋爐、機器、機械用具及其零件_年增率(%),85電機、電視影像、聲音記錄等設備及其零件_原始值,85電機、電視影像、聲音記錄等設備及其零件_年增率(%),第17類運輸工具_原始值,第17類運輸工具_年增率(%),87運輸工具_原始值,87運輸工具_年增率(%),第18類光學、計量、醫療儀器、樂器及其零件_原始值,第18類光學、計量、醫療儀器、樂器及其零件_年增率(%),90光學、計量、檢查、醫療儀器及其零件_原始值,90光學、計量、檢查、醫療儀器及其零件_年增率(%),第20類雜項製品_原始值,第20類雜項製品_年增率(%),94座物、家具、燈具及其零件_原始值,94座物、家具、燈具及其零件_年增率(%)
1981M01,91.99,-,-,-,-,-,-,-,-,-,-,-,61.48,-,-,-,-,-,-,-,-,-,51.53,-,54.83,-,32.73,-,-,-,-,-,51.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55.84,-,-,-,-,-,-,-,-,-,-,-
1981M02,92.22,-,-,-,-,-,-,-,-,-,-,-,61.35,-,-,-,-,-,-,-,-,-,52.74,-,56.19,-,33.03,-,-,-,-,-,51.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.08,-,-,-,-,-,-,-,-,-,-,-
1981M03,92.02,-,-,-,-,-,-,-,-,-,-,-,60.48,-,-,-,-,-,-,-,-,-,50.04,-,52.92,-,33.58,-,-,-,-,-,51.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55.62,-,-,-,-,-,-,-,-,-,-,-
1981M04,92.02,-,-,-,-,-,-,-,-,-,-,-,60.18,-,-,-,-,-,-,-,-,-,49.57,-,52.66,-,31.92,-,-,-,-,-,51.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.87,-,-,-,-,-,-,-,-,-,-,-
1981M05,92.38,-,-,-,-,-,-,-,-,-,-,-,60.09,-,-,-,-,-,-,-,-,-,52.30,-,55.78,-,32.41,-,-,-,-,-,52.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.63,-,-,-,-,-,-,-,-,-,-,-
1981M06,92.03,-,-,-,-,-,-,-,-,-,-,-,58.88,-,-,-,-,-,-,-,-,-,51.66,-,54.85,-,33.40,-,-,-,-,-,52.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.29,-,-,-,-,-,-,-,-,-,-,-
1981M07,91.74,-,-,-,-,-,-,-,-,-,-,-,58.02,-,-,-,-,-,-,-,-,-,51.18,-,54.15,-,34.20,-,-,-,-,-,51.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.50,-,-,-,-,-,-,-,-,-,-,-
1981M08,91.56,-,-,-,-,-,-,-,-,-,-,-,58.06,-,-,-,-,-,-,-,-,-,51.34,-,54.62,-,32.59,-,-,-,-,-,52.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.76,-,-,-,-,-,-,-,-,-,-,-
1981M09,91.03,-,-,-,-,-,-,-,-,-,-,-,57.68,-,-,-,-,-,-,-,-,-,51.17,-,54.19,-,33.92,-,-,-,-,-,51.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.91,-,-,-,-,-,-,-,-,-,-,-
1981M10,90.33,-,-,-,-,-,-,-,-,-,-,-,57.54,-,-,-,-,-,-,-,-,-,50.22,-,53.27,-,32.81,-,-,-,-,-,51.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.76,-,-,-,-,-,-,-,-,-,-,-
