期間,出生人數_原始值,出生人數_年增率(%),粗出生率(0/00)_原始值,粗出生率(0/00)_年增率(%),男性出生人數_原始值,男性出生人數_年增率(%),女性出生人數_原始值,女性出生人數_年增率(%),死亡人數_原始值,死亡人數_年增率(%),粗死亡率(0/00)_原始值,粗死亡率(0/00)_年增率(%),男性死亡人數_原始值,男性死亡人數_年增率(%),女性死亡人數_原始值,女性死亡人數_年增率(%),自然增加-人數_原始值,自然增加-人數_年增率(%),自然增加-增加率(0/00)_原始值,自然增加-增加率(0/00)_年增率(%),社會增加-增加人數_原始值,社會增加-增加人數_年增率(%),社會增加-增加率(0/00)_原始值,社會增加-增加率(0/00)_年增率(%),總增加-增加人數_原始值,總增加-增加人數_年增率(%),總增加-總增加率(0/00)_原始值,總增加-總增加率(0/00)_年增率(%),婚生-計_原始值,婚生-計_年增率(%),婚生-男性_原始值,婚生-男性_年增率(%),婚生-女性_原始值,婚生-女性_年增率(%),非婚生-已認領-計_原始值,非婚生-已認領-計_年增率(%),非婚生-已認領-男性_原始值,非婚生-已認領-男性_年增率(%),非婚生-已認領-女性_原始值,非婚生-已認領-女性_年增率(%),非婚生-未認領-計_原始值,非婚生-未認領-計_年增率(%),非婚生-未認領-男性_原始值,非婚生-未認領-男性_年增率(%),非婚生-未認領-女性_原始值,非婚生-未認領-女性_年增率(%),棄嬰或無依兒童-計_原始值,棄嬰或無依兒童-計_年增率(%),棄嬰或無依兒童-男性_原始值,棄嬰或無依兒童-男性_年增率(%),棄嬰或無依兒童-女性_原始值,棄嬰或無依兒童-女性_年增率(%),出生登記人數-遺腹子-計_原始值,出生登記人數-遺腹子-計_年增率(%),出生登記人數-遺腹子-男性_原始值,出生登記人數-遺腹子-男性_年增率(%),出生登記人數-遺腹子-女性_原始值,出生登記人數-遺腹子-女性_年增率(%),出生登記人數-雙生者-計_原始值,出生登記人數-雙生者-計_年增率(%),出生登記人數-雙生者-男性_原始值,出生登記人數-雙生者-男性_年增率(%),出生登記人數-雙生者-女性_原始值,出生登記人數-雙生者-女性_年增率(%),出生登記人數-三生以上者-計_原始值,出生登記人數-三生以上者-計_年增率(%),出生登記人數-三生以上者-男性_原始值,出生登記人數-三生以上者-男性_年增率(%),出生登記人數-三生以上者-女性_原始值,出生登記人數-三生以上者-女性_年增率(%)
1991,"321,932",...,15.70,-,"168,865",...,"153,067",...,"106,284",...,5.18,-,"65,386",...,"40,898",...,"215,648",-,10.52,-,"-12,128",-,-0.59,-,"203,520",-,9.93,-,"314,262",...,"164,984",...,"149,278",...,"2,440",...,"1,272",...,"1,168",...,"4,825",...,"2,420",...,"2,405",...,405,...,189,...,216,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1992,"321,632",-0.09,15.53,-,"168,488",-0.22,"153,144",0.05,"110,516",3.98,5.34,-,"67,948",3.92,"42,568",4.08,"211,116",-,10.20,-,"-15,759",-,-0.76,-,"195,357",-,9.44,-,"314,222",-0.01,"164,733",-0.15,"149,489",0.14,"2,430",-0.41,"1,300",2.20,"1,130",-3.25,"4,667",-3.27,"2,299",-5.00,"2,368",-1.54,313,-22.72,156,-17.46,157,-27.31,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1993,"325,613",1.24,15.58,-,"169,486",0.59,"156,127",1.95,"110,901",0.35,5.31,-,"68,578",0.93,"42,323",-0.58,"214,712",-,10.27,-,"-22,351",-,-1.07,-,"192,361",-,9.20,-,"318,067",1.22,"165,647",0.55,"152,420",1.96,"2,410",-0.82,"1,285",-1.15,"1,125",-0.44,"4,919",5.40,"2,444",6.31,"2,475",4.52,217,-30.67,110,-29.49,107,-31.85,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1994,"322,938",-0.82,15.31,-,"168,444",-0.61,"154,494",-1.05,"113,866",2.67,5.40,-,"71,049",3.60,"42,817",1.17,"209,072",-,9.91,-,"-25,090",-,-1.19,-,"183,982",-,8.73,-,"315,399",-0.84,"164,665",-0.59,"150,734",-1.11,"2,447",1.54,"1,249",-2.80,"1,198",6.49,"4,894",-0.51,"2,427",-0.70,"2,467",-0.32,198,-8.76,103,-6.36,95,-11.21,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1995,"329,581",2.06,15.50,-,"171,118",1.59,"158,463",2.57,"119,112",4.61,5.60,-,"73,902",4.02,"45,210",5.59,"210,469",-,9.90,-,"-30,274",-,-1.42,-,"180,195",-,8.47,-,"320,226",1.53,"166,462",1.09,"153,764",2.01,"2,992",22.27,"1,474",18.01,"1,518",26.71,"6,185",26.38,"3,103",27.85,"3,082",24.93,178,-10.10,79,-23.30,99,4.21,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1996,"325,545",-1.22,15.18,-,"169,484",-0.95,"156,061",-1.52,"122,489",2.84,5.71,-,"76,190",3.10,"46,299",2.41,"203,056",-,9.47,-,"-35,430",-,-1.65,-,"167,626",-,7.82,-,"316,180",-1.26,"164,711",-1.05,"151,469",-1.49,"3,254",8.76,"1,662",12.75,"1,592",4.87,"5,991",-3.14,"3,053",-1.61,"2,938",-4.67,120,-32.58,58,-26.58,62,-37.37,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
1997,"326,002",0.14,15.07,-,"170,047",0.33,"155,955",-0.07,"121,000",-1.22,5.59,-,"75,226",-1.27,"45,774",-1.13,"205,002",-,9.48,-,"12,380",-,0.57,-,"217,382",-,10.05,-,"316,396",0.07,"165,124",0.25,"151,272",-0.13,"3,333",2.43,"1,736",4.45,"1,597",0.31,"6,170",2.99,"3,129",2.49,"3,041",3.51,103,-14.17,58,0.00,45,-27.42,163,...,93,...,70,...,"6,882",...,"3,570",...,"3,312",...,400,...,186,...,214,...
1998,"271,450",-16.73,12.43,-,"141,462",-16.81,"129,988",-16.65,"123,180",1.80,5.64,-,"76,600",1.83,"46,580",1.76,"148,270",-,6.79,-,"37,506",-,1.72,-,"185,776",-,8.51,-,"262,081",-17.17,"136,648",-17.25,"125,433",-17.08,"3,186",-4.41,"1,659",-4.44,"1,527",-4.38,"6,108",-1.00,"3,114",-0.48,"2,994",-1.55,75,-27.18,41,-29.31,34,-24.44,103,-36.81,51,-45.16,52,-25.71,"6,221",-9.60,"3,253",-8.88,"2,968",-10.39,319,-20.25,154,-17.20,165,-22.90
1999,"283,661",4.50,12.89,-,"148,042",4.65,"135,619",4.33,"126,113",2.38,5.73,-,"78,073",1.92,"48,040",3.13,"157,548",-,7.16,-,"6,248",-,0.28,-,"163,796",-,7.44,-,"274,495",4.74,"143,281",4.85,"131,214",4.61,"3,430",7.66,"1,822",9.83,"1,608",5.30,"5,653",-7.45,"2,898",-6.94,"2,755",-7.98,83,10.67,41,0.00,42,23.53,106,2.91,46,-9.80,60,15.38,"6,798",9.28,"3,557",9.35,"3,241",9.20,424,32.92,227,47.40,197,19.39
2000,"305,312",7.63,13.76,-,"159,726",7.89,"145,586",7.35,"125,958",-0.12,5.68,-,"78,223",0.19,"47,735",-0.63,"179,354",-,8.08,-,"4,931",-,0.22,-,"184,285",-,8.31,-,"295,294",7.58,"154,636",7.92,"140,658",7.20,"3,977",15.95,"2,011",10.37,"1,966",22.26,"5,975",5.70,"3,037",4.80,"2,938",6.64,66,-20.48,42,2.44,24,-42.86,130,22.64,66,43.48,64,6.67,"7,226",6.30,"3,747",5.34,"3,479",7.34,436,2.83,221,-2.64,215,9.14
