期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),公立職訓機構_原始值,公立職訓機構_年增率(%),公立職訓機構_原始值,公立職訓機構_年增率(%),公營事業附設_原始值,公營事業附設_年增率(%),公營事業附設_原始值,公營事業附設_年增率(%),民營事業附設_原始值,民營事業附設_年增率(%),民營事業附設_原始值,民營事業附設_年增率(%),政府機關附設_原始值,政府機關附設_年增率(%),政府機關附設_原始值,政府機關附設_年增率(%),各級學校附設_原始值,各級學校附設_年增率(%),各級學校附設_原始值,各級學校附設_年增率(%),民間團體附設_原始值,民間團體附設_年增率(%),民間團體附設_原始值,民間團體附設_年增率(%)
1978,412,...,"224,086",...,13,...,"18,576",...,55,...,"38,730",...,230,...,"103,076",...,32,...,"15,052",...,50,...,"24,198",...,32,...,"24,454",...
1979,438,6.31,"277,355",23.77,13,0.00,"19,323",4.02,56,1.82,"47,551",22.78,237,3.04,"132,797",28.83,33,3.12,"15,433",2.53,54,8.00,"27,689",14.43,45,40.62,"34,562",41.33
1980,351,-19.86,"202,867",-26.86,15,15.38,"20,412",5.64,42,-25.00,"25,408",-46.57,181,-23.63,"86,713",-34.70,29,-12.12,"14,931",-3.25,57,5.56,"30,776",11.15,27,-40.00,"24,627",-28.75
1981,388,10.54,"198,607",-2.10,15,0.00,"22,814",11.77,62,47.62,"34,116",34.27,196,8.29,"88,776",2.38,32,10.34,"9,596",-35.73,58,1.75,"16,730",-45.64,25,-7.41,"26,575",7.91
1982,526,35.57,"231,768",16.70,15,0.00,"21,576",-5.43,86,38.71,"47,593",39.50,293,49.49,"89,262",0.55,34,6.25,"11,277",17.52,65,12.07,"22,337",33.51,33,32.00,"39,723",49.48
1983,562,6.84,"218,445",-5.75,15,0.00,"22,746",5.42,95,10.47,"48,110",1.09,312,6.48,"93,355",4.59,35,2.94,"10,510",-6.80,70,7.69,"16,730",-25.10,35,6.06,"27,594",-30.53
1984,521,-7.30,"232,871",6.60,15,0.00,"18,111",-20.38,86,-9.47,"56,831",18.13,305,-2.24,"109,208",16.98,25,-28.57,"12,745",21.27,63,-10.00,"11,075",-33.80,27,-22.86,"24,901",-9.76
1985,547,4.99,"216,693",-6.95,11,-26.67,"14,638",-19.18,128,48.84,"71,483",25.78,259,-15.08,"67,220",-38.45,35,40.00,"16,351",28.29,83,31.75,"13,590",22.71,31,14.81,"33,411",34.18
1986,455,-16.82,"220,969",1.97,13,18.18,"20,885",42.68,110,-14.06,"61,375",-14.14,205,-20.85,"80,557",19.84,34,-2.86,"18,334",12.13,71,-14.46,"15,210",11.92,22,-29.03,"24,608",-26.35
1987,650,42.86,"228,520",3.42,13,0.00,"19,276",-7.70,108,-1.82,"62,078",1.15,382,86.34,"84,525",4.93,34,0.00,"17,735",-3.27,81,14.08,"16,590",9.07,32,45.45,"28,316",15.07
1988,661,1.69,"223,478",-2.21,13,0.00,"18,572",-3.65,117,8.33,"64,088",3.24,386,1.05,"83,878",-0.77,32,-5.88,"14,903",-15.97,84,3.70,"14,927",-10.02,29,-9.38,"27,110",-4.26
1989,604,-8.62,"232,130",3.87,13,0.00,"20,133",8.41,115,-1.71,"93,808",46.37,332,-13.99,"62,140",-25.92,33,3.12,"8,804",-40.92,78,-7.14,"10,144",-32.04,33,13.79,"37,101",36.85
1990,586,-2.98,"295,356",27.24,13,0.00,"22,221",10.37,114,-0.87,"93,164",-0.69,337,1.51,"127,238",104.76,32,-3.03,"22,347",153.83,61,-21.79,"8,802",-13.23,29,-12.12,"21,584",-41.82
1991,562,-4.10,"298,747",1.15,13,0.00,"21,521",-3.15,94,-17.54,"114,878",23.31,305,-9.50,"95,830",-24.68,47,46.88,"30,913",38.33,63,3.28,"11,019",25.19,40,37.93,"24,586",13.91
1992,837,48.93,"347,520",16.33,13,0.00,"23,793",10.56,134,42.55,"153,525",33.64,534,75.08,"98,901",3.20,41,-12.77,"31,865",3.08,69,9.52,"14,233",29.17,46,15.00,"25,203",2.51
1993,764,-8.72,"479,010",37.84,13,0.00,"22,783",-4.24,141,5.22,"250,401",63.10,403,-24.53,"89,008",-10.00,55,34.15,"71,496",124.37,105,52.17,"16,061",12.84,47,2.17,"29,261",16.10
