期間,資產淨額=負債淨值淨額_原始值,資產淨額=負債淨值淨額_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-計_原始值,資產--對非金融機構證券投資-計_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他金融機構_原始值,資產--對金融機構債權-其他金融機構_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-計_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-計_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-可轉讓定期存單_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-可轉讓定期存單_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%),負債與淨值--其他項目(淨額)_原始值,負債與淨值--其他項目(淨額)_年增率(%)
1997,"17,376,789",6.87,"595,826",7.82,"12,508,116",11.65,"1,394,000",19.12,"395,458",8.32,"10,718,658",10.87,"1,818,022",-1.53,"624,584",17.73,"45,653",-26.84,"1,147,785",-8.43,"168,684",-47.02,"2,036,244",-3.16,"30,329",19.66,"46,036",-0.32,"173,532",5.17,"489,623",1.25,"14,321,928",7.50,"308,031",-2.01,"892,481",8.76,"2,004,376",11.81,"2,725,649",17.66,"437,289",86.43,"5,148,420",-2.99,"569,905",83.93,"2,235,777",0.36,-,-,"698,352",7.79,"335,457",22.22,"309,604",4.39,"68,890",-25.81,"1,314,339",12.59,"-161,404",--
1998,"18,785,970",8.11,"663,388",11.34,"13,175,289",5.33,"1,538,790",10.39,"365,713",-7.52,"11,270,786",5.15,"2,274,475",25.11,"646,045",3.44,"73,138",60.20,"1,555,292",35.50,"199,927",18.52,"2,213,949",8.73,"32,594",7.47,"45,841",-0.42,"180,507",4.02,"478,860",-2.20,"15,601,433",8.93,"293,568",-4.70,"932,201",4.45,"2,115,270",5.53,"3,364,998",23.46,"365,069",-16.52,"5,658,787",9.91,"603,545",5.90,"2,267,995",1.44,-,-,"696,205",-0.31,"335,408",-0.01,"324,157",4.70,"92,420",34.16,"1,570,466",19.49,"-312,979",--
1999,"19,991,415",6.42,"819,828",23.58,"13,758,015",4.42,"1,724,515",12.07,"368,757",0.83,"11,664,743",3.50,"2,264,568",-0.44,"834,151",29.12,"47,194",-35.47,"1,383,223",-11.06,"211,583",5.83,"2,671,278",20.66,"24,897",-23.61,"45,805",-0.08,"195,441",8.27,"462,685",-3.38,"16,798,795",7.67,"332,324",13.20,"1,025,928",10.05,"2,537,761",19.97,"3,112,961",-7.49,"243,139",-33.40,"6,339,399",12.03,"653,883",8.34,"2,553,400",12.58,-,-,"749,351",7.63,"310,691",-7.37,"314,199",-3.07,"97,796",5.82,"1,720,115",9.53,"-462,217",--
2000,"20,937,595",4.73,"1,209,095",47.48,"14,426,869",4.86,"2,061,110",19.52,"384,455",4.26,"11,981,304",2.71,"2,171,165",-4.12,"805,983",-3.38,"54,686",15.87,"1,310,496",-5.26,"197,707",-6.56,"2,664,133",-0.27,"42,184",69.43,"45,776",-0.06,"180,666",-7.56,"458,659",-0.87,"17,931,599",6.74,"321,250",-3.33,"1,053,648",2.70,"2,589,426",2.04,"3,022,198",-2.92,"301,825",24.14,"6,636,613",4.69,"1,176,943",79.99,"2,829,696",10.82,-,-,"797,461",6.42,"282,307",-9.14,"306,474",-2.46,"91,668",-6.27,"1,751,960",1.85,"-682,533",--
2001,"21,849,408",4.35,"1,572,154",30.03,"14,034,604",-2.72,"2,132,692",3.47,"460,515",19.78,"11,441,397",-4.51,"2,452,336",12.95,"1,011,687",25.52,"58,534",7.04,"1,382,115",5.47,"175,385",-11.29,"3,342,677",25.47,"59,666",41.44,"45,623",-0.33,"166,963",-7.58,"540,096",17.76,"18,742,707",4.52,"274,532",-14.54,"1,118,498",6.15,"3,107,171",19.99,"2,727,889",-9.74,"231,181",-23.41,"7,140,862",7.60,"1,101,348",-6.42,"3,041,226",7.48,-,-,"835,759",4.80,"285,135",1.00,"340,039",10.95,"202,611",121.03,"1,760,895",0.51,"-857,834",--
2002,"22,674,685",3.78,"1,544,685",-1.75,"13,729,353",-2.17,"1,932,859",-9.37,"476,744",3.52,"11,319,750",-1.06,"2,346,302",-4.32,"1,168,000",15.45,"60,212",2.87,"1,118,090",-19.10,"126,682",-27.77,"4,667,769",39.64,"50,430",-15.48,"38,539",-15.53,"170,925",2.37,"704,305",30.40,"19,154,113",2.20,"278,593",1.48,"1,284,642",14.85,"3,401,076",9.46,"2,637,562",-3.31,"185,398",-19.80,"7,288,831",2.07,"1,016,499",-7.70,"3,061,512",0.67,-,-,"749,995",-10.26,"282,401",-0.96,"237,488",-30.16,"377,303",86.22,"1,580,641",-10.24,"-411,561",--
2003,"24,438,082",7.78,"1,672,466",8.27,"14,332,857",4.40,"1,944,921",0.62,"436,102",-8.52,"11,951,834",5.58,"2,201,895",-6.15,"1,203,452",3.04,"55,608",-7.65,"942,835",-15.67,"156,950",23.89,"5,861,785",25.58,"35,239",-30.12,281,-99.27,"176,609",3.33,"1,139,591",61.80,"20,158,128",5.24,"315,679",13.31,"1,600,804",24.61,"4,028,144",18.44,"2,458,075",-6.81,"207,636",11.99,"7,310,961",0.30,"1,123,318",10.51,"3,113,511",1.70,-,-,"773,141",3.09,"277,052",-1.89,"163,722",-31.06,"541,227",43.45,"1,616,235",2.25,"-231,014",--
2004,"26,163,768",7.06,"1,531,981",-8.40,"15,867,752",10.71,"1,917,413",-1.41,"456,144",4.60,"13,494,195",12.90,"2,095,955",-4.81,"1,113,047",-7.51,"88,165",58.55,"894,743",-5.10,"141,759",-9.68,"6,304,349",7.55,"34,798",-1.25,281,0.00,"186,893",5.82,"1,247,377",9.46,"21,522,079",6.77,"319,808",1.31,"1,788,254",11.71,"4,590,090",13.95,"2,604,160",5.94,"244,677",17.84,"7,402,851",1.26,"1,244,762",10.81,"3,325,983",6.82,"1,494",-,"747,546",-3.31,"207,938",-24.95,"170,725",4.28,"709,051",31.01,"1,755,389",8.61,"-196,337",--
2005,"28,216,637",7.85,"2,137,639",39.53,"17,158,349",8.13,"1,782,204",-7.05,"557,852",22.30,"14,818,293",9.81,"2,201,547",5.04,"1,182,856",6.27,"103,524",17.42,"915,167",2.28,"192,724",35.95,"6,327,931",0.37,"5,924",-82.98,281,0.00,"192,242",2.86,"1,537,800",23.28,"22,990,663",6.82,"383,098",19.79,"1,869,647",4.55,"4,888,036",6.49,"2,821,596",8.35,"170,404",-30.36,"7,758,841",4.81,"1,437,043",15.45,"3,660,395",10.05,"1,603",7.30,"729,099",-2.47,"121,972",-41.34,"208,622",22.20,"811,192",14.41,"1,893,425",7.86,"-76,136",--
2006,"29,685,354",5.21,"2,384,516",11.55,"17,598,943",2.57,"1,611,281",-9.59,"525,391",-5.82,"15,462,271",4.35,"2,693,607",22.35,"1,442,945",21.99,"123,029",18.84,"1,127,633",23.22,"204,614",6.17,"6,601,142",4.32,"1,708",-71.17,1,-99.64,"200,823",4.46,"1,573,895",2.35,"24,171,821",5.14,"368,535",-3.80,"1,942,742",3.91,"5,152,628",5.41,"2,972,795",5.36,"234,998",37.91,"7,799,752",0.53,"1,693,697",17.86,"4,002,250",9.34,"4,424",175.98,"716,493",-1.73,"151,141",23.91,"236,293",13.26,"925,915",14.14,"1,923,698",1.60,"-13,902",--
