期間,日圓_原始值,日圓_年增率(%),日圓_原始值,日圓_年增率(%),港幣_原始值,港幣_年增率(%),港幣_原始值,港幣_年增率(%),新加坡幣_原始值,新加坡幣_年增率(%),新加坡幣_原始值,新加坡幣_年增率(%),泰銖_原始值,泰銖_年增率(%),泰銖_原始值,泰銖_年增率(%),澳幣_原始值,澳幣_年增率(%),澳幣_原始值,澳幣_年增率(%),紐西蘭幣_原始值,紐西蘭幣_年增率(%),紐西蘭幣_原始值,紐西蘭幣_年增率(%),英鎊_原始值,英鎊_年增率(%),英鎊_原始值,英鎊_年增率(%),瑞典克郎_原始值,瑞典克郎_年增率(%),瑞典克郎_原始值,瑞典克郎_年增率(%),加拿大元_原始值,加拿大元_年增率(%),加拿大元_原始值,加拿大元_年增率(%),歐元_原始值,歐元_年增率(%),歐元_原始值,歐元_年增率(%),瑞士法郎_原始值,瑞士法郎_年增率(%),瑞士法郎_原始值,瑞士法郎_年增率(%),南非幣_原始值,南非幣_年增率(%),南非幣_原始值,南非幣_年增率(%)
1997,0.2484,-5.3140,0.2534,-5.6038,4.17,-15.59,4.23,-15.37,19.32,1.24,19.52,1.23,...,...,...,...,21.13,3.27,21.43,2.75,...,...,...,...,53.85,-13.95,54.25,-13.84,4.08,-3.19,4.18,-3.11,22.65,-11.74,22.85,-11.64,...,...,...,...,22.31,-9.01,22.51,-8.93,6.64,-12.35,6.82,-12.02
1998,0.2817,-11.8211,0.2857,-11.3056,4.13,0.97,4.19,0.95,19.44,-0.62,19.64,-0.61,0.88,...,0.90,...,19.71,7.20,19.91,7.63,...,...,...,...,53.28,1.07,53.68,1.06,3.91,4.35,4.01,4.24,20.72,9.31,20.92,9.23,...,...,...,...,23.27,-4.13,23.47,-4.09,5.44,22.06,5.62,21.35
1999,0.3055,-7.7905,0.3100,-7.8387,4.01,2.99,4.07,2.95,18.75,3.68,18.95,3.64,0.83,5.30,0.85,5.17,20.36,-3.19,20.56,-3.16,16.20,...,16.40,...,50.66,5.17,51.06,5.13,3.63,7.71,3.73,7.51,21.51,-3.67,21.71,-3.64,31.43,...,31.83,...,19.60,18.72,19.80,18.54,5.04,7.94,5.22,7.66
2000,0.2863,6.7063,0.2908,6.6025,4.20,-4.52,4.26,-4.46,18.94,-1.00,19.14,-0.99,0.75,10.54,0.77,10.27,18.35,10.95,18.55,10.84,14.55,11.34,14.75,11.19,49.10,3.18,49.50,3.15,3.46,4.91,3.56,4.78,21.92,-1.87,22.12,-1.85,30.89,1.75,31.29,1.73,20.39,-3.87,20.59,-3.84,4.28,17.76,4.48,16.52
2001,0.2646,8.2011,0.2688,8.1845,4.46,-5.83,4.52,-5.75,18.81,0.69,19.01,0.68,0.78,-3.99,0.80,-3.89,17.80,3.09,18.00,3.06,14.48,0.48,14.68,0.48,50.57,-2.91,50.97,-2.88,3.26,6.13,3.36,5.95,21.91,0.05,22.11,0.05,30.78,0.36,31.18,0.35,20.81,-2.02,21.01,-2.00,2.79,53.41,2.99,49.83
2002,0.2910,-9.0722,0.2950,-8.8814,4.43,0.68,4.49,0.67,19.91,-5.52,20.11,-5.47,0.80,-1.89,0.82,-1.84,19.59,-9.14,19.79,-9.04,18.19,-20.40,18.39,-20.17,55.52,-8.92,55.92,-8.85,3.92,-16.84,4.02,-16.42,21.97,-0.27,22.17,-0.27,36.18,-14.93,36.58,-14.76,24.87,-16.32,25.07,-16.19,...,...,...,...
2003,0.3159,-7.8822,0.3199,-7.7837,4.35,1.84,4.41,1.81,19.88,0.15,20.08,0.15,0.85,-5.88,0.87,-5.75,25.39,-22.84,25.59,-22.67,22.21,-18.10,22.41,-17.94,60.28,-7.90,60.68,-7.84,4.65,-15.70,4.75,-15.37,26.15,-15.98,26.35,-15.86,42.51,-14.89,42.91,-14.75,27.33,-9.00,27.53,-8.94,...,...,...,...
2004,0.3078,2.6316,0.3118,2.5978,4.06,7.14,4.12,7.04,19.37,2.63,19.57,2.61,0.81,5.33,0.83,5.20,24.67,2.92,24.87,2.90,22.75,-2.37,22.95,-2.35,61.06,-1.28,61.46,-1.27,4.76,-2.31,4.86,-2.26,26.35,-0.76,26.55,-0.75,43.16,-1.51,43.56,-1.49,27.99,-2.36,28.19,-2.34,...,...,...,...
2005,0.2775,10.9189,0.2815,10.7638,4.20,-3.33,4.26,-3.29,19.64,-1.37,19.84,-1.36,0.79,2.37,0.81,2.31,23.97,2.92,24.17,2.90,22.33,1.88,22.53,1.86,56.47,8.13,56.87,8.07,4.08,16.67,4.18,16.27,28.13,-6.33,28.33,-6.28,38.74,11.41,39.14,11.29,24.91,12.36,25.11,12.27,...,...,...,...
2006,0.2720,2.0221,0.2760,1.9928,4.16,0.96,4.22,0.95,21.16,-7.18,21.36,-7.12,0.89,-11.80,0.93,-13.43,25.70,-6.73,25.90,-6.68,22.90,-2.49,23.10,-2.47,63.84,-11.54,64.24,-11.47,4.70,-13.19,4.80,-12.92,27.98,0.54,28.18,0.53,42.73,-9.34,43.13,-9.25,26.59,-6.32,26.79,-6.27,...,...,...,...
