期間,總計_原始值,總計_年增率(%),大客車_原始值,大客車_年增率(%),大客車-自用_原始值,大客車-自用_年增率(%),大客車-營業_原始值,大客車-營業_年增率(%),大貨車_原始值,大貨車_年增率(%),大貨車-自用_原始值,大貨車-自用_年增率(%),大貨車-營業_原始值,大貨車-營業_年增率(%),小客車_原始值,小客車_年增率(%),小客車-自用_原始值,小客車-自用_年增率(%),小客車-營業_原始值,小客車-營業_年增率(%),小客車-營業-計程車_原始值,小客車-營業-計程車_年增率(%),小貨車_原始值,小貨車_年增率(%),小貨車-自用_原始值,小貨車-自用_年增率(%),小貨車-營業_原始值,小貨車-營業_年增率(%),特種車_原始值,特種車_年增率(%),機器腳踏車_原始值,機器腳踏車_年增率(%),機器腳踏車-重型_原始值,機器腳踏車-重型_年增率(%),機器腳踏車-輕型_原始值,機器腳踏車-輕型_年增率(%)
2000,"17,022,689",...,"23,923",...,"2,748",...,"21,175",...,"155,623",...,"81,003",...,"74,620",...,"4,716,217",...,"4,608,960",...,"107,257",...,"107,257",...,"652,963",...,"643,796",...,"9,167",...,"50,791",...,"11,423,172",...,"6,848,116",...,"4,575,056",...
2001,"17,465,037",2.60,"24,053",0.54,"2,580",-6.11,"21,473",1.41,"155,140",-0.31,"81,813",1.00,"73,327",-1.73,"4,825,581",2.32,"4,720,641",2.42,"104,940",-2.16,"104,940",-2.16,"675,533",3.46,"665,718",3.41,"9,815",7.07,"51,528",1.45,"11,733,202",2.71,"7,131,438",4.14,"4,601,764",0.58
2002,"17,906,957",2.53,"25,079",4.27,"2,326",-9.84,"22,753",5.96,"155,805",0.43,"82,649",1.02,"73,156",-0.23,"4,989,336",3.39,"4,888,050",3.55,"101,286",-3.48,"101,286",-3.48,"700,978",3.77,"690,750",3.76,"10,228",4.21,"52,002",0.92,"11,983,757",2.14,"7,386,784",3.58,"4,596,973",-0.10
2003,"18,500,658",3.32,"25,628",2.19,"2,196",-5.59,"23,432",2.98,"157,156",0.87,"83,912",1.53,"73,244",0.12,"5,169,733",3.62,"5,071,981",3.76,"97,752",-3.49,"97,752",-3.49,"728,624",3.94,"717,915",3.93,"10,709",4.70,"52,653",1.25,"12,366,864",3.20,"7,759,650",5.05,"4,607,214",0.22
2004,"19,183,136",3.69,"26,453",3.22,"2,042",-7.01,"24,411",4.18,"160,460",2.10,"85,662",2.09,"74,798",2.12,"5,390,848",4.28,"5,262,693",3.76,"128,155",31.10,"95,665",-2.13,"758,809",4.14,"743,939",3.62,"14,870",38.86,"52,616",-0.07,"12,793,950",3.45,"8,239,700",6.19,"4,554,250",-1.15
2005,"19,862,807",3.54,"26,967",1.94,"1,883",-7.79,"25,084",2.76,"164,248",2.36,"88,049",2.79,"76,199",1.87,"5,634,362",4.52,"5,495,693",4.43,"138,669",8.20,"94,278",-1.45,"789,222",4.01,"770,659",3.59,"18,563",24.84,"52,743",0.24,"13,195,265",3.14,"8,746,286",6.15,"4,448,979",-2.31
2006,"20,307,197",2.24,"27,522",2.06,"1,812",-3.77,"25,710",2.50,"166,211",1.20,"90,142",2.38,"76,069",-0.17,"5,698,324",1.14,"5,555,507",1.09,"142,817",2.99,"92,418",-1.97,"805,590",2.07,"783,979",1.73,"21,611",16.42,"52,522",-0.42,"13,557,028",2.74,"9,225,155",5.48,"4,331,873",-2.63
2007,"20,711,754",1.99,"27,361",-0.58,"1,793",-1.05,"25,568",-0.55,"164,004",-1.33,"91,050",1.01,"72,954",-4.09,"5,712,842",0.25,"5,567,687",0.22,"145,155",1.64,"89,738",-2.90,"811,646",0.75,"787,361",0.43,"24,285",12.37,"52,428",-0.18,"13,943,473",2.85,"9,762,555",5.83,"4,180,918",-3.48
2008,"21,092,358",1.84,"27,339",-0.08,"1,723",-3.90,"25,616",0.19,"161,231",-1.69,"91,215",0.18,"70,016",-4.03,"5,674,426",-0.67,"5,530,314",-0.67,"144,112",-0.72,"88,779",-1.07,"812,440",0.10,"786,782",-0.07,"25,658",5.65,"51,480",-1.81,"14,365,442",3.03,"10,349,865",6.02,"4,015,577",-3.95
2009,"21,374,175",1.34,"27,667",1.20,"1,909",10.80,"25,758",0.55,"158,812",-1.50,"91,543",0.36,"67,269",-3.92,"5,704,312",0.53,"5,559,247",0.52,"145,065",0.66,"88,589",-0.21,"827,955",1.91,"792,288",0.70,"35,667",39.01,"51,099",-0.74,"14,604,330",1.66,"10,749,348",3.86,"3,854,982",-4.00
