期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
1988M01,849,11.86,28,3.70,-,--,44,-20.00,24,-7.69,5,-70.59,25,-21.88,...,...,...,...,59,47.50,6,100.00,14,7.69,-,--,16,60.00,112,60.00,21,40.00,24,84.62,134,11.67,122,24.49,114,-1.72,34,6.25,16,0.00,51,-7.27,186,-41.69,6,-72.73,1,--,13,-18.75,5,-73.68,9,125.00,15,-50.00,...,...,...,...,6,-72.73,1,-83.33,2,-80.00,-,--,2,-66.67,26,-3.70,7,-77.42,5,-37.50,25,-7.41,13,-13.33,27,-20.59,8,0.00,3,-50.00,12,-57.14
1988M02,976,-2.11,39,-7.14,1,--,46,-30.30,22,-12.00,17,-15.00,52,100.00,...,...,...,...,44,-15.38,8,-20.00,14,16.67,-,--,11,57.14,115,2.68,30,15.38,15,-42.31,158,-5.39,155,26.02,123,-13.38,39,-2.50,22,0.00,65,-17.72,185,35.04,11,175.00,-,--,17,21.43,7,40.00,2,100.00,10,25.00,...,...,...,...,7,40.00,3,200.00,5,66.67,-,--,3,-40.00,23,155.56,5,0.00,4,100.00,22,46.67,15,25.00,22,22.22,7,0.00,2,-50.00,20,11.11
1988M03,"1,143",51.39,64,146.15,1,--,70,27.27,23,53.33,6,-25.00,61,177.27,...,...,...,...,63,85.29,6,-14.29,13,-18.75,-,--,17,54.55,124,30.53,39,77.27,19,5.56,178,56.14,141,74.07,169,52.25,60,87.50,21,-4.55,68,3.03,200,20.48,7,16.67,-,--,17,21.43,7,-12.50,6,50.00,11,120.00,...,...,...,...,9,-10.00,4,300.00,4,33.33,-,--,3,0.00,21,16.67,7,133.33,2,-50.00,30,114.29,14,16.67,32,33.33,4,-63.64,4,33.33,18,-18.18
1988M04,782,-27.26,25,8.70,2,--,36,-40.00,25,-37.50,7,-65.00,30,-3.23,...,...,...,...,45,4.65,9,80.00,10,-44.44,-,--,14,-44.00,93,-23.14,18,-33.33,20,-23.08,121,-35.29,116,-21.09,111,-28.39,35,-2.78,13,-43.48,52,-40.91,210,26.51,17,88.89,-,--,11,-35.29,4,-33.33,3,-25.00,12,33.33,...,...,...,...,5,0.00,2,-50.00,7,75.00,-,--,5,400.00,21,16.67,5,25.00,7,--,22,10.00,24,71.43,30,76.47,11,22.22,3,-72.73,21,50.00
1988M05,862,-8.10,16,0.00,-,--,42,-26.32,27,-35.71,15,-28.57,27,0.00,...,...,...,...,36,-7.69,11,120.00,23,35.29,1,0.00,17,0.00,99,-6.60,17,-52.78,30,130.77,132,-14.29,134,1.52,126,6.78,39,-20.41,14,-6.67,56,-23.29,237,46.30,9,0.00,-,--,23,35.29,12,20.00,8,300.00,8,-20.00,...,...,...,...,10,25.00,3,0.00,7,133.33,-,--,5,--,21,75.00,6,20.00,3,-25.00,23,43.75,36,227.27,32,18.52,8,14.29,4,100.00,19,18.75
1988M06,914,-18.47,29,-12.12,2,100.00,53,1.92,24,-46.67,8,-65.22,23,-42.50,...,...,...,...,60,-3.23,4,-50.00,16,-15.79,1,0.00,23,21.05,98,-27.41,31,40.91,24,-22.58,142,-26.04,134,-6.94,147,-3.29,32,-20.00,24,-7.69,39,-48.68,235,10.85,8,-38.46,1,--,15,15.38,11,10.00,5,-28.57,6,-50.00,...,...,...,...,11,-38.89,4,--,11,266.67,-,--,5,25.00,22,-31.25,6,0.00,-,--,27,58.82,21,10.53,39,50.00,7,-22.22,4,33.33,32,113.33
1988M07,888,-15.51,14,-48.15,3,200.00,47,-35.62,33,3.12,10,0.00,21,-55.32,...,...,...,...,42,-19.23,8,0.00,22,69.23,1,--,24,166.67,118,9.26,17,-34.62,19,-20.83,144,-11.66,136,-18.56,125,-11.35,34,-10.53,19,-17.39,51,-42.70,212,19.77,9,80.00,-,--,15,25.00,8,-46.67,6,100.00,8,-38.46,...,...,...,...,3,-40.00,2,0.00,4,300.00,-,--,2,--,26,23.81,7,-12.50,2,-33.33,26,-3.70,16,0.00,40,48.15,7,133.33,3,200.00,28,86.67
1988M08,754,-16.96,16,-42.86,1,0.00,24,-44.19,20,-28.57,11,22.22,21,-44.74,...,...,...,...,37,-43.08,9,80.00,25,47.06,-,--,22,69.23,77,-14.44,18,-41.94,9,-35.71,143,-7.74,114,-9.52,116,-14.71,33,17.86,12,-36.84,46,-25.81,240,39.53,11,57.14,2,--,15,114.29,15,15.38,6,0.00,17,88.89,...,...,...,...,5,-16.67,7,250.00,5,-28.57,-,--,5,150.00,24,33.33,7,250.00,-,--,32,33.33,21,61.54,35,59.09,9,50.00,5,0.00,19,-13.64
1988M09,795,0.51,33,17.86,-,--,47,14.63,19,-38.71,7,-53.33,22,-15.38,...,...,...,...,47,-12.96,8,14.29,23,76.92,-,--,20,185.71,95,33.80,21,50.00,14,-30.00,122,1.67,105,-5.41,109,-9.17,29,-23.68,12,-29.41,62,8.77,273,59.65,19,850.00,1,0.00,19,46.15,8,33.33,6,500.00,20,100.00,...,...,...,...,10,66.67,4,--,13,225.00,-,--,2,--,27,-12.90,16,220.00,3,-25.00,26,116.67,22,15.79,40,29.03,7,16.67,1,-66.67,29,81.25
1988M10,685,13.04,23,-23.33,1,--,31,0.00,19,111.11,11,57.14,15,-42.31,...,...,...,...,28,-17.65,6,100.00,11,-45.00,-,--,29,866.67,84,52.73,17,-5.56,12,9.09,121,18.63,102,24.39,94,30.56,31,24.00,16,-23.81,34,-40.35,426,184.00,25,316.67,3,50.00,33,153.85,50,354.55,7,250.00,36,414.29,...,...,...,...,13,62.50,3,--,14,75.00,-,--,4,300.00,31,63.16,44,633.33,4,100.00,24,41.18,43,258.33,48,166.67,7,133.33,5,0.00,32,220.00
1988M11,761,-13.42,14,-57.58,-,--,35,-12.50,25,-34.21,7,-22.22,26,-3.70,...,...,...,...,43,-28.33,8,14.29,17,0.00,-,--,25,92.31,73,-16.09,18,-33.33,14,-33.33,126,-18.18,91,-14.95,132,-4.35,35,40.00,23,27.78,49,-14.04,806,382.63,102,"1,175.00",6,--,45,200.00,36,"1,700.00",17,325.00,68,518.18,...,...,...,...,27,"2,600.00",12,200.00,24,380.00,-,--,6,50.00,81,305.00,20,300.00,13,--,96,336.36,48,300.00,59,73.53,48,860.00,36,800.00,62,463.64
1988M12,903,7.37,26,4.00,-,--,54,10.20,28,12.00,8,-38.46,22,-33.33,...,...,...,...,50,-13.79,4,-50.00,25,47.06,-,--,29,107.14,86,-2.27,27,8.00,17,-10.53,163,30.40,151,37.27,131,11.97,39,25.81,8,-52.94,35,-45.31,448,121.78,18,20.00,-,--,26,44.44,14,55.56,9,125.00,27,200.00,...,...,...,...,13,30.00,8,166.67,8,14.29,-,--,4,300.00,48,71.43,34,"1,600.00",5,150.00,46,58.62,25,108.33,98,237.93,7,133.33,12,200.00,46,206.67
1989M01,643,-24.26,18,-35.71,-,--,34,-22.73,22,-8.33,5,0.00,20,-20.00,...,...,...,...,25,-57.63,3,-50.00,15,7.14,1,--,13,-18.75,76,-32.14,18,-14.29,19,-20.83,116,-13.43,89,-27.05,95,-16.67,21,-38.24,20,25.00,33,-35.29,"1,285",590.86,98,"1,533.33",3,200.00,95,630.77,52,940.00,28,211.11,65,333.33,...,...,...,...,50,733.33,13,"1,200.00",33,"1,550.00",1,--,15,650.00,124,376.92,19,171.43,17,240.00,222,788.00,169,"1,200.00",89,229.63,54,575.00,40,"1,233.33",98,716.67
1989M02,517,-47.03,15,-61.54,-,--,23,-50.00,9,-59.09,5,-70.59,12,-76.92,...,...,...,...,35,-20.45,3,-62.50,10,-28.57,-,--,8,-27.27,63,-45.22,12,-60.00,14,-6.67,84,-46.84,70,-54.84,86,-30.08,29,-25.64,8,-63.64,31,-52.31,130,-29.73,5,-54.55,-,--,9,-47.06,4,-42.86,5,150.00,8,-20.00,...,...,...,...,8,14.29,1,-66.67,5,0.00,-,--,1,-66.67,14,-39.13,6,20.00,3,-25.00,17,-22.73,13,-13.33,19,-13.64,2,-71.43,3,50.00,7,-65.00
1989M03,742,-35.08,28,-56.25,4,300.00,29,-58.57,28,21.74,7,16.67,19,-68.85,...,...,...,...,40,-36.51,7,16.67,12,-7.69,2,--,18,5.88,87,-29.84,18,-53.85,13,-31.58,135,-24.16,99,-29.79,105,-37.87,39,-35.00,12,-42.86,40,-41.18,216,8.00,9,28.57,-,--,18,5.88,11,57.14,4,-33.33,10,-9.09,...,...,...,...,4,-55.56,2,-50.00,7,75.00,-,--,1,-66.67,24,14.29,8,14.29,2,0.00,32,6.67,21,50.00,26,-18.75,13,225.00,6,50.00,18,0.00
1989M04,643,-17.77,21,-16.00,-,--,33,-8.33,14,-44.00,4,-42.86,11,-63.33,...,...,...,...,38,-15.56,1,-88.89,12,20.00,1,--,13,-7.14,72,-22.58,19,5.56,21,5.00,127,4.96,84,-27.59,100,-9.91,30,-14.29,14,7.69,28,-46.15,211,0.48,10,-41.18,1,--,17,54.55,7,75.00,5,66.67,12,0.00,...,...,...,...,7,40.00,5,150.00,10,42.86,-,--,7,40.00,22,4.76,8,60.00,5,-28.57,23,4.55,17,-29.17,35,16.67,8,-27.27,2,-33.33,10,-52.38
1989M05,687,-20.30,20,25.00,2,--,30,-28.57,16,-40.74,7,-53.33,16,-40.74,...,...,...,...,29,-19.44,6,-45.45,14,-39.13,-,--,13,-23.53,78,-21.21,13,-23.53,25,-16.67,138,4.55,109,-18.66,78,-38.10,37,-5.13,14,0.00,42,-25.00,244,2.95,12,33.33,1,--,25,8.70,7,-41.67,5,-37.50,13,62.50,...,...,...,...,7,-30.00,5,66.67,6,-14.29,-,--,6,20.00,28,33.33,12,100.00,2,-33.33,28,21.74,20,-44.44,33,3.12,11,37.50,4,0.00,19,0.00
1989M06,807,-11.71,19,-34.48,2,0.00,44,-16.98,23,-4.17,10,25.00,17,-26.09,...,...,...,...,48,-20.00,5,25.00,16,0.00,1,0.00,13,-43.48,81,-17.35,24,-22.58,16,-33.33,153,7.75,105,-21.64,137,-6.80,31,-3.12,16,-33.33,46,17.95,248,5.53,11,37.50,-,--,17,13.33,12,9.09,6,20.00,13,116.67,...,...,...,...,8,-27.27,5,25.00,7,-36.36,-,--,6,20.00,39,77.27,6,0.00,5,--,23,-14.81,19,-9.52,33,-15.38,9,28.57,3,-25.00,26,-18.75
