期間,新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%)
1984M01,"1,054",...,548,...,59,...,101,...,96,...,20,...,"2,627",...,"1,364",...,148,...,253,...,238,...,51,...
1984M02,933,...,460,...,37,...,94,...,90,...,18,...,"2,321",...,"1,146",...,92,...,236,...,224,...,44,...
1984M03,"1,129",...,570,...,49,...,111,...,144,...,18,...,"2,821",...,"1,424",...,122,...,278,...,360,...,45,...
1984M04,"1,111",...,554,...,59,...,98,...,114,...,33,...,"2,797",...,"1,396",...,149,...,247,...,287,...,83,...
1984M05,"1,140",...,589,...,55,...,101,...,137,...,18,...,"2,879",...,"1,488",...,139,...,255,...,345,...,45,...
1984M06,"1,096",...,551,...,52,...,106,...,103,...,17,...,"2,759",...,"1,385",...,131,...,264,...,260,...,44,...
1984M07,"1,093",...,557,...,53,...,106,...,93,...,18,...,"2,776",...,"1,414",...,135,...,271,...,236,...,46,...
1984M08,"1,066",...,496,...,52,...,130,...,105,...,35,...,"2,741",...,"1,271",...,133,...,331,...,269,...,90,...
1984M09,981,...,479,...,49,...,80,...,98,...,27,...,"2,507",...,"1,228",...,127,...,205,...,251,...,70,...
1984M10,"1,002",...,497,...,59,...,102,...,118,...,25,...,"2,568",...,"1,271",...,150,...,259,...,302,...,65,...
1984M11,999,...,496,...,59,...,105,...,111,...,24,...,"2,534",...,"1,262",...,150,...,267,...,282,...,61,...
1984M12,962,...,469,...,81,...,104,...,108,...,24,...,"2,446",...,"1,191",...,206,...,265,...,274,...,62,...
1985M01,"1,018",-3.42,526,-4.01,77,30.51,105,3.96,88,-8.33,30,50.00,"2,599",-1.07,"1,341",-1.69,197,33.11,268,5.93,225,-5.46,77,50.98
1985M02,890,-4.61,448,-2.61,65,75.68,87,-7.45,103,14.44,12,-33.33,"2,279",-1.82,"1,144",-0.17,167,81.52,222,-5.93,264,17.86,32,-27.27
1985M03,"1,120",-0.80,520,-8.77,127,159.18,105,-5.41,119,-17.36,51,183.33,"2,841",0.69,"1,320",-7.30,323,164.75,263,-5.40,301,-16.39,128,184.44
1985M04,"1,043",-6.12,546,-1.44,77,30.51,99,1.02,107,-6.14,25,-24.24,"2,630",-5.98,"1,378",-1.29,194,30.20,252,2.02,270,-5.92,64,-22.89
1985M05,"1,105",-3.07,557,-5.43,69,25.45,106,4.95,106,-22.63,51,183.33,"2,780",-3.45,"1,400",-5.91,174,25.18,269,5.49,267,-22.61,127,182.22
1985M06,"1,032",-5.84,531,-3.63,63,21.15,97,-8.49,115,11.65,29,70.59,"2,551",-7.56,"1,313",-5.20,155,18.32,242,-8.33,285,9.62,71,61.36
1985M07,"1,042",-4.67,550,-1.26,71,33.96,104,-1.89,109,17.20,17,-5.56,"2,596",-6.50,"1,374",-2.83,177,31.11,259,-4.43,273,15.68,43,-6.52
1985M08,"1,070",0.38,562,13.31,67,28.85,106,-18.46,111,5.71,20,-42.86,"2,650",-3.32,"1,392",9.52,165,24.06,263,-20.54,274,1.86,50,-44.44
