期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-計_原始值,資產--對非金融機構證券投資-計_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-可轉讓定期存單_原始值,負債與淨值--企業及個人存款-可轉讓定期存單_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-外匯存款_原始值,負債與淨值--企業及個人存款-外匯存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_原始值,負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1997,"15,502,778",22.53,"348,542",-7.69,"10,595,268",34.77,"1,394,000",23.10,"381,643",14.66,"8,819,625",37.88,"1,489,840",-0.38,"454,649",34.86,"42,279",-22.99,"992,912",12.49,"108,137",-51.02,"46,036",-0.32,"892,413",9.43,"211,264",73.00,"24,591",18.69,"128,971",33.75,"1,657,716",-8.73,"253,654",12.15,"9,296,807",37.69,"278,246",12.74,"684,860",38.67,"1,607,379",41.68,"2,093,175",46.46,"403,596",108.28,"3,813,933",25.10,"415,618",102.39,"627,452",10.71,"319,772",24.27,"2,161,135",77.39,"1,044,665",37.99,"280,616",-72.24,"68,890",-25.00,"1,411,345",-17.53,"1,083,107",32.53
1998,"17,547,831",13.19,"453,786",30.20,"11,405,939",7.65,"1,538,790",10.39,"357,752",-6.26,"9,509,397",7.82,"1,985,044",33.24,"495,286",8.94,"68,879",62.92,"1,420,879",43.10,"165,818",53.34,"45,841",-0.42,"1,114,879",24.93,"145,515",-31.12,"19,998",-18.68,"135,598",5.14,"2,075,413",25.20,"205,605",-18.94,"10,626,246",14.30,"267,457",-3.88,"731,588",6.82,"1,741,312",8.33,"2,694,196",28.71,"340,646",-15.60,"4,389,594",15.09,"461,453",11.03,"623,535",-0.62,"335,368",4.88,"2,247,157",3.98,"1,143,068",9.42,"310,745",10.74,"92,420",34.16,"1,767,556",25.24,"1,339,199",23.64
1999,"19,260,074",9.76,"627,970",38.38,"12,148,297",6.51,"1,724,515",12.07,"361,217",0.97,"10,062,565",5.82,"2,021,404",1.83,"711,122",43.58,"45,901",-33.36,"1,264,381",-11.01,"146,711",-11.52,"45,805",-0.08,"1,479,970",32.75,"170,546",17.20,"20,346",1.74,"152,445",12.42,"2,446,580",17.88,"202,111",-1.70,"11,571,886",8.90,"304,610",13.89,"811,263",10.89,"2,148,266",23.37,"2,501,414",-7.16,"215,856",-36.63,"5,077,513",15.67,"512,964",11.16,"670,058",7.46,"310,691",-7.36,"2,601,615",15.77,"1,425,015",24.67,"305,247",-1.77,"97,796",5.82,"1,994,055",12.81,"1,506,615",12.50
2000,"20,438,185",6.12,"769,869",22.60,"12,896,175",6.16,"2,061,110",19.52,"380,847",5.43,"10,454,218",3.89,"1,826,064",-9.66,"685,009",-3.67,"53,302",16.12,"1,087,753",-13.97,"144,519",-1.49,"45,776",-0.06,"1,426,869",-3.59,"306,824",79.91,"36,343",78.62,"136,757",-10.29,"2,848,989",16.45,"193,082",-4.47,"12,414,696",7.28,"296,925",-2.52,"834,816",2.90,"2,218,086",3.25,"2,472,558",-1.15,"282,007",30.65,"5,384,980",6.06,"925,324",80.39,"715,766",6.82,"282,307",-9.14,"2,704,160",3.94,"1,521,448",6.77,"280,491",-8.11,"91,668",-6.27,"2,182,894",9.47,"1,573,121",4.41
2001,"21,701,912",6.18,"1,176,305",52.79,"12,715,129",-1.40,"2,132,692",3.47,"459,956",20.77,"10,122,481",-3.17,"2,021,947",10.73,"837,085",22.20,"52,185",-2.10,"1,132,677",4.13,"132,047",-8.63,"45,623",-0.33,"1,974,949",38.41,"212,418",-30.77,"48,109",32.37,"128,336",-6.16,"3,247,049",13.97,"158,123",-18.11,"13,279,838",6.97,"255,453",-13.97,"900,712",7.89,"2,732,406",23.19,"2,275,311",-7.98,"219,968",-22.00,"5,998,467",11.39,"897,521",-3.00,"764,115",6.75,"285,135",1.00,"2,704,711",0.02,"1,552,016",2.01,"320,505",14.27,"202,611",121.03,"2,420,541",10.89,"1,566,333",-0.43
2002,"22,093,880",1.81,"1,226,579",4.27,"12,504,851",-1.65,"1,932,859",-9.37,"476,662",3.63,"10,095,330",-0.27,"1,835,923",-9.20,"919,810",9.88,"36,497",-30.06,"879,616",-22.34,"97,691",-26.02,"38,539",-15.53,"2,972,402",50.51,"181,600",-14.51,"42,657",-11.33,"133,458",3.99,"3,060,180",-5.76,"226,671",43.35,"13,749,921",3.54,"257,892",0.95,"1,047,871",16.34,"3,004,381",9.95,"2,198,046",-3.40,"173,860",-20.96,"6,227,816",3.82,"840,055",-6.40,"691,510",-9.50,"276,492",-3.03,"2,612,647",-3.40,"1,444,540",-6.92,"215,485",-32.77,"377,303",86.22,"2,545,820",5.18,"1,398,031",-10.74
2003,"24,215,308",9.60,"1,341,436",9.36,"13,131,103",5.01,"1,944,921",0.62,"435,991",-8.53,"10,750,191",6.49,"1,610,400",-12.28,"847,351",-7.88,"34,898",-4.38,"728,151",-17.22,"114,525",17.23,281,-99.27,"3,898,553",31.16,"213,163",17.38,"28,729",-32.65,"139,711",4.69,"3,737,407",22.13,"366,324",61.61,"14,631,346",6.41,"291,791",13.14,"1,315,869",25.58,"3,581,316",19.20,"2,044,582",-6.98,"195,689",12.56,"6,286,299",0.94,"915,800",9.02,"709,255",2.57,"266,145",-3.74,"2,676,256",2.43,"1,384,965",-4.12,"144,564",-32.91,"541,227",43.45,"3,474,196",36.47,"1,405,995",0.57
2004,"27,053,069",11.72,"1,066,326",-20.51,"14,598,731",11.18,"1,917,413",-1.41,"456,006",4.59,"12,225,312",13.72,"1,481,342",-8.01,"753,255",-11.10,"74,033",112.14,"654,054",-10.18,"101,252",-11.59,281,0.00,"4,228,696",8.47,"184,592",-13.40,"20,292",-29.37,"148,700",6.43,"5,222,857",39.75,"360,607",-1.56,"15,729,072",7.50,"295,162",1.16,"1,469,192",11.65,"4,098,684",14.45,"2,200,642",7.63,"233,183",19.16,"6,412,110",2.00,"1,020,099",11.39,"682,356",-3.79,"207,938",-21.87,"2,656,148",-0.75,"1,319,094",-4.76,"143,521",-0.72,"709,051",31.01,"5,028,789",44.75,"1,535,587",9.22
2005,"29,228,583",8.04,"1,514,901",42.07,"15,776,663",8.07,"1,782,204",-7.05,"557,810",22.33,"13,436,649",9.91,"1,544,902",4.29,"725,118",-3.74,"92,900",25.48,"726,884",11.14,"143,132",41.36,281,0.00,"3,960,612",-6.34,"220,075",19.22,"3,185",-84.30,"154,185",3.69,"5,910,647",13.17,"585,674",62.41,"16,847,070",7.11,"354,999",20.27,"1,536,713",4.60,"4,375,701",6.76,"2,443,404",11.03,"162,544",-30.29,"6,773,567",5.64,"1,200,142",17.65,"662,940",-2.85,"119,310",-42.62,"2,525,083",-4.93,"1,189,974",-9.79,"183,832",28.09,"811,192",14.41,"5,825,027",15.83,"1,668,455",8.65
2006,"25,743,118",-11.92,"1,563,947",3.24,"16,055,994",1.77,"1,592,716",-10.63,"525,383",-5.81,"13,937,895",3.73,"1,801,934",16.64,"787,867",8.65,"108,471",16.76,"905,596",24.59,"149,907",4.73,1,-99.64,"3,878,135",-2.08,"282,372",28.31,39,-98.78,"159,567",3.49,"1,851,222",-68.68,"523,295",-10.65,"17,611,115",4.54,"341,659",-3.76,"1,580,033",2.82,"4,632,418",5.87,"2,554,368",4.54,"229,179",41.00,"6,826,204",0.78,"1,447,254",20.59,"646,800",-2.43,"74,507",-37.55,"2,302,519",-8.81,"1,008,264",-15.27,"186,730",1.58,"925,915",14.14,"1,792,542",-69.23,"1,679,695",0.67
2007,"25,969,195",0.88,"1,941,673",24.15,"16,390,786",2.09,"1,361,186",-14.54,"591,246",12.54,"14,438,354",3.59,"1,712,079",-4.99,"773,611",-1.81,"97,381",-10.22,"841,087",-7.12,"135,252",-9.78,1,0.00,"3,657,145",-5.70,"380,762",34.84,"8,005","20,425.64","159,075",-0.31,"1,584,417",-14.41,"626,480",19.72,"17,850,408",1.36,"295,833",-13.41,"1,692,089",7.09,"4,562,267",-1.51,"2,870,500",12.38,"169,920",-25.86,"6,584,587",-3.54,"1,675,212",15.75,"641,253",-0.86,"68,226",-8.43,"2,277,362",-1.09,"983,287",-2.48,"300,721",61.05,"900,327",-2.76,"1,533,272",-14.46,"1,771,146",5.44
2008,"27,116,649",4.42,"2,376,590",22.40,"16,739,070",2.12,"1,252,319",-8.00,"759,552",28.47,"14,727,199",2.00,"1,675,888",-2.11,"792,793",2.48,"167,862",72.38,"715,233",-14.96,"95,520",-29.38,1,0.00,"4,444,384",21.53,"270,773",-28.89,4,-99.95,"171,257",7.66,"1,343,162",-15.23,"737,623",17.74,"19,355,216",8.43,"290,071",-1.95,"1,681,466",-0.63,"4,427,322",-2.96,"3,836,180",33.64,"149,429",-12.06,"6,977,212",5.96,"1,993,536",19.00,"652,349",1.73,"57,821",-15.25,"1,934,850",-15.04,"831,259",-15.46,"386,401",28.49,"873,724",-2.95,"1,310,774",-14.51,"1,807,891",2.07
2009,"28,963,755",6.81,"2,465,245",3.73,"17,069,669",1.98,"1,477,177",17.96,"733,832",-3.39,"14,858,660",0.89,"1,551,529",-7.42,"731,150",-7.78,"139,650",-16.81,"680,729",-4.82,"53,370",-44.13,1,0.00,"6,380,947",43.57,"168,566",-37.75,2,-50.00,"164,175",-4.14,"1,110,251",-17.34,"741,814",0.57,"21,063,858",8.83,"317,231",9.36,"2,323,126",38.16,"5,990,319",35.30,"3,567,199",-7.01,"148,417",-0.68,"6,548,089",-6.15,"2,169,477",8.83,"596,182",-8.61,"68,744",18.89,"1,941,713",0.35,"724,589",-12.83,"695,180",79.91,"794,766",-9.04,"1,142,397",-12.85,"1,919,101",6.15
2010,"30,879,931",6.62,"2,397,093",-2.76,"18,312,190",7.28,"1,496,396",1.30,"790,388",7.71,"16,025,406",7.85,"1,500,389",-3.30,"709,382",-2.98,"139,016",-0.45,"651,991",-4.22,"72,135",35.16,1,0.00,"6,973,951",9.29,"216,163",28.24,2,0.00,"166,876",1.65,"1,241,131",11.79,"912,109",22.96,"22,506,225",6.85,"335,216",5.67,"2,624,415",12.97,"6,522,108",8.88,"3,874,274",8.61,"192,058",29.40,"6,533,054",-0.23,"2,425,100",11.78,"697,030",16.92,"55,534",-19.22,"1,722,514",-11.29,"451,886",-37.64,"806,308",15.99,"799,783",0.63,"1,334,099",16.78,"2,046,329",6.63
2011,"32,057,574",3.81,"2,666,111",11.22,"19,232,380",5.03,"1,530,201",2.26,"823,058",4.13,"16,879,121",5.33,"1,647,624",9.81,"770,900",8.67,"174,562",25.57,"702,162",7.70,"77,368",7.25,1,0.00,"7,035,808",0.89,"147,889",-31.58,270,"13,400.00","169,367",1.49,"1,080,756",-12.92,"906,098",-0.66,"23,622,602",4.96,"386,561",15.32,"2,682,924",2.23,"6,634,299",1.72,"4,190,123",8.15,"241,236",25.61,"6,969,139",6.68,"2,518,320",3.84,"678,018",-2.73,"114,442",106.08,"1,719,237",-0.19,"415,633",-8.02,"775,337",-3.84,"883,870",10.51,"1,226,728",-8.05,"2,131,242",4.15
