期間,金融機構準備金-應提準備之存款合計(新台幣百萬元)_原始值,金融機構準備金-應提準備之存款合計(新台幣百萬元)_年增率(%),金融機構準備金-應提準備(新台幣百萬元)_原始值,金融機構準備金-應提準備(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-合計(新台幣百萬元)_原始值,金融機構準備金-實際準備-合計(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-存放央行(新台幣百萬元)_原始值,金融機構準備金-實際準備-存放央行(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-存放其他行庫及跨行專戶(新台幣百萬元)_原始值,金融機構準備金-實際準備-存放其他行庫及跨行專戶(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-庫存現金(新台幣百萬元)_原始值,金融機構準備金-實際準備-庫存現金(新台幣百萬元)_年增率(%),金融機構準備金-超額準備(新台幣百萬元)_原始值,金融機構準備金-超額準備(新台幣百萬元)_年增率(%),金融機構準備金-由央行融通(新台幣百萬元)_原始值,金融機構準備金-由央行融通(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-應提流動準備基礎(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-應提流動準備基礎(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-法定比率(%)_原始值,其他貨幣機構流動比率與流動準備-法定比率(%)_年增率(%),其他貨幣機構流動比率與流動準備-法定流動準備(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-法定流動準備(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-合計(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-合計(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-超額準備(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-超額準備(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-銀行互拆借差(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-銀行互拆借差(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-國庫券(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-國庫券(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-央行定期存單(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-央行定期存單(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-可轉讓定期存單淨額(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-可轉讓定期存單淨額(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-銀行承兌匯票(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-銀行承兌匯票(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-商業本票(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-商業本票(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-公債(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-公債(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-公司債(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-公司債(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-金融債券及其他(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-金融債券及其他(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-轉存指定行庫一年期以下存款(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-轉存指定行庫一年期以下存款(新台幣百萬元)_年增率(%)
1997,"13,145,038",7.22,"1,195,943",2.94,"1,203,128",2.79,"972,443",4.11,"69,142",-13.81,"161,543",3.43,"7,185",-17.64,"7,018",580.04,"13,016,824",5.32,7,0.00,"911,171",5.31,"2,193,303",-16.76,"6,907",-9.65,"76,145",-14.46,"12,291",5.01,"1,136",-98.45,"17,233",-55.11,"58,405",-65.87,"696,131",-14.30,"316,358",-12.01,"84,616",15.29,"35,041",-45.20,"889,040",-4.89
1998,"13,898,370",5.73,"1,122,882",-6.11,"1,128,950",-6.17,"904,965",-6.94,"55,510",-19.72,"168,476",4.29,"6,069",-15.53,"16,484",134.88,"13,839,076",6.32,7,0.00,"968,735",6.32,"2,695,153",22.88,"15,633",126.34,"95,044",24.82,"14,231",15.78,"151,626","13,247.36","24,624",42.89,"20,582",-64.76,"1,068,501",53.49,"261,631",-17.30,"87,343",3.22,"34,528",-1.46,"921,410",3.64
1999,"14,872,545",7.01,"968,967",-13.71,"980,539",-13.15,"774,990",-14.36,"39,428",-28.97,"166,121",-1.40,"11,572",90.67,"11,911",-27.74,"15,074,143",8.92,7,0.00,"1,055,188",8.92,"3,272,728",21.43,"24,377",55.93,"148,843",56.60,"102,707",621.71,"636,386",319.71,"44,518",80.79,"2,322",-88.72,"860,112",-19.50,"325,319",24.34,"98,757",13.07,"36,781",6.53,"992,606",7.73
2000,"15,790,283",6.17,"1,000,034",3.21,"1,009,104",2.91,"803,377",3.66,"38,435",-2.52,"167,292",0.70,"9,070",-21.62,"10,919",-8.33,"15,477,745",2.68,7,0.00,"1,083,442",2.68,"2,931,100",-10.44,"14,786",-39.34,"208,421",40.03,"32,647",-68.21,"553,841",-12.97,"36,429",-18.17,824,-64.51,"671,908",-21.88,"353,265",8.59,"75,547",-23.50,"31,106",-15.43,"952,326",-4.06
2001,"16,430,174",4.05,"975,875",-2.42,"985,665",-2.32,"786,150",-2.14,"36,840",-4.15,"162,675",-2.76,"9,789",7.93,"1,901",-82.59,"16,181,581",4.55,7,0.00,"1,132,712",4.55,"3,685,288",25.73,"7,097",-52.00,"172,657",-17.16,"29,983",-8.16,"946,451",70.89,"25,251",-30.68,149,-81.92,"682,556",1.58,"470,002",33.05,"69,322",-8.24,"31,433",1.05,"1,250,387",31.30
2002,"16,862,761",2.63,"855,671",-12.32,"863,700",-12.37,"670,386",-14.73,"32,016",-13.09,"161,299",-0.85,"8,029",-17.98,161,-91.53,"16,959,586",4.81,7,0.00,"1,187,168",4.81,"4,635,032",25.77,"19,401",173.37,"166,090",-3.80,"109,226",264.29,"1,953,948",106.45,"26,151",3.56,291,95.30,"395,771",-42.02,"481,537",2.45,"66,895",-3.50,"32,041",1.93,"1,383,681",10.66
2003,"17,225,781",2.15,"883,264",3.22,"890,672",3.12,"698,111",4.14,"31,630",-1.21,"160,932",-0.23,"7,408",-7.73,"1,912","1,087.58","17,859,058",5.30,7,0.00,"1,250,135",5.30,"5,593,862",20.69,"15,422",-20.51,"186,765",12.45,"22,190",-79.68,"2,851,560",45.94,"35,770",36.78,241,-17.18,"308,458",-22.06,"525,709",9.17,"70,837",5.89,"52,801",64.79,"1,524,109",10.15
2004,"18,473,625",7.24,"971,005",9.93,"983,081",10.38,"782,833",12.14,"34,018",7.55,"166,230",3.29,"12,076",63.01,62,-96.76,"19,003,967",6.41,7,0.00,"1,330,284",6.41,"5,759,495",2.96,"9,180",-40.47,"168,397",-9.83,"43,772",97.26,"3,202,711",12.31,"26,034",-27.22,243,0.83,"227,821",-26.14,"514,508",-2.13,"137,046",93.47,"51,748",-1.99,"1,378,035",-9.58
2005,"19,715,134",6.72,"1,036,132",6.71,"1,041,743",5.97,"830,279",6.06,"35,278",3.70,"176,186",5.99,"5,611",-53.54,-,-,"19,979,956",5.14,7,0.00,"1,398,601",5.14,"5,831,391",1.25,"5,352",-41.70,"230,181",36.69,"6,428",-85.31,"3,134,737",-2.12,"10,753",-58.70,26,-89.30,"208,803",-8.35,"454,550",-11.65,"246,248",79.68,"93,354",80.40,"1,440,959",4.57
2006,"20,755,191",5.28,"1,093,057",5.49,"1,098,914",5.49,"883,280",6.38,"34,972",-0.87,"180,661",2.54,"5,857",4.38,-,-,"20,675,544",3.48,7,0.00,"1,447,288",3.48,"5,754,988",-1.31,"10,356",93.50,"186,163",-19.12,"2,330",-63.75,"3,174,119",1.26,"8,684",-19.24,46,76.92,"157,686",-24.48,"536,834",18.10,"296,670",20.48,"136,666",46.40,"1,245,434",-13.57
2007,"21,462,346",3.41,"1,141,211",4.41,"1,162,566",5.79,"939,307",6.34,"36,047",3.07,"187,212",3.63,"21,355",264.61,"1,852",-,"21,040,590",1.77,7,0.00,"1,472,841",1.77,"5,539,411",-3.75,"17,185",65.94,"174,969",-6.01,"3,242",39.14,"3,071,683",-3.23,"9,722",11.95,30,-34.78,"115,324",-26.86,"540,441",0.67,"269,229",-9.25,"145,557",6.51,"1,192,029",-4.29
2008,"22,093,250",2.94,"1,216,767",6.62,"1,246,609",7.23,"1,026,469",9.28,"36,377",0.92,"183,764",-1.84,"29,842",39.74,81,-95.63,"21,901,584",4.09,7,0.00,"1,533,112",4.09,"5,963,982",7.66,"52,167",203.56,"151,090",-13.65,"58,045","1,690.41","3,554,831",15.73,"18,226",87.47,1,-96.67,"118,947",3.14,"570,972",5.65,"179,296",-33.40,"79,286",-45.53,"1,181,121",-0.92
2009,"24,012,925",8.69,"1,286,244",5.71,"1,381,597",10.83,"1,163,729",13.37,"36,646",0.74,"181,223",-1.38,"95,353",219.53,-,-,"23,577,404",7.65,7,0.00,"1,650,420",7.65,"7,606,389",27.54,"40,976",-21.45,"256,688",69.89,"141,525",143.82,"4,951,310",39.28,"6,977",-61.72,17,"1,600.00","77,400",-34.93,"558,752",-2.14,"166,334",-7.23,"66,009",-16.75,"1,340,401",13.49
