期間,所有癌症死因_死亡人數(人),所有癌症死因_順位,所有癌症死因_死亡率(每十萬人口),所有癌症死因_標準化死亡率(每十萬人口),肺癌_死亡人數(人),肺癌_順位,肺癌_死亡率(每十萬人口),肺癌_標準化死亡率(每十萬人口),肝癌_死亡人數(人),肝癌_順位,肝癌_死亡率(每十萬人口),肝癌_標準化死亡率(每十萬人口),結腸直腸癌_死亡人數(人),結腸直腸癌_順位,結腸直腸癌_死亡率(每十萬人口),結腸直腸癌_標準化死亡率(每十萬人口),女性乳癌_死亡人數(人),女性乳癌_順位,女性乳癌_死亡率(每十萬人口),女性乳癌_標準化死亡率(每十萬人口),胃癌_死亡人數(人),胃癌_順位,胃癌_死亡率(每十萬人口),胃癌_標準化死亡率(每十萬人口),口腔癌_死亡人數(人),口腔癌_順位,口腔癌_死亡率(每十萬人口),口腔癌_標準化死亡率(每十萬人口),攝護腺癌_死亡人數(人),攝護腺癌_順位,攝護腺癌_死亡率(每十萬人口),攝護腺癌_標準化死亡率(每十萬人口),子宮頸癌_死亡人數(人),子宮頸癌_順位,子宮頸癌_死亡率(每十萬人口),子宮頸癌_標準化死亡率(每十萬人口),食道癌_死亡人數(人),食道癌_順位,食道癌_死亡率(每十萬人口),食道癌_標準化死亡率(每十萬人口),胰臟癌_死亡人數(人),胰臟癌_順位,胰臟癌_死亡率(每十萬人口),胰臟癌_標準化死亡率(每十萬人口)
1986,"16,559",-,85.5,118.3,"2,908",2,15.0,21.0,"3,278",1,16.9,22.7,"1,376",5,7.1,10.4,466,6,5.0,6.9,"1,942",3,10.0,14.5,423,11,2.2,3.0,127,15,1.3,2.3,848,4,9.1,13.0,542,9,2.8,4.0,349,12,1.8,2.5
1987,"17,342",-,88.6,118.9,"3,075",2,15.7,21.4,"3,462",1,17.7,23.1,"1,400",5,7.2,10.1,471,6,5.0,6.5,"2,185",3,11.2,15.5,445,11,2.3,3.0,152,14,1.5,2.6,856,4,9.1,12.4,582,9,3.0,4.1,422,12,2.2,2.9
1988,"18,233",-,92.1,121.1,"3,301",2,16.7,22.3,"3,685",1,18.6,23.9,"1,507",5,7.6,10.4,518,6,5.4,7.0,"2,082",3,10.5,14.3,464,12,2.3,3.1,183,14,1.8,2.8,842,4,8.8,11.9,610,9,3.1,4.3,480,11,2.4,3.3
1989,"18,878",-,94.4,121.7,"3,498",2,17.5,22.9,"3,705",1,18.5,23.2,"1,521",5,7.6,10.1,591,6,6.1,7.7,"2,151",3,10.8,14.5,521,10,2.6,3.3,212,13,2.0,3.2,852,4,8.8,11.6,552,9,2.8,3.7,497,11,2.5,3.3
1990,"18,536",-,91.6,115.3,"3,455",2,17.1,21.8,"3,606",1,17.8,21.9,"1,618",5,8.0,10.5,619,6,6.3,7.7,"1,999",3,9.9,12.8,452,12,2.2,2.8,194,13,1.9,3.0,837,4,8.6,10.9,580,9,2.9,3.7,458,11,2.3,2.9
1991,"19,630",-,96.0,117.8,"3,759",2,18.4,22.7,"3,870",1,18.9,22.7,"1,674",5,8.2,10.4,664,6,6.7,8.1,"2,044",3,10.0,12.6,549,10,2.7,3.2,233,13,2.2,3.3,870,4,8.8,10.9,660,9,3.2,4.0,502,12,2.5,3.0
1992,"20,959",-,101.5,121.9,"4,022",2,19.5,23.6,"4,465",1,21.6,25.6,"1,868",5,9.0,11.1,676,6,6.8,7.9,"2,050",3,9.9,12.3,626,8,3.0,3.6,233,13,2.2,3.1,944,4,9.4,11.5,613,9,3.0,3.6,577,11,2.8,3.4
1993,"22,319",-,107.1,125.5,"4,110",2,19.7,23.4,"5,013",1,24.0,27.9,"1,973",4,9.5,11.3,772,6,7.6,8.8,"2,091",3,10.0,12.0,694,8,3.3,3.8,269,13,2.5,3.4,913,5,9.0,10.8,651,9,3.1,3.7,581,10,2.8,3.3
1994,"23,318",-,110.6,126.9,"4,490",2,21.3,24.6,"5,008",1,23.7,26.9,"2,103",4,10.0,11.6,789,6,7.7,8.7,"2,122",3,10.1,11.8,779,8,3.7,4.2,366,9,3.4,4.3,973,5,9.5,11.0,668,10,3.2,3.7,633,12,3.0,3.5
1995,"25,841",-,121.5,136.4,"5,030",2,23.7,26.7,"5,204",1,24.5,27.2,"2,469",3,11.6,13.3,918,6,8.9,9.7,"2,262",4,10.6,12.0,902,7,4.2,4.7,371,12,3.4,4.2,"1,010",5,9.8,11.0,726,10,3.4,3.9,720,11,3.4,3.8
